U2 L B' L R' U'
U2 L B' R' L U'
D L' U F L' B'
D2 R F' L' R U
D2 R F' R L' U
L U2 B' L R' U'
L U2 B' R' L U'
U D L' F B' L'
D U L' F B' L'
U D L' B' F L'
D U L' B' F L'
D U F L' F B'
D U F L' B' F
U D F L' F B'
U D F L' B' F
F' D L' U F L'
D2 F' L' R F' U
D2 F' R L' F' U
U2 B' L R' B' U'
U2 B' R' L B' U'
D2 L R F' L' R U
D2 L R F' R L' U
U2 L R B' L R' U'
U2 L R B' R' L U'
U2 L R' B' L R' U'
U2 L R' B' R' L U'
U2 L R2 B' L R' U'
U2 L R2 B' R' L U'
R' L U2 B' L R' U'
R' L U2 B' R' L U'
R2 L U2 B' L R' U'
R2 L U2 B' R' L U'
L R U2 B' L R' U'
L R U2 B' R' L U'
R L U2 B' L R' U'
R L U2 B' R' L U'
F L U2 R B' L U'
F L U2 B' L R U'
F L U2 B' R L U'
D2 L F' L' R F' U
D2 L F' R L' F' U
U2 L B' L R' U' D
U2 L B' L R' U' D'
U2 L B' L R' U' D2
U2 L B' L R' D U'
U2 L B' L R' D' U'
U2 L B' L R' D2 U'
U2 L B' L D R' U'
U2 L B' L D' R' U'
U2 L B' L D2 R' U'
U2 L B' R' L U' D
U2 L B' R' L U' D'
U2 L B' R' L U' D2
U2 L B' R' L D U'
U2 L B' R' L D' U'
U2 L B' R' L D2 U'
U2 L B' R' D L U'
U2 L B' R' D' L U'
U2 L B' R' D2 L U'
U2 L B' D L R' U'
U2 L B' D R' L U'
U2 L B' D' L R' U'
U2 L B' D' R' L U'
U2 L B' D2 L R' U'
U2 L B' D2 R' L U'
D L' R U F L' B'
D2 L' R F' L' R U
L R' U2 B' L R' U'
D2 L' R F' R L' U
L R' U2 B' R' L U'
D L' R' U F L' B'
D L' R2 U F L' B'
D L' U F L' D B'
D L' U F L' D' B'
D L' U F L' D2 B'
D L' U F L' B' D
D L' U F L' B' D'
D L' U F L' B' D2
D L' U F D L' B'
D L' U F D' L' B'
D L' U F D2 L' B'
D L' U F B L' B'
D L' U F B' L' B'
D L' U F B2 L' B'
D L' U B F L' B'
D L' U B' F L' B'
D L' U B2 F L' B'
F' L' U2 L2 B' L U'
F' L' D' R F U F2
F' L' D' F R U F'
F' L' D2 F U2 L' U'
F' L' D2 F' R F2 U
F' L' F D' R U F'
F2 L' F D L' U F
F' L' F B R' B' U
D2 L' F' L' R F' U
D2 L' F' R L' F' U
D L' F' L' U F2 L'
F' L' F2 D2 F' R U
F' L' B R' F B' U
F' L' B R' B' F U
F' L' B F R' B' U
L R2 U2 B' L R' U'
L R2 U2 B' R' L U'
D2 L2 R F' L' R U
D2 L2 R F' R L' U
D2 L2 F' L' R F' U
D2 L2 F' R L' F' U
R' U D L' F B' L'
R' U D L' B' F L'
R' U D F L' F B'
R' U D F L' B' F
R2 U D L' F B' L'
R2 U D L' B' F L'
R U D L' F B' L'
R U D L' B' F L'
R2 U D F L' F B'
R2 U D F L' B' F
R U D F L' F B'
R U D F L' B' F
D2 R L F' L' R U
D2 R L F' R L' U
U2 R L B' L R' U'
U2 R L B' R' L U'
D2 R L' F' L' R U
D2 R L' F' R L' U
D R L' U F L' B'
D2 R L2 F' L' R U
D2 R L2 F' R L' U
D' R U L' F' B' L
D' R U L' B' L F'
D' R U L' B' F' L
D R U L' F B' L'
D R U L' B' F L'
D' R U F' L' B' L
D R U F L' F B'
D R U F L' B' F
F' R D L' U F L'
D2 R D' F' L' U F
D2 R F' L' R U D
D2 R F' L' R U D'
D2 R F' L' R U D2
D2 R F' L' R D U
D2 R F' L' R D' U
D2 R F' L' R D2 U
D2 R F' L' D R U
D2 R F' L' D' R U
D2 R F' L' D2 R U
D2 R F' R L' U D
D2 R F' R L' U D'
D2 R F' R L' U D2
D2 R F' R L' D U
D2 R F' R L' D' U
D2 R F' R L' D2 U
D2 R F' R D L' U
D2 R F' R D' L' U
D2 R F' R D2 L' U
D2 R F' D L' R U
D2 R F' D R L' U
D2 R F' D' L' R U
D2 R F' D' R L' U
D2 R F' D2 L' R U
D2 R F' D2 R L' U
U2 R B' L R' B' U'
U2 R B' R' L B' U'
U2 R' L B' L R' U'
U2 R' L B' R' L U'
D R' L' U F L' B'
D R' U L' F B' L'
D R' U L' B' F L'
D R' U F L' F B'
D R' U F L' B' F
D' R' U' B R' F' U2
F' R' D L' U F L'
R' U2 L B' L R' U'
R' U2 L B' R' L U'
R2 U2 L B' L R' U'
R2 U2 L B' R' L U'
R U2 L B' L R' U'
R U2 L B' R' L U'
L' U2 L2 B' L R' U'
L' U2 L2 B' R' L U'
B R' F' B' L' F U
L U2 R B' L R' U'
L U2 R B' R' L U'
L U2 R' B' L R' U'
L U2 R' B' R' L U'
U2 R' B' L R' B' U'
U2 R' B' R' L B' U'
L U2 R2 B' L R' U'
L U2 R2 B' R' L U'
B R' B' F' L' F U
U2 R2 L B' L R' U'
U2 R2 L B' R' L U'
D R2 L' U F L' B'
D R2 U L' F B' L'
D R2 U L' B' F L'
D R2 U F L' F B'
D R2 U F L' B' F
R' U2 B' L R' B' U'
R' U2 B' R' L B' U'
F' R2 D L' U F L'
R2 U2 B' L R' B' U'
R2 U2 B' R' L B' U'
L U2 B' L R' U' D
L U2 B' L R' U' D'
L U2 B' L R' U' D2
L U2 B' L R' D U'
L U2 B' L R' D' U'
L U2 B' L R' D2 U'
L U2 B' L D R' U'
L U2 B' L D' R' U'
L U2 B' L D2 R' U'
R U2 B' L R' B' U'
L U2 B' R' L U' D
L U2 B' R' L U' D'
L U2 B' R' L U' D2
L U2 B' R' L D U'
L U2 B' R' L D' U'
L U2 B' R' L D2 U'
L U2 B' R' D L U'
L U2 B' R' D' L U'
L U2 B' R' D2 L U'
R U2 B' R' L B' U'
L U2 B' D L R' U'
L U2 B' D R' L U'
L U2 B' D' L R' U'
L U2 B' D' R' L U'
L U2 B' D2 L R' U'
L U2 B' D2 R' L U'
R' D L' U F L' B'
R2 D L' U F L' B'
R D L' U F L' B'
R' D U L' F B' L'
R' D U L' B' F L'
U2 R2 B' L R' B' U'
R' D U F L' F B'
R' D U F L' B' F
U2 R2 B' R' L B' U'
R2 D U L' F B' L'
R2 D U L' B' F L'
R2 D U F L' F B'
R2 D U F L' B' F
R D U L' F B' L'
R D U L' B' F L'
R D U F L' F B'
R D U F L' B' F
U2 D L' U' F L' B'
L' D F' L' F2 U F'
D U L' D2 F B' L
D U L' D2 B' F L
D U L' F D B' L'
D U L' F D' B' L'
D U L' F D2 B' L'
D U L' F B L' B2
D U L' F B' L' D
D U L' F B' L' D'
D U L' F B' L' D2
D U L' F B' D L'
D U L' F B' D' L'
D U L' F B' D2 L'
D U L' F B2 L' B
D U L' B F L' B2
D U L' B' F L' D
D U L' B' F L' D'
D U L' B' F L' D2
D U L' B' F D L'
D U L' B' F D' L'
D U L' B' F D2 L'
D U L' B2 F L' B
U D L' D2 F B' L
U D L' D2 B' F L
U D L' F D B' L'
U D L' F D' B' L'
U D L' F D2 B' L'
U D L' F B L' B2
U D L' F B' L' D
U D L' F B' L' D'
U D L' F B' L' D2
U D L' F B' D L'
U D L' F B' D' L'
U D L' F B' D2 L'
U D L' F B2 L' B
U D L' B F L' B2
U D L' B' F L' D
U D L' B' F L' D'
U D L' B' F L' D2
U D L' B' F D L'
U D L' B' F D' L'
U D L' B' F D2 L'
U D L' B2 F L' B
U' D F U2 L' F B'
U' D F U2 L' B' F
D U F L' D F B'
D U F L' D B' F
D U F L' D' F B'
D U F L' D' B' F
D U F L' D2 F B'
D U F L' D2 B' F
D U F L' F D B'
D U F L' F D' B'
D U F L' F D2 B'
D U F L' F B' D
D U F L' F B' D'
D U F L' F B' D2
D U F L' B' D F
D U F L' B' D' F
D U F L' B' D2 F
D U F L' B' F D
D U F L' B' F D'
D U F L' B' F D2
U D F L' D F B'
U D F L' D B' F
U D F L' D' F B'
U D F L' D' B' F
U D F L' D2 F B'
U D F L' D2 B' F
U D F L' F D B'
U D F L' F D' B'
U D F L' F D2 B'
U D F L' F B' D
U D F L' F B' D'
U D F L' F B' D2
U D F L' B' D F
U D F L' B' D' F
U D F L' B' D2 F
U D F L' B' F D
U D F L' B' F D'
U D F L' B' F D2
D U F B L' F B'
D U F B L' B' F
D U F B' L' F B'
D U F B' L' B' F
D U F B2 L' F B'
D U F B2 L' B' F
U D F B L' F B'
U D F B L' B' F
U D F B' L' F B'
U D F B' L' B' F
U D F B2 L' F B'
U D F B2 L' B' F
D U B L' F B' L'
D U B L' B' F L'
U D B L' F B' L'
U D B L' B' F L'
D U B F L' F B'
D U B F L' B' F
D U B' L' F B' L'
D U B' L' B' F L'
U D B F L' F B'
U D B F L' B' F
U D B' L' F B' L'
U D B' L' B' F L'
D U B' F L' F B'
D U B' F L' B' F
D U B2 L' F B' L'
D U B2 L' B' F L'
U D B' F L' F B'
U D B' F L' B' F
U D B2 L' F B' L'
U D B2 L' B' F L'
D U B2 F L' F B'
D U B2 F L' B' F
U D B2 F L' F B'
U D B2 F L' B' F
L' D' F U2 R U' F'
U' D' R' F' B R' U2
D' U' R' F' B R' U2
U' D' R' B F' R' U2
D' U' R' B F' R' U2
D U' F U2 L' F B'
D U' F U2 L' B' F
D' U' B R' F' B U2
U' D' B R' F' B U2
D' U' B R' B F' U2
U' D' B R' B F' U2
R' D2 R F' L' R U
R' D2 R F' R L' U
R2 D2 R F' L' R U
R2 D2 R F' R L' U
D U2 L' U' F L' B'
R D2 R F' L' R U
R D2 R F' R L' U
F U2 L R B' L U'
L' D2 F U2 L' R U'
L' D2 F U2 R L' U'
R' D2 F' L' R F' U
R' D2 F' R L' F' U
L' D2 F' L' R F2 U
L' D2 F' R L' F2 U
F U2 L B' L R U'
F U2 L B' R L U'
R2 D2 F' L' R F' U
R2 D2 F' R L' F' U
R D2 F' L' R F' U
R D2 F' R L' F' U
F U2 R L B' L U'
F U2 R B' L B' U'
F U2 B' L R B' U'
F U2 B' L B' R U'
