U' R' F' L' B' U
F' L' R D' F2 B' R'
F' L' R D' B' R' F2
F' L' R D' B' F2 R'
F' L' R B' D' R' F2
F' L' R B' D' F2 R'
U' L' R' F' B' L' U
U' L' R' B' F' L' U
F' L' R2 B' R' D' F2
F' L' U' R' U B' R'
F' L' B' R2 D' R F'
F' L' B' D' R F' R2
R2 U R B L F U
F' R L' D' F2 B' R'
F' R L' D' B' R' F2
F' R L' D' B' F2 R'
F' R L' B' D' R' F2
F' R L' B' D' F2 R'
F' R D' L' F2 B' R'
F' R D' L' B' R' F2
F' R D' L' B' F2 R'
L' U' R' F' U B' R'
U R B L R2 F U
U R B L F R2 U
U R B R2 L F U
U' R' L' F' B' L' U
U' R' L' B' F' L' U
B' R' D F' L' F B'
B' R' D F' L' B' F
U' R' D F' L' B' U
U' R' D' F' L' B' U
U' R' D2 F' L' B' U
U' R' F' L' D B' U
U' R' F' L' D' B' U
U' R' F' L' D2 B' U
U' R' F' L' B' U D
U' R' F' L' B' U D'
U' R' F' L' B' U D2
U' R' F' L' B' D U
U' R' F' L' B' D' U
U' R' F' L' B' D2 U
B' R' F' D L' F B'
B' R' F' D L' B' F
U' R' F' D L' B' U
U' R' F' D' L' B' U
U' R' F' D2 L' B' U
U' R' F' B L' B' U
U' R' F' B' L' B' U
U' R' F' B2 L' B' U
U' R' B F' L' B' U
U' R' B' F' L' B' U
U' R' B2 F' L' B' U
F' R2 L' B' R' D' F2
B' R2 D' R F' L' B'
U' D R' F' L' B' U
U' D' R' F' L' B' U
D' U' R' F' L' B' U
D2 U' R' F' L' B' U
D U' R' F' L' B' U
R D' F' L' F' B' R'
R D' F' L' B' F' R'
F' U' R' U L' B' R'
U' D2 R' F' L' B' U
U2 F R D' F2 B L
U2 F R D' B L F2
U2 F R D' B F2 L
U2 F R B L D' F2
U2 F R B D' L F2
U2 F R B D' F2 L
B' D R' F' L' F B'
B' D R' F' L' B' F
R F D' F2 L' B' R'
U' F' L' R' F' B' U
U' F' L' R' B' F' U
B' D F' L' R' F B'
B' D F' L' R' B' F
B' D F' L' F R' B'
B' D F' R' L' F B'
B' D F' R' L' B' F
R F' L' D' F2 B' R'
R F' L' D' B' R' F2
R F' L' D' B' F2 R'
U' F' R' L' F' B' U
U' F' R' L' B' F' U
R F' L' B' D' R' F2
R F' L' B' D' F2 R'
B' D' R F' L' R2 B'
B' D' R F' L' B' R2
B' D' R F' L' B' R2
B' D' R F' R2 L' B'
R F' D' L' F2 B' R'
R F' D' L' B' R' F2
R F' D' L' B' F2 R'
L' F' B' R' D L' F
L' F' B' D L' R' F
L' F' B' D L' F R'
L' F' B' D R' L' F
L' B' R' D F' L' F
L' B' R' F' D L' F
L' B' R2 D' R F' L'
B' F' R' D L' F B'
B' F' R' D L' B' F
L' B' D R' F' L' F
F' B' R' D L' F B'
F' B' R' D L' B' F
L' B' D F' L' R' F
L' B' D F' L' F R'
L' B' D F' R' L' F
L' B' D' R F' L' R2
L' B' D' R F' R2 L'
L' B' F' R' D L' F
L' B' F' D L' R' F
L' B' F' D L' F R'
L' B' F' D R' L' F
B' F' D L' R' F B'
B' F' D L' R' B' F
B' F' D L' F R' B'
B' F' D R' L' F B'
B' F' D R' L' B' F
F' B' D L' R' F B'
F' B' D L' R' B' F
F' B' D L' F R' B'
F' B' D R' L' F B'
F' B' D R' L' B' F
U' B2 L F R B U'
