D2 F2 R B U'
L' B2 R' F' U
U2 L F L2 B2 U
U2 L F B2 L2 U
U2 L B2 F L2 U
L' R' F' B2 R' U
R' L' F' B2 R' U
L' R' B2 F' R' U
R' L' B2 F' R' U
U2 L' B2 U2 B U'
F2 R D' B U' R2
F2 R D2 F2 B U'
F2 R D2 B F2 U'
D2 R F2 B R U'
F2 R B U2 B U
D2 R B F2 R U'
R' U2 L' F' B2 U
R' U2 L' B2 F' U
R' U2 B2 L' F' U
R D2 F2 B R U'
R D2 B F2 R U'
L' F B2 R' F' U
L' F' B2 R' F' U
F2 D' R B U' R
D2 F2 R D B U'
D2 F2 R D' B U'
D2 F2 R D2 B U'
D2 F2 R B U' D
D2 F2 R B U' D'
D2 F2 R B U' D2
D2 F2 R B D U'
D2 F2 R B D' U'
D2 F2 R B D2 U'
D' F2 R B U' R
D2 F2 D R B U'
D2 F2 D' R B U'
L' F2 B2 R' F' U
D2 F2 D2 R B U'
F2 D2 R F2 B U'
F2 D2 R B F2 U'
D2 F2 B R B U'
D2 F2 B' R B U'
D2 F2 B2 R B U'
R B U2 L' B U
R B U2 B L' U
D2 B F2 R B U'
D2 B' F2 R B U'
U2 B2 L F L2 U
L' B2 R' D F' U
L' B2 R' D' F' U
U2 B2 L' U2 B' U'
L' B2 R' D2 F' U
L' B2 R' F' U D
L' B2 R' F' U D'
L' B2 R' F' U D2
L' B2 R' F' D U
L' B2 R' F' D' U
L' B2 R' F' D2 U
L' B2 D R' F' U
L' B2 D' R' F' U
L' B2 D2 R' F' U
L' B2 F R' F' U
L' B2 F' R' F' U
L' B2 F2 R' F' U
D2 B2 F2 R B U'
U' L D' R2 B L B
U2 L D' F U R2 B2
U2 L D' F U B2 R2
U' L D' B L B R2
U2 L F L' B2 L' U
U2 L F L2 U D' R2
U2 L F L2 D' U R2
U2 L F L2 B2 U D
U2 L F L2 B2 U D'
U2 L F L2 B2 U D2
U2 L F L2 B2 D U
U2 L F L2 B2 D' U
U2 L F L2 B2 D2 U
U2 L F U D' R2 B2
U2 L F U D' B2 R2
U2 L F D' U R2 B2
U2 L F D' U B2 R2
U2 L F B L2 B U
U2 L F B2 L2 U D
U2 L F B2 L2 U D'
U2 L F B2 L2 U D2
U2 L F B2 L2 D U
U2 L F B2 L2 D' U
U2 L F B2 L2 D2 U
U2 L F B2 U D' B2
U2 L F B2 D' U B2
U2 L F' L2 F2 B2 U
U2 L F' L2 B2 F2 U
U2 L F' B2 L2 F2 U
U2 L F2 L2 F' B2 U
U2 L F2 L2 B2 F' U
L' R B2 R' U2 B' U'
U2 L F2 B2 L2 F' U
U2 L B F L2 B U
U2 L B2 L2 U2 B' U'
U2 L B2 D' F U B2
U2 L B2 F L2 U D
U2 L B2 F L2 U D'
U2 L B2 F L2 U D2
U2 L B2 F L2 D U
U2 L B2 F L2 D' U
U2 L B2 F L2 D2 U
U2 L B2 F U D' B2
U2 L B2 F D' U B2
U2 L B2 F' L2 F2 U
U2 L B2 F2 L2 F' U
B2 L' R U2 L B U'
B2 L' R' F' U2 L U'
U2 L' R2 B2 R2 F' U
B2 L' U F' L' D F2
R' L' F B2 R' F2 U
L' R' F B2 R' F2 U
R' L' F' R B2 R' U
L' R' F' R B2 R' U
R' L' F' R' B2 R' U
L2 R' F' L B2 R' U
B2 L' U2 L U2 F U
L' R' F' R' B2 R' U
R' L' F' R2 B2 R' U
L' R' F' R2 B2 R' U
B2 L' U2 L' B' L2 U'
U2 L' U2 D' B' U' R2
U2 L' U2 D2 F2 B' U'
U2 L' U2 D2 B' F2 U'
R' L' F' B2 R' U D
R' L' F' B2 R' U D'
R' L' F' B2 R' U D2
R' L' F' B2 R' D U
R' L' F' B2 R' D' U
R' L' F' B2 R' D2 U
R' L' F' B2 D R' U
R' L' F' B2 D' R' U
R' L' F' B2 D2 R' U
L' R' F' B2 R' U D
L' R' F' B2 R' U D'
L' R' F' B2 R' U D2
L' R' F' B2 R' D U
L' R' F' B2 R' D' U
L' R' F' B2 R' D2 U
L' R' F' B2 D R' U
L' R' F' B2 D' R' U
L' R' F' B2 D2 R' U
U2 L' U2 B' U2 B' U
R' L' F2 B2 R' F U
L' R' F2 B2 R' F U
D' L' D B2 R' F' U
U2 L' D' U2 B' U' R2
U2 L' D2 U2 F2 B' U'
U2 L' D2 U2 B' F2 U'
D2 L' D2 B2 R' F' U
R2 L' B2 R F' R2 U
R2 L' B2 R' U2 B U'
R' L' B2 D F' R' U
L' R' B2 D F' R' U
R' L' B2 D' F' R' U
L' R' B2 D' F' R' U
R' L' B2 D2 F' R' U
R L' B2 R' U2 B' U'
L' R' B2 D2 F' R' U
R' L' B2 F R' F2 U
L' R' B2 F R' F2 U
R' L' B2 F' R' U D
R' L' B2 F' R' U D'
R' L' B2 F' R' U D2
R' L' B2 F' R' D U
R' L' B2 F' R' D' U
R' L' B2 F' R' D2 U
L' R' B2 F' R' U D
L' R' B2 F' R' U D'
L' R' B2 F' R' U D2
L' R' B2 F' R' D U
L' R' B2 F' R' D' U
L' R' B2 F' R' D2 U
R' L' B2 F' D R' U
R' L' B2 F' D' R' U
R' L' B2 F' D2 R' U
L' R' B2 F' D R' U
L' R' B2 F' D' R' U
L' R' B2 F' D2 R' U
R' L' B2 F2 R' F U
L' R' B2 F2 R' F U
U2 L' F B2 U2 B U'
U2 L' F' B2 U2 B U'
U2 L' F2 B2 U2 B U'
U2 L' B D B U L2
U2 L' B D2 F2 B U
U2 L' B D2 B F2 U
D' L' B2 R' F' U R'
B2 L' B2 R' F' B2 U
B2 L' B2 R' B2 F' U
U2 L' B2 R2 F' R2 U
B L' B2 R' F' B' U
B L' B2 R' B' F' U
F L' B2 R' F' L' U
U2 L' B2 U2 D B U'
U2 L' B2 U2 D' B U'
U2 L' B2 U2 D2 B U'
U2 L' B2 U2 B U' D
U2 L' B2 U2 B U' D'
U2 L' B2 U2 B U' D2
U2 L' B2 U2 B D U'
U2 L' B2 U2 B D' U'
U2 L' B2 U2 B D2 U'
U2 L' B2 D U2 B U'
U2 L' B2 D' U2 B U'
U2 L' B2 D2 U2 B U'
U2 L' B2 F U2 B U'
U2 L' B2 F' U2 B U'
U2 L' B2 F2 U2 B U'
R' L2 F' L B2 R' U
U L2 U L F B2 U
U L2 U L B2 F U
U' L2 U' L F B2 U
U' L2 U' L B2 F U
L' R2 B2 R F' R2 U
L' R2 B2 R' U2 B U'
B2 R L' U2 L B U'
F2 R U2 B2 U2 B' U'
F2 R D B U L2 U2
F2 R D B U' D2 R2
F2 R D B D F2 U'
F2 R D B D2 U' R2
D R D F2 B R U'
D R D B F2 R U'
F2 R D' F B U' R2
F2 R D' F' B U' R2
F2 R D' F2 B U' R2
F2 R D' B U' R2 D
F2 R D' B U' R2 D'
F2 R D' B U' R2 D2
F2 R D' B D' F2 U'
F2 R D' B F U' R2
F2 R D' B F' U' R2
F2 R D' B F2 U' R2
F' R D2 F2 B R' U'
F' R D2 B R' F2 U'
F' R D2 B F2 R' U'
F2 R D2 F2 D B U'
F2 R D2 F2 D' B U'
F2 R D2 F2 D2 B U'
F2 R D2 F2 B U' D
F2 R D2 F2 B U' D'
F2 R D2 F2 B U' D2
F2 R D2 F2 B D U'
F2 R D2 F2 B D' U'
F2 R D2 F2 B D2 U'
R' U' L' F' B2 U F
F2 R D2 B U' D R2
F2 R D2 B D U' R2
F2 R D2 B F2 U' D
F2 R D2 B F2 U' D'
F2 R D2 B F2 U' D2
F2 R D2 B F2 D U'
F2 R D2 B F2 D' U'
F2 R D2 B F2 D2 U'
R' U' L' B2 F' U F
F2 R F D' B U' R2
F2 R F D2 F2 B U'
F2 R F D2 B F2 U'
F2 R F B U2 B U
F2 R F' D' B U' R2
F2 R F' D2 F2 B U'
F2 R F' D2 B F2 U'
F2 R F' B U2 B U
D2 R F2 D B R U'
D2 R F2 D' B R U'
D2 R F2 D2 B R U'
D2 R F2 B R U' D
D2 R F2 B R U' D'
D2 R F2 B R U' D2
D2 R F2 B R D U'
D2 R F2 B R D' U'
D2 R F2 B R D2 U'
D2 R F2 B D R U'
D2 R F2 B D' R U'
D2 R F2 B D2 R U'
D2 R F2 B' R B2 U'
D2 R F2 B2 R B' U'
F2 R F2 D' B U' R2
F2 R F2 D2 F2 B U'
F2 R F2 D2 B F2 U'
F2 R F2 B U2 B U
D2 R B R F2 R U'
D2 R B R' F2 R U'
D2 R B R2 F2 R U'
B R F2 B R F' U'
F' R B R2 F' R U'
D' R B U2 L' U R
B' R B U2 L' B2 U
B' R B U2 B2 L' U
F2 R B R2 F' R2 U'
B' R B D2 F2 R U'
B2 R B U2 B' L' U
F2 R B U2 D B U
F2 R B U2 D' B U
F2 R B U2 D2 B U
D2 R B F2 R U' D
D2 R B F2 R U' D'
D2 R B F2 R U' D2
D2 R B F2 R D U'
D2 R B F2 R D' U'
D2 R B F2 R D2 U'
F2 R B U2 B U D
F2 R B U2 B U D'
F2 R B U2 B U D2
F2 R B U2 B D U
F2 R B U2 B D' U
F2 R B U2 B D2 U
D2 R B F2 D R U'
D2 R B F2 D' R U'
D2 R B F2 D2 R U'
F2 R B D U2 B U
F2 R B D' U2 B U
F2 R B D2 U2 B U
D R B D F2 R U'
F2 R B F U2 B U
F2 R B F' U2 B U
F2 R B F2 U2 B U
F R B U2 B L U
B R B F2 R F' U'
D2 R B' F2 R B2 U'
D2 R B2 F2 R B' U'
B2 R' L' F' U2 L U'
D' R' U2 L' F' U R'
B R' U2 L' F' B' U
B R' U2 L' B' F' U
B' R' U2 B' L' F' U
R' U' B2 L' F' U F
L' U2 L U2 F B2 U
L' U2 L U2 B2 F U
R' U2 L F' L2 B2 U
R' U2 L F' B2 L2 U
R' U2 L B2 L2 F' U
R' U2 L B2 F' L2 U
L2 U2 L F B2 R' U
R' U2 L' D' F' U R2
L2 U2 L B2 R' F U
L2 U2 L B2 F R' U
R' U2 L' F' U D' R2
R' U2 L' F' D' U R2
R' U2 L' F' B2 U D
R' U2 L' F' B2 U D'
R' U2 L' F' B2 U D2
R' U2 L' F' B2 D U
R' U2 L' F' B2 D' U
R' U2 L' F' B2 D2 U
R' U2 L' B2 D F' U
R' U2 L' B2 D' F' U
R' U2 L' B2 D2 F' U
R' U2 L' B2 F' U D
R' U2 L' B2 F' U D'
R' U2 L' B2 F' U D2
R' U2 L' B2 F' D U
R' U2 L' B2 F' D' U
R' U2 L' B2 F' D2 U
L' U2 L' B' L2 F U'
R U2 L B2 L2 F U
R' U2 L2 F' L B2 U
R U2 L' B2 U2 B' U'
F R' F' L' B2 R' U
D2 R' F2 R U2 F U
F2 R' B R2 F' B U'
F2 R' B R2 B F' U'
R' U2 D' L' F' U R2
U2 R2 L' B2 R2 F' U
R' U2 B L' F' B U
R' U2 B L' B F' U
R' U2 B2 L F' L2 U
R' U2 B2 L' D F' U
R' U2 B2 L' D' F' U
R' U2 B2 L' D2 F' U
R' U2 B2 L' F' U D
R' U2 B2 L' F' U D'
R' U2 B2 L' F' U D2
R' U2 B2 L' F' D U
R' U2 B2 L' F' D' U
R' U2 B2 L' F' D2 U
R' U2 B2 L2 F' L U
R' U2 B2 D L' F' U
R' U2 B2 D' L' F' U
R' U2 B2 D2 L' F' U
R U2 B2 L2 F L U
R2 U2 B2 D2 L' F U
D2 R2 F2 R U2 F' U
D2 R2 F2 R' B R2 U'
D U L2 U L F U
U D L2 U L F U
R D B D F2 R U'
U' D B L D' B2 R'
U2 D' L F L2 U R2
U2 D' L' U2 B' U' R2
R' D' U2 L' F' U R2
D' U' R2 B L D' B2
U' D' R2 B L D' B2
F U' R D' B L R2
F U' R D' B R2 L
R D' F2 B R U' R
F U' R' D' R2 B L
R D' B U2 L' U R2
D' U' B L R2 D' B2
U' D' B L R2 D' B2
L' D' B2 R' F' U R'
R D' B D' F2 R U'
D' U' B R2 L D' B2
U' D' B R2 L D' B2
R D' B F2 R U' R
F' U' D' R2 B L B'
F' U' D' B L R2 B'
F' U' D' B L B' R2
D U' B L D' B2 R'
F' U' D' B R2 L B'
L' D2 L F2 R B U'
F U' D' R B L R
F U' D' R B R L
D' U2 L F L2 U R2
D2 U2 L F L2 B' U
R' D2 R F2 R B U'
D' U2 L' U2 B' U' R2
U2 D2 L F L2 B' U
D2 U2 L' U2 F2 B' U'
D2 U2 L' U2 B' F2 U'
U2 D2 L' U2 F2 B' U'
U2 D2 L' U2 B' F2 U'
B' U' B L D' R2 B2
B' U' B L D' B2 R2
R' D2 R2 F2 B R U'
R' D2 R2 B F2 R U'
R D2 R' F2 R B U'
F' U2 L F L' B2 U
F' U2 L F B2 L' U
F' U2 L B2 F L' U
B U2 L F L2 B U
B U2 L F B L2 U
B U2 L B F L2 U
B U2 L' B U D L2
B U2 L' B U2 B2 U'
B U2 L' B D U L2
B U2 L' B D2 F2 U
R' D2 F2 R U2 F U
R D2 F2 D B R U'
R D2 F2 D' B R U'
R D2 F2 D2 B R U'
R D2 F2 B R U' D
R D2 F2 B R U' D'
R D2 F2 B R U' D2
R D2 F2 B R D U'
R D2 F2 B R D' U'
R D2 F2 B R D2 U'
R D2 F2 B D R U'
R D2 F2 B D' R U'
R D2 F2 B D2 R U'
R D2 F2 B' R B2 U'
R D2 F2 B2 R B' U'
R D2 B R F2 R U'
R D2 B R' F2 R U'
R D2 B R2 F2 R U'
R D2 B F2 R U' D
R D2 B F2 R U' D'
R D2 B F2 R U' D2
R D2 B F2 R D U'
R D2 B F2 R D' U'
R D2 B F2 R D2 U'
R D2 B F2 D R U'
R D2 B F2 D' R U'
R D2 B F2 D2 R U'
R D2 B' F2 R B2 U'
L2 F L B2 R' F' U
R D2 B2 F2 R B' U'
D2 F R F B R U'
D' F R B U' R B
D2 F R B F R U'
L' F R' F' B2 R' U
L' F R' B2 F' R' U
B' U2 B' L F L2 U
B' U2 B' L' U2 B' U'
B U2 B L F L2 U
B U2 B L' U2 B' U'
F U2 B L F B U
F U2 B L B F U
F' U2 B2 L F L' U
D' F U' R B L R
D' F U' R B R L
F2 U2 B2 U2 R B U'
D2 F D F R B U'
D2 F D' F R B U'
F2 D R D F2 B U'
F2 D R D B F2 U'
F2 D R D2 B U' R2
D2 F D2 F R B U'
F2 D R B U L2 U2
F2 D R B U' D2 R2
F2 D R B D F2 U'
F2 D R B D2 U' R2
L' F B2 R' D F' U
L' F B2 R' D' F' U
L' F B2 R' D2 F' U
L' F B2 R' F' U D
L' F B2 R' F' U D'
L' F B2 R' F' U D2
L' F B2 R' F' D U
L' F B2 R' F' D' U
L' F B2 R' F' D2 U
L' F B2 D R' F' U
L' F B2 D' R' F' U
L' F B2 D2 R' F' U
R F B U2 B L U
U2 F' L F L' B2 U
U2 F' L F B2 L' U
L2 F' L B2 R' F' U
U2 F' L B2 F L' U
L' F' R' F' B2 R' U
L' F' R' B2 F' R' U
F2 D' R D B U' R
F2 D' R D' B U' R
F2 D' R D2 B U' R
F2 D' R B U' R D
F2 D' R B U' R D'
F2 D' R B U' R D2
F2 D' R B U' D R
F2 D' R B U' D' R
F2 D' R B U' D2 R
F2 D' R B D U' R
F2 D' R B D' U' R
F2 D' R B D2 U' R
F D' R B U' R B
R F' D2 F2 B R' U'
R F' D2 B R' F2 U'
R F' D2 B F2 R' U'
L' F' B2 R' D F' U
L' F' B2 R' D' F' U
L' F' B2 R' D2 F' U
L' F' B2 R' F' U D
L' F' B2 R' F' U D'
L' F' B2 R' F' U D2
L' F' B2 R' F' D U
L' F' B2 R' F' D' U
L' F' B2 R' F' D2 U
U2 F' B2 L F L' U
L' F' B2 D R' F' U
D2 F2 L R B L' U'
L' F' B2 D' R' F' U
L' F' B2 D2 R' F' U
R F' B R2 F' R U'
F' D' U' R2 B L B'
F' D' U' B L R2 B'
F' D' U' B L B' R2
F' D' U' B R2 L B'
L2 F2 L B2 R' F' U
F D' U' R B L R
F D' U' R B R L
D2 F2 L2 R B L2 U'
D2 F2 R L B L' U'
D2 F2 R L2 B L2 U'
R' F2 R U2 F B2 U
R' F2 R U2 B2 F U
D2 F2 R D B U' D
D2 F2 R D B U' D'
D2 F2 R D B U' D2
D2 F2 R D B D U'
D2 F2 R D B D' U'
D2 F2 R D B D2 U'
D' F2 R D B U' R
D2 F2 R D' B U' D
D2 F2 R D' B U' D'
D2 F2 R D' B U' D2
D2 F2 R D' B D U'
D2 F2 R D' B D' U'
D2 F2 R D' B D2 U'
D' F2 R D' B U' R
D2 F2 R D2 B U' D
D2 F2 R D2 B U' D'
D2 F2 R D2 B U' D2
D2 F2 R D2 B D U'
D2 F2 R D2 B D' U'
D2 F2 R D2 B D2 U'
D' F2 R D2 B U' R
F D' F R B U' R
D' F2 R B U' R D
D' F2 R B U' R D'
D' F2 R B U' R D2
D' F2 R B U' D R
D' F2 R B U' D' R
D' F2 R B U' D2 R
D' F2 R B D U' R
D' F2 R B D' U' R
D' F2 R B D2 U' R
D2 F2 R B' U' D L2
D2 F2 R B' D U' L2
D2 F2 R B2 D B' U'
D2 F2 R B2 D' B' U'
D2 F2 R B2 D2 B' U'
R2 F2 R U2 F' B2 U
R2 F2 R U2 B2 F' U
D2 F2 R' B R2 B U'
D2 F2 R' B' R2 B U'
L' F2 R' F' B2 R' U
D F2 R D F2 B U'
D F2 R D B F2 U'
D2 F2 R' B2 R2 B U'
D F2 R D2 B U' R2
L' F2 R' B2 F' R' U
D F2 R B U L2 U2
D F2 R B U' D2 R2
D F2 R B D F2 U'
D F2 R B D2 U' R2
F2 D' B R B U' R
L F2 R B2 L2 F U
R2 F2 R' B R2 F' U'
F2 D' B' R B U' R
F2 D' B2 R B U' R
D2 F2 D R D B U'
D2 F2 D R D' B U'
D2 F2 D R D2 B U'
D2 F2 D R B U' D
D2 F2 D R B U' D'
D2 F2 D R B U' D2
D2 F2 D R B D U'
D2 F2 D R B D' U'
D2 F2 D R B D2 U'
D2 F2 D B R B U'
D2 F2 D B' R B U'
D2 F2 D B2 R B U'
D2 F2 D' R D B U'
D2 F2 D' R D' B U'
D2 F2 D' R D2 B U'
D2 F2 D' R B U' D
D2 F2 D' R B U' D'
D2 F2 D' R B U' D2
D2 F2 D' R B D U'
D2 F2 D' R B D' U'
D2 F2 D' R B D2 U'
D' F2 D' R F2 B U'
D' F2 D' R B F2 U'
D F2 D R F2 B U'
D F2 D R B F2 U'
D2 F2 D' B R B U'
D2 F2 D' B' R B U'
D2 F2 D' B2 R B U'
D2 F2 D2 R D B U'
D2 F2 D2 R D' B U'
D2 F2 D2 R D2 B U'
D2 F2 D2 R B U' D
D2 F2 D2 R B U' D'
D2 F2 D2 R B U' D2
D2 F2 D2 R B D U'
D2 F2 D2 R B D' U'
D2 F2 D2 R B D2 U'
F2 D2 R D B U' R2
F' D2 R F2 B R' U'
F' D2 R B R' F2 U'
F' D2 R B F2 R' U'
D2 F2 D2 B R B U'
F2 D2 R F2 D B U'
D2 F2 D2 B' R B U'
F2 D2 R F2 D' B U'
F2 D2 R F2 D2 B U'
F2 D2 R F2 B U' D
F2 D2 R F2 B U' D'
F2 D2 R F2 B U' D2
F2 D2 R F2 B D U'
F2 D2 R F2 B D' U'
F2 D2 R F2 B D2 U'
F2 D2 R B U' D R2
F2 D2 R B D U' R2
D2 F2 D2 B2 R B U'
F2 D2 R B F2 U' D
F2 D2 R B F2 U' D'
F2 D2 R B F2 U' D2
F2 D2 R B F2 D U'
F2 D2 R B F2 D' U'
F2 D2 R B F2 D2 U'
D2 F2 B R D B U'
D2 F2 B R D' B U'
D2 F2 B R D2 B U'
D2 F2 B R B U' D
D2 F2 B R B U' D'
D2 F2 B R B U' D2
D2 F2 B R B D U'
D2 F2 B R B D' U'
D2 F2 B R B D2 U'
D' F2 B R B U' R
D2 F2 B D R B U'
D2 F2 B D' R B U'
D F2 D2 R B U' R
D2 F2 B D2 R B U'
D2 F2 B' R D B U'
D2 F2 B' R D' B U'
D2 F2 B' R D2 B U'
D2 F2 B' R B U' D
D2 F2 B' R B U' D'
D2 F2 B' R B U' D2
D2 F2 B' R B D U'
D2 F2 B' R B D' U'
D2 F2 B' R B D2 U'
D' F2 B' R B U' R
R F2 D' B R U' R
D2 F2 B' D R B U'
D2 F2 B' D' R B U'
D2 F2 B' D2 R B U'
F2 D2 R2 F2 R' B U'
D2 F2 B2 R D B U'
D2 F2 B2 R D' B U'
D2 F2 B2 R D2 B U'
D2 F2 B2 R B U' D
D2 F2 B2 R B U' D'
D2 F2 B2 R B U' D2
D2 F2 B2 R B D U'
D2 F2 B2 R B D' U'
D2 F2 B2 R B D2 U'
D' F2 B2 R B U' R
L' F2 B2 R' D F' U
L' F2 B2 R' D' F' U
L' F2 B2 R' D2 F' U
L' F2 B2 R' F' U D
L' F2 B2 R' F' U D'
L' F2 B2 R' F' U D2
L' F2 B2 R' F' D U
L' F2 B2 R' F' D' U
L' F2 B2 R' F' D2 U
R F2 D2 B R F2 U'
D2 F2 B2 D R B U'
D2 F2 B2 D' R B U'
D2 F2 B2 D2 R B U'
U' B L U' L2 B U
L' F2 B2 D R' F' U
U' B L U' B L2 U
L' F2 B2 D' R' F' U
L' F2 B2 D2 R' F' U
R F2 B R2 F' R' U'
U2 F2 B2 U2 R B U'
U' B L B' D' R2 B2
U' B L B' D' B2 R2
U2 B L F L2 B U
U2 B L F B L2 U
U2 B L B F L2 U
U2 B L' B U D L2
U2 B L' B U2 B2 U'
U2 B L' B D U L2
U2 B L' B D2 F2 U
F D2 F R F B U'
F D2 F R B F U'
D2 B R F2 B R U'
D2 B R B F2 R U'
F' D2 F2 R B R' U'
F2 D2 B R F2 B U'
F2 D2 B R B F2 U'
R B R F2 R F' U'
F2 D2 B' R F2 B U'
F2 D2 B' R B F2 U'
U' B U' L' B U L2
R B R' U2 L' B' U
F2 D2 B2 R F2 B U'
F2 D2 B2 R B F2 U'
R' B U2 L' F' B U
R' B U2 L' B F' U
R B R2 F2 R F U'
R' B U2 B L' F' U
R B U2 L B L2 U
R B U2 L' D B U
R B U2 L' D' B U
R B U2 L' D2 B U
R B U2 L' B U D
R B U2 L' B U D'
R B U2 L' B U D2
R B U2 L' B D U
R B U2 L' B D' U
R B U2 L' B D2 U
D' B D' F2 R B U'
R B U2 D L' B U
R B U2 D B L' U
R B U2 D' L' B U
R B U2 D' B L' U
R B U2 D2 L' B U
R B U2 D2 B L' U
D B D F2 R B U'
R B U2 B L' U D
R B U2 B L' U D'
R B U2 B L' U D2
R B U2 B L' D U
R B U2 B L' D' U
R B U2 B L' D2 U
R B U2 B D L' U
R B U2 B D' L' U
R B U2 B D2 L' U
R B U2 B' L' B2 U
F2 B R D B U' R'
R B D U2 L' B U
R B D U2 B L' U
R B D' U2 L' B U
R B D' U2 B L' U
F2 B R2 F' R' B U'
D2 B F2 R D B U'
D2 B F2 R D' B U'
D2 B F2 R D2 B U'
D2 B F2 R B U' D
D2 B F2 R B U' D'
D2 B F2 R B U' D2
D2 B F2 R B D U'
D2 B F2 R B D' U'
D2 B F2 R B D2 U'
D' B F2 R B U' R
R B D2 U2 L' B U
R B D2 U2 B L' U
D2 B F2 D R B U'
D2 B F2 D' R B U'
D2 B F2 D2 R B U'
R B F U2 B L U
R B F' R2 F' R U'
R B F2 R2 F' R' U'
B F U2 B L F U
D2 B' R F2 B R U'
F B U2 B L F U
D2 B' R B F2 R U'
L' B' R' F' B' R' U
L' B' R' B' F' R' U
R' B' U2 B' L' F' U
F2 B' R B U' D' R2
F2 B' R B U2 B2 U
F2 B' R B D' U' R2
F2 B' R B D2 F2 U'
L' B' D B' R' F' U
D' B' D' F2 R B U'
L' B' D' B' R' F' U
D B' D F2 R B U'
L' B' D2 B' R' F' U
D2 B' F2 R D B U'
D2 B' F2 R D' B U'
D2 B' F2 R D2 B U'
D2 B' F2 R B U' D
D2 B' F2 R B U' D'
D2 B' F2 R B U' D2
D2 B' F2 R B D U'
D2 B' F2 R B D' U'
D2 B' F2 R B D2 U'
D' B' F2 R B U' R
D2 B' F2 D R B U'
D2 B' F2 D' R B U'
D2 B' F2 D2 R B U'
L' B2 L' R' F' L U
U2 B2 L D' F U B2
U2 B2 L F L2 U D
U2 B2 L F L2 U D'
U2 B2 L F L2 U D2
U2 B2 L F L2 D U
U2 B2 L F L2 D' U
U2 B2 L F L2 D2 U
U2 B2 L F U D' B2
U2 B2 L F D' U B2
U2 B2 L F' L2 F2 U
R' B2 L' F' U2 L U'
U2 B2 L F2 L2 F' U
U2 B2 L' U2 D B' U'
U2 B2 L' U2 D' B' U'
U2 B2 L' U2 D2 B' U'
U2 B2 L' U2 B' U' D
U2 B2 L' U2 B' U' D'
U2 B2 L' U2 B' U' D2
U2 B2 L' U2 B' D U'
U2 B2 L' U2 B' D' U'
U2 B2 L' U2 B' D2 U'
L' B2 L2 R' F' L2 U
U2 B2 L' D U2 B' U'
U2 B2 L' D' U2 B' U'
U2 B2 L' D2 U2 B' U'
U2 B2 L' F U2 B' U'
U2 B2 L' F' U2 B' U'
U2 B2 L' F2 U2 B' U'
D2 B2 R F2 B R U'
D2 B2 R B F2 R U'
L' B2 R F R2 F' U
L' B2 R F' R2 F' U
L' B2 R F2 R2 F' U
R B2 L' U2 L B' U'
L' B2 R' L' F' L U
L' B2 R' L2 F' L2 U
L' B2 R' D F' U D
L' B2 R' D F' U D'
L' B2 R' D F' U D2
L' B2 R' D F' D U
L' B2 R' D F' D' U
L' B2 R' D F' D2 U
L' B2 R' D' F' U D
L' B2 R' D' F' U D'
L' B2 R' D' F' U D2
L' B2 R' D' F' D U
L' B2 R' D' F' D' U
L' B2 R' D' F' D2 U
L' B2 R' D2 F' U D
L' B2 R' D2 F' U D'
L' B2 R' D2 F' U D2
L' B2 R' D2 F' D U
