R2 L U' D' F L'
R2 L D' U' F L'
L R B R U' F
R L B R U' F
L R2 U' D' F L'
L R2 D' U' F L'
R2 D' L U' F L'
R2 D2 L B' U' F
R B L R U' F
R B R L U' F
B' L R B R U' F
B2 L R B R U' F
B L R B R U' F
D L R B U' F B
D L R B U' B F
R2 L U' D' F L' D
R2 L U' D' F L' D'
R2 L U' D' F L' D2
R2 L U' D' F D L'
R2 L U' D' F D' L'
R2 L U' D' F D2 L'
B' L R2 U' D' F L'
B2 L R2 U' D' F L'
B L R2 U' D' F L'
B' L R2 D' U' F L'
B2 L R2 D' U' F L'
B L R2 D' U' F L'
R2 L U2 R F' U F2
L R D B R U' F
R2 L D B' U' F L
R L D B R U' F
D L U' F B L B
D L U' B F L B
R2 L D' U' F L' D
R2 L D' U' F L' D'
R2 L D' U' F L' D2
R2 L D' U' F D L'
R2 L D' U' F D' L'
R2 L D' U' F D2 L'
D L U' B2 D2 F L'
L R D' B R U' F
R2 L D' B U' F L'
R2 L D' B' U' F L'
R2 L D' B2 U' F L'
R L D' B R U' F
L R D2 B R U' F
L2 R D2 B R U' F'
R L D2 B R U' F
L' R B R U B2 U2
L' R B R U' D2 F2
L' R B R D L2 U'
L' R B R D2 U' F2
L2 R B L' R U' F
L2 R B R L' U' F
L R B R U' D F
L R B R U' D' F
L R B R U' D2 F
L R B R U' F D
L R B R U' F D'
L R B R U' F D2
L R B R D U' F
L R B R D' U' F
L R B R D2 U' F
R L B R U' D F
R L B R U' D' F
R L B R U' D2 F
R L B R U' F D
R L B R U' F D'
R L B R U' F D2
R L B R D U' F
R L B R D' U' F
R L B R D2 U' F
L' R B D L2 R U'
L' R B D R L2 U'
R2 L B U' D' F L'
L' R B D2 R U' F2
L R B D R U' F
L R B D' R U' F
R L B D R U' F
R2 L B D' U' F L'
L R B D2 R U' F
L2 R B D2 R U' F'
R L B D' R U' F
R L B D2 R U' F
L R B' R B2 U' F
R L B' R B2 U' F
R2 L B' U' D' F L'
R2 L B' D' U' F L'
L R B2 R B' U' F
R L B2 R B' U' F
R2 L B2 U' D' F L'
R2 L B2 D' U' F L'
D L B U' F B L
D L B U' B F L
R2 L' U D B' U2 L
R2 L' U' L2 D' F L'
R2 L' U' D' L2 F L'
R2 L' D U B' U2 L
R2 L' D' L2 U' F L'
R2 L' D' U' L2 F L'
R L' B R U B2 U2
R L' B R U' D2 F2
R L' B R D L2 U'
R L' B R D2 U' F2
R L' B D L2 R U'
R L' B D R L2 U'
R L' B D2 R U' F2
L' R2 U D B' U2 L
L' R2 U' L2 D' F L'
L2 R2 U' L' D' F L'
R2 L2 U' L' D' F L'
L' R2 U' D' L2 F L'
