U' R' F B' U' R
U2 R' F' B' U' F
U' R' B' F U' R
U2 R' B' F' U' F
U' F R' B' U' R2
R' B' U B L U2
L2 U F B2 L B' U
U2 R U R2 F' B' U'
U2 R U R2 B' F' U'
L2 U B2 F L B' U
U' R F B' R2 U' R'
R2 U' R F B' U' R
R2 U' R B' F U' R
L U' R' F U R U2
U' R B' R2 F U' R
U' R B' F R2 U' R'
R U' R2 F B' U' R
R U' R2 B' F U' R
R' U' F B' U' B R
L U' F R' U R2 U2
L U' F R' U' D2 L2
L U' F R' D B2 U'
L U' F R' D2 U' L2
R U' F B' R2 U' R'
R' U' B' F U' B R
R2 U' B' R F U' R
U' R' D F B' U' R
R U' B' R2 F U' R
U' R' D B' F U' R
U2 R' D F' B' U' F
R U' B' F R2 U' R'
U2 R' D B' F' U' F
U' R' D' F B' U' R
U' R' D' B' F U' R
U2 R' D' F' B' U' F
U2 R' D' B' F' U' F
U' R' D2 F B' U' R
U' R' D2 B' F U' R
U2 R' D2 F' B' U' F
U2 R' D2 B' F' U' F
U' R' F D B' U' R
U' R' F D' B' U' R
U' R' F D2 B' U' R
U' R' F B' U' R D
U' R' F B' U' R D'
U' R' F B' U' R D2
U' R' F B' U' D R
U' R' F B' U' D' R
U' R' F B' U' D2 R
U' R' F B' D U' R
U' R' F B' D' U' R
U' R' F B' D2 U' R
U' R' F' B' U L' U2
U2 R' F' D B' U' F
U2 R' F' D' B' U' F
U2 R' F' D2 B' U' F
U2 R' F' B' U' D F
U2 R' F' B' U' D' F
U2 R' F' B' U' D2 F
U2 R' F' B' U' F D
U2 R' F' B' U' F D'
U2 R' F' B' U' F D2
U2 R' F' B' D U' F
U2 R' F' B' D' U' F
U2 R' F' B' D2 U' F
U R' F' B' U' R' F'
U R' F2 B' L' U' R'
D2 R' B' U B L U2
D' R' B' U B L U2
U2 R' B' L F' U' F
F' R' B' U B L U2
U2 R' B' L' F' U' F
U2 R' B' L2 F' U' F
U' R' B' U2 B' U R'
U' R' B' D F U' R
U' R' B' D' F U' R
F2 R' B' U B L U2
U' R' B' D2 F U' R
U' R' B' F U' R D
U' R' B' F U' R D'
U' R' B' F U' R D2
U' R' B' F U' D R
U' R' B' F U' D' R
U' R' B' F U' D2 R
U' R' B' F D U' R
U' R' B' F D' U' R
U' R' B' F D2 U' R
U' R' B' F' U L' U2
U2 R' B' D F' U' F
D R' B' U B L U2
U2 R' B' D' F' U' F
U2 R' B' D2 F' U' F
U2 R' B' F' U' D F
U2 R' B' F' U' D' F
U2 R' B' F' U' D2 F
U2 R' B' F' U' F D
U2 R' B' F' U' F D'
U2 R' B' F' U' F D2
U2 R' B' F' D U' F
U2 R' B' F' D' U' F
U2 R' B' F' D2 U' F
F R' B' U B L U2
U R' B' U' R' D' F2
U R' B' U2 R U R2
U R' B' F' U' R' F'
U R' B' F2 L' U' R'
U2 R2 U R F' B' U'
U2 R2 U R B' F' U'
U2 R2 U B' R F' U'
U' R2 B' R F U' R
U2 R2 B' R F' U' F
U' D R' F B' U' R
U' D R' B' F U' R
U2 D R' F' B' U' F
R' D B' U B L U2
U2 D R' B' F' U' F
U' D F R' B' U' R2
B' U D B L U2 B'
B' U B L U' R' U'
U' D' R' F B' U' R
D' U' R' F B' U' R
D2 U' R' F B' U' R
U' D' R' B' F U' R
D' U' R' B' F U' R
D2 U' R' B' F U' R
U2 D' R' F' B' U' F
U2 D' R' B' F' U' F
D U' R' F B' U' R
D U' R' B' F U' R
D' U' F R' B' U' R2
U' D' F R' B' U' R2
D2 U' F R' B' U' R2
F' U' R' F B' U' R
D U' F R' B' U' R2
F' U' R' B' F U' R
F2 U' R' F B' U' R
R' D' B' U B L U2
F2 U' R' B' F U' R
F U' R' F B' U' R
F U' R' B' F U' R
F' U' F R' B' U' R2
F2 U' F R' B' U' R2
F U' F R' B' U' R2
U' D2 R' F B' U' R
D' U2 R' F' B' U' F
D2 U2 R' F' B' U' F
U' D2 R' B' F U' R
D' U2 R' B' F' U' F
D2 U2 R' B' F' U' F
U2 D2 R' F' B' U' F
U2 D2 R' B' F' U' F
D U2 R' F' B' U' F
D U2 R' B' F' U' F
U' D2 F R' B' U' R2
F' U2 R' F' B' U' F
F' U2 R' B' F' U' F
F2 U2 R' F' B' U' F
R' D2 B' U B L U2
F2 U2 R' B' F' U' F
F U2 R' F' B' U' F
F U2 R' B' F' U' F
U' F R B' R2 U' R2
U' F R' D' F2 B' U'
U' F R' D' B' F2 U'
U' F R' F B' U' R2
U' F R' F' B' U' R2
U' F R' F2 B' U' R2
U' F R' B' U' R2 D
U' F R' B' U' R2 D'
U' F R' B' U' R2 D2
U' F R' B' D' F2 U'
U' F R' B' F U' R2
U' F R' B' F' U' R2
U' F R' B' F2 U' R2
U' F D R' B' U' R2
U' F D' R' B' U' R2
U' F D2 R' B' U' R2
R' F B' U B L U2
B' D U B L U2 B'
U' F' R' F2 B' U' R
U' F' R' B' U L' U2
U' F' R' B' F2 U' R
U2 F' R' F' B' U' F2
U2 F' R' B' F' U' F2
R' F' B' U B L U2
U' F2 R' F' B' U' R
U' F2 R' B' F' U' R
U2 F2 R' F' B' U' F'
U2 F2 R' B' F' U' F'
L F2 U' F' R' U' L'
R' F2 B' U B L U2
R' B U' D L2 F R
R' B D U' L2 F R
R' B' L F U B U2
R B' L R2 F U' F2
R B' L F R2 U' F'
R2 B' R U' F R F'
R' B' U L B L U2
R' B' U L' B L U2
R' B' U L2 B L U2
R' B' U D B L U2
R' B' U D' B L U2
R' B' U D2 B L U2
R' B' U B L U2 D
R' B' U B L U2 D'
R' B' U B L U2 D2
R' B' U B L D U2
R' B' U B L D' U2
R' B' U B L D2 U2
R' B' U B D L U2
R' B' U B D' L U2
R' B' U B D2 L U2
R' B' U' R F R F'
R' B' U' R2 F R F2
R' B' U' F R2 F' R'
R' B' U' F2 R2 F' R
R B' R2 L F U' F2
R B' R2 U' F R F2
R B' R2 F2 U' F R
U' B' U2 B' L U R'
R' B' D U B L U2
R' B' D' U B L U2
R' B' D2 U B L U2
R' B' F U B L U2
R' B' F' U B L U2
R' B' F2 U B L U2
U B2 L U2 B U' R'
