U2 L R2 F B U2
U2 L R2 B F U2
R' L F' R' B U2
U2 L F R2 U2 F2
L R' F' R' B U2
D2 L2 F2 R F B
D2 L2 F2 R B F
U2 R2 L F B U2
U2 R2 L B F U2
B R2 B U2 R' B
R2 D2 L B U2 B2
F' U2 L R2 F U2
F' U2 L F R2 U2
F' U2 R2 L F U2
D2 F L2 F2 R B
R' F' L R' B U2
R' F' R' L B U2
B D2 L2 F' R B
B D2 F' L2 R B
B D2 F' R L2 B
B D2 F' R B L2
R2 B U2 R' B R'
R2 B U2 B R' B
D2 L R U2 L F B
D2 L R U2 L B F
F L R U2 F2 L' B
F L R U2 F2 B L'
F L R U2 B F2 L'
U2 L R' F R' B U2
F' L R' F' R' U2 F
U2 L R2 D F B U2
U2 L R2 D B F U2
U2 L R2 D' F B U2
U2 L R2 D' B F U2
U2 L R2 D2 F B U2
U2 L R2 D2 B F U2
U2 L R2 F D B U2
U2 L R2 F D' B U2
U2 L R2 F D2 B U2
U2 L R2 F B U2 D
U2 L R2 F B U2 D'
U2 L R2 F B U2 D2
U2 L R2 F B D U2
U2 L R2 F B D' U2
U2 L R2 F B D2 U2
U' L R2 B U L U
U2 L R2 B D F U2
U2 L R2 B D' F U2
U2 L R2 B D2 F U2
U2 L R2 B F U2 D
U2 L R2 B F U2 D'
U2 L R2 B F U2 D2
U2 L R2 B F D U2
U2 L R2 B F D' U2
U2 L R2 B F D2 U2
B L R2 B U2 R' B
R2 L D B U' R' U'
D2 L U2 L F' D2 B2
D2 L U2 L' F' B' L2
D2 L U2 L' B' L2 F'
D2 L U2 L' B' F' L2
U2 L U2 D2 L2 F' B'
U2 L U2 D2 L2 B' F'
D2 L U2 F' L' B' L2
U2 L U2 F' D2 L2 B2
U2 L U2 F' D2 B2 L2
R' L F R' F2 B U2
R' L F R' B F2 U2
R' L F' R' D B U2
R' L F' R' D' B U2
R' L F' R' D2 B U2
R' L F' R' B U2 D
R' L F' R' B U2 D'
R' L F' R' B U2 D2
R' L F' R' B D U2
R' L F' R' B D' U2
R' L F' R' B D2 U2
L R F' U2 B L F
R L F' U2 B L F
B L D2 L2 F' R B
U2 L D2 U2 L2 F' B'
U2 L D2 U2 L2 B' F'
U2 L D2 F U2 L2 F2
R' L F2 R' F B U2
U2 L D2 F U2 F2 L2
R' L F2 R' B F U2
B L D2 F' L2 R B
B L D2 F' R L2 B
B L D2 F' R B L2
D2 L F L F2 R B
U2 L F R U2 F2 L'
U2 L F R2 U2 F2 D
U2 L F R2 U2 F2 D'
U2 L F R2 U2 F2 D2
U2 L F R2 D2 B2 U2
U2 L F R2 B U2 F2
U2 L F R2 B' U2 F2
U2 L F R2 B2 U2 F2
U2 L F U2 F2 D2 L2
R2 L B R F' R' U2
L R B R B U2 B'
U2 L F D2 B2 U2 L2
R L B R B U2 B'
U2 L F B R2 U2 F2
U2 L F B' R2 U2 F2
U2 L F B2 R2 U2 F2
R2 L B U' R' U' B
R2 L B U2 R' B R
U2 L F' R2 F2 U2 F2
L R B' R B U2 B
R L B' R B U2 B
U2 L F2 R2 U2 F B
U2 L F2 R2 U2 B F
L R B2 R B U2 B2
R L B2 R B U2 B2
U2 L B R2 F B U2
U2 L B R2 B F U2
U2 L B F R2 U2 F2
U2 L B' R2 F B U2
U2 L B' R2 B F U2
D2 L B' U2 F' L' B'
U2 L B' F R2 U2 F2
U2 L B2 R2 F B U2
U2 L B2 R2 B F U2
U2 L B2 F R2 U2 F2
U2 L' R2 B L2 U2 B2
B L' R2 B U2 R' B
L R' F R' F2 B U2
L R' F R' B F2 U2
R' L' F' L2 R' B U2
L' R' F' L2 R' B U2
R' L' F' R' L2 B U2
R' L' F' R' B L2 U2
L' R' F' R' L2 B U2
L' R' F' R' B L2 U2
L R' F' R' D B U2
L R' F' R' D' B U2
L R' F' R' D2 B U2
L R' F' R' B U2 D
L R' F' R' B U2 D'
L R' F' R' B U2 D2
L R' F' R' B D U2
L R' F' R' B D' U2
L R' F' R' B D2 U2
L R' F2 R' F B U2
L R' F2 R' B F U2
F' L' D2 L2 R B R
F' L' D2 R L2 B R
F' L' D2 R B L2 R
F' L' D2 R B R L2
B L' D2 L2 F' R B
U2 L' D2 F' R2 B' L2
U2 L' D2 F' B' L2 R2
U2 L' D2 F' B' R2 L2
B L' D2 F' L2 R B
B L' D2 F' R L2 B
B L' D2 F' R B L2
U2 L' D2 B' L2 F' R2
U2 L' D2 B' F' L2 R2
U2 L' D2 B' F' R2 L2
U2 L' F' D2 R2 B' L2
U2 L' F' D2 B' L2 R2
U2 L' F' D2 B' R2 L2
U2 L' F' B' D2 L2 R2
U2 L' F' B' D2 R2 L2
U2 L' B' D2 L2 F' R2
U2 L' B' D2 F' L2 R2
U2 L' B' D2 F' R2 L2
L R2 D B U' R' U'
U2 L' B' F' D2 L2 R2
U2 L' B' F' D2 R2 L2
L2 R2 D2 L' F B U2
L2 R2 D2 L' B F U2
R2 L2 D2 L' F B U2
R2 L2 D2 L' B F U2
L2 R2 D2 B L' F U2
F L2 R F2 L' B R
R2 L2 D2 B L' F U2
F L2 R F2 B L' R
F L2 R F2 B R L'
F L2 R B F2 L' R
F L2 R B F2 R L'
U2 L2 R2 B L' F U2
B L2 R2 B U2 R' B
D2 L2 U2 L' U2 F' B'
D2 L2 U2 L' U2 B' F'
F' L2 U2 L' R2 U2 B'
L R2 B R F' R' U2
F' L2 U2 R2 L' U2 B'
L R2 B U' R' U' B
L R2 B U2 R' B R
L2 R2 B D2 L' F U2
R2 L2 B D2 L' F U2
D2 L2 D F2 R F B
D2 L2 D F2 R B F
D2 L2 D' F2 R F B
D2 L2 D' F2 R B F
R' U L F' R' B U2
B L2 D2 L2 F' R B
D2 L2 D2 F2 R F B
D2 L2 D2 F2 R B F
B L2 D2 F' L2 R B
B L2 D2 F' R L2 B
B L2 D2 F' R B L2
D2 L2 F' R D2 B R'
D2 L2 F' D2 R B R'
D2 L2 F2 R D F B
D2 L2 F2 R D B F
D2 L2 F2 R D' F B
D2 L2 F2 R D' B F
D2 L2 F2 R D2 F B
D2 L2 F2 R D2 B F
D2 L2 F2 R F D B
D2 L2 F2 R F D' B
D2 L2 F2 R F D2 B
D2 L2 F2 R F B D
D2 L2 F2 R F B D'
D2 L2 F2 R F B D2
D2 L2 F2 R B D F
D2 L2 F2 R B D' F
D2 L2 F2 R B D2 F
D2 L2 F2 R B F D
D2 L2 F2 R B F D'
D2 L2 F2 R B F D2
F' L2 F2 R F2 L' B
F' L2 F2 R F2 B L'
F' L2 F2 R B F2 L'
D2 L2 F2 R2 F R' B
D2 L2 F2 D R F B
D2 L2 F2 D R B F
D2 L2 F2 D' R F B
D2 L2 F2 D' R B F
D2 L2 F2 D2 R F B
D2 L2 F2 D2 R B F
D2 L2 F2 B R F B
D2 L2 F2 B R B F
D2 L2 F2 B' R F B
D2 L2 F2 B' R B F
D2 L2 F2 B2 R F B
D2 L2 F2 B2 R B F
F L2 F2 D2 L2 R B
F L2 F2 D2 R L2 B
F L2 F2 D2 R B L2
D2 L2 B F2 R F B
D2 L2 B F2 R B F
D2 L2 B' F2 R F B
D2 L2 B' F2 R B F
D2 L2 B2 F2 R F B
D2 L2 B2 F2 R B F
D2 R L U2 L F B
D2 R L U2 L B F
F R L U2 F2 L' B
F R L U2 F2 B L'
F R L U2 B F2 L'
R' U F' L R' B U2
R' U F' R' L B U2
F R L2 F2 L' B R
F R L2 F2 B L' R
F R L2 F2 B R L'
F R L2 B F2 L' R
F R L2 B F2 R L'
R' U' L F' R' B U2
B R F' B R' F' L'
B R F2 L' B R' F'
F R F2 L' D2 B R2
F R F2 L' B D2 R2
B R F2 B L' R' F'
B R F2 B R' L' F'
F R F2 B2 R' B' L'
B R B R' D2 L2 F'
B R B R' D2 F' L2
B R B R' F' D2 L2
B R B F' R' F' L'
B R B F2 L' R' F'
B R B F2 R' L' F'
D2 R B2 R' F' B' L2
D2 R B2 R' B' L2 F'
D2 R B2 R' B' F' L2
F' R B2 R' D2 B' L2
F' R B2 R' B' D2 L2
F' R' L F' R' U2 F
F R B2 F2 R' B' L'
U2 R' L F R' B U2
R' U' F' L R' B U2
R' U' F' R' L B U2
F' R' U2 L F' R' U2
F' R' U2 F' L R' U2
F' R' U2 F' R' L U2
B2 R' U2 F' R' B U2
R' U2 L F' R' B U2
L U2 L D2 L2 F' B'
L U2 L D2 L2 B' F'
L2 U2 L' R2 B U2 B2
L U2 L F' D2 L2 B2
L U2 L F' D2 B2 L2
L U2 L' D2 F' B' L2
L U2 L' D2 B' L2 F'
L U2 L' D2 B' F' L2
L U2 L' F' D2 B' L2
L U2 L' F' B' D2 L2
F2 R' F D2 B2 L R'
F2 R' F D2 B2 R' L
L U2 L' B' D2 L2 F'
L U2 L' B' D2 F' L2
L U2 L' B' F' D2 L2
B' R' F' R' B L U2
F2 R' F' L R' U2 F2
B2 R' F' R' B U2 R
F2 R' F' R' L U2 F2
B R' F' R' B U2 R'
F' R' B R2 B L R'
F' R' B R2 B R' L
L2 U2 R2 L' B U2 B2
R2 U2 R' B2 R' F' B'
R2 U2 R' B2 R' B' F'
L2 U2 R2 B L' U2 B'
F' R' B2 L R2 B R
F' R' B2 R' D2 L B'
F' R' B2 R2 L B R
U2 R2 L D F B U2
U2 R2 L D B F U2
U' R2 L B U L U
U2 R2 L D' F B U2
U2 R2 L D' B F U2
U2 R2 L D2 F B U2
U2 R2 L D2 B F U2
U2 R2 L F D B U2
U2 R2 L F D' B U2
U2 R2 L F D2 B U2
U2 R2 L F B U2 D
U2 R2 L F B U2 D'
U2 R2 L F B U2 D2
U2 R2 L F B D U2
U2 R2 L F B D' U2
U2 R2 L F B D2 U2
U2 R2 L B D F U2
U2 R2 L B D' F U2
U2 R2 L B D2 F U2
U2 R2 L B F U2 D
U2 R2 L B F U2 D'
U2 R2 L B F U2 D2
U2 R2 L B F D U2
U2 R2 L B F D' U2
U2 R2 L B F D2 U2
L U2 D2 L' B' L' F'
B R2 L B U2 R' B
L U2 D2 F' L' B' L'
R' U2 F' L R' B U2
U2 R2 L' B L2 U2 B2
R' U2 F' R' L B U2
B R2 L' B U2 R' B
U2 R2 L2 B L' F U2
B R2 L2 B U2 R' B
L U2 F' L D2 L2 B'
L U2 F' L' D2 B' L2
L U2 F' L' B' D2 L2
L U2 F' D2 L' B' L'
F2 R2 U2 F B2 R' B
B R2 U2 R' B R' F'
F2 R2 U2 B2 R' F B
F2 R2 U2 B2 R' B F
F2 R2 U2 B2 F R' B
U2 R2 D L F B U2
U2 R2 D L B F U2
F R2 U2 F2 B2 R' B
F R2 U2 B2 R' F2 B
F R2 U2 B2 R' B F2
F R2 U2 B2 F2 R' B
U2 R2 D' L F B U2
R2 U2 B2 R' B D2 F2
U2 R2 D' L B F U2
U2 R2 D2 L F B U2
U2 R2 D2 L B F U2
B' R2 D2 B L U2 B'
R2 D L B U' R' U'
F R2 D2 L B2 U2 B
U2 R2 F L F B U2
U2 R2 F L B F U2
U2 R2 F' L F B U2
U2 R2 F' L B F U2
B R2 F B U2 R' B
U2 R2 F2 L F B U2
U2 R2 F2 L B F U2
B R2 F' B U2 R' B
B R2 F2 B U2 R' B
B' R2 B U2 B2 R' B
B' R2 B D2 L U2 B'
B R2 B L U2 R' B
B2 R2 B U2 R' B R2
B R2 B L' U2 R' B
B R2 B L2 U2 R' B
U2 R2 B U2 R B R'
B R2 B U2 R' D B
B R2 B U2 R' D' B
B R2 B U2 R' D2 B
B R2 B U2 R' B D
B R2 B U2 R' B D'
B R2 B U2 R' B D2
B R2 B F U2 R' B
B R2 B F' U2 R' B
B R2 B F2 U2 R' B
D2 R2 B2 L2 R' F B
D2 R2 B2 L2 R' B F
D2 R2 B2 L2 F R' B
D2 R2 B2 R' L2 F B
D2 R2 B2 R' L2 B F
F2 R2 B2 U2 R' F B
F2 R2 B2 U2 R' B F
F2 R2 B2 U2 F R' B
F R2 B2 R' F2 L' B
F R2 B2 R' F2 B L'
F R2 B2 R' B F2 L'
F R2 B2 U2 R' F2 B
F R2 B2 U2 R' B F2
F R2 B2 U2 F2 R' B
R' D2 L F' R' B' U2
R2 D2 L U2 B' D2 F2
R2 D2 L D B U2 B2
R2 D2 L D' B U2 B2
R2 D2 L D2 B U2 B2
R2 D2 L F B U2 B2
R2 D2 L F' B U2 B2
R2 D2 L F2 B U2 B2
R2 D2 L B U2 B2 D
R2 D2 L B U2 B2 D'
R2 D2 L B U2 B2 D2
R2 D2 L B D2 F2 U2
R2 D2 L B F U2 B2
R2 D2 L B F' U2 B2
R2 D2 L B F2 U2 B2
L2 D2 L' U2 L' F' B'
L2 D2 L' U2 L' B' F'
R2 D2 L' F L2 B U2
R2 D2 L' F B L2 U2
R2 D2 L' B L2 U2 B'
R2 D2 L' B F L2 U2
L' D2 L2 F' R B R
D2 U2 L F U2 L F2
D2 U2 L F U2 F2 L
R2 D2 L2 B L' U2 B'
U2 D2 L F U2 L F2
U2 D2 L F U2 F2 L
F' U2 L R' F R' U2
F' U2 L R2 D F U2
F' U2 L R2 D' F U2
F' U2 L R2 D2 F U2
F' U2 L R2 F U2 D
F' U2 L R2 F U2 D'
F' U2 L R2 F U2 D2
F' U2 L R2 F D U2
F' U2 L R2 F D' U2
F' U2 L R2 F D2 U2
F' U2 L U2 D2 L2 B'
F' U2 L D2 U2 L2 B'
F' U2 L D2 F U2 L2
F' U2 L F R2 U2 D
F' U2 L F R2 U2 D'
F' U2 L F R2 U2 D2
F' U2 L F R2 D U2
F' U2 L F R2 D' U2
F' U2 L F R2 D2 U2
F' U2 L F U2 D2 L2
F' U2 L F D2 U2 L2
F' U2 L F' R2 F2 U2
F' U2 L F2 R2 U2 B
F U2 L R2 F U2 F
R' D2 F' L R' B' U2
L D2 U2 L' B' L' F'
R2 D2 F L B U2 B2
R' D2 F' R' L B' U2
F U2 L F R2 U2 F
L' D2 F' L2 R B R
L' D2 F' R L2 B R
L D2 U2 F' L' B' L'
L' D2 F' R B L2 R
L' D2 F' R B R L2
R2 D2 F' L B U2 B2
L2 D2 F2 R F L2 B
L2 D2 F2 R F B L2
L2 D2 F2 R B F L2
R2 D2 F2 L B U2 B2
F' U2 R' L F R' U2
F' U2 R2 L D F U2
F' U2 R2 L D' F U2
F' U2 R2 L D2 F U2
F' U2 R2 L F U2 D
F' U2 R2 L F U2 D'
F' U2 R2 L F U2 D2
F' U2 R2 L F D U2
F' U2 R2 L F D' U2
F' U2 R2 L F D2 U2
F' U2 R2 D L F U2
F' U2 R2 D' L F U2
F' U2 R2 D2 L F U2
F' U2 R2 F L F U2
F' U2 R2 F' L F U2
F' U2 R2 F2 L F U2
B2 U2 R2 B U2 R B
F U2 R2 L F U2 F
R' F L R' F2 B U2
R' F L R' B F2 U2
R' F L F2 R' B U2
U2 F L R2 F U2 F
F' U2 D2 L F U2 L
U2 F L F R2 U2 F
F' U2 F L R2 F U2
F' U2 F L F R2 U2
B' U2 F R F2 L' B'
D2 F L2 R F2 B R
D2 F L2 R B F2 R
F' U2 F R2 L F U2
F' U2 F' L R2 F U2
D2 F L2 F2 R D B
D2 F L2 F2 R D' B
D2 F L2 F2 R D2 B
D2 F L2 F2 R B D
D2 F L2 F2 R B D'
D2 F L2 F2 R B D2
D2 F L2 F2 D R B
F' U2 F' L F R2 U2
D2 F L2 F2 D' R B
D2 F L2 F2 D2 R B
D2 F L2 F2 B R B
D2 F L2 F2 B' R B
D2 F L2 F2 B2 R B
D2 F L2 B F2 R B
D2 F L2 B' F2 R B
D2 F L2 B2 F2 R B
F' U2 F' R2 L F U2
D2 F R L2 F2 B R
D2 F R L2 B F2 R
F' U2 F2 L R2 F U2
F' U2 F2 L F R2 U2
R' F R' L F2 B U2
R' F R' L B F2 U2
F' U2 F2 R2 L F U2
R' F R' F2 L B U2
L F R U2 F2 L' B
L F R U2 F2 B L'
L F R U2 B F2 L'
U2 F R2 L F U2 F
R2 F D2 L B U2 B2
R2 F B U2 R' B R'
R2 F B U2 B R' B
D2 F B2 R' F2 L2 B'
R' F' L R' D B U2
R' F' L R' D' B U2
R' F' L R' D2 B U2
R' F' L R' B U2 D
R' F' L R' B U2 D'
R' F' L R' B U2 D2
R' F' L R' B D U2
R' F' L R' B D' U2
R' F' L R' B D2 U2
U2 F' L R2 F U2 F'
R' F' L' R' B L2 U2
U2 F' L F R2 B U2
R' F' L2 R' B L' U2
U2 F' L' D2 R2 B' L2
D2 F' L2 U2 L' U2 B'
U2 F' L' D2 B' L2 R2
U2 F' L' D2 B' R2 L2
R F' L U2 B L F
