L2 R' F' R' B' U'
R' L2 F' R' B' U'
U' L2 R2 B' U' R'
U' L2 B' R2 U' R
U' R2 L2 B' U' R'
L2 D B' U' B' R'
D F U F R B2
D F U F B2 R
D F U B2 F R
L2 B' R' F' R' U'
U2 L R2 F L B' U'
F L U2 L R2 F U'
F L U2 L F R2 U'
F L U2 R2 L F U'
R' L F' L R' B' U'
R' L F' R' L B' U'
U2 L F L R2 B' U'
U2 L F L B' R2 U'
U2 L F R2 L B' U'
L2 R B' R U' D' R2
L2 R B' R U2 B2 U
L2 R B' R D' U' R2
L2 R B' R D2 F2 U'
L2 R B' D' R U' R
L2 R B' D2 R F2 U'
L2 R' D F' R' B' U'
L2 R' D' F' R' B' U'
R2 L' D2 L' F B' U'
R2 L' D2 L' B' F U'
L2 R' D2 F' R' B' U'
L2 R' F R' F2 B' U'
L2 R' F R' B' F2 U'
L R' F' L R' B' U'
L2 R' F' R B' R2 U'
L R' F' R' L B' U'
L2 R' F' R' D B' U'
L2 R' F' R' D' B' U'
L2 R' F' R' D2 B' U'
L2 R' F' R' B' U' D
L2 R' F' R' B' U' D'
L2 R' F' R' B' U' D2
L2 R' F' R' B' D U'
L2 R' F' R' B' D' U'
L2 R' F' R' B' D2 U'
L2 R' F' R2 B' R U'
L2 R' F' D R' B' U'
L2 R' F' D' R' B' U'
L2 R' F' D2 R' B' U'
L2 R' F2 R' F B' U'
L2 R' F2 R' B' F U'
L2 R' B' D2 F' R U'
R' L2 D F' R' B' U'
L2 R2 D B' U L U2
R2 L2 D B' U L U2
R' L2 D' F' R' B' U'
L2 R2 D' F' B' U' R
R2 L2 D' F' B' U' R
L' R2 D2 L' F B' U'
L' R2 D2 L' B' F U'
L2 R2 D' B' F' U' R
R2 L2 D' B' F' U' R
R' L2 D2 F' R' B' U'
U' L2 R B' R U' R2
R' L2 F R' F2 B' U'
R' L2 F R' B' F2 U'
B' L2 R' F' R' B' U'
F2 L2 R' F' R' B U'
B2 L2 R' F' R' B' U'
B L2 R' F' R' B' U'
U' L2 R2 D B' U' R'
U' L2 R2 D' B' U' R'
F2 L2 R2 D B U' R'
R' L2 F' R B' R2 U'
R' L2 F' R' D B' U'
R' L2 F' R' D' B' U'
U' L2 R2 D2 B' U' R'
R' L2 F' R' D2 B' U'
R' L2 F' R' B' U' D
R' L2 F' R' B' U' D'
R' L2 F' R' B' U' D2
R' L2 F' R' B' D U'
R' L2 F' R' B' D' U'
R' L2 F' R' B' D2 U'
