B R' D' L2 F
B D' L2 R' F
B D' L2 F R'
B D' R' L2 F
U F2 U B R'
U2 B R' D' L2
U2 B D' L2 R'
U2 B D' R' L2
U L F2 U B R'
U2 L B R' D' L2
U2 L B D' L2 R'
U2 L B D' R' L2
U L' F2 U B R'
U2 L' B R' D' L2
U2 L' B D' L2 R'
U2 L' B D' R' L2
B L2 R' D' F L2
B L2 D' R' F L2
B L2 D' F L2 R'
B L2 D' F R' L2
U L2 F2 U B R'
U2 L2 B R' D' L2
U2 L2 B D' L2 R'
U2 L2 B D' R' L2
L' U F2 U B R'
L2 U F2 U B R'
L U F2 U B R'
B R' L2 D' F L2
B R' D' L2 D F
B R' D' L2 D' F
B R' D' L2 D2 F
B R' D' L2 F D
B R' D' L2 F D'
B R' D' L2 F D2
B R' D' F L2 F
B R' D' F' L2 F
B R' D' F2 L2 F
L' U2 B R' D' L2
L' U2 B D' L2 R'
L' U2 B D' R' L2
L2 U2 B R' D' L2
L U2 B R' D' L2
L2 U2 B D' L2 R'
L2 U2 B D' R' L2
L U2 B D' L2 R'
L U2 B D' R' L2
D R2 D F' U2 R
B R2 D' L2 R F
B R2 D' R L2 F
F' U F' U B R'
F U F U B R'
U2 D' L2 D B R'
D' U2 L2 D B R'
B D' L2 R F R2
B D' L2 R' D F
B D' L2 R' D' F
B D' L2 R' D2 F
B D' L2 R' F D
B D' L2 R' F D'
B D' L2 R' F D2
B D' L2 D R' F
B D' L2 D F R'
B D' L2 D' R' F
B D' L2 D' F R'
B D' L2 D2 R' F
B D' L2 D2 F R'
B D' L2 F R' D
B D' L2 F R' D'
B D' L2 F R' D2
B D' L2 F D R'
B D' L2 F D' R'
B D' L2 F D2 R'
B D' L2 F' R' F2
B D' R L2 F R2
B D' R' L2 D F
B D' R' L2 D' F
B D' R' L2 D2 F
B D' R' L2 F D
B D' R' L2 F D'
B D' R' L2 F D2
B D' R' F L2 F
B D' R' F' L2 F
B D' R' F2 L2 F
U F2 L U B R'
U F2 L' U B R'
B D' F L2 R' F
B D' F L2 F R'
B D' F R' L2 F
U F2 L2 U B R'
B D' F' L2 R' F
B D' F' L2 F R'
B D' F' R' L2 F
B D' F2 L2 R' F
B D' F2 L2 F R'
B D' F2 R' L2 F
U2 F2 U F2 B R'
U2 F2 U F2 B R'
U2 F2 U B R' F2
U2 F2 U B F2 R'
U F2 U B R' D
U F2 U B R' D'
U F2 U B R' D2
U F2 U B R' D2
U F2 U B D R'
U F2 U B D' R'
U F2 U B D2 R'
B D2 R' D L2 F
U2 B L R' D' L2
U2 B L D' L2 R'
U2 B L D' R' L2
U F2 B' U B2 R'
U2 B L' R' D' L2
L' B R' D' L2 F
U2 B L' D' L2 R'
U2 B L' D' R' L2
U2 B L2 R' D' L2
U2 B L2 D' L2 R'
U2 B L2 D' R' L2
U2 B R' L D' L2
U2 B R' L' D' L2
U2 B R' L2 D' L2
U2 B R' U' F2 U
U2 B R' D' L2 D
U2 B R' D' L2 D'
U2 B R' D' L2 D2
L2 B R' D' L2 F
L B R' D' L2 F
U2 B R2 D' L2 R
U2 B R2 D' R L2
L' B D' L2 R' F
L' B D' L2 F R'
L' B D' R' L2 F
U2 B U' F2 U R'
U2 B D' L2 R' D
U2 B D' L2 R' D'
U2 B D' L2 R' D2
U2 B D' L2 D R'
U2 B D' L2 D' R'
U2 B D' L2 D2 R'
L2 B D' L2 R' F
L2 B D' L2 F R'
U2 B D' R' L2 D
U2 B D' R' L2 D'
U2 B D' R' L2 D2
L2 B D' R' L2 F
L B D' L2 R' F
L B D' L2 F R'
L B D' R' L2 F
U2 B D2 R' D L2
U B' F2 U B2 R'
U2 B2 D' B' L2 R'
U2 B2 D' B' R' L2
B L R' D' L F L
D L R2 F' U B' U
F' L U F' U B R'
U L U B R' D' L2
U L U B D' L2 R'
U L U B D' R' L2
U2 L U' F2 U B R'
D' L U2 L D B R'
D' L U2 D L B R'
B' L U2 B2 D' L2 F
D' L D U2 L B R'
B L D' L R' F L
B L D' L F L R'
B L D' L F R' L
U2 L D' L2 D B R'
B L D' R' L F L
U L F2 L U B R'
U L F2 L' U B R'
U L F2 L2 U B R'
U2 L F2 U F2 B R'
U2 L F2 U B R' F2
U2 L F2 U B F2 R'
U L F2 U B R' D
U L F2 U B R' D'
U L F2 U B R' D2
U L F2 U B D R'
U L F2 U B D' R'
U L F2 U B D2 R'
U2 L B L R' D' L2
U2 L B L D' L2 R'
U2 L B L D' R' L2
U2 L B L' R' D' L2
U2 L B L' D' L2 R'
U2 L B L' D' R' L2
U2 L B L2 R' D' L2
U L F2 B' U B2 R'
U2 L B L2 D' L2 R'
U2 L B L2 D' R' L2
U2 L B R' L D' L2
U2 L B R' L' D' L2
U2 L B R' L2 D' L2
U2 L B R' U' F2 U
U2 L B R' D' L2 D
U2 L B R' D' L2 D'
U2 L B R' D' L2 D2
U2 L B R2 D' L2 R
U2 L B R2 D' R L2
B' L B U F2 U B
U2 L B U' F2 U R'
B' L B U2 D' L2 B
B' L B U2 D' B L2
B' L B U2 B D' L2
B' L B D R2 F' U2
U2 L B D' L2 R' D
U2 L B D' L2 R' D'
U2 L B D' L2 R' D2
U2 L B D' L2 D R'
U2 L B D' L2 D' R'
U2 L B D' L2 D2 R'
U2 L B D' R' L2 D
U2 L B D' R' L2 D'
U2 L B D' R' L2 D2
B' L B D' U2 L2 B
B' L B D' U2 B L2
U2 L B D2 R' D L2
U L B' F2 U B2 R'
U2 L B2 D' B' L2 R'
U2 L B2 D' B' R' L2
D L' R2 F' U' F2 U'
D L' R2 F' U2 D R2
D L' R2 F' D U2 R2
D L' R2 F' D' L2 U2
F' L' U F' U B R'
U L' U B R' D' L2
U L' U B D' L2 R'
U L' U B D' R' L2
U2 L' U' F2 U B R'
D' L' U2 L' D B R'
D' L' U2 D L' B R'
D' L' U2 D B L' R'
D' L' U2 D B R' L'
D' L' D U2 L' B R'
D' L' D U2 B L' R'
D' L' D U2 B R' L'
U2 L' D' L2 D B R'
U L' F2 L U B R'
U L' F2 L' U B R'
U2 L' F2 U F2 B R'
U2 L' F2 U B R' F2
U2 L' F2 U B F2 R'
U L' F2 L2 U B R'
U L' F2 U B R' D
U L' F2 U B R' D'
U L' F2 U B R' D2
U L' F2 U B D R'
U L' F2 U B D' R'
U L' F2 U B D2 R'
U2 L' B L R' D' L2
U2 L' B L D' L2 R'
U2 L' B L D' R' L2
U2 L' B L' R' D' L2
U2 L' B L' D' L2 R'
U2 L' B L' D' R' L2
U2 L' B L2 R' D' L2
U2 L' B L2 D' L2 R'
U2 L' B L2 D' R' L2
U L' F2 B' U B2 R'
U2 L' B R' L D' L2
U2 L' B R' L' D' L2
U2 L' B R' L2 D' L2
U2 L' B R' U' F2 U
U2 L' B R' D' L2 D
U2 L' B R' D' L2 D'
U2 L' B R' D' L2 D2
U2 L' B R2 D' L2 R
U2 L' B R2 D' R L2
U2 L' B U' F2 U R'
U2 L' B D' L2 R' D
U2 L' B D' L2 R' D'
U2 L' B D' L2 R' D2
U2 L' B D' L2 D R'
U2 L' B D' L2 D' R'
U2 L' B D' L2 D2 R'
U2 L' B D' R' L2 D
U2 L' B D' R' L2 D'
U2 L' B D' R' L2 D2
U2 L' B D2 R' D L2
U L' B' F2 U B2 R'
U2 L' B2 D' B' L2 R'
U2 L' B2 D' B' R' L2
B L2 R' U' F2 U F'
B L2 R' D F D2 L2
B L2 R' D' F L2 D
B L2 R' D' F L2 D'
B L2 R' D' F L2 D2
B L2 R' D' F' L2 F2
B L2 R' D' F2 L2 F'
B L2 R' D2 F D L2
B L2 R' F U' F U
B L2 R2 D' R F L2
F' L2 U F' U B R'
U L2 U B R' D' L2
U L2 U B D' L2 R'
U L2 U B D' R' L2
U2 L2 U' F2 U B R'
B L2 U' F2 U F' R'
F L2 U' B' U' B2 R'
F L2 U2 B R' D L2
F L2 U2 B D L2 R'
F L2 U2 B D R' L2
B L2 D F D2 L2 R'
B L2 D F D2 R' L2
U2 L2 D' L2 D B R'
B L2 D' R F L2 R2
B L2 D' R F R2 L2
B L2 D' R' F L2 D
B L2 D' R' F L2 D'
B L2 D' R' F L2 D2
B L2 D' R' F' L2 F2
B L2 D' R' F2 L2 F'
B L2 D' F L2 R' D
B L2 D' F L2 R' D'
B L2 D' F L2 R' D2
B L2 D' F L2 D R'
B L2 D' F L2 D' R'
B L2 D' F L2 D2 R'
B L2 D' F R' L2 D
B L2 D' F R' L2 D'
B L2 D' F R' L2 D2
B L2 D' F' L2 R' F2
B L2 D' F' L2 F2 R'
B L2 D' F' R' L2 F2
B L2 D' F' R' F2 L2
B L2 D' F2 L2 F' R'
L' U L F2 U B R'
L2 U L F2 U B R'
L U L F2 U B R'
B L2 D2 R' D F L2
B L2 D2 R' F D L2
B L2 D2 F R' D L2
B L2 D2 F D L2 R'
B L2 D2 F D R' L2
L' U L' F2 U B R'
L2 U L' F2 U B R'
B L2 F R' U' F U
L U L' F2 U B R'
B L2 F U' F U R'
L' U L2 F2 U B R'
L2 U L2 F2 U B R'
L U L2 F2 U B R'
U2 L2 F2 U F2 B R'
U2 L2 F2 U B R' F2
U2 L2 F2 U B F2 R'
U L2 F2 L U B R'
U L2 F2 L' U B R'
U L2 F2 L2 U B R'
U L2 F2 U B R' D
U L2 F2 U B R' D'
U L2 F2 U B R' D2
U L2 F2 U B D R'
U L2 F2 U B D' R'
U L2 F2 U B D2 R'
U2 L2 B L R' D' L2
U2 L2 B L D' L2 R'
U2 L2 B L D' R' L2
U2 L2 B L' R' D' L2
U2 L2 B L' D' L2 R'
U2 L2 B L' D' R' L2
U2 L2 B L2 R' D' L2
U2 L2 B L2 D' L2 R'
U2 L2 B L2 D' R' L2
U2 L2 B R' L D' L2
U2 L2 B R' L' D' L2
U2 L2 B R' L2 D' L2
U2 L2 B R' U' F2 U
U2 L2 B R' D' L2 D
U2 L2 B R' D' L2 D'
U2 L2 B R' D' L2 D2
U2 L2 B R2 D' L2 R
U2 L2 B R2 D' R L2
U L2 F2 B' U B2 R'
U2 L2 B U' F2 U R'
F L2 B R' D L2 F
U2 L2 B D' L2 R' D
U2 L2 B D' L2 R' D'
U2 L2 B D' L2 R' D2
U2 L2 B D' L2 D R'
U2 L2 B D' L2 D' R'
U2 L2 B D' L2 D2 R'
U2 L2 B D' R' L2 D
U2 L2 B D' R' L2 D'
U2 L2 B D' R' L2 D2
U2 L2 B D2 R' D L2
F L2 B D L2 R' F
F L2 B D L2 F R'
F L2 B D R' L2 F
U L2 B' F2 U B2 R'
U2 L2 B2 D' B' L2 R'
U2 L2 B2 D' B' R' L2
L' U F2 L U B R'
L' U F2 L' U B R'
L' U F2 L2 U B R'
L2 U F2 L U B R'
L2 U F2 L' U B R'
L' U F2 U B R' D
L' U F2 U B R' D'
L' U F2 U B R' D2
L' U F2 U B D R'
L' U F2 U B D' R'
L' U F2 U B D2 R'
L2 U F2 L2 U B R'
L U F2 L U B R'
L U F2 L' U B R'
L U F2 L2 U B R'
L2 U F2 U B R' D
L2 U F2 U B R' D'
L2 U F2 U B R' D2
L2 U F2 U B D R'
L2 U F2 U B D' R'
L2 U F2 U B D2 R'
L' U F2 B' U B2 R'
L U F2 U B R' D
L U F2 U B R' D'
L U F2 U B R' D2
L U F2 U B D R'
L U F2 U B D' R'
L U F2 U B D2 R'
R U F2 U R' B R'
R U F2 U B R' B
L2 U F2 B' U B2 R'
L U F2 B' U B2 R'
R U F2 B U R' B
R U B F2 U R' B
L' U B' F2 U B2 R'
L2 U B' F2 U B2 R'
L U B' F2 U B2 R'
B R D' L2 D R2 F
B R D' L2 D F R2
U R F2 R' U B R'
U2 R B R' D' L2 B
U2 R B R' D' B L2
U2 R B R' B D' L2
B2 R B' R' D' L2 F
B2 R B' D' L2 R' F
B2 R B' D' L2 F R'
B2 R B' D' R' L2 F
B R' L D' L F L
B R' L2 U' F2 U F'
B R' L2 D F D2 L2
B R' L2 D' F L2 D
B R' L2 D' F L2 D'
B R' L2 D' F L2 D2
B R' L2 D' F' L2 F2
B R' L2 D' F2 L2 F'
B R' L2 D2 F D L2
B R' L2 F U' F U
B R' U' F2 U' B' U2
B R' U2 D R2 B' U2
B R' U2 D B' R2 U2
B R' U2 D' B' U2 L2
B R' U2 B' U F2 U
B R' U2 B' U2 D' L2
B R' U2 B' D R2 U2
B R' U2 B' D' U2 L2
B R' D L2 D2 F L2
B R' D L2 F D2 L2
D R' D R' F' U2 R
B R' D U2 R2 B' U2
B R' D U2 B' R2 U2
B R' D F D2 L2 F
B R' D F' D2 L2 F
B R' D F2 D2 L2 F
B R' D' L D L F
B R' D' L D' L F
B R' D' L D2 L F
B R' D' L F L F
B R' D' L F' L F
B R' D' L F2 L F
B R' D' L2 R F R'
B R' D' L2 R2 F R2
B R' D' L2 D F D
B R' D' L2 D F D'
B R' D' L2 D F D2
B R' D' L2 D' F D
B R' D' L2 D' F D'
B R' D' L2 D' F D2
B R' D' L2 D2 F D
B R' D' L2 D2 F D'
B R' D' L2 D2 F D2
B R' D' L2 F2 D F'
B R' D' L2 F2 D' F'
B R' D' L2 F2 D2 F'
B R' D' R L2 F R'
B R' D' R2 L2 F R2
B R' D' U2 B' U2 L2
B R' D' F L2 D F
B R' D' F L2 D' F
B R' D' F L2 D2 F
B R' D' F L2 F D
B R' D' F L2 F D'
B R' D' F L2 F D2
L' U2 L B R' D' L2
B R' D' F' L2 D F
B R' D' F' L2 D' F
B R' D' F' L2 D2 F
B R' D' F' L2 F D
B R' D' F' L2 F D'
B R' D' F' L2 F D2
L' U2 L B D' L2 R'
L' U2 L B D' R' L2
B R' D' F2 L2 D F
B R' D' F2 L2 D' F
B R' D' F2 L2 D2 F
B R' D' F2 L2 F D
B R' D' F2 L2 F D'
B R' D' F2 L2 F D2
L2 U2 L B R' D' L2
L2 U2 L B D' L2 R'
L2 U2 L B D' R' L2
B R' D2 L2 D F L2
B R' D2 L2 F D L2
L U2 L B R' D' L2
L U2 L B D' L2 R'
L U2 L B D' R' L2
B R' D2 F D L2 F
L' U2 L' B R' D' L2
B R' D2 F' D L2 F
L' U2 L' B D' L2 R'
L' U2 L' B D' R' L2
B R' D2 F2 D L2 F
L2 U2 L' B R' D' L2
L2 U2 L' B D' L2 R'
L2 U2 L' B D' R' L2
L U2 L' B R' D' L2
L U2 L' B D' L2 R'
L U2 L' B D' R' L2
L' U2 L2 B R' D' L2
L' U2 L2 B D' L2 R'
L' U2 L2 B D' R' L2
L2 U2 L2 B R' D' L2
L2 U2 L2 B D' L2 R'
L2 U2 L2 B D' R' L2
B R' F' L2 F D' L2
L U2 L2 B R' D' L2
L U2 L2 B D' L2 R'
