F L' R2 B' U' L
F L' B' R2 U' L
F R2 L' B' U' L
B' R2 F L' U' L2
F R2 B' L' U' L2
R2 F L' B' U' L
R2 F B' L' U' L2
B' F L' R2 U' L2
B' F R2 L' U' L2
F B' L' R2 U' L2
F B' R2 L' U' L2
R2 B' F L' U' L2
F L R2 B' L2 U' L'
B' L D R F' R B2
B' L D R F' B2 R
B' L D R B2 F' R
B' L D F' R F' B2
B' L D F' R B2 F'
B' L D F' B2 R F'
B' L D B2 R F' R
B' L D B2 F' R F'
F L B' L2 R2 U' L'
F L B' R2 L2 U' L'
F L' R B' R U' L
F L' R' D' R' B U'
F L' R2 U' B' L B
F L' R2 B U R' U2
F L' R2 B' U' L D
F L' R2 B' U' L D'
F L' R2 B' U' L D2
F L' R2 B' U' D L
F L' R2 B' U' D' L
F L' R2 B' U' D2 L
F L' R2 B' D U' L
F L' R2 B' D' U' L
F L' R2 B' D2 U' L
F L' U' B D B2 L
F L' U' B' L D B2
F L' U' B' D L B2
F L' B R2 U R U2
F L' B U' D B2 L
F L' B D U' B2 L
F L' B' R2 U' L D
F L' B' R2 U' L D'
F L' B' R2 U' L D2
F L' B' R2 U' D L
F L' B' R2 U' D' L
F L' B' R2 U' D2 L
F L' B' R2 D U' L
F L' B' R2 D' U' L
F L' B' R2 D2 U' L
F L' B' U' L D B2
F L' B' U' D L B2
F L' B' D U' L B2
F L' B2 R2 B U' L
F L2 R2 D L B' U'
F L2 R2 B' U' L F
F L2 D L B' U' B'
F L2 B' R2 U' L F
F R L' B' R U' L
F R B' L' R U' L2
F R B' R L' U' L2
F R' L' D' R' B U'
B R' U' R' F L' U'
B R' U' F L' R' U'
B R' U' F R' L' U'
F R' D' L' R' B U'
F R' D' R' L' B U'
F R' D' R' B L' U'
B' R' F L' R' U' L2
B' R' F R' L' U' L2
F R2 L B' L2 U' L'
F R2 L' U' B' L B
F R2 L' B U R' U2
F R2 L' B' U' L D
F R2 L' B' U' L D'
F R2 L' B' U' L D2
F R2 L' B' U' D L
F R2 L' B' U' D' L
F R2 L' B' U' D2 L
F R2 L' B' D U' L
F R2 L' B' D' U' L
F R2 L' B' D2 U' L
F R2 L2 D L B' U'
F R2 L2 B' U' L F
F R2 D L B' L2 U'
F R2 D L' U2 F U
B' R2 F L' U' L2 D
B' R2 F L' U' L2 D'
B' R2 F L' U' L2 D2
B' R2 F L' D' B2 U'
U' R2 F L' B' U' L
B' R2 F L' B U' L2
B' R2 F L' B' U' L2
B' R2 F L' B2 U' L2
B2 R2 F L' B U' L
B' R2 F U' L D F2
U2 R2 F L' B' U' L
B' R2 F D L' U' L2
B' R2 F D' L' U' L2
B' R2 F D2 L' U' L2
U' R2 F B' L' U' L2
B2 R2 F B L' U' L2
U R2 F L' B' U' L
U2 R2 F B' L' U' L2
U R2 F B' L' U' L2
B2 R2 B F L' U' L2
F R2 B L' U R' U2
F R2 B L' B2 U' L
U' R2 B' F L' U' L2
F R2 B' L' U' L2 D
F R2 B' L' U' L2 D'
F R2 B' L' U' L2 D2
F R2 B' L' D' B2 U'
F R2 B' L' B U' L2
F R2 B' L' B' U' L2
F R2 B' L' B2 U' L2
U2 R2 B' F L' U' L2
F R2 B' U' L D F2
F R2 B' D L' U' L2
