U2 L R' U L' B
U2 L R' U B L'
U2 L' R' U L B
U2 L2 R' U L2 B
U2 L2 R' U B L2
R' U' R U2 R' B
U2 R' L U L' B
U2 R' L U B L'
U2 R' L' U L B
U2 R' L2 U L2 B
U2 R' L2 U B L2
B2 L R U F' R' U2
U2 L R' U L B L2
U2 L R' U L' D B
U2 L R' U L' D' B
U2 L R' U L' D2 B
U2 L R' U L' B D
U2 L R' U L' B D'
U2 L R' U L' B D2
U2 L R' U D L' B
U2 L R' U D B L'
U2 L R' U D' L' B
U2 L R' U D' B L'
U2 L R' U D2 L' B
U2 L R' U D2 B L'
U2 L R' U B L' D
U2 L R' U B L' D'
U2 L R' U B L' D2
U2 L R' U B D L'
U2 L R' U B D' L'
U2 L R' U B D2 L'
U2 L R' U B' L' B2
U2 L R' D U L' B
U2 L R' D U B L'
U L R' U' L' U2 B
U2 L R' D' U L' B
U2 L R' D' U B L'
R' L U' R U2 R' B
U2 L R' D2 U L' B
U2 L R' D2 U B L'
R' L' U' R U2 R' B
L' R' U' R U2 R' B
L R' U' R U2 R' B
L2 R' U' R U2 R' B
U2 L' R' U L D B
U2 L' R' U L D' B
U2 L' R' U L D2 B
U2 L' R' U L B D
U2 L' R' U L B D'
U2 L' R' U L B D2
U2 L' R' U L' B L2
U2 L' R' U L2 B L'
U2 L' R' U D L B
U2 L' R' U D' L B
U2 L' R' U D2 L B
U2 L' R' D U L B
U L' R' U B2 R' B'
U L' R' U' L U2 B
U2 L' R' D' U L B
U2 L' R' D2 U L B
U2 L' R' F U L B
U2 L' R' F' U L B
U2 L' R' F2 U L B
U L' R' B2 U R' B'
U2 L' D2 R' U L B'
U2 L' F R' U L B
U2 L' F' R' U L B
R' L2 U' R U2 R' B
U2 L' F2 R' U L B
U2 L2 R' U L' B L'
U2 L2 R' U L2 D B
U2 L2 R' U L2 D' B
U2 L2 R' U L2 D2 B
U2 L2 R' U L2 B D
U2 L2 R' U L2 B D'
U2 L2 R' U L2 B D2
U2 L2 R' U B L2 D
U2 L2 R' U B L2 D'
U2 L2 R' U B L2 D2
U2 L2 R' U B' L2 B2
U2 L2 R' D F2 U B
U L2 R' U D2 B R2
U L2 R' U B D2 R2
U L2 R' U' L2 U2 B
U2 L2 R' F U L2 B
U2 L2 R' F U B L2
U2 L2 R' F' U L2 B
U2 L2 R' F' U B L2
U2 L2 R' F2 U L2 B
U2 L2 R' F2 U B L2
U L2 R' D' B2 U B'
U L2 R' D2 U B R2
F' L2 U R' B' U B2
U2 L2 F R' U L2 B
U2 L2 F R' U B L2
U2 L2 F' R' U L2 B
U2 L2 F' R' U B L2
U2 L2 F2 R' U L2 B
U2 L2 F2 R' U B L2
R U R' U R' U B
R' U R2 F' R' U2 F
R U D F' R' B2 U2
R U D F' B2 U2 L
R U D B2 F' U2 L
B2 R L U F' R' U2
R' U F' U2 F B L
R' U F' U2 B F L
R U F' R' U R' U
R U F' D R' B2 U2
R' U F2 U2 L' F2 B
R' U F2 U2 L' B F2
R U F' D B2 U2 L
R U F' D' R' U2 F2
R' U F2 U2 B L' F2
B R U F' R' U2 F'
R' U B U2 R U2 R'
U' R U2 R2 U B R
R' U' L R U2 R' B
R' U' L' R U2 R' B
R' U' L2 R U2 R' B
R' U' R L U2 R' B
R' U' R L' U2 R' B
R' U' R L2 U2 R' B
R' U' R U2 R' D B
R' U' R U2 R' D' B
R' U' R U2 R' D2 B
R' U' R U2 R' B D
R' U' R U2 R' B D'
R' U' R U2 R' B D2
R' U' R F U2 R' B
R' U' R F' U2 R' B
R' U' R F2 U2 R' B
U R F' U R2 F U
U R F' U F R2 U
R' U' R2 F' R' U2 R'
R' U' D R U2 R' B
R' U' D' R U2 R' B
U2 R B2 D' R2 F2 B
U2 R B2 D' R2 B F2
R' U' D2 R U2 R' B
U2 R' L U L B L2
U2 R' L U L' D B
U2 R' L U L' D' B
U2 R' L U L' D2 B
U2 R' L U L' B D
U2 R' L U L' B D'
U2 R' L U L' B D2
U2 R' L U D L' B
U2 R' L U D B L'
U2 R' L U D' L' B
U2 R' L U D' B L'
U2 R' L U D2 L' B
U2 R' L U D2 B L'
U2 R' L U B L' D
U2 R' L U B L' D'
U2 R' L U B L' D2
U2 R' L U B D L'
U2 R' L U B D' L'
U2 R' L U B D2 L'
U2 R' L U B' L' B2
U2 R' L D U L' B
U2 R' L D U B L'
