L U R' B' U L
R2 L U R B' U L
L R U R2 B' U L
R L U R2 B' U L
R2 L U B' R U L
L R U B' R2 U L
R L U B' R2 U L
F' L R' B' U L B'
U2 L R' B' U L B
U L R' B' L' U L2
U2 L U' R' B' U L
U' L U2 R' B' U L
L R2 U R B' U L
L R2 U B' R U L
F' L2 R' U B' L R'
F' L2 R' U B' R' L
L U R B' R2 U L
L2 U R' B' U L R'
L2 U R' B' U R' L
L U R' F B' U L
L U R' F' B' U L
L U R' F2 B' U L
L U R' B' U L D
L U R' B' U L D'
L U R' B' U L D2
L U R' B' U D L
L U R' B' U D' L
L U R' B' U D2 L
L U R' B' D U L
L U R' B' D' U L
L U R' B' D2 U L
L U R' B' F U L
L U R' B' F' U L
L U R' B' F2 U L
L U R2 B' R U L
L U F R' B' U L
L U F' R' B' U L
L U F2 R' B' U L
F' R' L B' U L B'
U2 R' L B' U L B
U R' L B' L' U L2
F' R' L2 U B' L R'
F' R' L2 U B' R' L
D' R' U2 B U' R' B'
L U2 R' B' U L B
D' U R' U2 B U' R'
D2 U R' F B U L'
D2 U R' B F U L'
D2 U F R' B U L'
B2 U' L U2 F B' U
B2 U' L U2 B' F U
B2 U' L' F B' L2 U'
B2 U' L' B' F L2 U'
U D' R' U2 B U' R'
U D2 R' F B U L'
U D2 R' B F U L'
U D2 F R' B U L'
R' F' L B' U L B'
R' F' L2 U B' L R'
R' F' L2 U B' R' L
B' D' B2 R' B L U2
D' B' D L B' U2 L
