D' L2 F' D R F'
B2 R' F2 B U B
B2 R' B F2 U B
U' F2 B2 R' B U
U' B2 R' F2 B U
U' B2 R' B F2 U
B2 F2 R' B U B
F2 B2 R' B U B
U' B2 F2 R' B U
B2 L R' F2 B U B
B2 L R' B F2 U B
R' L U' F2 B U F2
R' L U' B F2 U F2
F' L R2 B U' B' R'
L R D2 F' B2 U' B2
R L D2 F' B2 U' B2
L R D2 B2 F' U' B2
R L D2 B2 F' U' B2
U L D' F' U' L2 R
U L D' F' U' R L2
L R F' R2 B U' B'
R L F' R2 B U' B'
B2 L F2 R' B U B
D2 L B2 R2 F' U' B2
L R' U' F2 B U F2
L2 R' U' F2 B R U
L R' U' B F2 U F2
L2 R' U' B F2 R U
D2 L B2 U2 B U B
D2 L B2 D' R2 F' U'
B2 L' R' F2 B U B
B2 L' R' B F2 U B
D2 L' U F L2 B2 U'
D2 L' U F B2 L2 U'
D2 L' U B2 F L2 U'
L2 R' F2 B R U B'
L2 R' B F2 R U B'
D2 L' F L2 B2 U' B2
D2 L' F B2 L2 U' B2
D2 L' F' D L2 R2 F2
D2 L' F' D L2 F2 R2
D2 L' F' D R2 L2 F2
D2 L' F' D R2 F2 L2
D2 L' F' D F2 L2 R2
D2 L' F' D F2 R2 L2
B2 L' F2 R' B U B
R' L2 U' F2 B R U
R' L2 U' B F2 R U
D2 L' B2 F L2 U' B2
D' L2 R F' D R F'
D' L2 R' F' D R F'
B2 L2 R' F2 B U B
B2 L2 R' B F2 U B
D' L2 R2 F' D R F'
D' L2 U L' F' U' R
D' L2 U D' L' F U'
L2 R2 F2 R B U B'
R2 L2 F2 R B U B'
R' L2 F2 B R U B'
R' L2 B F2 R U B'
D' L2 D' U L' F U'
R' U L U2 F2 B U
R' U L U2 B F2 U
R U L D' F' U' L2
R U L D2 F' B2 U'
R U L D2 B2 F' U'
U L2 D2 L' F B2 U'
R U L F' U2 F' U
U L2 D2 L' B2 F U'
U L2 D2 B2 L' F U'
D' L2 F' D R D F'
D' L2 F' D R D' F'
D' L2 F' D R D2 F'
D' L2 F' D R F' D
D' L2 F' D R F' D'
D' L2 F' D R F' D2
D' L2 F2 U' R B U
B2 L2 F2 R' B U B
R U D' L F' U' L
R U D' F' L U' L
L2 U D2 L' F B2 U'
L2 U D2 L' B2 F U'
R U D2 L F' B2 U'
R U D2 L B2 F' U'
L2 U D2 B2 L' F U'
R U D2 F' L B2 U'
D' R L2 F' D R F'
F' R U L F' U' L'
R U F' L U2 F' U
F' R U F' L U' L2
F2 R U F' L U' L'
U' R F2 U2 F L U'
L2 U' R' F2 B R U
L2 U' R' B F2 R U
L U' R' F2 B U F2
L U' R' B F2 U F2
L2 U' R2 F2 R B U
B2 R' L F2 B U B
B2 R' L B F2 U B
B2 R' L' F2 B U B
B2 R' L' B F2 U B
D' R' L2 F' D R F'
B2 R' L2 F2 B U B
B2 R' L2 B F2 U B
L2 U' F2 R U2 F' U'
L2 U' F2 R' B R2 U
R' U' F2 B2 R' B' U
L U' F2 R' B U F2
R2 U' F2 B' U R' F'
R U' F2 U2 F L U'
R' U' B2 R' F2 B' U
R' U' B2 R' B' F2 U
R2 U' B' F2 U R' F'
R' U' B2 F2 R' B' U
B2 R' F2 L B U B
B2 R' F2 L' B U B
B2 R' F2 L2 B U B
B2 R' F2 D L2 B U
B2 R' F2 D B L2 U
U' R' F2 B2 R' B' U
B2 R' F2 B L U B
B2 R' F2 B L' U B
B2 R' F2 B L2 U B
B2 R' F2 B U D B
B2 R' F2 B U D' B
B2 R' F2 B U D2 B
B2 R' F2 B U B D
B2 R' F2 B U B D'
B2 R' F2 B U B D2
B2 R' F2 B D U B
B2 R' F2 B D' U B
B2 R' F2 B D2 U B
B2 R' B L F2 U B
B2 R' B L' F2 U B
B2 R' B L2 F2 U B
B R' F2 B R' U B2
B2 R' B U D' L2 B
B2 R' B U D' B L2
B2 R' B U B D' L2
B R' B R' F2 U B2
B2 R' B D' U L2 B
B2 R' B D' U B L2
B2 R' B F2 L U B
B2 R' B F2 L' U B
B2 R' B F2 L2 U B
B2 R' B F2 U D B
B2 R' B F2 U D' B
B2 R' B F2 U D2 B
B2 R' B F2 U B D
B2 R' B F2 U B D'
B2 R' B F2 U B D2
B2 R' B F2 D U B
B2 R' B F2 D' U B
B2 R' B F2 D2 U B
B R' B F2 R' U B2
U' R' B2 R' F2 B' U
U' R' B2 R' B' F2 U
F2 R' B2 R' B' U B'
U' R' B2 F2 R' B' U
F' R2 L B U' B' R'
D' R2 L2 F' D R F'
U' R2 F2 U2 L F U'
D' U L F' U' L R
D' U L F' U' R L
D2 U L B2 U2 B U
D2 U L' F L2 B2 U'
D2 U L' F B2 L2 U'
D2 U L' B2 F L2 U'
L' D F' D2 L2 F' R
L' D F' D2 F' L2 R
L' D F' D2 F' R L2
B2 U R' F2 B U B
B2 U R' B F2 U B
D' U F' L U' L R
D' U F' L U' R L
L' D' L2 F D2 F2 R
L' D' L2 F' R D2 F2
L' D' L2 F' D2 R F2
R D' L2 U L' F' U'
L D' L2 F D F2 R
L D' L2 F' R D F2
B2 U F2 R' B U B
L D' L2 F' D R F2
U D' L F' U' L R
U D' L F' U' R L
R D' U L F' U' L
R D' U F' L U' L
L' D' F' L2 R D2 F2
L' D' F' L2 D2 R F2
L' D' F' R L2 D2 F2
L2 D' F' L2 D R F'
L' D' F' D2 R F2 L'
L D' F' L2 R D F2
L D' F' L2 D R F2
L D' F' R L2 D F2
B2 U' R' F2 B U B
B2 U' R' B F2 U B
U D' F' L U' L R
U D' F' L U' R L
L2 D2 L' F B2 U' B2
R D2 L F' B2 U' B2
L2 D2 L' B2 F U' B2
R D2 L B2 F' U' B2
F' U' F' B2 R' B U
F U' F B2 R' B U
B2 U' F2 R' B U B
U D2 L B2 U2 B U
U D2 L' F L2 B2 U'
U D2 L' F B2 L2 U'
U D2 L' B2 F L2 U'
L2 D2 U L' F B2 U'
L2 D2 U L' B2 F U'
L2 D2 U B2 L' F U'
F' U' B2 F' R' B U
R D2 U L F' B2 U'
R D2 U L B2 F' U'
R D2 U F' L B2 U'
F U' B2 R' F B U
F U' B2 R' B F U
F U' B2 F R' B U
R D2 F' L B2 U' B2
B2 U2 R' F2 B U B
B2 U2 R' B F2 U B
L2 D2 B2 L' F U' B2
B2 U2 F2 R' B U B
U' F B2 R' F B U
U' F B2 R' B F U
D' F' L' R D L' F2
D' F' L' D L' R F2
D' F' L' D R L' F2
D' F' L2 R U L' U'
D' F' L2 U L' U' R
R F' L R2 B U' B'
D' F' R L' D L' F2
D' F' R L2 U L' U'
D' F' R U L U' L
D' F' U L U' L R
D' F' U L U' R L
R F' R2 L B U' B'
L F' R2 B U' B' R'
B D' R F' R B' L2
B D' R F' B' L2 R
B D' R F' B' R L2
B D' R B' L2 F' R
B D' R B' F' L2 R
B D' R B' F' R L2
U' F2 R U2 L F' U'
U' F2 R U2 F' L U'
B D' F' R F' B' L2
B D' F' R B' L2 F'
B D' F' R B' F' L2
U' F2 R' B2 R' B' U
B D' F' B' L2 R F'
B D' F' B' R L2 F'
B D' F' B' R F' L2
U' F2 R2 U2 L F U'
L2 F2 R' B R2 U B'
D' F2 U L F U' L
B D' B' L2 R F' R
B D' B' L2 F' R F'
B D' B' R L2 F' R
B D' B' R F' L2 R
B D' B' R F' R L2
B D' B' F' L2 R F'
B D' B' F' R L2 F'
B D' B' F' R F' L2
R F2 U F L U' L'
U' F2 B R' B R' U
U' F2 B2 R' D B U
U' F2 B2 R' D' B U
U' F2 B2 R' D2 B U
U' F2 B2 R' B U D
U' F2 B2 R' B U D'
U' F2 B2 R' B U D2
U' F2 B2 R' B D U
U' F2 B2 R' B D' U
U' F2 B2 R' B D2 U
R' F2 B2 R' B' U B'
U' B R' F2 B R' U
U' B R' B R' F2 U
U' B R' B F2 R' U
B2 F R' F B U B
B2 F R' B F U B
F2 B R' B R' U B2
U' B F2 R' B R' U
F2 B' U D B R' F'
F2 B' D U B R' F'
B2 F2 L R' B U B
F2 B2 L R' B U B
B2 F2 L' R' B U B
U' B2 R' D' B U L2
F2 B2 L' R' B U B
U' B2 R' F2 D B U
U' B2 R' F2 D' B U
U' B2 R' F2 D2 B U
U' B2 R' F2 B U D
U' B2 R' F2 B U D'
U' B2 R' F2 B U D2
U' B2 R' F2 B D U
U' B2 R' F2 B D' U
U' B2 R' F2 B D2 U
U' B2 R' B U D' L2
U' B2 R' B D' U L2
U' B2 R' B F2 U D
U' B2 R' B F2 U D'
U' B2 R' B F2 U D2
U' B2 R' B F2 D U
U' B2 R' B F2 D' U
U' B2 R' B F2 D2 U
R' B2 R' F2 B' U B'
R' B2 R' B' F2 U B'
B2 F2 L2 R' B U B
F2 B2 L2 R' B U B
B2 F2 R' L B U B
U B2 R' F2 L' B U
B2 F2 R' L' B U B
U B2 R' F2 B L' U
B2 F2 R' L2 B U B
F2 B2 R' L B U B
U B2 R' B F2 L' U
U2 B2 U R' F2 B U
U2 B2 U R' B F2 U
F2 B2 R' L' B U B
F2 B2 R' L2 B U B
B2 F2 R' D L2 B U
B2 F2 R' D B L2 U
F2 B2 R' D L2 B U
F2 B2 R' D B L2 U
U2 B2 U F2 R' B U
B2 F2 R' B L U B
B2 F2 R' B L' U B
B2 F2 R' B L2 U B
B2 F2 R' B U D B
B2 F2 R' B U D' B
B2 F2 R' B U D2 B
B2 F2 R' B U B D
B2 F2 R' B U B D'
B2 F2 R' B U B D2
B2 F2 R' B D U B
B2 F2 R' B D' U B
B2 F2 R' B D2 U B
F2 B2 R' B L U B
F2 B2 R' B L' U B
F2 B2 R' B L2 U B
F2 B2 R' B U D B
F2 B2 R' B U D' B
F2 B2 R' B U D2 B
F2 B2 R' B U B D
F2 B2 R' B U B D'
F2 B2 R' B U B D2
F2 B2 R' B D U B
F2 B2 R' B D' U B
F2 B2 R' B D2 U B
B' F2 U D B R' F'
B F2 R' B R' U B2
F B2 R' F B U B
F B2 R' B F U B
U B2 U2 R' F2 B U
U B2 U2 R' B F2 U
U B2 U2 F2 R' B U
B' F2 D U B R' F'
U' B2 F R' F B U
U' B2 F R' B F U
U' B2 F2 R' D B U
U' B2 F2 R' D' B U
U' B2 F2 R' D2 B U
U' B2 F2 R' B U D
U' B2 F2 R' B U D'
U' B2 F2 R' B U D2
U' B2 F2 R' B D U
U' B2 F2 R' B D' U
U' B2 F2 R' B D2 U
R' B2 F2 R' B' U B'
