D' L B' U' R F' U2
D' L2 U' R F' L' U2
U' R F D L' F U2
F2 U L' U' B' L U
B2 U' L R F L' U2
U' D' R D F' U2 R
D' U' R D F' U2 R
B2 U' R L F L' U2
B2 U' R F L' U2 B'
B2 U' R F' U2 R B
B2 U' F' U2 R B L
F' U2 B R' U' L R2
F' U2 B R' U' R2 L
B' D' L F2 B' U L'
B' D' L B' U' R U2
B' D' L B' F2 U L'
B' D' F2 L B' U L2
D2 F2 U L' B R' B2
D2 F2 U B L' R' B'
D2 F2 U B R' L' B'
D2 F2 U B2 L' B' R'
D2 F2 B U L' R' B'
D2 F2 B U R' L' B'
D2 B F2 U L' R' B'
D2 B F2 U R' L' B'
F2 B' L F U L2 R
F2 B' L F U R L2
B' F2 L F U L2 R
B' F2 L F U R L2
