U L R2 F U' B
U L F U F2 U2
U L F U' D2 B2
U L F D R2 U'
U L F D2 U' B2
F' L' U' L2 U' L'
F' L' U2 D L F2
F' L' U2 D F2 L
F' L' D U2 L F2
F' L' D U2 F2 L
F' L' D' B2 R' U2
R2 U L F U' B
R U L F R U'
U R2 L F U' B
R2 F B D' R F'
U2 F' U' L F U'
F D2 B2 R D' F2
R2 B D' F R F'
R2 B F D' R F'
U L R F R U' B
U L R' F R' U' B
U L R2 D F U' B
U L R2 D' F U' B
U L R2 D2 F U' B
U L R2 F U' D B
U L R2 F U' D' B
U L R2 F U' D2 B
U L R2 F U' B D
U L R2 F U' B D'
U L R2 F U' B D2
U L R2 F D U' B
U L R2 F D' U' B
U L R2 F D2 U' B
U' L U F' L' U2 L
F L U F2 L' R U2
F L U F2 R L' U2
U L U F' U' F2 U'
U L U F' U2 D R2
U L U F' D U2 R2
U L U F' D' L2 U2
F L U' L' R D2 B2
F L U' L' D2 R B2
F L U' L' D2 B2 R
F L U' R L' D2 B2
F L U' R D2 L' B2
F L U' R D2 B2 L'
F L U' D2 L' R B2
F L U' D2 L' B2 R
U' L U' F' U2 F R
F L U' D2 R L' B2
F L U' D2 R B2 L'
F L U' D2 B2 L' R
F L U' D2 B2 R L'
F L D R2 U' L' R'
F L D R2 U' R' L'
U L D R2 F U' B
U L D F U F2 U2
U L D F U' D2 B2
U L D F D R2 U'
U L D F D2 U' B2
U L D' R2 F U' B
U L D' F U F2 U2
U L D' F U' D2 B2
U L D' F D R2 U'
U L D' F D2 U' B2
F L D2 U' L' R B2
F L D2 U' L' B2 R
U L D2 R2 F U' B
F L D2 U' R L' B2
F L D2 U' R B2 L'
F L D2 U' B2 L' R
F L D2 U' B2 R L'
U L D2 F U F2 U2
U L D2 F U' D2 B2
U L D2 F D R2 U'
U L D2 F D2 U' B2
U L F R U F2 U2
U L F R U' D2 B2
U L F R D R2 U'
U L F R D2 U' B2
U L F R' U F2 U2
U L F R' U' D2 B2
U L F R' D R2 U'
U L F R' D2 U' B2
U L F R2 U F2 U2
U L F R2 U' D2 B2
U L F R2 D R2 U'
U L F R2 D2 U' B2
U L F U F2 U2 D
U L F U F2 U2 D'
U L F U F2 U2 D2
U L F U F2 D U2
U L F U F2 D' U2
U L F U F2 D2 U2
U L F U' D2 B2 D
U L F U' D2 B2 D'
U L F U' D2 B2 D2
U L F U' B D2 B2
U L F U' B' D2 B2
U L F U' B2 D2 B2
U L F U2 D' L2 U
U L F D R2 U' D
U L F D R2 U' D'
U L F D R2 U' D2
U L F D R2 D U'
U L F D R2 D' U'
U L F D R2 D2 U'
U L F D' U2 L2 U
U L F D2 R U' B2
U L F D2 R' U' B2
U L F D2 R2 U' B2
U L F D2 U' B2 D
U L F D2 U' B2 D'
U L F D2 U' B2 D2
F' L' R U' L2 U' L'
F' L' R U2 D L F2
F' L' R U2 D F2 L
F' L' R D U2 L F2
F' L' R D U2 F2 L
F' L' R D' B2 R' U2
F' L' R' U' L2 U' L'
F' L' R' U2 D L F2
F' L' R' U2 D F2 L
F' L' R' D U2 L F2
F' L' R' D U2 F2 L
F' L' R' D' B2 R' U2
F' L' R2 U' L2 U' L'
F' L' R2 U2 D L F2
F' L' R2 U2 D F2 L
F' L' R2 D U2 L F2
F' L' R2 D U2 F2 L
F' L' R2 D' B2 R' U2
F' L' U D2 R2 U L
F' L' U' L2 U' L' D
F' L' U' L2 U' L' D'
F' L' U' L2 U' L' D2
F' L' U' L2 U' D L'
F' L' U' L2 U' D' L'
F' L' U' L2 U' D2 L'
F' L' U' L2 D U' L'
F' L' U' L2 D' U' L'
F' L' U' L2 D2 U' L'
F' L' U' L2 B U' L'
F' L' U' L2 B' U' L'
F' L' U' L2 B2 U' L'
F' L' U2 L U L U'
F' L' U2 D L F2 D
F' L' U2 D L F2 D'
F' L' U2 D L F2 D2
F' L' U2 D L' F2 L2
F' L' U2 D F' L F'
F' L' U2 D F2 L D
F' L' U2 D F2 L D'
F' L' U2 D F2 L D2
F' L' U2 D F2 D L
F' L' U2 D F2 D' L
F' L' U2 D F2 D2 L
F' L' U2 D' L D2 F2
F' L' U2 D2 L D' F2
F' L' U2 F D L F2
F' L' U2 F D F2 L
F' L' U2 F' D L F2
F' L' U2 F' D F2 L
F' L' U2 F2 D L F2
F' L' U2 F2 D F2 L
F' L' D R U2 L F2
F' L' D R U2 F2 L
F' L' D R' U2 L F2
F' L' D R' U2 F2 L
F' L' D R2 U2 L F2
F' L' D R2 U2 F2 L
F' L' D U2 L F2 D
F' L' D U2 L F2 D'
F' L' D U2 L F2 D2
F' L' D U2 L' F2 L2
F' L' D U2 F' L F'
F' L' D U2 F2 L D
F' L' D U2 F2 L D'
F' L' D U2 F2 L D2
F' L' D U2 F2 D L
F' L' D U2 F2 D' L
F' L' D U2 F2 D2 L
F' L' D B2 R' U2 F2
F' L' D' R B2 R' U2
F' L' D' R' B2 R' U2
F' L' D' R2 B2 R' U2
F' L' D' U2 L D2 F2
F' L' D' B2 R' U2 D
F' L' D' B2 R' U2 D'
F' L' D' B2 R' U2 D2
F' L' D' B2 R' D U2
F' L' D' B2 R' D' U2
F' L' D' B2 R' D2 U2
F' L' D' B2 D R' U2
F' L' D' B2 D' R' U2
F' L' D' B2 D2 R' U2
F' L' D2 U R2 U L
F' L' D2 U2 L D' F2
U L' F2 L2 F U' B'
F' L' B2 R' U' L2 U'
F' L' B2 R' U2 D F2
F' L' B2 R' D U2 F2
F' L' B2 R' D' B2 U2
F' L' B2 D R' U2 F2
F' L' B2 D' R' B2 U2
F' L' B2 D' B2 U2 L
R' U L R' F U' B
R' U L F R' U' B
R U L R F R U'
R U L R' F R U'
R U L R2 F R U'
R2 U L D F U' B
R2 U L D' F U' B
R2 U L D2 F U' B
R2 U L F U' D B
R2 U L F U' D' B
R2 U L F U' D2 B
R2 U L F U' B D
R2 U L F U' B D'
R2 U L F U' B D2
R2 U L F D U' B
R2 U L F D' U' B
R2 U L F D2 U' B
R U L D F R U'
R U L D' F R U'
R U L D2 F R U'
R U L F R U' D
R U L F R U' D'
R U L F R U' D2
R U L F R D U'
R U L F R D' U'
R U L F R D2 U'
R U L F D R U'
R U L F D' R U'
R U L F D2 R U'
R U R L F R U'
R' U R' L F U' B
R U R' L F R U'
R U R2 L F R U'
R2 U D L F U' B
R U D L F R U'
R2 U D' L F U' B
R U D' L F R U'
R' U D2 L F U' B'
R2 U D2 L F U' B
F' R L' U' L2 U' L'
R U D2 L F R U'
F' R L' U2 D L F2
F' R L' U2 D F2 L
F' R L' D U2 L F2
F' R L' D U2 F2 L
F' R L' D' B2 R' U2
U R L F R U' B
R2 U F L F U' B
R U F L R F U'
R U F R L F U'
D2 R U L F R U'
R2 U F' L F U' B
D' R U L F R U'
D R U L F R U'
F R U L U F2 U2
F R U L U' D2 B2
F R U L D R2 U'
F R U L D2 U' B2
R2 U F2 L F U' B
F R U D L R2 U'
F R U D R2 L U'
F R U D2 L U' B2
F R U2 F2 U' L U'
F R D U L R2 U'
F R D U R2 L U'
B2 R D' F R F B
B2 R D' F R B F
B R D' F R F' B
B R D' F R B F'
F R D2 U L U' B2
L U' L' R2 D B R'
F R D2 B2 U' R' U
B2 R F D' R F2 B
B2 R F D' R B F2
B R F D' R F' B
B R F D' R B F'
B2 R F' D' F2 R B
L U' R2 L' D B R'
L U' R2 D L' B R'
L U' R2 D B L' R'
L U' R2 D B R' L'
F' R' L' U' L2 U' L'
F' R' L' U2 D L F2
F' R' L' U2 D F2 L
F' R' L' D U2 L F2
F' R' L' D U2 F2 L
F' R' L' D' B2 R' U2
U R' L F R' U' B
U R' D2 L F U' B'
F' R2 L' U' L2 U' L'
F' R2 L' U2 D L F2
F' R2 L' U2 D F2 L
F' R2 L' D U2 L F2
F' R2 L' D U2 F2 L
F' R2 L' D' B2 R' U2
U R2 L D F U' B
U R2 L D' F U' B
U R2 L D2 F U' B
U R2 L F U' D B
U R2 L F U' D' B
U R2 L F U' D2 B
U R2 L F U' B D
U R2 L F U' B D'
U R2 L F U' B D2
U R2 L F D U' B
U R2 L F D' U' B
U R2 L F D2 U' B
D2 R2 U L F U' B
D' R2 U L F U' B
D R2 U L F U' B
U R2 D L F U' B
U R2 D' L F U' B
B R2 D' F B R F'
B R2 D' B F R F'
U R2 D2 L F U' B
D' R2 F B D' R F'
D2 R2 F B D' R F'
B2 R2 F D B R F'
B2 R2 F B D R F'
U R2 F L F U' B
B R2 F D' B R F'
B R2 F B R D' F2
D R2 F B D' R F'
U R2 F' L F U' B
U R2 F2 L F U' B
B' R2 B U L F U'
D' R2 B D' F R F'
D2 R2 B D' F R F'
B2 R2 B U' R B U
D' R2 B F D' R F'
D2 R2 B F D' R F'
B2 R2 B F D R F'
D R2 B D' F R F'
B R2 B F R D' F2
D R2 B F D' R F'
R2 D U L F U' B
U' R2 B2 R' B U B2
R D U L F R U'
D' U L R2 F U' B
D2 U L R2 F U' B
F' U L D F2 R U'
D' U L F U F2 U2
D' U L F U' D2 B2
D' U L F D R2 U'
D' U L F D2 U' B2
D2 U L F U F2 U2
D2 U L F U' D2 B2
D2 U L F D R2 U'
D2 U L F D2 U' B2
D U L R2 F U' B
F U L U F2 L' U2
F U L U' R D2 B2
F U L U' D2 R B2
F U L U' D2 B2 R
U D L R2 F U' B
D U L F U F2 U2
D U L F U' D2 B2
D U L F D R2 U'
D U L F D2 U' B2
F U L D R2 U' R'
F U L D2 U' R B2
F U L D2 U' B2 R
U D L F U F2 U2
U D L F U' D2 B2
U D L F D R2 U'
U D L F D2 U' B2
L' D F' L' U2 L2 F'
L' D F' L' U2 F' L2
R2 D F B D' R F'
D' U R2 L F U' B
D2 U R2 L F U' B
R2 D B D' F R F'
R2 D B F D' R F'
D U R2 L F U' B
U D R2 L F U' B
F U D L R2 U' R'
F U D R2 L U' R'
U2 D F' U' L F U'
F U D2 L U' R B2
F U D2 L U' B2 R
U D' L R2 F U' B
R2 D' U L F U' B
U D' L F U F2 U2
U D' L F U' D2 B2
U D' L F D R2 U'
U D' L F D2 U' B2
R D' U L F R U'
F' U' L U L2 U2 L2
L' D' F' L' B2 U2 L2
R2 D' F B D' R F'
L' D' F' B2 L' R' U2
L' D' F' B2 R' L' U2
U D' R2 L F U' B
R2 D' B D' F R F'
U2 D' F' U' L F U'
R2 D' B F D' R F'
L' D' B2 F' L' R' U2
L' D' B2 F' R' L' U2
U D2 L R2 F U' B
U D2 L F U F2 U2
U D2 L F U' D2 B2
U D2 L F D R2 U'
U D2 L F D2 U' B2
R' D2 U L F U' B'
R2 D2 U L F U' B
R D2 U L F R U'
U D2 R2 L F U' B
F' U2 L' D' B2 U2 B2
D' U2 F' U' L F U'
