R2 U' F R U'
R2 L D F L' U2
L R2 D F L' U2
R2 U' R F R U'
R2 U' R' F R U'
R2 U' R2 F R U'
R2 U' D F R U'
R2 U' D' F R U'
R2 U' D2 F R U'
R2 U' F R U' D
R2 U' F R U' D'
R2 U' F R U' D2
R2 U' F R D U'
R2 U' F R D' U'
R2 U' F R D2 U'
R2 U' F D R U'
R2 U' F D' R U'
R2 U' F D2 R U'
F2 R2 U B L U
R2 D U' F R U'
U' D F R B2 U'
U' D F B2 R U'
U' D B2 F R U'
R2 D' U' F R U'
D2 U' F R U' L2
D U' F R B2 U'
D U' F B2 R U'
D U' B2 F R U'
R2 D2 U' F R U'
U' D2 F R U' L2
U' F R U R U2
U' F D R B2 U'
U' F D B2 R U'
U' F D2 R U' L2
R2 L U L2 U B' R'
F' L R2 D F U2 R2
F' L R2 D' L2 U2 B'
F' L R2 D' F L2 U2
F' L R2 F U' F U'
F2 L R2 F U B U
F L R2 F U' F' U'
R' L D R' F L' U2
L R D R F L' U2
R' L D F L' R' U2
R L D R F L' U2
R' L D F R' L' U2
R2 L D F L' U2 D
R2 L D F L' U2 D'
R2 L D F L' U2 D2
R2 L D F L' D U2
R2 L D F L' D' U2
R2 L D F L' D2 U2
R2 L D F D L' U2
R2 L D F D' L' U2
R2 L D F D2 L' U2
D' L D R2 F L' U2
D2 L D F L' U2 L2
D' L D F L' R2 U2
R2 L F L U B' U
D' L D F R2 L' U2
R2 L F L' U' F U'
D L D F L' U2 L'
R2 L F2 D F' U2 R
F' L F R2 U' F U'
F2 L F R2 U' F2 U'
F2 L F R2 U2 D R2
F2 L F R2 D U2 R2
F2 L F R2 D' L2 U2
F L F R2 U B U
R2 L' U B U B2 R'
R2 L' U B2 U B R'
R2 L' U' F U' R B'
R2 L' U' F U' B' R
R2 L' U2 R B' D' R2
L R' D R' F L' U2
L R' D F L' R' U2
L R' D F R' L' U2
F' L' R2 U' F2 U' B'
F2 L' R2 U B U B2
F' L' R2 U2 D R2 B'
F' L' R2 U2 D B' R2
F' L' R2 U2 B' D R2
F' L' R2 D U2 R2 B'
F' L' R2 D U2 B' R2
F' L' R2 D' L2 F U2
F2 L' R2 U2 B' D' R2
R2 L2 U L U B' R'
L2 R2 U L U B' R'
L R2 U L2 U B' R'
L' R2 U B U B2 R'
L2 R2 U D' B' L U
R2 L2 U D' B' L U
L' R2 U B2 U B R'
L2 R2 U B' L U B'
R2 L2 U B' L U B'
L' R2 U' F U' R B'
L' R2 U' F U' B' R
L' R2 U2 R B' D' R2
L R2 D F L' U2 D
L R2 D F L' U2 D'
L R2 D F L' U2 D2
L R2 D F L' D U2
L R2 D F L' D' U2
L R2 D F L' D2 U2
L R2 D F D L' U2
L R2 D F D' L' U2
L R2 D F D2 L' U2
L2 R2 D' U B' L U
R2 L2 D' U B' L U
L R2 F L U B' U
L R2 F L' U' F U'
L R2 F2 D F' U2 R
R2 U L B L B' U
R2 U L2 B L B2 U
R2 U L2 B' U2 R' U'
L2 U D' F2 B' L U
L2 U D' B' L F2 U
L2 U D' B' F2 L U
D2 R U' F R U' L2
D R U' F R B2 U'
D R U' F B2 R U'
R2 U B L2 B' L' U
D R U' B2 F R U'
F' R D R U2 R B
R2 U B' U2 R' F U'
R2 U B' U2 F R' U'
R2 U B2 L2 B' L U
R2 U' R D F R U'
R2 U' R D' F R U'
R2 U' R D2 F R U'
R2 U' R F R U' D
R2 U' R F R U' D'
R2 U' R F R U' D2
R2 U' R F R D U'
R2 U' R F R D' U'
R2 U' R F R D2 U'
R2 U' R F D R U'
R2 U' R F D' R U'
R2 U' R F D2 R U'
R2 U' R' D F R U'
R2 U' R' D' F R U'
R2 U' R' D2 F R U'
R2 U' R' F R U' D
R2 U' R' F R U' D'
R2 U' R' F R U' D2
R2 U' R' F R D U'
R2 U' R' F R D' U'
R2 U' R' F R D2 U'
R2 U' R' F D R U'
R2 U' R' F D' R U'
R2 U' R' F D2 R U'
R2 U' R2 D F R U'
R2 U' R2 D' F R U'
R2 U' R2 D2 F R U'
R2 U' R2 F R U' D
R2 U' R2 F R U' D'
R2 U' R2 F R U' D2
R2 U' R2 F R D U'
R2 U' R2 F R D' U'
R2 U' R2 F R D2 U'
R2 U' R2 F D R U'
R2 U' R2 F D' R U'
R2 U' R2 F D2 R U'
R2 U' D R F R U'
R2 U' D R' F R U'
R2 U' D R2 F R U'
R2 U' D F R U' D
R2 U' D F R U' D'
R2 U' D F R U' D2
R2 U' D F R D U'
R2 U' D F R D' U'
