D' L' U R' F B'
D' L' U R' B' F
D' L' U F R' B'
R2 L' U D R F' B'
R2 L' U D R B' F'
R2 L' U D B' R F'
R2 L' U B' D R F'
D' L' R U R2 F B'
D' L' R U R2 B' F
D' L' R U F R2 B'
D' L' R U F B' R2
D' L' R U B' R2 F
D' L' R U B' F R2
D L' R U F' R2 B'
D L' R U F' B' R2
D L' R U B' F' R2
R2 L' D U R F' B'
R2 L' D U R B' F'
R2 L' D U B' R F'
D' L' R2 U R F B'
D' L' R2 U R B' F
D' L' R2 U B' R F
F L' R2 B U' R B2
F L' R2 B U' B2 R
D' L' U R F R2 B'
D' L' U R F B' R2
D' L' U R B' R2 F
D' L' U R B' F R2
D' L' U R' D F B'
D' L' U R' D B' F
D' L' U R' D' F B'
D' L' U R' D' B' F
D' L' U R' D2 F B'
D' L' U R' D2 B' F
D' L' U R' F D B'
D' L' U R' F D' B'
D' L' U R' F D2 B'
D' L' U R' F B' D
D' L' U R' F B' D'
D' L' U R' F B' D2
D' L' U R' B' D F
D' L' U R' B' D' F
D' L' U R' B' D2 F
D' L' U R' B' F D
D' L' U R' B' F D'
D' L' U R' B' F D2
D' L' U R2 B' R F
D' L' U D R' F B'
D' L' U D R' B' F
D' L' U D F R' B'
D L' U R F' R2 B'
D L' U R F' B' R2
D L' U R B' F' R2
D' L' U D' R' F B'
D' L' U D' R' B' F
D' L' U D' F R' B'
D L' U R' B' D2 F2
D' L' U D2 R' F B'
D' L' U D2 R' B' F
D' L' U D2 F R' B'
D' L' U F R B' R2
D' L' U F R' D B'
D' L' U F R' D' B'
D' L' U F R' D2 B'
D' L' U F R' B' D
D' L' U F R' B' D'
D' L' U F R' B' D2
D' L' U F R2 B' R
D' L' U F D R' B'
D' L' U F D' R' B'
D' L' U F D2 R' B'
D' L' U F' R' F2 B'
D' L' U F' R' B' F2
F L' U' R' D B' L
F L' U2 F' U R' B'
D' L' D U R' F B'
D' L' D U R' B' F
D' L' D U F R' B'
D' L' D' U R' F B'
D' L' D' U R' B' F
D' L' D' U F R' B'
D' L' D2 U R' F B'
D' L' D2 U R' B' F
D' L' D2 U F R' B'
D' L' F R' D B' L
L' R2 U D R F' B'
L' R2 U D R B' F'
L' R2 U D B' R F'
L' R2 U B' D R F'
L' R2 D U R F' B'
L' R2 D U R B' F'
L' R2 D U B' R F'
L' U R2 D R F' B'
L' U R2 D R B' F'
L' U R2 D B' R F'
L' U R2 B' D R F'
L' U D R F' R2 B'
L' U D R F' B' R2
L' U D R B' F' R2
L' U D R' B' D2 F2
D' R L' U R2 F B'
D' R L' U R2 B' F
D' R L' U F R2 B'
D' R L' U F B' R2
D' R L' U B' R2 F
D' R L' U B' F R2
D R L' U F' R2 B'
D R L' U F' B' R2
D R L' U B' F' R2
L' U F' R' D' F2 B'
L' U F' R' D' B' F2
L' U F' R' B' D' F2
F' R F L' U R2 B'
F' R F L' U B' R2
U2 R F L' U' B R2
L U' F U' L' U' R'
D' R2 L' U R F B'
D' R2 L' U R B' F
D' R2 L' U B' R F
F R2 L' B U' R B2
F R2 L' B U' B2 R
L' U2 F2 U' R' F' B'
L' U2 F2 U' R' B' F'
R2 D L' U R F' B'
R2 D L' U R B' F'
R2 D L' U B' R F'
L' D R U F' R2 B'
L' D R U F' B' R2
L' D R U B' F' R2
F R2 B L' U' R B'
F R2 B L' U' B' R
L' D U R F' R2 B'
L' D U R F' B' R2
L' D U R B' F' R2
L' D U R' B' D2 F2
U2 D R U' F' B R2
U2 D R U' B F' R2
R2 D' L' U R F B'
R2 D' L' U R B' F
R2 D' L' U B' R F
D U2 R U' F' B R2
D U2 R U' B F' R2
F' U2 R F U B R2
U2 F L' R U' B R2
U2 F R L' U' B R2
U' F U' L' R U' R2
U' F U' R L' U' R2
L' F' R F U R2 B'
L' F' R F U B' R2
U' F' U L' R U R2
U' F' U R L' U R2
