R2 U R' U B' R'
L2 R2 F U R' U R2
R2 L2 F U R' U R2
L2 R2 F U2 R D' F2
R2 L2 F U2 R D' F2
R2 U R' U R B' R'
R2 U R' U R' B' R'
R2 U R' U R2 B' R'
R2 U R' U D B' R'
R2 U R' U D' B' R'
R2 U R' U D2 B' R'
R2 U R' U B' R' D
R2 U R' U B' R' D'
R2 U R' U B' R' D2
R2 U R' U B' D R'
R2 U R' U B' D' R'
R2 U R' U B' D2 R'
R2 U R' D U B' R'
R2 U R' D' U B' R'
R2 U R' D2 U B' R'
R2 U D R' U B' R'
R2 U D' R' U B' R'
R2 U D2 R' U B' R'
U R U B' R' D2 L2
U R U' R U2 B' R'
D R U2 B2 U' B R'
F R D' F2 B' L' F
F R D' B' F2 L' F
D2 R F U R B' L2
D2 R F U B' L2 R
D2 R F U B' R L2
R U' R U B U B2
R U' R U2 B' D' R2
U' R F2 B U L' B2
U' R F2 B U B2 L'
U R F2 U B' L' R'
U R F2 U B' R' L'
U' R B U' R U2 B2
U' R B F2 U L' B2
U' R B F2 U B2 L'
F R B' D' F2 L' F
D R' D B' L2 F R
R2 U2 R D' F2 B' R'
R2 U2 R D' B' R' F2
R2 U2 R D' B' F2 R'
R2 U2 R B' D' R' F2
R2 U2 R B' D' F2 R'
R2 U2 R2 B' R' D' F2
U' R2 U R' B U B2
R2 U2 B' R2 D' R F'
R2 U2 B' D' R F' R2
B2 R2 F' L' U R' U
R2 D U R' U B' R'
D2 U R U B' L2 R'
D2 U R U B' R' L2
D' U R F2 U B' R'
R' D' R' U2 F2 B' R'
R' D' R' U2 B' R' F2
R' D' R' U2 B' F2 R'
R2 D' U R' U B' R'
D' U' R F2 B U B2
U' D' R F2 B U B2
U' D' R B F2 U B2
D' U' R B F2 U B2
D2 U' R B U L2 B2
D2 U' R B U B2 L2
U D' R F2 U B' R'
B' U' R F2 B U L'
B' U' R B U' R U2
B' U' R B F2 U L'
B' U' D' R F2 B U
B' U' D' R B F2 U
B' U' D2 R B U L2
U2 D' B' R' D' L2 F2
U2 D' B' R' D' F2 L2
U' D2 R B U L2 B2
U' D2 R B U B2 L2
R2 D2 U R' U B' R'
U D2 R U B' L2 R'
U D2 R U B' R' L2
D2 U2 B' L2 R' D' F2
D' U2 B' R' D' L2 F2
D' U2 B' R' D' F2 L2
D2 U2 B' R' L2 D' F2
U2 D2 B' L2 R' D' F2
U2 D2 B' R' L2 D' F2
R2 F U R' U R2 B'
R2 F U R' U B' R2
R F U R D2 B' L
R F U D2 R B' L
R F U D2 B' L R
R F U D2 B' R L
R2 F U2 R D' F2 B'
R2 F U2 R D' B' F2
R2 F U2 R B' D' F2
R2 F U2 B' D' R F'
D F D R F' B' L2
D F D R B' L2 F'
D F D R B' F' L2
D F D B' L2 R F'
D F D B' R L2 F'
D F D B' R F' L2
F D R D F' B' L2
F D R D B' L2 F'
F D R D B' F' L2
F D R F' D B' L2
D2 F B' L2 D R F'
R F D2 U R B' L
R F D2 U B' L R
R F D2 U B' R L
B' D F D L2 R F'
B' D F D R L2 F'
B' D F D R F' L2
F D B2 U' B R F'
B' D' U' R F2 B U
B' D' U' R B F2 U
B' D2 L2 U' R B U
B' D2 L2 F D R F'
B' D2 U' R B U L2
B' D2 F L2 D R F'
B' F R D' F2 L' F
B' F D R D L2 F'
B' F D R D F' L2
B' F D R F' D L2
D2 B' L2 U' R B U
D2 B' L2 F D R F'
B' F D2 L2 D' R F'
D2 B' U' R B U L2
D' B' U' R F2 B U
D' B' U' R B F2 U
F B' R D' F2 L' F
U2 B' D' R' D' L2 F2
U2 B' D' R' D' F2 L2
U2 B' D2 L2 R' D' F2
D2 B' F L2 D R F'
U2 B' D2 R' L2 D' F2
F B' D R D L2 F'
F B' D R D F' L2
F B' D R F' D L2
F B' D2 L2 D' R F'
