D' L2 B R' F' B2
D' L2 B R' B2 F'
D' B L2 R' F' B'
D' B L2 R' B' F'
D' B R' L2 F' B'
D' B R' L2 B' F'
D' B2 L2 B' R' F'
L2 R' F2 U F B' R'
L2 R' F2 U B' R' F
L2 R' F2 U B' F R'
D' L' B L' R' F' B'
D' L' B L' R' B' F'
D' L' B R' L' F' B'
D' L' B R' L' B' F'
D' L' B2 L' B' R' F'
D' L2 R' D2 F' R B'
D' L2 R' D2 F' B' R
D' L2 R' D2 B' F' R
D' L2 R' F' B R' B2
D' L2 R' B F' R' B2
R' L2 F2 U F B' R'
R' L2 F2 U B' R' F
R' L2 F2 U B' F R'
D' L2 D2 R' F' R B'
D' L2 D2 R' F' B' R
D' L2 D2 R' B' F' R
D' L2 D2 B' R' F' R
D' L2 F B R' F' B2
D' L2 F B R' B2 F'
D' L2 F' B R' F' B2
D' L2 F' B R' B2 F'
U' L2 F2 U B' R' F'
D' L2 F2 B R' F' B2
D' L2 F2 B R' B2 F'
D' L2 B R' F' B2 D
D' L2 B R' F' B2 D'
D' L2 B R' F' B2 D2
D' L2 B R' B2 D F'
D' L2 B R' B2 D' F'
D' L2 B R' B2 D2 F'
D' L2 B R' B2 F' D
D' L2 B R' B2 F' D'
D' L2 B R' B2 F' D2
D' L2 B R2 B2 R F'
D' L2 B F R' F' B2
D' L2 B F R' B2 F'
D' L2 B F' R' F' B2
D' L2 B F' R' B2 F'
D' L2 B F2 R' F' B2
D' L2 B F2 R' B2 F'
D' L2 B' U2 L U2 F
D' R F B U2 L2 R'
D' R F B U2 R' L2
D' R B U2 L2 R' B'
D' R B U2 R' L2 B'
D R B R F L' U2
D' R B F U2 L2 R'
D' R B F U2 R' L2
D' R B2 L2 F B' R'
D' R B2 L2 B' R' F
D' R B2 L2 B' F R'
D' R' L2 D2 F' R B'
D' R' L2 D2 F' B' R
D' R' L2 D2 B' F' R
D' R' L2 F' B R' B2
D' R' L2 B F' R' B2
D R' F L' R' U2 F2
D R' F R' L' U2 F2
D R' F R' U2 F2 R
D R' F' R D2 L2 B2
D R' F' R D2 B2 L2
D R' F' D2 B2 L R
D R' F' D2 B2 R L
D' R' B L2 F' R' B'
D' R' B2 L2 F' B' R'
D' R' B2 L2 B' F' R'
D R2 F U2 F2 R F'
D R2 F D2 L' U2 F
R' D R2 F L' B U2
R' D R2 F B L' U2
R' D R2 B F L' U2
R D R2 F L' U2 F2
R D R2 F U2 F2 R
R' D F L' R2 U2 F2
R' D F R2 L' U2 F2
R' D F R2 U2 F2 R
R D F L' R2 U2 F'
R D F L' B R2 U2
R' D F' D2 L2 R B2
R' D F' D2 L2 B2 R
R' D F' D2 R L2 B2
R' D F' D2 R B2 L2
R' D F' D2 B2 L2 R
R' D F' D2 B2 R L2
R D F R2 L' U2 F'
R D F B L' R2 U2
R D F B R2 L' U2
R D B R2 F L' U2
U2 D R2 F L' B' U2
R D B F L' R2 U2
R D B F R2 L' U2
U2 D F L' R2 B' U2
U2 D F L' B' R2 U2
U2 D F R2 L' B' U2
R' D' L2 D2 F' R B'
R' D' L2 D2 F' B' R
R' D' L2 D2 B' F' R
R' D' L2 F' B R' B2
R' D' L2 B F' R' B2
R D' F B U2 L2 R'
R D' F B U2 R' L2
R' D' B L2 F' R' B'
R' D' B2 L2 F' B' R'
R' D' B2 L2 B' F' R'
R D' B U2 L2 R' B'
R D' B U2 R' L2 B'
R D' B F U2 L2 R'
R D' B F U2 R' L2
R D' B2 L2 F B' R'
R D' B2 L2 B' R' F
R D' B2 L2 B' F R'
D U2 R2 F L' B' U2
D U2 F L' R2 B' U2
D U2 F L' B' R2 U2
D U2 F R2 L' B' U2
D F L' R B R U2
D' F R B U2 L2 R'
D' F R B U2 R' L2
D F R L' B R U2
D F R B L' R U2
D F R B R L' U2
D F R2 U2 F2 R F'
D F R2 D2 L' U2 F
D' F B R' F' L2 B'
D' F B' L U2 L F
B' D' L2 B R' F' B2
B' D' L2 B R' B2 F'
B2 D' L2 B R' F' B2
B2 D' L2 B R' B2 F'
B D' L2 B R' F' B2
B D' L2 B R' B2 F'
D F' D2 R B2 L2 F
B' D' B L2 R' F' B'
B' D' B L2 R' B' F'
B' D' B R' L2 F' B'
B' D' B R' L2 B' F'
L2 F2 R' U F' B' R'
L2 F2 R' U B' F' R'
B2 D' B L2 R' F' B'
B2 D' B L2 R' B' F'
B2 D' B R' L2 F' B'
B2 D' B R' L2 B' F'
B D' B L2 R' F' B'
B D' B L2 R' B' F'
B D' B R' L2 F' B'
B D' B R' L2 B' F'
B' D' B2 L2 B' R' F'
B2 D' B2 L2 B' R' F'
B D' B2 L2 B' R' F'
D' B L R' F' L B'
D' B L2 R' D F' B'
D' B L2 R' D B' F'
D' B L2 R' D' F' B'
D' B L2 R' D' B' F'
D' B L2 R' D2 F' B'
D' B L2 R' D2 B' F'
D' B L2 R' F' D B'
D' B L2 R' F' D' B'
D' B L2 R' F' D2 B'
D' B L2 R' F' B' D
D' B L2 R' F' B' D'
D' B L2 R' F' B' D2
D' B L2 R' B' D F'
D' B L2 R' B' D' F'
D' B L2 R' B' D2 F'
D' B L2 R' B' F' D
D' B L2 R' B' F' D'
D' B L2 R' B' F' D2
D' B L2 R2 B' R F'
D' B L2 D R' F' B'
D' B L2 D R' B' F'
D' B L2 D' R' F' B'
D' B L2 D' R' B' F'
D' B L2 D2 R' F' B'
D' B L2 D2 R' B' F'
D' B L2 F R' F' B'
D' B L2 F R' B' F'
D' B L2 F' R' F' B'
D' B L2 F' R' B' F'
D' B L2 F2 R' F' B'
D' B L2 F2 R' B' F'
D' B R' L F' L B'
D' B R' L2 D F' B'
D' B R' L2 D B' F'
D' B R' L2 D' F' B'
D' B R' L2 D' B' F'
D' B R' L2 D2 F' B'
D' B R' L2 D2 B' F'
D' B R' L2 F' D B'
D' B R' L2 F' D' B'
D' B R' L2 F' D2 B'
D' B R' L2 F' B' D
D' B R' L2 F' B' D'
D' B R' L2 F' B' D2
D' B R' L2 B' D F'
D' B R' L2 B' D' F'
D' B R' L2 B' D2 F'
D' B R' L2 B' F' D
D' B R' L2 B' F' D'
D' B R' L2 B' F' D2
D' B R' F' L2 D2 B2
D' B R' B L2 F' B'
D' B R' B L2 B' F'
D' B R' B' L2 F' B'
D' B R' B' L2 B' F'
D' B R' B2 L2 F' B'
D' B R' B2 L2 B' F'
D' B R2 L2 B' R F'
R B D R2 F L' U2
R B D F L' R2 U2
R B D F R2 L' U2
D' B F R' F' L2 B'
D' B' L U2 L F B'
D' B' L U2 L B' F
D' B' F L U2 L F
D' B2 L2 R' F' B' R'
D' B2 L2 R' B' F' R'
D' B2 L2 D B' R' F'
D' B2 L2 D' B' R' F'
D' B2 L2 D2 B' R' F'
D' B2 L2 F B' R' F'
D' B2 L2 F' B' R' F'
D' B2 L2 F2 B' R' F'
D' B2 L2 B' R' D F'
D' B2 L2 B' R' D' F'
D' B2 L2 B' R' D2 F'
D' B2 L2 B' R' F' D
D' B2 L2 B' R' F' D'
D' B2 L2 B' R' F' D2
D' B2 L2 B' D R' F'
D' B2 L2 B' D' R' F'
D' B2 L2 B' D2 R' F'
D' B2 L2 B' F R' F'
D' B2 L2 B' F' R' F'
D' B2 L2 B' F2 R' F'
D' B2 R' L2 F' B' R'
D' B2 R' L2 B' F' R'
