F2 R' U B U
R' F2 U B U
F2 L R' U B U
R' L F2 U B U
F2 L' R' U B U
L' R' F2 U B U
R' L' F2 U B U
L R' F2 U B U
L2 R' F2 U B U
F2 L2 R' U B U
R' L2 F2 U B U
R' U D' L2 B U
R' U D' B L2 U
R' U D2 B U B
R' U B U D2 B2
R' U B U' F2 U2
R' U B D' L2 U
R' U B D2 U B2
R' U' D R2 F' U'
F2 R' L U B U
F2 R' L' U B U
F2 R' L2 U B U
F2 R' U D B U
F2 R' U D' B U
F2 R' U D2 B U
F2 R' U B U D
F2 R' U B U D'
F2 R' U B U D2
F2 R' U B D U
F2 R' U B D' U
F2 R' U B D2 U
F2 R' D U B U
F2 R' D' U B U
F2 R' D2 U B U
F R' F U B U
R' D U' R2 F' U'
R' D' U L2 B U
R' D' U B L2 U
R' D2 U B U B
R' F2 L U B U
R' F2 L' U B U
F D' R' F L' U2
R' F2 L2 U B U
L' F2 R' U B U
F' D' F' R' U2 R2
F D' F L' R' U2
F D' F R' L' U2
L2 F2 R' U B U
R' F2 U D B U
R' F2 U D' B U
R' F2 U D2 B U
L F2 R' U B U
R' F2 U B U D
R' F2 U B U D'
R' F2 U B U D2
R' F2 U B D U
R' F2 U B D' U
R' F2 U B D2 U
R' F2 D U B U
R F2 R2 U' F U'
R' F2 D' U B U
R' F2 D2 U B U
R' L U D' L2 B U
R' L U D' B L2 U
R' L U D2 B U B
R' L U B U D2 B2
R' L U B U' F2 U2
R' L U B D' L2 U
R' L U B D2 U B2
D2 L R' U B' U B'
F2 L R' U D B U
F2 L R' U D' B U
F2 L R' U D2 B U
F2 L R' U B U D
F2 L R' U B U D'
F2 L R' U B U D2
F2 L R' U B D U
F2 L R' U B D' U
F2 L R' U B D2 U
F2 L R' D U B U
F2 L R' D' U B U
F2 L R' D2 U B U
R' L U' D R2 F' U'
D2 L U B' U B' L
R' L D U' R2 F' U'
R' L D' U L2 B U
R' L D' U B L2 U
R' L D2 U B U B
F' L D' F' R' U2 R2
R' L F2 L U B U
R' L F2 L' U B U
R' L F2 L2 U B U
L' R F2 R2 U' F U'
R' L F2 U D B U
R' L F2 U D' B U
R' L F2 U D2 B U
R' L F2 U B U D
R' L F2 U B U D'
R' L F2 U B U D2
R' L F2 U B D U
R' L F2 U B D' U
R' L F2 U B D2 U
L R F2 R2 U' F U'
L2 R F2 R2 U' F U'
R L F2 R2 U' F U'
R' L F2 D U B U
R' L F2 D' U B U
R' L F2 D2 U B U
F' L F' R' U B U
L' R' U D' L2 B U
R' L' U D' L2 B U
L' R' U D' B L2 U
R' L' U D' B L2 U
L' R' U D2 B U B
R' L' U D2 B U B
L R' U D' L2 B U
L2 R' U D' L2 B U
