B' L F2 B U' B'
B' L B F2 U' B'
B' U L F2 B U'
B' U L B F2 U'
B' U F2 L B U'
F2 U' B' U L U'
F2 D' R U' F' B'
F2 D' R U' B' F'
U' B' U L F2 U'
U' B' U F2 L U'
F2 B' L B U' B'
B' F2 L B U' B'
U' L D L' R2 F B'
U' L D L' R2 B' F
U' L D L' F R2 B'
U' L D L' F B' R2
F2 L D L' U' F B'
F2 L D L' U' B' F
U' L D L' B' R2 F
U' L D L' B' F R2
U' L D R2 L' F B'
U' L D R2 L' B' F
B' L D B U' R2 B'
B' L D B U' B' R2
B' L F2 D B U' B'
B' L F2 D' B U' B'
B' L F2 D2 B U' B'
B' L F2 B R U' B'
B' L F2 B R' U' B'
B' L F2 B R2 U' B'
B' L F2 B U' D B'
B' L F2 B U' D' B'
B' L F2 B U' D2 B'
B' L F2 B U' B' D
B' L F2 B U' B' D'
B' L F2 B U' B' D2
B' L F2 B D U' B'
B' L F2 B D' U' B'
B' L F2 B D2 U' B'
B' L B R F2 U' B'
B' L B R' F2 U' B'
B' L B R2 F2 U' B'
B' L B U' D R2 B'
B' L B U' D B' R2
B' L B U' B' D R2
B' L B D U' R2 B'
B' L B D U' B' R2
B' L B F2 R U' B'
B' L B F2 R' U' B'
B' L B F2 R2 U' B'
B' L B F2 U' D B'
B' L B F2 U' D' B'
B' L B F2 U' D2 B'
B' L B F2 U' B' D
B' L B F2 U' B' D'
B' L B F2 U' B' D2
B' L B F2 D U' B'
B' L B F2 D' U' B'
B' L B F2 D2 U' B'
B' L' U L2 F2 B U'
B' L' U L2 B F2 U'
B' L' U F2 L2 B U'
B' L' U F2 B L2 U'
B' L' U B L2 F2 U'
B' L' U B F2 L2 U'
B' L' F2 L2 B U' B'
F2 L' B' L B U' B2
B' L2 U L' F2 B U'
B' L2 U L' B F2 U'
B' L2 U B L' F2 U'
D' R U L2 F U2 F2
D' R U' D2 F' R2 B'
D' R U' D2 F' B' R2
D' R U' D2 B' F' R2
D' R U' F' D2 R2 B'
D' R U' F' D2 B' R2
D' R U' F' B' D2 R2
D' R U' B' D2 F' R2
D' R U' B' F' D2 R2
D R U' D2 R F' B'
D R U' D2 R B' F'
D R U' D2 B' R F'
F2 R U' B' U L U'
D R U' B' D2 R F'
D' R D F2 U' F B'
D' R D F2 U' B' F
F2 R D' R U' F' B'
F2 R D' R U' B' F'
D' R D2 U' F' R2 B'
D' R D2 U' F' B' R2
D' R D2 U' B' F' R2
D R D2 U' R F' B'
D R D2 U' R B' F'
D R D2 U' B' R F'
F2 R B' L B U' B'
U' R B' U L F2 U'
U' R B' U F2 L U'
D' R' U L2 F B U2
D' R' U L2 B F U2
D' R' U B L2 U2 B2
D' R' U' D2 R2 F' B'
D' R' U' D2 R2 B' F'
D' R' U' B' D2 R2 F2
D' R' U' B' D2 F2 R2
F2 R' U' B' U L U'
R' U' B' U L F2 U'
R' U' B' U F2 L U'
B R' U2 F2 B' U' B'
R2 U' B' U L F2 U'
R2 U' B' U F2 L U'
B R' U2 B' F2 U' B'
B R' D L2 F U R2
R U' B' U L F2 U'
R U' B' U F2 L U'
F2 R' D' R U' F' B'
F2 R' D' R U' B' F'
D' R' D2 U' R2 F' B'
D' R' D2 U' R2 B' F'
F2 R' B' L B U' B'
U' R' B' U L F2 U'
U' R' B' U F2 L U'
F2 R2 U' B' U L U'
F' R2 U2 B R' U B2
F2 R2 D' R U' F' B'
F2 R2 D' R U' B' F'
L D L' U' R2 F B'
L D L' U' R2 B' F
L D L' U' F R2 B'
L D L' U' F B' R2
L D L' U' B' R2 F
L D L' U' B' F R2
F2 R2 B' L B U' B'
U' R2 B' U L F2 U'
U' R2 B' U F2 L U'
B' U L D B U' R2
B' U L F2 D B U'
B' U L F2 D' B U'
B' U L F2 D2 B U'
B' U L F2 B U' D
B' U L F2 B U' D'
B' U L F2 B U' D2
B' U L F2 B D U'
B' U L F2 B D' U'
B' U L F2 B D2 U'
B' U L B U' D R2
B' U L B D U' R2
B' U L B F2 U' D
B' U L B F2 U' D'
B' U L B F2 U' D2
B' U L B F2 D U'
B' U L B F2 D' U'
B' U L B F2 D2 U'
U' D L' R2 F L B'
U' D L' F L R2 B'
U' D L' F L B' R2
U' D L' F R2 L B'
B' U L' F2 L2 B U'
B' U L' F2 B L2 U'
B' U L' B L2 F2 U'
B' U L' B F2 L2 U'
B' U L2 B L' F2 U'
U' D R D2 R F' B'
U' D R D2 R B' F'
U' D R D2 B' R F'
U' D R B' D2 R F'
U' D R2 L' F L B'
U' D R2 B' L' F L
B' U D L B U' R2
B' U F' L F' B U'
B' U F' L B F' U'
U' D B' L' R2 F L
U' D B' L' F L R2
U' D B' L' F R2 L
U' D B' R D2 R F'
U' D B' R2 L' F L
B' U F2 L D B U'
B' U F2 L D' B U'
B' U F2 L D2 B U'
B' U F2 L B U' D
B' U F2 L B U' D'
B' U F2 L B U' D2
B' U F2 L B D U'
B' U F2 L B D' U'
B' U F2 L B D2 U'
B' U F2 L' B L2 U'
B' U F2 L2 B L' U'
B' U F2 D L B U'
B' U F2 D' L B U'
B' U F2 D2 L B U'
F2 U B U R' U B2
D U' L' R2 F L B'
D U' L' F L R2 B'
D U' L' F L B' R2
D U' L' F R2 L B'
F2 U' L D L' F B'
F2 U' L D L' B' F
B' U' L F2 B R U'
B' U' L B F2 R U'
D' U' R D2 F' R2 B'
D' U' R D2 F' B' R2
U' D' R D2 F' R2 B'
U' D' R D2 F' B' R2
D' U' R D2 B' F' R2
U' D' R D2 B' F' R2
D' U' R F' D2 R2 B'
U' D' R F' D2 R2 B'
U' D' R F' D2 B' R2
D' U' R F' D2 B' R2
D' U' R F' B' D2 R2
U' D' R F' B' D2 R2
U' D' R B' D2 F' R2
D' U' R B' D2 F' R2
U' D' R B' F' D2 R2
D' U' R B' F' D2 R2
U' D' R' D2 R2 F' B'
U' D' R' D2 R2 B' F'
D' U' R' D2 R2 F' B'
D' U' R' D2 R2 B' F'
D U' R D2 R F' B'
D U' R D2 R B' F'
D U' R D2 B' R F'
U' D' R' B' D2 R2 F2
U' D' R' B' D2 F2 R2
D' U' R' B' D2 R2 F2
D' U' R' B' D2 F2 R2
D U' R B' D2 R F'
D U' R2 L' F L B'
D U' R2 B' L' F L
F2 U' R' D' R F' B'
F2 U' R' D' R B' F'
F2 U' R' D' B' R F'
F2 U' D L' F L B'
F2 U' D B' L' F L
U' D' B' R D2 F' R2
U' D' B' R F' D2 R2
F2 U' D' R F' R' B'
D' U' B' R D2 F' R2
D' U' B' R F' D2 R2
U' D' B' R' D2 R2 F'
D' U' B' R' D2 R2 F'
F2 U' D' B' R F' R'
D U' B' L' R2 F L
D U' B' L' F L R2
D U' B' L' F R2 L
D U' B' R D2 R F'
D U' B' R2 L' F L
F2 U' F B' U L U'
F2 U' F' B' U L U'
F2 U' F2 B' U L U'
F2 U' B U' R' U B2
F2 U' B' L' D L F2
F2 U' B' L' D F2 L
F' U' B' U L F' U'
F' U' B' U F' L U'
F2 U' B' U L U' D
F2 U' B' U L U' D'
F2 U' B' U L U' D2
F2 U' B' U L D U'
F2 U' B' U L D' U'
F2 U' B' U L D2 U'
F2 U' B' U D L U'
F2 U' B' U D' L U'
F2 U' B' U D2 L U'
F2 U' B' D U L U'
F2 U' B' D' U L U'
F2 U' B' D2 U L U'
F2 U' B' F U L U'
F2 U' B' F' U L U'
F2 U' B' F2 U L U'
F U' B' U F L U'
F' U2 R2 B R' U B2
F2 U2 D' R U F' B'
F2 U2 D' R U B' F'
F2 U2 B R' B' U B'
B' D L B U' R2 B'
B' D L B U' B' R2
B D L2 R' F U R'
B D L2 F R' U R'
B D R' L2 F U R'
U' F B' U F L U'
L F D2 F L' U' B'
B' D U L B U' R2
F2 D U' L' F L B'
F2 D U' B' L' F L
D2 F' U2 R B2 U B
F' D' R U' F' B' R'
F' D' R U' B' F' R'
F2 D' R U' D F' B'
F2 D' R U' D B' F'
F2 D' R U' D' F' B'
F2 D' R U' D' B' F'
F2 D' R U' D2 F' B'
