F2 D R B R F'
L R U' D2 L' F B
L R U' D2 L' B F
L R U' D2 B L' F
R L U' D2 L' F B
R L U' D2 L' B F
R L U' D2 B L' F
L R U' B D2 L' F
R L U' B D2 L' F
U L U L' B U2 B2
U L U B L' U2 B'
L R D2 U' L' F B
L R D2 U' L' B F
L R D2 U' B L' F
R L D2 U' L' F B
R L D2 U' L' B F
R L D2 U' B L' F
U2 L F B U B' U
U2 L B F U B' U
R2 L' U' D2 L F' B'
R2 L' U' D2 L B' F'
R2 L' U' D2 F' L B'
R2 L' U' F' D2 L B'
U L' U L F B U2
U L' U L B F U2
R2 L' D2 U' L F' B'
R2 L' D2 U' L B' F'
R2 L' D2 U' F' L B'
L' R2 U' D2 L F' B'
L' R2 U' D2 L B' F'
L' R2 U' D2 F' L B'
L' R2 U' F' D2 L B'
U2 L' B U B' U B'
B2 L2 R U' F L2 B
B2 L2 R U' F B L2
B2 L2 R U' B F L2
L' R2 D2 U' L F' B'
L' R2 D2 U' L B' F'
L' R2 D2 U' F' L B'
B2 R L2 U' F L2 B
B2 R L2 U' F B L2
B2 R L2 U' B F L2
R' U F' U' L' U' L
U' R U R F' B R2
U' R U R B F' R2
B' R D L2 U' L2 B
B' R D L2 U' B L2
B' R D2 F2 D B R2
B' R D2 F2 B D R2
B' R D2 B F2 D R2
R U' R U F' R' B
B' R F2 B D R2 F'
R2 U' R' U B R F'
F' R B R F' D R2
F2 R B R D F' R2
F2 R B R' D R2 F'
B' R B F2 D R2 F'
B2 R B D2 F2 D R2
F2 R' D R' F' R' B
U' R2 U F' R B R
F' R2 F' R D R2 B
F' R2 F' R' D B R2
F' R2 F' R' B D R2
F2 R2 F' R' D B R'
U' R2 B L U F' R2
F' U R F R U' F'
F' U R2 F R U' F2
R D B U' R' U R
R D B' L U' L' B2
R D B' L U' B2 L'
R2 D' F' U R F U'
F U' R2 B L U F'
R2 D2 L U' B' L' F'
R D2 L' U' F L B
F' U2 B U' F R U'
R2 F R' F2 D B R'
B2 U2 B' U B L U
B' D L2 R U' L2 B
B' D L2 R U' B L2
B' D R L2 U' L2 B
B' D R L2 U' B L2
F2 D R B R D F'
F2 D R B R D' F'
F2 D R B R D2 F'
F2 D R B R F' D
F2 D R B R F' D'
F2 D R B R F' D2
F2 D R B' R F' B2
F2 D R B' R B2 F'
F2 D R B2 R F' B'
F2 D R B2 R B' F'
F2 D R2 F' R' B R
U F B U' R B' U'
U F B U' B' R U'
F2 D F R B R F'
F2 D F' R B R F'
F2 D F2 R B R F'
R2 F' R' U F U' B
R2 F' R' B U F U'
R2 F' R2 U F R U'
R2 F' U R' F U' B
R2 F' U F R' U' B
R F' B R F' D R2
R2 F2 R D R2 F B
R2 F2 R D R2 B F
R2 F2 R' D F B R2
R2 F2 R' D B R2 F
R2 F2 R' D B F R2
R2 F2 R' B D R2 F
R2 F2 R' B D F R2
D2 F2 D R B R F'
D' F2 D R B R F'
D F2 D R B R F'
B' D2 R F2 D B R2
B' D2 R F2 B D R2
B' D2 R B F2 D R2
R F2 B R D F' R2
R F2 B R' D R2 F'
B' D2 F2 R D B R2
B' D2 F2 R B D R2
B' D2 F2 R' D R2 B
B' D2 F2 D R B R
R B R F' U F U'
R B R F2 D R2 F
R B R F2 D F R2
R B R' F2 D R2 F'
U2 B U B L B2 U
U2 B U B' U2 R' U'
U2 B U2 R B D' R2
U B U' R B' U' B2
R B U' R U F' R'
U B U' B' R U' B
U B F U' R B' U'
U B F U' B' R U'
R B F' R F' D R2
R B F2 R D F' R2
R B F2 R' D R2 F'
F2 B' R B D R2 F'
L2 B2 R U' L2 F B
L2 B2 R U' L2 B F
B' F2 R B D R2 F'
