L' F2 U2 F' U B
L F2 B' L2 U' B2
L B D L2 R2 F2
L B D L2 F2 R2
L B D R2 L2 F2
L B D R2 F2 L2
L B D F2 L2 R2
L B D F2 R2 L2
L B' L2 F2 U' B2
L B' F2 L2 U' B2
B L U F2 B' L2 U'
B L U B' L2 F2 U'
B L U B' F2 L2 U'
R2 L F2 B' L2 U' B'
R2 L B' F2 L2 U' B'
U' L F2 B' L2 U' B2
U2 L F2 B' L2 U' B2
B L F2 B' L2 U' B
U L F2 B' L2 U' B2
U' L B D L2 R2 F2
U' L B D L2 F2 R2
U2 L B D L2 R2 F2
U2 L B D L2 F2 R2
U' L B D R2 L2 F2
U' L B D R2 F2 L2
U2 L B D R2 L2 F2
U2 L B D R2 F2 L2
U' L B D F2 L2 R2
U' L B D F2 R2 L2
U2 L B D F2 L2 R2
U2 L B D F2 R2 L2
U L B D L2 R2 F2
U L B D L2 F2 R2
U L B D R2 L2 F2
U L B D R2 F2 L2
U L B D F2 L2 R2
U L B D F2 R2 L2
U' L B' L2 F2 U' B2
U2 L B' L2 F2 U' B2
B L B' L2 F2 U' B
U L B' L2 F2 U' B2
F2 L B' U2 R U B2
U' L B' F2 L2 U' B2
U2 L B' F2 L2 U' B2
B L B' F2 L2 U' B
U L B' F2 L2 U' B2
R' L' F2 R U' B L
L' R' F2 R U' B L
D L' F U' L' B R2
D L' F U' B L' R2
D L' F U' B R2 L'
B' L' F2 R2 B U' B
B' L' F2 U2 F' U B2
U' L' F2 U2 F' U B
B L' F2 R2 B U' B'
B' L' F2 D' R2 B U'
U2 L' F2 U2 F' U B
U L' F2 U2 F' U B
L R2 F2 B' L2 U' B'
L R2 B' F2 L2 U' B'
L U F2 B' L2 U' B2
L U B D L2 R2 F2
L U B D L2 F2 R2
L U B D R2 L2 F2
L U B D R2 F2 L2
L U B D F2 L2 R2
L U B D F2 R2 L2
L U B' L2 F2 U' B2
L U B' F2 L2 U' B2
L' U' L2 B D L2 R2
L' U' L2 B D R2 L2
L U' F2 B' L2 U' B2
L U' B D L2 R2 F2
L U' B D L2 F2 R2
L U' B D R2 L2 F2
L U' B D R2 F2 L2
L U' B D F2 L2 R2
L U' B D F2 R2 L2
L U' B' L2 F2 U' B2
L U' B' F2 L2 U' B2
L2 U2 L F2 U' B L
L' U2 D F U B R2
L' U2 D2 F B2 U B'
L' U2 D2 B2 F U B'
L' U2 F L2 B' U B2
L' U2 F U2 F U' B
L2 U2 F2 L U' B L
L U2 F2 B' L2 U' B2
L U2 B D L2 R2 F2
L U2 B D L2 F2 R2
L U2 B D R2 L2 F2
L U2 B D R2 F2 L2
L U2 B D F2 L2 R2
L U2 B D F2 R2 L2
L U2 B' L2 F2 U' B2
L U2 B' F2 L2 U' B2
L' D U2 F U B R2
B U L F2 B' L2 U'
B U L B' L2 F2 U'
B U L B' F2 L2 U'
B U L' F2 U2 F' U
L D F2 B R2 D L2
L D B R2 F2 D L2
L D B F2 R2 D L2
L D B' U' R2 F2 B2
L D B' U' R2 B2 F2
L D B' U' F2 R2 B2
L D B' U' F2 B2 R2
L D B' U' B2 R2 F2
L D B' U' B2 F2 R2
L' D2 U2 F B2 U B'
L' D2 U2 B2 F U B'
L D2 B2 R2 F' U B'
L' F' D' F' U' L2 B
L' F' D' F' U' B L2
L' F' D2 F' B2 U' B'
L' F' D2 B2 F' U' B'
L F' B' L2 F' U' B2
L2 F2 L U2 F U B
L2 F2 L' B' L2 U' B2
L F2 L2 U2 F U B
L' F2 R2 B R2 U' B
L' F2 R2 B U F' U2
L' F2 U' B U' F' U
L' F2 U2 L F' U B
L' F2 U2 L' F' U B
L' F2 U2 L2 F' U B
L' F2 U2 D F' U B
L' F2 U2 D' F' U B
L' F2 U2 D2 F' U B
L' F2 U2 F' L U B
L' F2 U2 F' L' U B
L' F2 U2 F' L2 U B
L' F2 U2 F' U D B
L' F2 U2 F' U D' B
L' F2 U2 F' U D2 B
L' F2 U2 F' U B D
L' F2 U2 F' U B D'
L' F2 U2 F' U B D2
L' F2 U2 F' D U B
L' F2 U2 F' D' U B
L' F2 U2 F' D2 U B
L' F2 D U2 F' U B
L F2 U' B D L2 F2
L F2 U' B D F2 L2
L' F2 D' U2 F' U B
L' F2 D2 U2 F' U B
L F2 D B' U' F2 B2
L F2 D B' U' B2 F2
L' F2 B R2 B U' B'
L' F2 B' R2 B U' B
L' F2 B' U2 F' U B2
L' F2 B' D' R2 B U'
D2 F2 B2 R F' U B'
L' F2 B2 R2 B U' B2
L F2 B L2 B2 U' B2
L' F2 B2 U2 F' U B'
L F2 B' L2 R U' B2
L F2 B' L2 R' U' B2
L F2 B' L2 R2 U' B2
L F2 B' L2 U' B2 D
L F2 B' L2 U' B2 D'
L F2 B' L2 U' B2 D2
L F2 B' L2 D' R2 U'
L F2 B' R L2 U' B2
L F2 B' R' L2 U' B2
L F2 B' R2 L2 U' B2
L F2 B' U' B2 D F2
L B L2 F2 B2 U' B2
L B L2 B2 F2 U' B2
L B R D L2 R2 F2
L B R D L2 F2 R2
L B R D R2 L2 F2
L B R D R2 F2 L2
L B R D F2 L2 R2
L B R D F2 R2 L2
L B R' D L2 R2 F2
L B R' D L2 F2 R2
L B R' D R2 L2 F2
L B R' D R2 F2 L2
L B R' D F2 L2 R2
L B R' D F2 R2 L2
L B R2 D L2 R2 F2
L B R2 D L2 F2 R2
L B R2 D R2 L2 F2
L B R2 D R2 F2 L2
L B R2 D F2 L2 R2
L B R2 D F2 R2 L2
L B U L2 F2 B2 U'
L B U L2 B2 F2 U'
L B U F2 L2 B2 U'
L B U F2 B2 L2 U'
L B U B2 L2 F2 U'
L B U B2 F2 L2 U'
L B D L R2 F2 L
L B D L F2 L R2
L B D L F2 R2 L
L B D L2 R' F2 R'
L B D L2 R2 F2 D
L B D L2 R2 F2 D'
L B D L2 R2 F2 D2
L B D L2 F R2 F
L B D L2 F2 R2 D
L B D L2 F2 R2 D'
L B D L2 F2 R2 D2
L B D R' L2 F2 R'
L B D R' F2 L2 R'
L B D R' F2 R' L2
L B D R2 L F2 L
L B D R2 L2 F2 D
L B D R2 L2 F2 D'
L B D R2 L2 F2 D2
L B D R2 F' L2 F'
L B D R2 F2 L2 D
L B D R2 F2 L2 D'
L B D R2 F2 L2 D2
L B D F R2 F L2
L B D F' L2 F' R2
L B D F2 L2 R2 D
L B D F2 L2 R2 D'
L B D F2 L2 R2 D2
L B D F2 R2 L2 D
L B D F2 R2 L2 D'
L B D F2 R2 L2 D2
L' B F2 R2 B U' B'
D' B' L B2 R' D F2
D' B' L B2 D R' F2
D' B' L B2 D F2 R'
D' B' L' U' L2 B2 R'
L B F2 L2 B2 U' B2
L B' L F2 L U' B2
L B' L2 R F2 U' B2
L B' L2 R' F2 U' B2
L B' L2 R2 F2 U' B2
L B' L2 U' B2 D R2
L B' L2 F2 R U' B2
L B' L2 F2 R' U' B2
L B' L2 F2 R2 U' B2
L B' L2 F2 U' B2 D
