B' L U2 F' L' U'
U2 L D2 F' R U'
B2 R2 B L R U
B2 R2 B R L U
U2 D L F' U' B'
U2 D F' L U' B'
U2 D2 L F' R U'
D2 U2 L F' R U'
D U2 L F' U' B'
U2 D2 F' L R U'
D2 U2 F' L R U'
U2 D2 F' R L U'
D2 U2 F' R L U'
D U2 F' L U' B'
U2 F' D L U' B'
R' B2 R' B L U
B' L R' B' R' B U
B' L R2 B U2 L U'
B' L R2 B' R' B2 U
B2 L R2 B L R U
B2 L R2 B R L U
F L R2 F2 B R' U'
F L R2 B R' F2 U'
F L R2 B F2 R' U'
B' L U R' D' F' R
B' L U2 L F' L' U'
B' L U2 L' F' L' U'
B' L U2 L2 F' L' U'
B' L U2 D F' L' U'
B' L U2 D' F' L' U'
B' L U2 D2 F' L' U'
B' L U2 F' L' U' D
B' L U2 F' L' U' D'
B' L U2 F' L' U' D2
B' L U2 F' L' D U'
B' L U2 F' L' D' U'
B' L U2 F' L' D2 U'
B' L U2 F' D L' U'
B' L U2 F' D' L' U'
B' L U2 F' D2 L' U'
B' L D U2 F' L' U'
B' L D' U2 F' L' U'
U2 L D' F' R' U' B
B' L D2 U2 F' L' U'
U2 L D2 F' R U' D
U2 L D2 F' R U' D'
U2 L D2 F' R U' D2
U2 L D2 F' R D U'
U2 L D2 F' R D' U'
U2 L D2 F' R D2 U'
U2 L D2 F' D R U'
U2 L D2 F' D' R U'
U2 L D2 F' D2 R U'
D2 L F' R U2 F U
D L F' U2 F U B'
U2 L F' D' R' U' B
U2 L F' B R' B' U'
B' L B U2 L F' U'
B' L B U2 F' L U'
F' L B D2 R' B U'
U2 L B F' R' B' U'
B' L B' R2 B R U
B' L B2 R2 B R' U
B2 L' R2 B L R U
B2 L' R2 B R L U
D2 L' U2 L2 F' R U'
D L' U2 L2 F' U' B'
D2 L' U2 F' L2 R U'
D2 L' U2 F' R L2 U'
R2 L' B U2 L2 R' U'
R2 L' B U2 R' L2 U'
R2 L' B' L B2 R' U
D2 L' F' L2 R B' U'
D2 L' F' L2 B' R U'
D2 L' F' R L2 B' U'
B2 L2 R2 B L R U
B2 L2 R2 B R L U
L' R2 B U2 L2 R' U'
L' R2 B U2 R' L2 U'
D2 L2 U2 L' F' R U'
L2 R2 B U2 L' R' U'
L2 R2 B U2 R' L' U'
R2 L2 B U2 L' R' U'
R2 L2 B U2 R' L' U'
L' R2 B' L B2 R' U
U2 L2 D2 L' F' R U'
F2 L2 F2 R B' L U
F' L2 B L' R' B2 U'
F2 L2 F2 B' L R U
F2 L2 F2 B' R L U
F' L2 B R' L' B2 U'
F' L2 B R' B2 L' U'
F' L2 B' L' U' D' B2
F' L2 B' L' U2 L2 U
F' L2 B' L' D' U' B2
F' L2 B' L' D2 R2 U'
F2 L2 B' F2 L R U
F2 L2 B' F2 R L U
D R U2 L F U' B'
U2 R D L U' B' R'
B' R' L B' R' B U
B2 R' U D R B R'
B2 R' U2 F R F' U'
B2 R' D U R B R'
B2 R' D B L U R'
B' R' D2 L B' R' U
B2 R' D2 B L B' U
L2 U2 L' D2 F' R U'
L' U2 L2 D2 F' R U'
B2 R' B D2 L B' U
B' R' B' R' B L U
D' R' B2 R' B U B2
R U2 D L F U' B'
B' R2 L B U2 L U'
L2 U2 D2 L' F' R U'
B' R2 L B' R' B2 U
B2 R2 L B L R U
B2 R2 L B R L U
F R2 L F2 B R' U'
F R2 L B R' F2 U'
F R2 L B F2 R' U'
B2 R2 L' B L R U
B2 R2 L' B R L U
B2 R2 L2 B L R U
B2 R2 L2 B R L U
B2 R2 D B L R U
B2 R2 D B R L U
B2 R2 D' B L R U
B2 R2 D' B R L U
B2 R2 D2 B L R U
B2 R2 D2 B R L U
F R2 F2 L B R' U'
B2 R2 B L R U D
B2 R2 B L R U D'
B2 R2 B L R U D2
B2 R2 B L R D U
B2 R2 B L R D' U
B2 R2 B L R D2 U
B2 R2 B L D R U
B2 R2 B L D' R U
B2 R2 B L D2 R U
B2 R2 B R L U D
B2 R2 B R L U D'
B2 R2 B R L U D2
B2 R2 B R L D U
B2 R2 B R L D' U
B2 R2 B R L D2 U
B2 R2 B R D L U
B2 R2 B R D' L U
B2 R2 B R D2 L U
B2 R2 B D L R U
B2 R2 B D R L U
B2 R2 B D' L R U
B2 R2 B D' R L U
B2 R2 B D2 L R U
B2 R2 B D2 R L U
B R2 B R' U D B2
B R2 B R' U2 R2 U'
B R2 B R' D U B2
B R2 B R' D2 L2 U
B2 R2 B2 R B' L U
U2 D L R U' B' R'
U2 D L D F' U' B'
U2 D L D' F' U' B'
U2 D L D2 F' U' B'
U2 D L F' R U' B'
U2 D L F' R' U' B'
