L U2 F' U' L'
D L U2 F' U' L'
D' L U2 F' U' L'
D2 L U2 F' U' L'
R2 L B R2 U L
L R2 B R2 U L
L U2 D F' U' L'
L U2 D' F' U' L'
L U2 D2 F' U' L'
L U2 F' U' L' D
L U2 F' U' L' D'
L U2 F' U' L' D2
L U2 F' U' D L'
L U2 F' U' D' L'
L U2 F' U' D2 L'
L U2 F' D U' L'
L U2 F' D' U' L'
L U2 F' D2 U' L'
L U2 F' B U' L'
L U2 F' B' U' L'
L U2 F' B2 U' L'
L U2 B F' U' L'
L U2 B' F' U' L'
L U2 B2 F' U' L'
L D U2 F' U' L'
L D' U2 F' U' L'
L D2 U2 F' U' L'
U2 F' U' L' D' B2
U2 F' U2 L U L2
U2 F' B' U' L' B'
U2 F' B2 R' U' L'
L B U2 F' U' L
U2 B' F' U' L' B'
U2 B2 F' R' U' L'
D' L R2 B R2 U L
D2 L R2 B R2 U L
D L R2 B R2 U L
R2 L D' B U L F2
R2 L D' B U F2 L
D2 L U2 D F' U' L'
D' L U2 D F' U' L'
D2 L U2 D' F' U' L'
D' L U2 D' F' U' L'
D2 L U2 D2 F' U' L'
D' L U2 D2 F' U' L'
D L U2 D F' U' L'
D L U2 D' F' U' L'
D2 L U2 F' U' L' D
D2 L U2 F' U' L' D'
D2 L U2 F' U' L' D2
D2 L U2 F' U' D L'
D2 L U2 F' U' D' L'
D2 L U2 F' U' D2 L'
D2 L U2 F' D U' L'
D' L U2 F' U' L' D
D' L U2 F' U' L' D'
D' L U2 F' U' L' D2
D' L U2 F' U' D L'
D' L U2 F' U' D' L'
D2 L U2 F' D' U' L'
D' L U2 F' U' D2 L'
D2 L U2 F' D2 U' L'
D L U2 D2 F' U' L'
D2 L U2 F' B U' L'
D' L U2 F' D U' L'
D2 L U2 F' B' U' L'
D' L U2 F' D' U' L'
D2 L U2 F' B2 U' L'
D' L U2 F' D2 U' L'
D' L U2 F' B U' L'
D' L U2 F' B' U' L'
D' L U2 F' B2 U' L'
D L U2 F' U' L' D
D L U2 F' U' L' D'
D L U2 F' U' L' D2
D L U2 F' U' D L'
D L U2 F' U' D' L'
D L U2 F' U' D2 L'
D L U2 F' D U' L'
D L U2 F' D' U' L'
D2 L U2 B F' U' L'
D L U2 F' D2 U' L'
D L U2 F' B U' L'
D L U2 F' B' U' L'
D' L U2 B F' U' L'
D L U2 F' B2 U' L'
D2 L U2 B' F' U' L'
D' L U2 B' F' U' L'
D2 L U2 B2 F' U' L'
D' L U2 B2 F' U' L'
D L U2 B F' U' L'
D L U2 B' F' U' L'
D L U2 B2 F' U' L'
D2 L D U2 F' U' L'
D' L D U2 F' U' L'
D L D U2 F' U' L'
F L D B U L R2
F L D B U R2 L
R2 L F B R2 U L
D' L D' U2 F' U' L'
D2 L D' U2 F' U' L'
D L D' U2 F' U' L'
F2 L D' B U L R'
F2 L D' B U R' L
R2 L F' B R2 U L
D' L D2 U2 F' U' L'
D2 L D2 U2 F' U' L'
D L D2 U2 F' U' L'
R2 L F2 B R2 U L
F' L F U2 F' U' L'
U' L F U2 F2 U' F2
R2 L B R2 U L D
R2 L B R2 U L D'
R2 L B R2 U L D2
R2 L B R2 U D L
R2 L B R2 U D' L
R2 L B R2 U D2 L
R2 L B R2 D U L
R2 L B R2 D' U L
R2 L B R2 D2 U L
R2 L B R2 F U L
R2 L B R2 F' U L
R2 L B R2 F2 U L
R2 L B U L D' F2
R2 L B U D' L F2
R2 L B U D' F2 L
R2 L B D' U L F2
R2 L B D' U F2 L
R2 L B F R2 U L
R2 L B F' R2 U L
R2 L B F2 R2 U L
F L F' U2 F' U' L'
R2 L B2 R2 B' U L
D2 L B U2 F' U' L
D' L B U2 F' U' L
F L B U L D R2
F L B U D L R2
F L B U D R2 L
D L B U2 F' U' L
F L B U2 F2 U' L
F L B D U L R2
F L B D U R2 L
F' L B' U' R' U2 R
F L B' D2 B2 U L
R2 L' B L2 R2 U L'
R2 L' B R2 L2 U L'
L R2 D' B U L F2
L R2 D' B U F2 L
L R2 F B R2 U L
L R2 F' B R2 U L
L' R2 B L2 R2 U L'
L R2 F2 B R2 U L
L' R2 B R2 L2 U L'
L2 R2 B L' R2 U L2
R2 L2 B L' R2 U L2
L2 R2 B R2 L' U L2
R2 L2 B R2 L' U L2
L R2 B R2 U L D
L R2 B R2 U L D'
L R2 B R2 U L D2
L R2 B R2 U D L
L R2 B R2 U D' L
L R2 B R2 U D2 L
L R2 B R2 D U L
L R2 B R2 D' U L
L R2 B R2 D2 U L
L R2 B R2 F U L
L R2 B R2 F' U L
L R2 B R2 F2 U L
L R2 B U L D' F2
L R2 B U D' L F2
L R2 B U D' F2 L
L R2 B D' U L F2
L R2 B D' U F2 L
L R2 B F R2 U L
L R2 B F' R2 U L
L R2 B F2 R2 U L
L R2 B2 R2 B' U L
L U L U F' U' L'
L U L' U F' U' L'
L U L2 U F' U' L'
F2 L2 B L' B2 U L2
F2 L2 B' L' U' R' U2
R2 U' L F B R2 U
R2 U' L B R2 F U
R2 U' L B F R2 U
L U' L' U' F' B' U'
L U' L' U' B' F' U'
L U' R2 U B U L
U2 R B2 R' F' U' L'
L U2 L' F' L U' L2
L U2 L2 F' L2 U' L
L' U2 D' F' U' L' B2
L' U2 D' F' U' B2 L'
L U2 D F' U' L' D
L U2 D F' U' L' D'
L U2 D F' U' L' D2
L U2 D F' U' D L'
L U2 D F' U' D' L'
L U2 D F' U' D2 L'
L U2 D F' D U' L'
L U2 D F' D' U' L'
L U2 D F' D2 U' L'
L U2 D F' B U' L'
L U2 D F' B' U' L'
L U2 D F' B2 U' L'
L U2 D B F' U' L'
L U2 D B' F' U' L'
L U2 D B2 F' U' L'
D2 R2 L B R2 U L
D' R2 L B R2 U L
L' U2 D2 F' R2 U' L'
L U2 D' F' U' L' D
L U2 D' F' U' L' D'
L U2 D' F' U' L' D2
L U2 D' F' U' D L'
L U2 D' F' U' D' L'
L U2 D' F' U' D2 L'
L U2 D' F' D U' L'
L U2 D' F' D' U' L'
L U2 D' F' D2 U' L'
L U2 D' F' B U' L'
L U2 D' F' B' U' L'
L U2 D' F' B2 U' L'
L U2 D' B F' U' L'
L U2 D' B' F' U' L'
L U2 D' B2 F' U' L'
D R2 L B R2 U L
L U2 D2 F' U' L' D
L U2 D2 F' U' L' D'
L U2 D2 F' U' L' D2
L U2 D2 F' U' D L'
L U2 D2 F' U' D' L'
L U2 D2 F' U' D2 L'
L U2 D2 F' D U' L'
L U2 D2 F' D' U' L'
L U2 D2 F' D2 U' L'
L U2 D2 F' B U' L'
L U2 D2 F' B' U' L'
L U2 D2 F' B2 U' L'
L U2 D2 B F' U' L'
L U2 D2 B' F' U' L'
L U2 D2 B2 F' U' L'
L' U2 F' U' D' L' B2
L' U2 F' U' D' B2 L'
L' U2 F' U2 L2 U L
U' R2 U L B U L
L' U2 F' D' U' L' B2
L' U2 F' D' U' B2 L'
L' U2 F' D2 R2 U' L'
L U2 F' U R U2 L'
L U2 F' U R' U2 L'
L U2 F' U R2 U2 L'
L U2 F' U' L2 D L
L U2 F' U' L2 D' L
L U2 F' U' L2 D2 L
L U2 F' U' D L' D
L U2 F' U' D L' D'
L U2 F' U' D L' D2
L U2 F' U' D' L' D
L U2 F' U' D' L' D'
L U2 F' U' D' L' D2
L U2 F' U' D2 L' D
L U2 F' U' D2 L' D'
L U2 F' U' D2 L' D2
L U2 F' U' B' L' B
L U2 F' U' B2 L' B2
L U2 F' D U' L' D
L U2 F' D U' L' D'
L U2 F' D U' L' D2
L2 U2 F2 R F U' L'
L U2 F' D B U' L'
L U2 F' D B' U' L'
L U2 F' D B2 U' L'
L U2 F' D' U' L' D
L U2 F' D' U' L' D'
L U2 F' D' U' L' D2
L U2 F' D' B U' L'
L U2 F' D' B' U' L'
L U2 F' D' B2 U' L'
L U2 F' D2 U' L' D
L U2 F' D2 U' L' D'
L U2 F' D2 U' L' D2
L U2 F' D2 B U' L'
L U2 F' D2 B' U' L'
L U2 F' D2 B2 U' L'
L U2 F' B U' L' D
L U2 F' B U' L' D'
L U2 F' B U' L' D2
L U2 F' B U' D L'
L U2 F' B U' D' L'
L U2 F' B U' D2 L'
L U2 F' B D U' L'
L U2 F' B D' U' L'
L U2 F' B D2 U' L'
L U2 F' B' U' L' D
L U2 F' B' U' L' D'
L U2 F' B' U' L' D2
L U2 F' B' U' D L'
L U2 F' B' U' D' L'
L U2 F' B' U' D2 L'
L U2 F' B' D U' L'
L U2 F' B' D' U' L'
L U2 F' B' D2 U' L'
L U2 F' B2 U' L' D
L U2 F' B2 U' L' D'
L U2 F' B2 U' L' D2
L U2 F' B2 U' D L'
L U2 F' B2 U' D' L'
L U2 F' B2 U' D2 L'
L U2 F' B2 D U' L'
L U2 F' B2 D' U' L'
L U2 F' B2 D2 U' L'
U2 R2 U2 L B U L
L U2 B D F' U' L'
L U2 B D' F' U' L'
L U2 B D2 F' U' L'
L U2 B F' U' L' D
L U2 B F' U' L' D'
L U2 B F' U' L' D2
L U2 B F' U' D L'
L U2 B F' U' D' L'
L U2 B F' U' D2 L'
L U2 B F' D U' L'
L U2 B F' D' U' L'
L U2 B F' D2 U' L'
L U2 B' D F' U' L'
L U2 B' D' F' U' L'
L U2 B' D2 F' U' L'
L U2 B' F' U' L' D
L U2 B' F' U' L' D'
L U2 B' F' U' L' D2
L U2 B' F' U' D L'
