U2 L' F B'
U2 L' B' F
U2 L' D F B'
U2 L' D B' F
U2 L' D' F B'
U2 L' D' B' F
U2 L' D2 F B'
U2 L' D2 B' F
U2 L' F D B'
U2 L' F D' B'
U2 L' F D2 B'
U2 L' F B' D
U2 L' F B' D'
U2 L' F B' D2
U2 L' B' D F
U2 L' B' D' F
U2 L' B' D2 F
U2 L' B' F D
U2 L' B' F D'
U2 L' B' F D2
R U2 L' F B
R U2 L' B F
R U2 B L' F
B' U2 L' F B'
B' U2 L' B' F
B2 U2 L' F B'
B U2 L' F B'
B2 U2 L' B' F
B U2 L' B' F
U2 B L' F B'
U2 B L' B' F
U2 B' L' F B'
U2 B' L' B' F
U2 B2 L' F B'
U2 B2 L' B' F
L' R F B2 R' B'
L' R B2 R' F B'
L' R B2 R' B' F
L' R B2 F R' B'
U2 L' R F R' B'
U2 L' R' B' R F
U2 L' R2 F R2 B'
U2 L' R2 F B' R2
U2 L' R2 B' R2 F
U2 L' R2 B' F R2
L' R' F D2 B2 R'
R' L' F D2 B2 R'
R2 L' F B2 R' B
R L' F B2 R' B'
U2 L' D F D B'
U2 L' D F D' B'
U2 L' D F D2 B'
U2 L' D F B' D
U2 L' D F B' D'
U2 L' D F B' D2
U2 L' D B' D F
U2 L' D B' D F
U2 L' D B' D' F
U2 L' D B' D2 F
U2 L' D B' F D
U2 L' D B' F D'
U2 L' D B' F D2
U2 L' D' F D B'
U2 L' D' F D' B'
U2 L' D' F D2 B'
U2 L' D' F B' D
U2 L' D' F B' D'
U2 L' D' F B' D2
U2 L' D' B' D F
U2 L' D' B' D' F
U2 L' D' B' D2 F
U2 L' D' B' F D
U2 L' D' B' F D'
U2 L' D' B' F D2
U2 L' D2 F D B'
U2 L' D2 F D' B'
U2 L' D2 F D2 B'
U2 L' D2 F B' D
U2 L' D2 F B' D'
U2 L' D2 F B' D2
U2 L' D2 B' D F
U2 L' D2 B' D' F
U2 L' D2 B' D2 F
U2 L' D2 B' F D
U2 L' D2 B' F D'
U2 L' D2 B' F D2
R2 L' B2 R' F B
R2 L' B2 R' B F
U2 L' F R' B' R
U2 L' F R2 B' R2
R L' B2 R' F B'
R L' B2 R' B' F
R2 L' B2 F R' B
U2 L' F D B' D
U2 L' F D B' D'
U2 L' F D B' D2
U2 L' F D' B' D
U2 L' F D' B' D'
U2 L' F D' B' D2
U2 L' F D2 B' D
U2 L' F D2 B' D'
U2 L' F D2 B' D2
U2 L' F B2 D B
U2 L' F B2 D' B
R L' B2 F R' B'
U2 L' F B2 D2 B
U2 L' F2 D F' B'
U2 L' F2 D B' F'
U2 L' F2 D' F' B'
U2 L' F2 D' B' F'
U2 L' F2 D2 F' B'
U2 L' F2 D2 B' F'
U2 L' F2 B' D F'
U2 L' F2 B' D' F'
U2 L' F2 B' D2 F'
U2 L' B' R F R'
U2 L' B' R2 F R2
U2 L' B' D F D
U2 L' B' D F D'
U2 L' B' D F D2
U2 L' B' D' F D
U2 L' B' D' F D'
U2 L' B' D' F D2
U2 L' B' D2 F D
U2 L' B' D2 F D'
U2 L' B' D2 F D2
U2 L' B' F2 D F'
U2 L' B' F2 D' F'
U2 L' B' F2 D2 F'
U2 L' B2 D F B
U2 L' B2 D B F
U2 L' B2 D' F B
U2 L' B2 D' B F
U2 L' B2 D2 F B
U2 L' B2 D2 B F
U2 L' B2 F D B
U2 L' B2 F D' B
U2 L' B2 F D2 B
L' R2 F B2 R' B
L' R2 B2 R' F B
L' R2 B2 R' B F
L' R2 B2 F R' B
U2 L2 F L F B'
U2 L2 F L B' F
U2 L2 F' L F B'
U2 L2 F' L B' F
U2 L2 F2 L F B'
U2 L2 F2 L B' F
U2 R L' F R' B'
U R U L' F B'
U R U L' B' F
U' R U' L' F B'
U' R U' L' B' F
B' R U2 L' F B
B' R U2 L' B F
D2 R U2 L' F' B
D2 R U2 L' B F'
B2 R U2 L' F B
B2 R U2 L' B F
B' R U2 B L' F
B R U2 L' F B
B R U2 L' B F
D2 R U2 B L' F'
B2 R U2 B L' F
B R U2 B L' F
