F' R F2 U' L U2
F' R F2 B2 U R'
F' R B2 F2 U R'
F U' L U' L2 U'
F U' L U2 D F2
F U' L D U2 F2
F U' L D' B2 U2
F U2 L' U L2 U2
F U2 L' U' D2 R2
F U2 L' D F2 U'
F U2 L' D2 U' R2
D' F U' L B' U2
D2 F B2 U R' F'
B2 F U2 L' U' R'
B2 F' R F2 U R2
F' B2 R F2 U R2
D2 B2 F U R' F'
F B2 U2 L' U' R'
F' L U L' R F2 U
F' L U R L' F2 U
D' L B' U L' F U
F' L2 R F2 L2 U R
L U L' F U2 L' U'
L U L' F' R F2 U
F' R L2 F2 L2 U R
F' R U' L U F2 U
F' R U' L U2 D' L2
F' R U' L D R2 U2
F' R U' L D' U2 L2
F' R U' D L R2 U2
F' R U' D R2 L U2
F' R U' D' L U2 L
F R U' L U' L2 U'
F R U' L U2 D F2
F R U' L D U2 F2
F R U' L D' B2 U2
F' R U2 D2 B2 U' R'
F R U2 L' U L2 U2
F R U2 L' U' D2 R2
F R U2 L' D F2 U'
F R U2 L' D2 U' R2
F' R D U' L R2 U2
F' R D U' R2 L U2
F' R D' U' L U2 L
F' R D' B2 U L2 R'
F' R D' B2 U R' L2
F' R D2 U2 B2 U' R'
D' R F U' L B' U2
B2 R F U2 L' U' R2
D2 R F B2 U R' F'
D R F U' L U2 F2
D R F B2 U R' F2
D R F B2 U F2 R'
F' R F2 U B2 R' B2
F' R F2 U' L U2 D
F' R F2 U' L U2 D'
F' R F2 U' L U2 D2
F' R F2 U' L D U2
F' R F2 U' L D' U2
F' R F2 U' L D2 U2
F' R F2 U' D L U2
F' R F2 U' D' L U2
F' R F2 U' D2 L U2
F' R F2 D U' L U2
F' R F2 D B2 U R'
F' R F2 D' U' L U2
F' R F2 D' B2 U R'
F' R F2 D2 U' L U2
F' R F2 D2 B2 U R'
F' R F2 B2 U R' D
F' R F2 B2 U R' D'
F' R F2 B2 U R' D2
F' R F2 B2 U D R'
F' R F2 B2 U D' R'
F' R F2 B2 U D2 R'
F' R F2 B2 D U R'
F' R F2 B2 D' U R'
F' R F2 B2 D2 U R'
F' R B2 U R' D' L2
F' R B2 U D' L2 R'
F' R B2 U D' R' L2
D2 R B2 F U R' F'
F' R B2 D' U L2 R'
F' R B2 D' U R' L2
F' R B2 F2 U R' D
F' R B2 F2 U R' D'
F' R B2 F2 U R' D2
F' R B2 F2 U D R'
F' R B2 F2 U D' R'
F' R B2 F2 U D2 R'
F' R B2 F2 D U R'
F' R B2 F2 D' U R'
F' R B2 F2 D2 U R'
D R B2 F U R' F2
D R B2 F U F2 R'
F R B2 U2 L' U' R'
F' R' U D' L2 F2 R
F R' U' L U' L2 U'
F R' U' L U2 D F2
F R' U' L D U2 F2
F R' U' L D' B2 U2
F R' U2 L' U L2 U2
F R' U2 L' U' D2 R2
F R' U2 L' D F2 U'
F R' U2 L' D2 U' R2
F' R' D' U L2 F2 R
D' R' F U' L B' U2
D2 R' F B2 U R' F'
D R' F U' L B U2
B2 R' F' R F2 U R'
F' R' F2 R2 U' L U2
F' R' F2 R2 B2 U R'
F' R' F2 B2 R2 U R
D2 R' B2 F U R' F'
F' R' B2 F2 R2 U R
F R' B2 U2 L' U' R'
F R2 U' L U' L2 U'
F R2 U' L U2 D F2
F R2 U' L D U2 F2
F R2 U' L D' B2 U2
F R2 U2 L' U L2 U2
F R2 U2 L' U' D2 R2
F R2 U2 L' D F2 U'
F R2 U2 L' D2 U' R2
D' R2 F U' L B' U2
D2 R2 F B2 U R' F'
F' R2 F2 R' U' L U2
F' R2 F2 R' B2 U R'
D2 R2 B2 F U R' F'
F R2 B2 U2 L' U' R'
F' U R' D' L2 F2 R
B2 U F' R' D' L2 F2
B2 U F' R' D' F2 L2
D' U' L D' B' U2 L
U' D' L D' B' U2 L
F' U' L U R F2 U
R' D' F U' L B' U2
F U' L U D2 R2 U
F U' L U' L2 U' D
F U' L U' L2 U' D'
F U' L U' L2 U' D2
F U' L U' L2 D U'
F U' L U' L2 D' U'
F U' L U' L2 D2 U'
F U' L U2 D F2 D
F U' L U2 D F2 D'
F U' L U2 D F2 D2
F U' L U2 F D F2
F U' L U2 F' D F2
F U' L U2 F2 D F2
F U' L D U2 F2 D
F U' L D U2 F2 D'
F U' L D U2 F2 D2
F U' L D B U2 F2
F U' L D B' U2 F2
F U' L D B2 U2 F2
F U' L D' B2 U2 D
F U' L D' B2 U2 D'
F U' L D' B2 U2 D2
F U' L D' B2 D U2
F U' L D' B2 D' U2
F U' L D' B2 D2 U2
F U' L D2 U R2 U
R2 D' F U' L B' U2
F U' L B U' L2 U'
F U' L B U2 D F2
F U' L B D U2 F2
F U' L B D' B2 U2
F U' L B' U' L2 U'
F U' L B' U2 D F2
F U' L B' D U2 F2
F U' L B' D' B2 U2
F U' L B2 U' L2 U'
F U' L B2 U2 D F2
F U' L B2 D U2 F2
F U' L B2 D' B2 U2
R D' F U' L B' U2
F U' D L U' L2 U'
F U' D L U2 D F2
F U' D L D U2 F2
F U' D L D' B2 U2
F U' D' L U' L2 U'
F U' D' L U2 D F2
F U' D' L D U2 F2
F U' D' L D' B2 U2
F U' D2 L U' L2 U'
F U' D2 L U2 D F2
F U' D2 L D U2 F2
F U' D2 L D' B2 U2
F U' B2 U' L' U' R'
R' D2 F B2 U R' F'
F U2 L' U L2 U2 D
F U2 L' U L2 U2 D'
F U2 L' U L2 U2 D2
F U2 L' U L2 D U2
F U2 L' U L2 D' U2
F U2 L' U L2 D2 U2
F U2 L' U' R D2 R2
F U2 L' U' R' D2 R2
F U2 L' U' R2 D2 R2
F U2 L' U' D2 R2 D
F U2 L' U' D2 R2 D'
F U2 L' U' D2 R2 D2
F U2 L' U2 D' B2 U
R2 D2 F B2 U R' F'
F U2 L' D F2 U' D
F U2 L' D F2 U' D'
F U2 L' D F2 U' D2
F U2 L' D F2 D U'
F U2 L' D F2 D' U'
F U2 L' D F2 D2 U'
F U2 L' D' U2 B2 U
F U2 L' D2 U' R2 D
F U2 L' D2 U' R2 D'
F U2 L' D2 U' R2 D2
F U2 L' D2 F U' R2
F U2 L' D2 F' U' R2
F U2 L' D2 F2 U' R2
F U2 L' F U L2 U2
F U2 L' F U' D2 R2
F U2 L' F D F2 U'
F U2 L' F D2 U' R2
F U2 L' F' U L2 U2
F U2 L' F' U' D2 R2
F U2 L' F' D F2 U'
F U2 L' F' D2 U' R2
F U2 L' F2 U L2 U2
F U2 L' F2 U' D2 R2
F U2 L' F2 D F2 U'
F U2 L' F2 D2 U' R2
R D2 F B2 U R' F'
F U2 L2 F2 L U' R
R' D2 B2 F U R' F'
F U2 D L' U L2 U2
F U2 D L' U' D2 R2
F U2 D L' D F2 U'
F U2 D L' D2 U' R2
R2 D2 B2 F U R' F'
F U2 D' L' U L2 U2
F U2 D' L' U' D2 R2
F U2 D' L' D F2 U'
F U2 D' L' D2 U' R2
R D2 B2 F U R' F'
U2 F L' U L2 U2 L2
F U2 D2 L' U L2 U2
F U2 D2 L' U' D2 R2
F U2 D2 L' D F2 U'
F U2 D2 L' D2 U' R2
D' F R U' L B' U2
F U2 F U L U2 F
D2 F R B2 U R' F'
D' F R' U' L B' U2
D F R U' L U2 F'
D2 F R' B2 U R' F'
D' F R2 U' L B' U2
D F R B2 U F' R'
D F R' U' L B U2
D2 F R2 B2 U R' F'
R' F U' L U' L2 U'
R' F U' L U2 D F2
R' F U' L D U2 F2
R' F U' L D' B2 U2
D' F U' L D B' U2
D' F U' L D' B' U2
D' F U' L D2 B' U2
D' F U' L B' U2 D
D' F U' L B' U2 D'
D' F U' L B' U2 D2
D' F U' L B' D U2
D' F U' L B' D' U2
D' F U' L B' D2 U2
D2 F U' D L B' U2
R' F U2 L' U L2 U2
R' F U2 L' U' D2 R2
R' F U2 L' D F2 U'
R' F U2 L' D2 U' R2
R2 F U' L U' L2 U'
R2 F U' L U2 D F2
R2 F U' L D U2 F2
R2 F U' L D' B2 U2
D F U' D2 L B' U2
R F U' L U' L2 U'
R F U' L U2 D F2
R F U' L D U2 F2
R F U' L D' B2 U2
R2 F U2 L' U L2 U2
R2 F U2 L' U' D2 R2
R2 F U2 L' D F2 U'
R2 F U2 L' D2 U' R2
D2 F D U' L B' U2
R F U2 L' U L2 U2
R F U2 L' U' D2 R2
R F U2 L' D F2 U'
R F U2 L' D2 U' R2
D' F D' B2 U R' F'
F' D R U' L R U2
F' D R U' R L U2
D F D B2 U R' F'
B2 D R F U R2 F2
B2 D R F U F2 R2
D2 F B R' B U R'
D2 F B D' R' B U
D F D2 U' L B' U2
D2 F B2 U R' D F'
D2 F B2 U R' D' F'
D2 F B2 U R' D2 F'
D2 F B2 U R' F' D
D2 F B2 U R' F' D'
D2 F B2 U R' F' D2
D2 F B2 U D R' F'
D2 F B2 U D' R' F'
D2 F B2 U D2 R' F'
D2 F B2 U F R' F'
D2 F B2 U F' R' F'
D2 F B2 U F2 R' F'
R' F B2 U2 L' U' R'
