L' U F L B R
U2 L B' U' F U' B2
B L' R' F L D R2
B L' R' F D L R2
B L' R' F D R2 L
F' L' U F L B R
B' L' U F L R B2
B' L' U F L B2 R
B' L' U F R L B2
F2 L' U F L B R
B2 L' U F L R B'
B2 L' U F L B' R
B2 L' U F R L B'
F L' U F L B R
U2 L' U B' U F B2
U2 L' U B' U B2 F
B2 L' U' F L B' R'
U2 L' U2 F B D' R2
U2 L' U2 B D' R2 F
U2 L' U2 B D' F R2
U2 L' U2 B F D' R2
U L' F' U' F2 B R
U L' F' U' B F2 R
U L' F2 U' F' B R
U L' F2 U' B F' R
U' L' B' U R' F B2
U' L' B' U R' B2 F
U' L' B' U F R' B2
U2 L2 U2 D' B R' F'
U2 L2 D' U2 B R' F'
L U L2 F L B R
L' U R' F L R B
L' U R' F R L B
L' U D F L B R
L' U D' F L B R
L' U D2 F L B R
L' U F L D B R
L' U F L D' B R
L' U F L D2 B R
L' U F L B R D
L' U F L B R D'
L' U F L B R D2
L' U F L B D R
L' U F L B D' R
L' U F L B D2 R
L' U F L B' R B2
L' U F L B2 R B'
L' U F L' B L2 R
L' U F L' B R L2
L' U F L2 B L' R
L' U F L2 B R L'
L' U F R D2 L B'
L' U F D L B R
L' U F D' L B R
L' U F D2 L B R
R' U F' U2 L' U F
L' U F2 L F' B R
L' U F2 L B F' R
D' R U' B R' U B
B R U' D' B R' U
L' U B D2 F L' R
L' U B D2 F R L'
B R D' U' B R' U
B R D2 R D' F' R
L' U' F L B' R' B2
B R' L' F L D R2
B R' L' F D L R2
B R' L' F D R2 L
B R' U L' F' U' F2
B R' U F' L' U' F
L U' B L' D2 R2 F2
L U' B L' D2 F2 R2
L U' B' U2 L' R' B2
L U' B' U2 R' L' B2
L U' B' U2 R' B2 L'
L2 U2 L2 D' B R' F'
D R2 D R2 B R' F'
D' R2 D' R F' R B
B R2 D' F' D' R F'
B R2 D2 R D F' R
L' D U F L B R
B U L' F' U' F2 R
B U L' F2 U' F' R
D2 U F U' B R F'
D U F L' U' B R
B U D F L' U' R
U D F L' U' B R
B U D2 F U' R F'
B U F L' U' R F
B U F U' D2 R F'
B U F D2 U' R F'
B U F' U L' U2 F
L' D' U F L B R
R2 D2 R D F' R B
B U' B U' L B' U2
R2 D2 R2 D' B R' F'
L' D2 U F L B R
B U2 L B' U' F U'
B U2 L' U B' U F
U D2 F U' B R F'
U F L' U' B R F
U F U' D2 B R F'
U F U' B D2 R F'
U F D2 U' B R F'
B D U F L' U' R
U F' U L' U2 F B
U F' U L' U2 B F
B D' R U' B R' U
B D' R2 D' R F' R
B D' R2 D' F' R F'
B2 D2 R F' B' D' R2
B2 D2 R B' D' F' R2
B2 D2 R B' F' D' R2
B D2 R U' B U F'
B D2 R F' U' B U
B D2 R' F D R2 F'
B D2 R2 D' R' F' R
B D2 U F U' R F'
D2 B R U' B U F'
D' B R U' B R2 U
U B L' D F L' R
U B L' D F R L'
D2 B R F' U' B U
D' B R' U F' U' F
D2 B R' F D R2 F'
D2 B R2 D' R' F' R
D2 B U F U' R F'
D' B U' R' B' U R'
D B U F L' U' R
U' B' L' U R' F B2
U' B' L' U R' B2 F
U' B' L' U F R' B2
D2 B2 R F' B' D' R2
D2 B2 R B' D' F' R2
D2 B2 R B' F' D' R2
