F' L2 B' L2 D' R2
L2 U B U L2 F'
L2 U B U F' L2
L U B U L' F'
F' U' L2 B U B2
F' U' B L2 U B'
F' U' B U' F U2
F' U2 F U B U
R2 F D R2 F' B
R2 F D R2 B F'
B' D L2 U2 L2 F'
B' D L2 U2 F' L2
L2 F' L2 B' D' R2
B' D' F R2 F2 B
B' D' F R2 B F2
U B U2 B' U' F'
D2 L U B U L' F'
D' L U B U L' F'
B' L U B2 U L' F'
D L U B U L' F'
B' L U2 L' D' F' R2
B' L U2 L' F' D' R2
U L U2 L' B U F'
B' L U2 D' L' F' R2
U L U2 B L' U F'
B' L D L2 U2 L F'
B' L D L2 U2 F' L
B' L D' U2 L' F' R2
B' L' U2 L D' F' R2
B' L' U2 L F' D' R2
U L' U2 L B U F'
B' L' U2 D' L F' R2
B' L' U2 D' F' L R2
B' L' U2 D' F' R2 L
B2 L' U2 D L F' R
B2 L' U2 D F' L R
B2 L' U2 D F' R L
B' L' U2 F' L D' R2
B' L' U2 F' D' L R2
B' L' U2 F' D' R2 L
B' L' D L2 U2 L' F'
B2 L' D U2 L F' R
B2 L' D U2 F' L R
B2 L' D U2 F' R L
B' L' D' U2 L F' R2
B' L' D' U2 F' L R2
B' L' D' U2 F' R2 L
B L2 U L2 D' F' B2
B L2 U L2 D' B2 F'
B L2 U L2 F' D' B2
D2 L2 U B U L2 F'
D2 L2 U B U F' L2
D' L2 U B U L2 F'
D' L2 U B U F' L2
B' L2 U B2 U L2 F'
B' L2 U B2 U F' L2
B L2 U F' L2 D' B2
D L2 U B U L2 F'
D L2 U B U F' L2
F' L2 U' B U L2 B2
F' L2 U' B U B2 L2
B2 L2 U' F U' L2 F2
B2 L2 U' F U' F2 L2
B' L2 U2 L2 D' F' R2
B' L2 U2 L2 F' D' R2
L2 R2 B U' F' U' L2
R2 L2 B U' F' U' L2
B' L2 U2 F' L2 D' R2
U L2 U2 L2 B U F'
B2 L2 U2 F' L2 D R2
U L2 U2 B L2 U F'
F' L2 D B' D' L2 R2
F' L2 D B' D' R2 L2
B2 L2 F U' F2 L2 B'
B L2 F U F2 L2 B'
D2 L2 F' L2 B' D' R2
D' L2 F' L2 B' D' R2
B' L2 F' L2 D' R2 B'
B' L2 F' L2 D' B' R2
B2 L2 F' L2 D R2 B'
B2 L2 F' L2 D B' R2
