U L U' L2 B' R' F'
B' L' R' F' U' L' U
R' L' F' U' L' B' U
L' R' F' U' L' B' U
B' L' F R' D F' B2
B' L' F R' D B2 F'
B' L' F R' F' D B2
B' L' F2 D R' F' B
B' L' F2 D R' B F'
B' L2 R' F' L D' B2
U L2 U L F R B'
U L2 U L F B' R
U L2 U L B' F R
U L2 U' L B' R' F'
L' U L' U' B' R' F'
L' U R' F' L' U' B'
L' U F' L' U' B' R'
B' R U L' R2 F' B'
B' R U L' R2 B' F'
B' R U R2 L' F' B'
B' R U R2 L' B' F'
F2 R D' B L U2 B'
F2 R B D' L U2 B'
B' R' L' F' U' L' U
B' R' L2 F' L D' B2
B' R2 U L' R F' B'
B' R2 U L' R B' F'
B' R2 U L' B' R F'
B' R2 U R L' F' B'
B' R2 U R L' B' F'
B' R2 U' L' R F' B
B' R2 U' L' R B F'
B' R2 U' R L' F' B
B' R2 U' R L' B F'
B' R2 U' R B L' F'
F U' R B L F U'
F2 D R F' B L U2
F2 D R B L F' U2
F2 D R B F' L U2
L' F B' R' D F' B2
L' F B' R' D B2 F'
L' F B' R' F' D B2
L' F' U' L' B' R' U
F2 D' R B L U2 B'
L' F2 D B' R' F' B
L' F2 D B' R' B F'
L2 F2 D' L B' R' F'
L' F2 B' D R' F' B
L' F2 B' D R' B F'
B' F R' D F' L' B2
B' F R' D F' B2 L'
B' F R' D B2 F' L'
B' F R' F' L' D B2
B' F R' F' D L' B2
B' F R' F' D B2 L'
L' B' R' F' U' L' U
R' B' U L' F' R' B'
F B' R' D F' L' B2
F B' R' D F' B2 L'
F B' R' D B2 F' L'
F B' R' F' L' D B2
F B' R' F' D L' B2
F B' R' F' D B2 L'
L' B' F R' D F' B2
L' B' F R' D B2 F'
L' B' F R' F' D B2
L' B' F2 D R' F' B
L' B' F2 D R' B F'
