B' L' D F2 U2 L2
B' L' D' R2 U2 B2
B R' U L' B2 U2
B R' U B2 L' U2
B R' U' D2 F2 R
B R' D2 U' F2 R
B D2 R' U' F2 R
B L R' U L2 B2 U2
B L R' U B2 L2 U2
B L R' U' D2 R2 F2
B L R' U' D2 F2 R2
B L R' D L2 F2 U'
B L R' D F2 L2 U'
B L R' D2 U' R2 F2
B L R' D2 U' F2 R2
B L D L2 R' F2 U'
B L D L2 F2 R' U'
B L D R' L2 F2 U'
B L D R' F2 L2 U'
B L D F2 L2 R' U'
B L D F2 R' L2 U'
B L D2 R' U' R' F2
B L D2 R' U' F2 R'
B' L' R D F2 U2 L2
B' L' R D' R2 U2 B2
B' L' R' D F2 U2 L2
B' L' R' D' R2 U2 B2
B' L' R2 D F2 U2 L2
B' L' R2 D' R2 U2 B2
B' L' U L2 U D L2
B' L' U L2 U2 B2 U'
B' L' U L2 D U L2
B' L' U L2 D2 F2 U
B' L' U' B2 U' D' B2
B' L' U' B2 U2 L2 U
B' L' U' B2 D' U' B2
B' L' U' B2 D2 R2 U'
B' L' U2 D L2 D2 B2
B' L' U2 D' B2 D2 L2
B' L' D R F2 U2 L2
B' L' D R' F2 U2 L2
B' L' D R2 F2 U2 L2
B' L' D U2 L2 D2 B2
B' L' D F U2 L2 B'
B' L' D F2 R U2 L2
B' L' D F2 R' U2 L2
B' L' D F2 R2 U2 L2
B' L' D F2 U2 L2 D
B' L' D F2 U2 L2 D'
B' L' D F2 U2 L2 D2
B' L' D F2 D2 R2 U2
B' L' D' R' U2 B2 L
B' L' D' R2 U2 B2 D
B' L' D' R2 U2 B2 D'
B' L' D' R2 U2 B2 D2
B' L' D' R2 D2 F2 U2
B' L' D' R2 F U2 B2
B' L' D' R2 F' U2 B2
B' L' D' R2 F2 U2 B2
B' L' D' U2 B2 D2 L2
B' L' D' F R2 U2 B2
B' L' D' F' R2 U2 B2
B' L' D' F2 R2 U2 B2
B' L' F D F2 U2 L2
B' L' F D' R2 U2 B2
B' L' F' D F2 U2 L2
B' L' F' D' R2 U2 B2
B' L' F2 D F2 U2 L2
B' L' F2 D' R2 U2 B2
B L' B2 U' B2 R' U'
B L2 R' U L B2 U2
B L2 R' U B2 U2 R'
F2 L2 B R' U' R2 F
F2 L2 B R' U' F R2
B' R L' D F2 U2 L2
B' R L' D' R2 U2 B2
F2 R D L B' L F
B R D L2 U' B2 R'
L' U' L' B R' U' F
B R' L U L2 B2 U2
B R' L U B2 L2 U2
B R' L U' D2 R2 F2
B R' L U' D2 F2 R2
B R' L D L2 F2 U'
B R' L D F2 L2 U'
B R' L D2 U' R2 F2
B R' L D2 U' F2 R2
B' R' L' D F2 U2 L2
B' R' L' D' R2 U2 B2
B R' L2 U L B2 U2
B R' L2 U B2 U2 R'
B R' U L B2 L2 U2
B R' U L' U2 D2 F2
B R' U L' D2 U2 F2
B R' U L' B2 U2 D
B R' U L' B2 U2 D'
