B' U' R' U' L R2
B' U' R' U' R2 L
B' U2 L R D B2
B' U2 R L D B2
B' U2 R D L B2
U' B' U2 L R B
U' B' U2 R L B
B' L R D B2 D2 F2
U L R B' L F B2
U L R B' L B2 F
B L U R D2 L2 F2
B L U R D2 F2 L2
B L U' R' B2 U2 R2
B L U' B2 U2 L R
B L U' B2 U2 R L
B' L U2 R D B2 L
U L B' L R F B
U L B' L R B F
U L B' R L F B
U L B' R L B F
U L B2 R B L F
U' L' R B' L' F L2
B' L' U' R' U' L2 R2
B' L' U' R' U' R2 L2
B' L' U2 L2 R D B2
B' L' U2 R L2 D B2
U' L' B' L' R F L2
U' L' B' R L' F L2
U' L' B' D2 L R F'
U' L' B' D2 R L F'
U' L' B' D2 R F' L
U' L2 R F L B' L
U' L2 R F B' L B'
U' L2 R B' F L B'
U L2 R D2 F L' B
U L2 R D2 F B L'
U L2 R D2 B F L'
U L2 R F B' L B2
U L2 R B' F L B2
D2 L2 U R F L' B
D2 L2 U R F B L'
D2 L2 U R B F L'
D L2 U R F B L
D L2 U R B F L
D2 L2 U' R F L' B'
B' L2 U' R' U' L' R2
B' L2 U' R' U' R2 L'
B' L2 U2 L' R D B2
B' L2 U2 R L' D B2
B' L2 U2 R D L' B2
B' L2 U2 R D B2 L'
U L2 D2 R F L' B
U L2 D2 R F B L'
U L2 D2 R B F L'
L2 U R D2 F L' B
L2 U R D2 F B L'
L2 U R D2 B F L'
L2 U R F B' L B2
L2 U R B' F L B2
U' L2 B' R F L B'
U L2 B' R F L B
U L2 B2 R F B L
U L2 B2 R B F L
B' R L D B2 D2 F2
L2 U D2 R F L' B
L2 U D2 R F B L'
L2 U D2 R B F L'
U R L B' L F B2
U R L B' L B2 F
U' R L' B' L' F L2
U' R L2 F L B' L
U' R L2 F B' L B'
U' R L2 B' F L B'
U R L2 D2 F L' B
U R L2 D2 F B L'
U R L2 D2 B F L'
U R L2 F B' L B2
U R L2 B' F L B2
B' R D L B2 D2 F2
L2 U B' R F L B
U R U2 B' U2 L B2
L2 U B2 R F B L
L2 U B2 R B F L
L' U' L' R F B' L
L' U' L' R B' F L
L2 U' L' R B' L F
U R D2 L2 F L' B
U R D2 L2 F B L'
U R D2 L2 B F L'
L' U' L' B' R F L
L2 U' L' B' L R F
L2 U' L' B' R L F
L' U' R L' F B' L
L' U' R L' B' F L
L2 U' R L' B' L F
L2 U' R D2 F L' B'
L2 U' R F L' B' L
U R B U2 R' B2 U2
U R B U2 B2 U2 L
U R B' L B2 D2 F2
L2 U' D2 R F L' B'
U R' F' B' U2 L R2
U R' F' B' U2 R2 L
U R' B' U2 L R2 B
U R' B' U2 R2 L B
U R' B' F' U2 L R2
U R' B' F' U2 R2 L
B R' B2 U' R' U' R'
U R' B2 R2 F' B L
U R' B2 R2 B L F'
U R' B2 R2 B F' L
B' R2 U' R U' L R2
B' R2 U' R U' R2 L
B' R2 U2 L R' D B2
B' R2 U2 R' L D B2
B' R2 U2 R' D L B2
B2 R2 D' F' R' B L
B2 R2 F' D' R' B L
D2 U L2 R F L' B
D2 U L2 R F B L'
D2 U L2 R B F L'
D2 U R L2 F L' B
D2 U R L2 F B L'
D2 U R L2 B F L'
B' U' R' U' L R2 D
B' U' R' U' L R2 D'
B' U' R' U' L R2 D2
B' U' R' U' R2 L D
B' U' R' U' R2 L D'
B' U' R' U' R2 L D2
B' U' R' U' R2 D L
B' U' R' U' R2 D' L
B' U' R' U' R2 D2 L
B' U' R' D' F2 U' L
B' U' R' F U' L R2
B' U' R' F U' R2 L
B' U' R' F' U' L R2
B' U' R' F' U' R2 L
B' U' R' F2 U' L R2
B' U' R' F2 U' R2 L
B' U' D R' U' L R2
B' U' D R' U' R2 L
B' U' D' R' U' L R2
B' U' D' R' U' R2 L
B' U' D2 R' U' L R2
B' U' D2 R' U' R2 L
F2 U' B' L' U2 B' L2
U D2 L2 R F L' B
U D2 L2 R F B L'
U D2 L2 R B F L'
L2 D2 U R F L' B
L2 D2 U R F B L'
L2 D2 U R B F L'
U D2 R L2 F L' B
U D2 R L2 F B L'
U D2 R L2 B F L'
B' U2 L R U R2 U'
B' U2 L R D B2 D
B' U2 L R D B2 D'
B' U2 L R D B2 D2
B' U2 L R B D B2
B' U2 L R B' D B2
B' U2 L R B2 D B2
B' U2 L U R' U' R2
L2 D2 U' R F L' B'
B' U2 L D R D B2
B' U2 L D' R D B2
B' U2 L D2 R D B2
B' U2 L2 R D L' B2
B' U2 L2 R D B2 L'
B' U2 R L U R2 U'
B' U2 R L D B2 D
B' U2 R L D B2 D'
B' U2 R L D B2 D2
B' U2 R L B D B2
B' U2 R L B' D B2
B' U2 R L B2 D B2
B' U2 R L2 D L' B2
B' U2 R L2 D B2 L'
B' U2 R U R2 U' L
B' U2 R D L B2 D
B' U2 R D L B2 D'
B' U2 R D L B2 D2
B' U2 R D L' B2 L2
B' U2 R D L2 B2 L'
B' U2 R D' L D2 B2
B' U2 R B2 D B2 L
B' U2 D L R D B2
B' U2 D R L D B2
B' U2 D R D L B2
B' U2 D' L R D B2
B' U2 D' R L D B2
B' U2 D' R D L B2
B' U2 D2 L R D B2
B' U2 D2 R L D B2
B' U2 D2 R D L B2
B' D U' R' U' L R2
B' D U' R' U' R2 L
B' D U2 L R D B2
B' D U2 R L D B2
B' D U2 R D L B2
B2 D B U2 L R B'
B2 D B U2 L B' R
B2 D B U2 R L B'
B' D' U' R' U' L R2
B' D' U' R' U' R2 L
B' D' U2 L R D B2
B' D' U2 R L D B2
B' D' U2 R D L B2
U' F2 B' L' U2 B' L2
B' D2 U' R' U' L R2
B' D2 U' R' U' R2 L
B' D2 U2 L R D B2
B' D2 U2 R L D B2
B' D2 U2 R D L B2
U B R D2 L2 F2 B
U B R D2 L2 B F2
U B R D2 F2 L2 B
U B R D2 F2 B L2
