B' L U B' L2 U
L U B' L2 R' U
L U B' R' L2 U
B' U L B' L2 U
B' U L' U2 F U'
F' D' B' L U2 B'
D' B' L U L2 U
D' B' L U2 D' B2
D' B' L D F2 U2
D' B' L D' U2 B2
B' L U L2 U2 F U'
B' L U D' B' U B'
B' L U B L2 B2 U
B' L U B' L2 U D
B' L U B' L2 U D'
B' L U B' L2 U D2
B' L U B' L2 D U
B' L U B' L2 D' U
B' L U B' L2 D2 U
B' L U B' U D' B2
B' L U B' D' U B2
B' L U B2 L2 B U
B L U B' L2 U F
B' L U2 B D' R2 B2
B' L U2 B D' B2 R2
B' L D F2 U B' U
B' L D' U B' U B'
B' L F U B' L2 U
B' L F' U B' L2 U
B' L F2 U B' L2 U
B2 L B U L2 B2 U
B2 L B U B2 L2 U
B2 L B U2 D' R2 B2
B2 L B U2 D' B2 R2
B2 L B D L2 F2 U2
B2 L B D F2 L2 U2
B2 L B D' U2 R2 B2
B2 L B D' U2 B2 R2
B L B2 U L2 B U
B L B2 U B L2 U
B' L' U L2 B' U B
B' L' U' F R2 U' B
B' L' U' F U F' U2
U L' U2 L' U' F R
U L' U2 L' U' F R
U L' U2 D F L' U'
U L' U2 F L' U' F
U L' D U2 F L' U'
B' L2 U L B' U R'
L U R B' L2 R' U
L U R B' R' L2 U
L U R' B' L2 R' U
L U R' B' R' L2 U
L U R2 B' L2 R' U
L U R2 B' R' L2 U
L U D' B' R' U B'
L U B' L2 R' U D
L U B' L2 R' U D'
L U B' L2 R' U D2
L U B' L2 R' D U
L U B' L2 R' D' U
L U B' L2 R' D2 U
L U B' L2 D R' U
L U B' L2 D' R' U
L U B' L2 D2 R' U
L U B' R' L2 U D
L U B' R' L2 U D'
L U B' R' L2 U D2
L U B' R' L2 D U
L U B' R' L2 D' U
L U B' R' L2 D2 U
L U B' R' U D' B2
L U B' R' D' U B2
L U B' D' R' U B2
L U B2 L2 B R' U
L2 U2 L U L' F R
L' U2 L' U' F L R
L' U2 L' U' F R L
L' U2 D F L' U' L
L' U2 F L' U' F L
B' U L D' B' U B'
L' D U2 F L' U' L
B' U L B L2 B2 U
B' U L B' L2 U D
B' U L B' L2 U D'
B' U L B' L2 U D2
B' U L B' L2 D U
B' U L B' L2 D' U
B' U L B' L2 D2 U
B' U L B' U D' B2
B' U L B' D' U B2
B' U L B2 L2 B U
B' U L' U2 D F U'
B' U L' U2 D' F U'
B' U L' U2 D2 F U'
B' U L' U2 F U' D
B' U L' U2 F U' D'
B' U L' U2 F U' D2
B' U L' U2 F D U'
B' U L' U2 F D' U'
B' U L' U2 F D2 U'
B' U L' D U2 F U'
B' U L' D' U2 F U'
B' U L' D2 U2 F U'
B U L B' L2 U F
B' U L' B U2 F U'
B' U L' B' U2 F U'
B' U L' B2 U2 F U'
L D F2 U B' R' U
B' U D' L' B U R'
B' U D' B L' U R'
B' U B L B' L2 U
B' U B L' U2 F U'
B' U B' L B' L2 U
B' U B' L' U2 F U'
B' U B2 L B' L2 U
B' U B2 L' U2 F U'
L D' U B' R' U B'
F2 U' L2 R U' F R
F2 U' R L2 U' F R
B' U' D2 F2 R F' U'
B' U' F2 D2 R F' U'
U' F L2 U' F R B
L F U B' L2 R' U
L F U B' R' L2 U
L F' U B' L2 R' U
L F' U B' R' L2 U
D' F' B' D' L U2 B'
B' D' U L' B U R'
B' D' U B L' U R'
U' F2 L2 R U' F R
F' D' F B' L U2 B'
U' F2 R L2 U' F R
F' D' F' B' L U2 B'
F' D' F2 B' L U2 B'
B2 D' B U L' U R'
F' D' B' L U2 D B'
F' D' B' L U2 D' B'
F' D' B' L U2 D2 B'
F' D' B' L U2 B' D
F' D' B' L U2 B' D'
F' D' B' L U2 B' D2
F' D' B' L D U2 B'
F' D' B' L D' U2 B'
F' D' B' L D2 U2 B'
F' D' B' L F U2 B'
F' D' B' L F' U2 B'
F' D' B' L F2 U2 B'
F' D' B' L' F L2 U2
F2 D' B' L U' R U'
F' D' B' F L U2 B'
F' D' B' F' L U2 B'
F' D' B' F2 L U2 B'
L F2 U B' L2 R' U
L F2 U B' R' L2 U
D' F2 B' L U' R U'
D2 F2 B' U' R F' U'
B' D2 U' F2 R F' U'
U B L B' L2 U F
B' D2 F2 U' R F' U'
F2 D2 B' U' R F' U'
D' B' L U L2 U D
D' B' L U L2 U D'
D' B' L U L2 U D2
D' B' L U L2 D U
D' B' L U L2 D' U
D' B' L U L2 D2 U
D' B' L U' D2 R2 U'
D' B' L U2 D' B2 D
D' B' L U2 D' B2 D'
D' B' L U2 D' B2 D2
D' B' L U2 B D' B2
D' B' L U2 B' D' B2
D' B' L U2 B2 D' B2
D' B' L D F2 U2 D
D' B' L D F2 U2 D'
D' B' L D F2 U2 D2
D' B' L D F2 D U2
D' B' L D F2 D' U2
D' B' L D F2 D2 U2
D' B' L D' U2 B2 D
D' B' L D' U2 B2 D'
D' B' L D' U2 B2 D2
D' B' L D' F U2 B2
D' B' L D' F' U2 B2
D' B' L D' F2 U2 B2
D' B' L D2 U' R2 U'
D' B' L F U L2 U
D' B' L F U2 D' B2
D' B' L F D F2 U2
D' B' L F D' U2 B2
D' B' L F' U L2 U
D' B' L F' U2 D' B2
D' B' L F' D F2 U2
D' B' L F' D' U2 B2
D' B' L F2 U L2 U
D' B' L F2 U2 D' B2
D' B' L F2 D F2 U2
D' B' L F2 D' U2 B2
U B' L' U2 F U' F'
D' B' U L' U D2 R2
D' B' U L' U' L2 U2
D' B' U L' D' B2 U
D' B' U L' D2 U R2
F2 B' L' U' R F U'
D' B' U B2 L' U R'
D2 B' U' F2 R F' U'
D' B' D L U L2 U
D' B' D L U2 D' B2
D' B' D L D F2 U2
D' B' D L D' U2 B2
D' B' D' L U L2 U
D' B' D' L U2 D' B2
D' B' D' L D F2 U2
D' B' D' L D' U2 B2
D' B' D2 L U L2 U
D' B' D2 L U2 D' B2
D' B' D2 L D F2 U2
D' B' D2 L D' U2 B2
F2 B' U' D2 R F' U'
D' B' F' D' L U2 B'
D' B' F2 L U' R U'
D2 B' F2 U' R F' U'
F2 B' D2 U' R F' U'
B' F2 L' U' R F U'
B' F2 U' D2 R F' U'
B' F2 D2 U' R F' U'
