F L' B' U L' U L2
F L' B' U2 L D' B2
B' L2 U L' F' R F2
F L2 U' L B' U2 L
F' R B D' B2 L F
F' R B' D' L F B2
F' R B' D' L B2 F
F' B D' B2 L R F
F' B D' B2 R L F
F2 B D' B2 L F R
B' F' L2 U L' R F
B' F' L2 U R L' F
F' B' L2 U L' R F
F' B' L2 U R L' F
B' F' R D' L F B2
B' F' R D' L B2 F
F' B' R D' L F B2
F' B' R D' L B2 F
B' F' D' L R F B2
B' F' D' L R B2 F
B' F' D' L B2 R F
B' F' D' R L F B2
B' F' D' R L B2 F
F' B' D' L R F B2
F' B' D' L R B2 F
F' B' D' L B2 R F
F' B' D' R L F B2
F' B' D' R L B2 F
F2 B' D' L F R B2
F2 B' D' L F B2 R
F2 B' D' L B2 F R
B F' D' B2 L R F
B F' D' B2 R L F
B' F2 D' L F R B2
B' F2 D' L F B2 R
B' F2 D' L B2 F R
B F2 D' B2 L F R
