U F' R U' F' U2
F' L R U' L' F' U2
U L F' R U' F' U2
F' L' R U' L F' U2
F' L' R U' F' L U2
U L' F' R U' F' U2
F' L' B2 R U R2 B
F' L2 R U D2 R2 B
F' L2 R U' L2 F' U2
F' L2 R U' F' L2 U2
F' L2 R D2 U R2 B
U L2 F' R U' F' U2
R2 U R2 F' L' R U
R2 U R2 F' R L' U
F' R L U' L' F' U2
F' R L' U' L F' U2
F' R L' U' F' L U2
F' R L2 U D2 R2 B
F' R L2 U' L2 F' U2
F' R L2 U' F' L2 U2
F' R L2 D2 U R2 B
F' R U B2 D' R2 B
F' R U' F' U' F U'
F' R U2 R2 U' B R2
F' R F' U F U F'
F2 R F' U F2 R U
F R F' U F' R U
D R' B U' R' B U'
R' U2 D' L' F L' B
R' U2 D' L' F B L'
R' U2 D' L' B F L'
R' U2 D' F L' F B
R' U2 D' F L' B F
R' U2 D' F B L' F
R' U2 D' B L' F L'
R' U2 D' B F L' F
R' U2 B D' L' F L'
R' U2 B D' F L' F
D R2 U' B L R' U'
D R2 U' B R' L U'
R' D R' B R' F' U2
R' D B R' B U2 B'
U' D R2 B R' U' F'
D' U F L' F2 U F'
F U R2 F2 R U B
B' U F' R U' F' U2
B2 U F' R U' F' U2
B U F' R U' F' U2
F U F2 R U' F' U2
R' D' U2 L' F L' B
R' D' U2 L' F B L'
R' D' U2 L' B F L'
R' D' U2 F L' F B
R' D' U2 F L' B F
R' D' U2 F B L' F
R' D' U2 B L' F L'
R' D' U2 B F L' F
R' D' F U2 L' F B
R' D' F U2 L' B F
R' D' F U2 B L' F
D U' R2 B R' U' F'
U D' F L' F2 U F'
D' F U L' F2 U F'
U F R2 F2 R U B
U F' L R U' F' U2
U F' L' R U' F' U2
L' F' R U' L F' U2
L' F' R U' F' L U2
U F' L2 R U' F' U2
U2 F' R U R2 B R
L2 F' R U D2 R2 B
L2 F' R U' L2 F' U2
L2 F' R U' F' L2 U2
U2 F' R U' F' U2 R'
L2 F' R D2 U R2 B
U F' R L U' F' U2
U F' R L' U' F' U2
U F' R L2 U' F' U2
U F' R U R2 B R2
U F' R U' D F' U2
U F' R U' D' F' U2
U F' R U' D2 F' U2
U F' R U' F' U2 D
U F' R U' F' U2 D'
U F' R U' F' U2 D2
U F' R U' F' D U2
U F' R U' F' D' U2
U F' R U' F' D2 U2
U F' R U' F' D2 U2
U F' R U2 R2 U' B
L F' R U' F' U2 R
U F' R D U' F' U2
U F' R D' U' F' U2
U F' R D2 U' F' U2
U F' R' U D' F2 B
U F' R' U D' B F2
U F' R' U B D' F2
U F' R' D' U F2 B
U F' R' D' U B F2
R F' R' U F' R2 U
R F' U R F' U L'
U F' D2 L R U B'
U F' D2 R L U B'
L' F' B2 R U R2 B
U F2 R2 F R U B
U F2 D' F L' R U
U F2 D' F R L' U
L' B2 F' R U R2 B
