D' L R U' F L'
D2 L R B' U' F
L R U' F D' L2
R L U' F D' L2
R L U' F D' L2
L R U2 F' U F2
R L U2 F' U F2
R' L B R2 U' F
D2 L B' R U' F
L R' B R2 U' F
D' R L U' F L'
D2 R L B' U' F
R U2 F' R' U F'
L D' R U' F L'
R' B L R2 U' F
R' B R2 L U' F
B' L R U' F D' L2
D' L R U' F L' D
D' L R U' F L' D'
D' L R U' F L' D2
D' L R U' F D L'
D' L R U' F D' L'
D' L R U' F D2 L'
B' L R U2 F' U F2
B2 L R U' F D' L2
D L R U' D2 F L'
B2 L R U2 F' U F2
B L R U' F D' L2
D2 L R D B' U' F
B L R U2 F' U F2
D2 L R D' B' U' F
D2 L R D2 B' U' F
D L R D2 U' F L'
D' L R B U' F L'
L' R U B' U F' U
D2 L R B' U' D F
D2 L R B' U' D' F
D2 L R B' U' D2 F
D2 L R B' U' F D
D2 L R B' U' F D'
D2 L R B' U' F D2
D' L R B' U' F L'
D2 L R B' D U' F
D2 L R B' D' U' F
D2 L R B' D2 U' F
D' L R B2 U' F L'
D L R B' U' F L
L' R U' L2 F D' L2
L2 R U' L' F D' L2
B' L R' B R2 U' F
L' R U' F D' L2 F
B2 L R' B R2 U' F
L R U' D F D' L2
D2 L R' B' R2 U' F
L R U' D' F D' L2
B L R' B R2 U' F
L R U' D2 F D' L2
L R U' F L D' L2
L R U' F L' D' L2
L R U' F L2 D' L2
L R U' F U' F2 U
L R U' F D' L2 D
L R U' F D' L2 D'
L R U' F D' L2 D2
R L U' D F D' L2
R L U' D' F D' L2
R L U' D2 F D' L2
R L U' F L D' L2
R L U' F L' D' L2
R L U' F L2 D' L2
R L U' F U' F2 U
R L U' F D' L2 D
R L U' F D' L2 D'
R L U' F D' L2 D2
L' R U2 F' U' B' U2
L2 R U2 D F' R U
L R U2 D F' U F2
L R U2 D' F' U F2
L R U2 D2 F' U F2
R L U2 D F' U F2
L R U2 F' R U F2
L R U2 F' R' U F2
L R U2 F' R2 U F2
L R U2 F' U F2 D
L R U2 F' U F2 D'
L R U2 F' U F2 D2
L R U2 F' D R2 U
R L U2 D' F' U F2
R L U2 D2 F' U F2
R L U2 F' R U F2
R L U2 F' R' U F2
R L U2 F' R2 U F2
R L U2 F' U F2 D
R L U2 F' U F2 D'
R L U2 F' U F2 D2
R L U2 F' D R2 U
L R D U' F D' L2
L2 R D U2 F' R U
L R D U2 F' U F2
R' L D B U' F B
R' L D B U' B F
R L D U' F D' L2
R L D U2 F' U F2
L R D' U' F D' L2
L R D' U2 F' U F2
R L D' U' F D' L2
R L D' U2 F' U F2
L R D2 U' F D' L2
L R D2 U2 F' U F2
R L D2 U' F D' L2
D2 L D R B' U' F
R L D2 U2 F' U F2
D2 L D B' R U' F
B' L D' R U' F L'
D2 L D' R B' U' F
B2 L D' R U' F L'
B L D' R U' F L'
D2 L D' B' R U' F
D2 L D2 R B' U' F
D L D2 R U' F L'
D2 L D2 B' R U' F
R' L B R2 U' D F
R' L B R2 U' D' F
R' L B R2 U' D2 F
R' L B R2 U' F D
R' L B R2 U' F D'
R' L B R2 U' F D2
R' L B R2 D U' F
R' L B R2 D' U' F
R' L B R2 D2 U' F
R' L B U' D F B2
R' L B U' D B2 F
R' L B U' F D B2
R' L B D U' F B2
R' L B D U' B2 F
L R B U' F D' L2
L R B U2 F' U F2
R L B U' F D' L2
R L B U2 F' U F2
R' L B' R2 B2 U' F
L' R B' U2 F' U F
L R B' U' F D' L2
L R B' U2 F' U F2
R L B' U' F D' L2
R L B' U2 F' U F2
R' L B2 R2 B' U' F
L R B2 U' F D' L2
L R B2 U2 F' U F2
R L B2 U' F D' L2
D' L B R U' F L'
D2 L B R B2 U' F
R L B2 U2 F' U F2
D2 L B' R U' D F
D2 L B' R U' D' F
D2 L B' R U' D2 F
D2 L B' R U' F D
D2 L B' R U' F D'
D2 L B' R U' F D2
D2 L B' R D U' F
D2 L B' R D' U' F
D2 L B' R D2 U' F
D' L B' R U' F L'
D L B' R U' F L
R L' U B' U F' U
D2 L B' D R U' F
D2 L B' D' R U' F
D2 L B' D2 R U' F
R L' U' L2 F D' L2
D' L B2 R U' F L'
R L' U' F D' L2 F
D' L' R U' L2 F L'
D L' R U B' U2 L
R L' U2 F' U' B' U2
L R' D B U' F B
L R' D B U' B F
R' L' B R2 U B2 U2
R' L' B R2 U' D2 F2
R' L' B R2 D L2 U'
R' L' B R2 D2 U' F2
L2 R' B L' R2 U' F
L' R' B R2 U B2 U2
L' R' B R2 U' D2 F2
L' R' B R2 D L2 U'
L' R' B R2 D2 U' F2
R' L' B D L2 U' B2
L2 R' B R2 L' U' F
L' R' B D L2 U' B2
L R' B R2 U' D F
L R' B R2 U' D' F
L R' B R2 U' D2 F
L R' B R2 U' F D
L R' B R2 U' F D'
L R' B R2 U' F D2
L R' B R2 D U' F
L R' B R2 D' U' F
L R' B R2 D2 U' F
L R' B U' D F B2
L R' B U' D B2 F
L R' B U' F D B2
L R' B D U' F B2
L R' B D U' B2 F
L R' B' R2 B2 U' F
R L' B' U2 F' U F
R' L' B2 R2 B' U' F'
L' R' B2 R2 B' U' F'
L R' B2 R2 B' U' F
R L2 U' L' F D' L2
R L2 U2 D F' R U
R L2 D U2 F' R U
D' L2 R U' L' F L'
D2 L2 R U' F' L' F
D' L2 R U' F L' F
R' L2 B L' R2 U' F
R' L2 B R2 L' U' F
D2 L2 D2 R U' F' L'
D' R L U' F L' D
D' R L U' F L' D'
D' R L U' F L' D2
D' R L U' F D L'
D' R L U' F D' L'
D' R L U' F D2 L'
B' R L U' F D' L2
D2 R L D B' U' F
B' R L U2 F' U F2
D2 R L D' B' U' F
B2 R L U' F D' L2
D2 R L D2 B' U' F
B2 R L U2 F' U F2
D R L U' D2 F L'
B R L U' F D' L2
B R L U2 F' U F2
D' R L B U' F L'
D2 R L B' U' D F
D2 R L B' U' D' F
D2 R L B' U' D2 F
D2 R L B' U' F D
D2 R L B' U' F D'
D2 R L B' U' F D2
D2 R L B' D U' F
D2 R L B' D' U' F
D2 R L B' D2 U' F
D' R L B' U' F L'
D' R L B2 U' F L'
D R L D2 U' F L'
D' R L' U' L2 F L'
D R L B' U' F L
D R L' U B' U2 L
D2 R L2 U' F' L' F
D' R L2 U' L' F L'
D' R L2 U' F L' F
B' R U2 F' R' U F'
U' R U2 F' U R' F'
B2 R U2 F' R' U F'
D2 R D L U' F L'
B R U2 F' R' U F'
D R D L B' U' F
R U B' U F' R' U
D' R D' L B' U' F
D R D2 L U' F L'
U2 R F' U' B U2 B'
D' R B L U' F L'
D2 R B L B' U' F
D' R B' L U' F L'
D2 R B' L B' U' F
D R B' L' U' L2 F
D R B' L2 U' L' F
D' R B2 L U' F L'
D2 R B2 L B' U' F
D2 R' L B' R2 U' F
B' R' L B R2 U' F
B2 R' L B R2 U' F
B R' L B R2 U' F
R U' F U' R F2 U
R U' F' U L' U' L
R U2 R U' B U2 L
B' R' B L R2 U' F
B2 R' B L R2 U' F
B' R' B R2 L U' F
U' R' B R2 U' R' F'
B2 R' B R2 L U' F
B R' B L R2 U' F
B R' B R2 L U' F
R U2 D F' R' U F'
R U2 D' F' R' U F'
R U2 D2 F' R' U F'
R U2 F R' F2 U F
R U2 F' R U' B U2
R U2 F' R' U D F'
R U2 F' R' U D' F'
R U2 F' R' U D2 F'
R U2 F' R' U F' D
R U2 F' R' U F' D'
R U2 F' R' U F' D2
R U2 F' R' D U F'
R U2 F' R' D' U F'
R U2 F' R' D2 U F'
R U2 F' U2 L U' F
R U2 F' D R' U F'
R U2 F' D' R' U F'
R U2 F' D2 R' U F'
R U2 F2 R' F U F2
R' D L B U' F B
R' D L B U' B F
R D L U' F D' L2
R D L U2 F' U F2
L' D R U B' U2 L
L D R U' D2 F L'
L D R D2 U' F L'
L D R B' U' F L
R D U2 F' R' U F'
R' D B L U' F B
R' D B L U' B F
L D B' R U' F L
R D' L U' F D' L2
R D' L U2 F' U F2
L' D' L2 R U' F L'
L' D' R L2 U' F L'
L' D' R U' L2 F L'
L D' R U' F L' D
L D' R U' F L' D'
L D' R U' F L' D2
L D' R U' F D L'
L D' R U' F D' L'
L D' R U' F D2 L'
L D' R B U' F L'
L D' R B' U' F L'
L D' R B2 U' F L'
R D' U2 F' R' U F'
L D' B R U' F L'
L D' B' R U' F L'
L2 D2 L R B' U' F'
L D' B2 R U' F L'
L2 D2 L B' R U' F'
R D2 L U' F D' L2
R D2 L U2 F' U F2
L2 D2 L2 R U' F' L'
L2 D2 R L B' U' F'
L2 D2 R L2 U' F' L'
L D2 R U' D F L'
L D2 R D U' F L'
R D2 U2 F' R' U F'
B' D' L R U' F L'
B2 D' L R U' F L'
B D' L R U' F L'
B' D' R L U' F L'
B2 D' R L U' F L'
B D' R L U' F L'
B' D2 L R B' U' F
B2 D2 L R B' U' F
B' D2 L B' R U' F
B2 D2 L B' R U' F
B D2 L R B' U' F
B D2 L B' R U' F
B' D2 R L B' U' F
B2 D2 R L B' U' F
B D2 R L B' U' F
D' B L R U' F L'
R' B L R2 U' D F
R' B L R2 U' D' F
R' B L R2 U' D2 F
R' B L R2 U' F D
R' B L R2 U' F D'
R' B L R2 U' F D2
R' B L R2 D U' F
R' B L R2 D' U' F
D2 B L R B' U' F
R' B L R2 D2 U' F
R' B L U' D F B2
R' B L U' D B2 F
R' B L U' F D B2
R' B L D U' F B2
R' B L D U' B2 F
D2 B L B' R U' F
R' B L' R2 U B' U2
R B L U' F D' L2
R B L U2 F' U F2
D2 B R L B' U' F
D' B R L U' F L'
R' B R2 L U' D F
R' B R2 L U' D' F
R' B R2 L U' D2 F
R' B R2 L U' F D
R' B R2 L U' F D'
R' B R2 L U' F D2
R' B R2 L D U' F
R' B R2 L D' U' F
R' B R2 L D2 U' F
R' B R2 L' U B' U2
L' B R' B R2 U' F'
R' B R2 U2 R' U F'
R' B R2 D L U' F
L B R U' F D' L2
R' B R2 D' L U' F
L B R U2 F' U F2
R' B R2 D2 L U' F
L B R' B R2 U' F
R' B D L U' F B2
R' B D L U' B2 F
R B U2 F' R' U F'
L B D' R U' F L'
D2 B' L R B' U' F
D' B' L R U' F L'
R' B' L R2 B2 U' F
D2 B' L B' R U' F
R' B' L B2 R2 U' F
R' B' L' B2 R2 U' F'
D B' L' R U' L2 F
R B' L U' F D' L2
D2 B' R L B' U' F
R B' L U2 F' U F2
D' B' R L U' F L'
D B' L2 R U' L' F
L' B' R U2 F' U F
D B' R L' U' L2 F
D B' R L2 U' L' F
R' B' R2 L B2 U' F
L B' R U' F D' L2
L B' R U2 F' U F2
R' B' R2 B2 L U' F
L B' R' B R2 U' F
R B' U2 F' R' U F'
L B' D' R U' F L'
D2 B2 L R B' U' F
D' B2 L R U' F L'
D2 B2 L B' R U' F
D2 B2 R L B' U' F
R B2 L U' F D' L2
D' B2 R L U' F L'
R B2 L U2 F' U F2
L B2 R U' F D' L2
L B2 R U2 F' U F2
R' B2 R2 B' L U' F
L B2 R' B R2 U' F
R B2 U2 F' R' U F'
L B2 D' R U' F L'
