R D B U2 R' B'
L' R D B U2 R' B'
L2 R D B U2 R' B'
L R D B U2 R' B'
R L D B U2 R' B'
F2 L' R D' R2 F' R
U2 L' R D B' L U2
R L' D B U2 R' B'
F2 L' U' B U2 L U'
F2 L' U' B' R' B2 U
U2 L' B' R U B2 U
U2 L' B' R U2 D' R2
U2 L' B' R D L2 U2
U2 L' B' R D' U2 R2
U2 L' B' D L2 R U2
U2 L' B' D R L2 U2
U2 L' B' D' R U2 R
R L2 D B U2 R' B'
U2 R L' D B' L U2
F2 R L' D' R2 F' R
R' U F U' R F2 L'
R2 U F' U R' B U2
U2 R U B' R' B U
U2 R U2 D' R' F' R
U2 R D L' B' L U2
D2 R D B U2 R' B'
D' R D B U2 R' B'
U2 R D B U2 R' F'
U2 R D B' L U2 F
D R D B U2 R' B'
F2 R D' L' R2 F' R
F' R D' R2 F' L' R
F' R D' R2 F' R L'
F2 R D' R2 L' F' R
U2 R D' U2 R' F' R
B2 R B U B2 U B'
B2 R B U2 D' B R2
B2 R B D L2 U2 B
B2 R B D' U2 B R2
B R B U B' U B'
B R' U D2 F' B' L2
B R' U D2 B' L2 F'
B R' U D2 B' F' L2
B R' U F' D2 B' L2
B R' U F' B' D2 L2
B R' U B' D2 L2 F'
B R' U B' D2 F' L2
B R' U B' F' D2 L2
B R' U' R2 B U2 B2
B R' D' F2 U F B'
B R' D' F2 U B' F
B R' D2 U F' B' L2
B R' D2 U B' L2 F'
B R' D2 U B' F' L2
R2 U2 R' D B U2 R'
B R2 U' R' B U2 B2
F2 R2 D2 L' F D R2
R D L B U2 R' B'
R D L' B U2 R' B'
R D L2 B U2 R' B'
R D R2 D2 L2 F' R
R D R2 D2 F' L2 R
R D R2 D2 F' R L2
R D F B U2 R' B'
R D F' B U2 R' B'
R D F2 B U2 R' B'
R D B L2 F U2 R'
R D B U2 R B' R2
R D B U2 R' D B'
R D B U2 R' D' B'
R D B U2 R' D2 B'
R D B U2 R' B' D
R D B U2 R' B' D'
R D B U2 R' B' D2
R D B U2 R2 B' R
R D B U2 D R' B'
R D B U2 D' R' B'
R D B U2 D2 R' B'
R D B D U2 R' B'
R D B D' U2 R' B'
R D B D2 U2 R' B'
R D B F U2 R' B'
R D B F' U2 R' B'
R D B F2 U2 R' B'
R D B' L B2 U2 B'
B U F2 D' B' L' F
B U F2 B' D' L' F
R D' R2 F' D2 L2 R
R D' R2 F' D2 R L2
B U B' F2 D' L' F
R D' F L' B U2 B'
R D' F' B U2 R B'
R D' F' B U2 B' R
R D' F2 B U2 B' R'
R D' B L2 F L' U2
R D' B F' U2 R B'
R D' B F' U2 B' R
R D' B F2 U2 B' R'
F2 U' B U L' D F2
F2 U' B U2 L U' L2
F' U' B' R' F' B2 U
F' U' B' R' B2 F' U
F2 U' B' R' B2 U L'
R F D B U2 R' B'
U F' L' U2 B U L
R F' D B U2 R' B'
U' F2 B U L' D F2
R F2 D B U2 R' B'
U' F2 B U2 L U' L2
U' F2 B' R' B2 U L'
U' B R U2 L U' L'
R B L2 D' F L' U2
U' B U L' D F2 L'
U' B U F2 L' D F2
U' B U' R U' L U'
U' B U2 L U R U2
U B U R U2 R' F'
U B U' R B U2 B'
R B U' R F' U' B'
R B U' R2 U' B' R'
R B U2 R' B' D' R2
R B U2 D B R' B2
R B U2 B2 D B R'
R B D U2 B R' B2
F2 B R' U B' L' F'
R B D' L2 F L' U2
R B D' F' U2 R B'
R B D' F' U2 B' R
R B D' F2 U2 B' R'
U' B F2 U L' D F2
U' B F2 U2 L U' L2
U' B' R' D' F2 U R2
U' B' R' B2 U D2 L2
U' B' R' B2 U' R2 U2
U' B' R' B2 D' F2 U
U' B' R' B2 D2 U L2
U' B' R2 B2 R U L
U' B' F2 R' B2 U L'
U2 B2 R U B' R' U
B F2 R' U B' L' F'
