D2 F2 D L2 B' R'
B L D R2 U2 F' B
B L D R2 U2 B F'
B L D F' R2 U2 F'
B L D F' B R2 U2
B L D B R2 U2 B
B L D B F' R2 U2
B L D' F' B U2 L2
B L D' B F' U2 L2
B L F' B U F' U
D2 L F2 D L2 B' R'
B L B D R2 U2 B
B L B D F' R2 U2
B L B D' F' U2 L2
B L B F' U F' U
D2 L' F2 D L2 B' R'
D2 L2 F2 D L2 B' R'
B2 R2 U F2 U B R'
B2 R2 U2 B R' D' L2
B2 R2 U2 B D' L2 R'
B2 R2 U2 B D' R' L2
B' R2 D' L2 B R F
B2 R2 B R' D' L2 F
B2 R2 B D' L2 R' F
B2 R2 B D' L2 F R'
B2 R2 B D' R' L2 F
D' R2 B' U L2 R' B2
D' R2 B' U R' L2 B2
D' R2 B' U R' B2 L2
R2 D' B L2 D' F2 R
L' D2 F2 D L2 B' R'
L2 D2 F2 D L2 B' R'
L D2 F2 D L2 B' R'
B2 U2 R2 B R' D' L2
B2 U2 R2 B D' L2 R'
B2 U2 R2 B D' R' L2
B D L R2 U2 F' B
B D L R2 U2 B F'
B D L F' R2 U2 F'
B D L F' B R2 U2
B D L B R2 U2 B
B D L B F' R2 U2
F D L2 R2 B' U' R'
F D L2 B' R2 U' R
B2 D R2 U2 D' B R'
B' D R2 B' U2 R B2
B' D R2 B' U2 B2 R
B2 D R2 D' U2 B R'
B D R2 L U2 F' B
B D R2 L U2 B F'
F D R2 L2 B' U' R'
U2 F' L' B2 U F' U
B' D F' R2 B' U2 R
B D F' L R2 U2 F'
B D F' L B R2 U2
B D F' R2 L U2 F'
B' D B' R2 U2 B R'
B D B R2 U2 B R'
D2 F' D F' L2 B' R'
B' D' L2 R2 B R F
B' D' L2 F R' D2 B2
B' D' L2 F D2 R' B2
D2 F' D' R2 B L U2
B' D' R2 L2 B R F
U2 F' B2 L' U F' U
D2 F2 L2 D B' L2 R'
D2 F2 L2 D B' R' L2
D' F2 L2 D' F2 B' R'
D' F2 L2 D' B' R' F2
D' F2 L2 D' B' F2 R'
D' F2 L2 B' D' R' F2
D' F2 L2 B' D' F2 R'
B' D' F' U2 L2 R' F
B' D' F' U2 L2 F R'
B' D' F' U2 R' L2 F
D2 F2 R D L2 B' R'
B' D' F2 L2 R' F B'
B' D' F2 L2 R' B' F
B' D' F2 L2 F R' B'
B' D' F2 R' L2 F B'
B' D' F2 R' L2 B' F
D2 F2 R' D L2 B' R'
D2 F2 R2 D L2 B' R'
U' F2 U' F B2 U2 R
U' F2 U' B2 F U2 R
U2 F2 U' F L' B2 U2
U2 F2 U' F B2 L' U2
U2 F2 U' B2 F L' U2
D2 F2 D L2 R B' R'
D2 F2 D L2 R' B' R'
D2 F2 D L2 R2 B' R'
D2 F2 D L2 D B' R'
D2 F2 D L2 D' B' R'
D2 F2 D L2 D2 B' R'
D2 F2 D L2 B' R' D
D2 F2 D L2 B' R' D'
D2 F2 D L2 B' R' D2
D2 F2 D L2 B' D R'
D2 F2 D L2 B' D' R'
D2 F2 D L2 B' D2 R'
D2 F2 D R L2 B' R'
D2 F2 D R' L2 B' R'
D2 F2 D R2 L2 B' R'
D2 F2 D B' L2 R' B'
D2 F2 D B' R' L2 B'
B2 D2 F' U' B2 U' R
B2 D2 F' U2 R D L2
B2 D2 F' U2 D L2 R
B2 D2 F' U2 D R L2
B2 D2 F' D U2 L2 R
B2 D2 F' D U2 R L2
B2 D2 F' D' R2 U2 R'
F' B L B U F' U
F2 B U' F L B U2
R' B' R' D' L2 F B
R' B' R' D' L2 B F
D' B' R2 U L2 B R
D' B' R2 U B L2 R
D' B' R2 U B R L2
B F' L B U F' U
F2 B' L2 U R' F B'
F2 B' L2 U R' B' F
F2 B' L2 U F R' B'
B2 F' R2 U' B U' R'
B2 F' U D2 F' U R
B2 F' U F' B U R'
B2 F' U B F' U R'
B2 F' D2 U F' U R
B' F2 L2 U R' F B'
B' F2 L2 U R' B' F
B' F2 L2 U F R' B'
D2 B2 R2 U' F2 B R'
D2 B2 R2 U' B R' F2
D2 B2 R2 U' B F2 R'
D' B2 R2 U L2 B R'
D' B2 R2 U B L2 R'
D' B2 R2 U B R' L2
D2 B2 U' R2 F2 B R'
D2 B2 U' R2 B R' F2
D2 B2 U' R2 B F2 R'
F' B2 R2 U' B U' R'
F' B2 U D2 F' U R
F' B2 U F' B U R'
F' B2 U B F' U R'
U2 B2 D F' L' R2 U2
U2 B2 D F' R2 L' U2
U2 B2 D' F' L' U2 L'
B F2 U' F L B U2
U2 B2 F' L' U F' U
F' B2 D2 U F' U R
