D' B L B R' F'
R' L U L U F' L'
D' L R B U2 L B
D L R F2 B U2 L
D L R B F2 U2 L
D' L R' U2 F' L' B2
D' L R' U2 F' B2 L'
D' L R' U2 B2 F' L'
R' L U2 F' L' D' B2
L R B U2 D L B'
L R B D U2 L B'
R L B U2 D L B'
R L B D U2 L B'
D L F2 R B U2 L
D L F2 R' U2 F' L'
D L F2 B U2 L F
D L F2 B' R' U2 F'
D' L B U2 L F B
D' L B U2 L B F
L R' U L U F' L'
B L B D' R' F' B
B L B D' R' B F'
D L B F2 U2 L F
D' L B' R' U2 F' B'
D' L B' R' U2 B' F'
D L B' R' F2 U2 F
D L B' F2 R' U2 F'
L R' U2 F' L' D' B2
D' R L B U2 L B
D R L F2 B U2 L
D R L B F2 U2 L
D R F2 L B U2 L
D' R B U2 L B R'
D' R' L U2 F' L' B2
D' R' L U2 F' B2 L'
D' R' L U2 B2 F' L'
D' R' U2 F' B2 L' R'
D' R' U2 F' B2 R' L'
D' R' U2 B2 F' L' R'
D' R' U2 B2 F' R' L'
B' R' D F2 U2 F R
D' R' F' B L B R'
B2 R' F' B D' B2 L
B2 R' F' B' D' L B2
D' R' B L F' B R'
D' R' B L B F' R'
D' R' B F' L B R'
B2 R' B D' F' B2 L
B2 R' B D' B2 L F'
B2 R' B D' B2 F' L
B2 R' B F' D' B2 L
B2 R' B' D' L F' B2
B2 R' B' D' L B2 F'
B2 R' B' D' F' L B2
B2 R' B' F' D' L B2
R' U2 D' F' B2 L' R'
R' U2 D' F' B2 R' L'
R' U2 D' B2 F' L' R'
R' U2 D' B2 F' R' L'
R' U2 F' D' B2 L' R'
R' U2 F' D' B2 R' L'
R D L F2 B U2 L
R D L B F2 U2 L
R D F2 L B U2 L
R' D' L U2 F' L' B2
R' D' L U2 F' B2 L'
R' D' L U2 B2 F' L'
U2 D F2 L U2 F L'
R D' L B U2 L B
R' D' U2 F' B2 L' R'
R' D' U2 F' B2 R' L'
R' D' U2 B2 F' L' R'
R' D' U2 B2 F' R' L'
R' D' F' B L B R'
R' D' B L F' B R'
R' D' B L B F' R'
R' D' B F' L B R'
R D' B U2 L B R'
D U2 F2 L U2 F L'
B' U2 D' B2 L F R
D' F B L B R' F'
B' D R' F2 U2 F R
R' F' D' B L B R'
D' F' B L B R' F'
B' D' U2 B2 L F R
D F2 L R B U2 L
D F2 L R' U2 F' L'
D F2 L B U2 L F
D F2 L B' R' U2 F'
D F2 R L B U2 L
F' D' B L B R' F'
F2 D' B L B R' F'
D F2 R' L U2 F' L'
B' D' B' R' F' B' L
B' D' B' R' B' L F'
B' D' B' R' B' F' L
F D' B L B R' F'
D' F2 B L B R' F'
D' B L F B R' F'
L' B L D' B2 R' F'
D' B L F' B R' F'
D' B L F2 B R' F'
D' B L B R' D F'
D' B L B R' D' F'
D' B L B R' D2 F'
D' B L B R' F' D
D' B L B R' F' D'
D' B L B R' F' D2
D' B L B D R' F'
D' B L B D' R' F'
D' B L B D2 R' F'
D' B L B F R' F'
D' B L B F' R' F'
D' B L B F2 R' F'
D' B L' B L2 R' F'
D' B L' B R' L2 F'
D' B L' B R' F' L2
D' B L2 B L' R' F'
D' B L2 B R' L' F'
D' B U2 L F B R'
D' B U2 L B R' F
D' B U2 L B F R'
L B U2 D L F B'
L B U2 D L B' F
L B D U2 L F B'
L B D U2 L B' F
D' B F L B R' F'
D' B F' L B R' F'
D' B F2 L B R' F'
D B' R' F2 U2 F R
D' B2 R' D2 F L' F2
D' B2 R' F' B' L B
D' B2 R' F2 D2 F L'
D' B2 R' B' L F' B
D' B2 R' B' L B F'
D' B2 R' B' F' L B
D' B2 D2 R' F L' F2
D' B2 D2 F L' R' F'
D' B2 D2 F R' L' F'
D' B2 D2 F2 R' F' L'
