R2 L U B L R2
R2 L U B R2 L
U' L R2 U B L
L R2 U B L R2
L R2 U B R2 L
L2 R2 F U B R2
R2 L2 F U B R2
U' L2 R2 F U B
R2 U B R2 D L2
L2 U' R2 F U B
U' R2 L U B L
U' R2 L2 F U B
U' R2 U B D L2
U' R2 U2 B' U' B2
R2 U2 B' U' R2 B2
R2 U2 B' U' B2 R2
B2 R2 F' U B R2
L' D' F2 L2 B' L
B2 U' R2 F' U B
B D' F2 D2 L2 B'
D' F2 B D L2 B'
D2 B D F2 L2 B'
D' B F2 D L2 B'
U B' U2 R2 U B
R2 L U L B L R2
R2 L U L B R2 L
R2 L U L' B L R2
R2 L U L' B R2 L
R2 L U L2 B L R2
R2 L U L2 B R2 L
R2 L U B L R2 D
R2 L U B L R2 D'
R2 L U B L R2 D2
R2 L U B R2 L D
R2 L U B R2 L D'
R2 L U B R2 L D2
R2 L U B R2 D L
R2 L U B R2 D' L
R2 L U B R2 D2 L
R2 L U B2 R2 B' L
U' L R2 U L B L
U' L R2 U L' B L
U' L R2 U L2 B L
U' L R2 U D B L
U' L R2 U D' B L
U' L R2 U D2 B L
U' L R2 U B L D
U' L R2 U B L D'
U' L R2 U B L D2
U' L R2 U B D L
U' L R2 U B D' L
U' L R2 U B D2 L
U' L R2 D U B L
U' L R2 D' U B L
U' L R2 D2 U B L
U' L R2 F U B L
U' L R2 F' U B L
B2 L R2 F' U B R2
U' L R2 F2 U B L
B2 L U' R2 F' U B
R2 L F U B L R2
R2 L F U B R2 L
B L D' F2 D2 L2 B'
R2 L F' U B L R2
R2 L F' U B R2 L
R2 L F2 U B L R2
R2 L F2 U B R2 L
D' L F2 L2 D' B' L
B2 L' R2 F' U B R2
B2 L' U' R2 F' U B
F2 L' D' L' F2 B' L
F2 L' D' L' B' L F2
F2 L' D' L' B' F2 L
F2 L' D' F2 L' B' L
B L' D' F2 D2 L2 B'
L R2 U L B L R2
L R2 U L B R2 L
L R2 U L' B L R2
L R2 U L' B R2 L
L R2 U L2 B L R2
L R2 U L2 B R2 L
L R2 U B L R2 D
L R2 U B L R2 D'
L R2 U B L R2 D2
L R2 U B R2 L D
L R2 U B R2 L D'
L R2 U B R2 L D2
L R2 U B R2 D L
L R2 U B R2 D' L
L R2 U B R2 D2 L
L R2 U B2 R2 B' L
D' L' F2 D' L2 B' L
L2 R2 D F B2 U B'
R2 L2 D F B2 U B'
L2 R2 D B2 F U B'
R2 L2 D B2 F U B'
L2 R2 F L U B R2
R2 L2 F L U B R2
L2 R2 F L' U B R2
U' L2 R' F R' U B
R2 L2 F L' U B R2
L2 R2 F L2 U B R2
R2 L2 F L2 U B R2
L2 R2 F U B R2 D
L2 R2 F U B R2 D'
L2 R2 F U B R2 D2
L2 R2 F U B' R2 B2
L2 R2 F U B2 R2 B'
R2 L2 F U B R2 D
R2 L2 F U B R2 D'
R2 L2 F U B R2 D2
R2 L2 F U B' R2 B2
R2 L2 F U B2 R2 B'
L R2 F U B L R2
L R2 F U B R2 L
L2 R2 F D B2 U B'
R2 L2 F D B2 U B'
U' L2 R2 D F U B
U' L2 R2 D' F U B
F' L2 R2 F U R2 B
U' L2 R2 D2 F U B
L2 R2 F B' U R2 B2
L2 R2 F B' U B2 R2
U' L2 R2 F L U B
U' L2 R2 F L' U B
U' L2 R2 F L2 U B
U' L2 R2 F U D B
U' L2 R2 F U D' B
U' L2 R2 F U D2 B
U' L2 R2 F U B D
U' L2 R2 F U B D'
U' L2 R2 F U B D2
R2 L2 F B' U R2 B2
U' L2 R2 F D U B
R2 L2 F B' U B2 R2
L2 R2 F B2 U R2 B'
L2 R2 F B2 U B' R2
U' L2 R2 F D' U B
U' L2 R2 F D2 U B
R2 L2 F B2 U R2 B'
R2 L2 F B2 U B' R2
F2 L2 R2 F U R2 B'
F2 L2 R2 F U B' R2
B2 L2 R2 F' U B R2
L R2 F' U B L R2
L R2 F' U B R2 L
F' L2 U F R2 B U
L R2 F2 U B L R2
L R2 F2 U B R2 L
F2 L2 U' R2 F U B'
B2 L2 U' R2 F' U B
F2 L2 U' F R2 U B'
U L2 U2 R2 F U B
L2 R2 B' F U R2 B2
L2 R2 B' F U B2 R2
R2 L2 B' F U R2 B2
R2 L2 B' F U B2 R2
L2 R2 B2 F U R2 B'
L2 R2 B2 F U B' R2
R2 L2 B2 F U R2 B'
R2 L2 B2 F U B' R2
B L2 D' F2 D2 L2 B'
U' L2 F R2 U D2 B2
U' L2 F R2 U' F2 U2
F' L2 F R2 U B R2
U' L2 F R2 D' L2 U
U' L2 F R2 D2 U B2
F2 L2 F R2 U R2 B'
F2 L2 F R2 U B' R2
U' L2 F D' L2 U F2
D' L2 F' D' F' L2 B'
F' L2 F' D' L2 F2 B'
F' L2 F' D' L2 B' F2
F2 L2 F' D' F2 B' L2
F2 L2 F' D' B' L2 F2
F2 L2 F' D' B' F2 L2
F2 L2 F' B' D' L2 F2
F2 L2 F' B' D' F2 L2
F L2 F' D' F2 L2 B'
F2 L2 B' U' R2 F U
F2 L2 B' U' F R2 U
F2 L2 B' F' D' L2 F2
F2 L2 B' F' D' F2 L2
R2 U D' B D L2 R2
R2 U D' B D R2 L2
R2 U B L R2 D L2
R2 U B L' R2 D L2
R2 U B L2 R2 D L2
R2 U B R D L2 R
R2 U B R D R L2
R2 U B R' D L2 R'
R2 U B R' D R' L2
R2 U B R2 L D L2
R2 U B R2 L' D L2
R2 U B R2 L2 D L2
R2 U B R2 U B2 U'
R2 U B R2 D L2 D
R2 U B R2 D L2 D'
R2 U B R2 D L2 D2
R2 U B U B2 U' R2
R2 U B D L2 D' R2
R2 U B' R2 B2 D L2
L' U' L' R2 F U B
L2 U' L' R2 U B L
L' U' L2 R2 U B L
L2 U' R' F R' U B
L' U' R2 L' F U B
L' U' R2 L2 U B L
L2 U' R2 L' U B L
L2 U' R2 D F U B
L2 U' R2 D' F U B
L2 U' R2 D2 F U B
L2 U' R2 F L U B
L2 U' R2 F L' U B
L2 U' R2 F L2 U B
L2 U' R2 F U D B
L2 U' R2 F U D' B
L2 U' R2 F U D2 B
L2 U' R2 F U B D
L2 U' R2 F U B D'
L2 U' R2 F U B D2
L2 U' R2 F D U B
L2 U' R2 F D' U B
L2 U' R2 F D2 U B
L U' R2 F' U L' B
L U' R2 F' U B L'
L2 U' F R2 U D2 B2
L2 U' F R2 U' F2 U2
L2 U' F R2 D' L2 U
L2 U' F R2 D2 U B2
L2 U' F D' L2 U F2
U' R' L2 F R' U B
B' R' U2 R' U B R2
R2 U' B R2 D L2 F
R2 U' B' U' R2 F' B2
R2 U' B' U' R2 B2 F'
L' U2 D F' R B2 U2
L' U2 D F' B2 R U2
L' U2 D B2 F' R U2
U' R2 L U L B L
U' R2 L U L' B L
U' R2 L U L2 B L
U' R2 L U D B L
U' R2 L U D' B L
U' R2 L U D2 B L
U' R2 L U B L D
U' R2 L U B L D'
U' R2 L U B L D2
U' R2 L U B D L
U' R2 L U B D' L
U' R2 L U B D2 L
U' R2 L D U B L
U' R2 L D' U B L
U' R2 L D2 U B L
U' R2 L F U B L
U' R2 L F' U B L
R2 U2 D' F2 B' U' B2
U' R2 L F2 U B L
R2 U2 D' B' F2 U' B2
B2 R2 L F' U B R2
B2 R2 L' F' U B R2
U' R2 L2 D F U B
U' R2 L2 D' F U B
U' R2 L2 D2 F U B
U' R2 L2 F L U B
U' R2 L2 F L' U B
U' R2 L2 F L2 U B
U' R2 L2 F U D B
F' R2 L2 F U R2 B
U' R2 L2 F U D' B
U' R2 L2 F U D2 B
U' R2 L2 F U B D
U' R2 L2 F U B D'
U' R2 L2 F U B D2
U' R2 L2 F D U B
U' R2 L2 F D' U B
U' R2 L2 F D2 U B
F2 R2 L2 F U R2 B'
F2 R2 L2 F U B' R2
B2 R2 L2 F' U B R2
R2 U2 F B' U' R2 B2
R2 U2 F B' U' B2 R2
L2 U2 F' U R2 F2 U
L2 U2 F' U F2 R2 U
U' R2 U D B D L2
L2 U2 F' U2 D' L2 F2
L2 U2 F' U2 D' F2 L2
U' R2 U D' B D L2
L2 U2 F' D R2 B2 U2
L2 U2 F' D B2 R2 U2
U' R2 U D2 B D L2
L2 U2 F' D' U2 L2 F2
L2 U2 F' D' U2 F2 L2
U' R2 U B L D L2
B' R2 U B R2 D2 L2
U' R2 U B L' D L2
U' R2 U B L2 D L2
U' R2 U B U B2 U'
U' R2 U B D L2 D
U' R2 U B D L2 D'
U' R2 U B D L2 D2
R2 U2 F' B' U' R2 B2
R2 U2 F' B' U' B2 R2
B' R2 U' B' R2 F' B2
B' R2 U' B' R2 B2 F'
F' R2 U' B' U' R2 F'
R2 U2 F2 B' U' R2 B2
R2 U2 F2 B' U' B2 R2
U' R2 U2 D B' U' B2
U' R2 U2 D' B' U' B2
U' R2 U2 D2 B' U' B2
U' R2 U2 B' R U' B2
U' R2 U2 B' R' U' B2
U' R2 U2 B' R2 U' B2
U' R2 U2 B' U' B2 D
U' R2 U2 B' U' B2 D'
U' R2 U2 B' U' B2 D2
U' R2 U2 B' D' R2 U'
F' R2 U2 B' U' B R2
U R2 U' B D L2 F
U' R2 D L U B L
U' R2 D L2 F U B
R2 U2 B' R U' R B2
R2 U2 B' R U' B2 R
R2 U2 B' R' U' R' B2
U' R2 D U B D L2
U' R2 D U2 B' U' B2
R2 U2 B' U' R B2 R
R2 U2 B' U' R2 B2 D
R2 U2 B' U' R2 B2 D'
R2 U2 B' U' R2 B2 D2
R2 U2 B' U' B' R2 B'
R2 U2 B' U' B2 R2 D
R2 U2 B' U' B2 R2 D'
R2 U2 B' U' B2 R2 D2
B R2 U2 B2 U' R2 B'
B R2 U2 B2 U' B' R2
R2 U2 B' D' R2 F2 U'
R2 U2 B' D' F2 R2 U'
B2 R2 D F' B2 U B'
R2 U2 B' F U' R2 B2
R2 U2 B' F U' B2 R2
R2 U2 B' F' U' R2 B2
R2 U2 B' F' U' B2 R2
U' R2 D' L U B L
R2 U2 B' F2 U' R2 B2
R2 U2 B' F2 U' B2 R2
U' R2 D' L2 F U B
B2 R2 D B2 F' U B'
U' R2 D' U B D L2
U' R2 D' U2 B' U' B2
B R2 D B2 U B' L2
U' R2 D2 L U B L
U' R2 D2 L2 F U B
U' R2 D2 U B D L2
U' R2 D2 U2 B' U' B2
U' R2 F L U B L
U' R2 F L2 F U B
U' R2 F U B D L2
U' R2 F U2 B' U' B2
U' R2 F' L U B L
U' R2 F' L2 F U B
B2 R2 F' L U B R2
B2 R2 F' L' U B R2
B2 R2 F' L2 U B R2
U' R2 F' U B D L2
U' R2 F' U2 B' U' B2
B2 R2 F' U B R2 D
B2 R2 F' U B R2 D'
B2 R2 F' U B R2 D2
B2 R2 F' U B' R2 B2
B2 R2 F' U B2 R2 B'
R2 D L2 F B2 U B'
B2 R2 F' D B2 U B'
U' R2 F2 L U B L
R2 D L2 B2 F U B'
B2 R2 F' B' U R2 B2
B2 R2 F' B' U B2 R2
U' R2 F2 L2 F U B
B2 R2 F' B2 U R2 B'
B2 R2 F' B2 U B' R2
U' R2 F2 U B D L2
U' R2 F2 U2 B' U' B2
D' R2 F2 B R2 D L2
D2 R2 B R2 D L2 F2
D2 R2 B R2 D F2 L2
D' R2 B R2 F2 D L2
D' R2 B F2 R2 D L2
D2 R2 B' L2 U' R2 B2
D2 R2 B' L2 U' B2 R2
D R2 B R2 D L2 F'
D R2 B R2 D F' L2
D R2 B R2 F' D L2
D' R2 B' U' R2 F2 B2
D' R2 B' U' R2 B2 F2
D' R2 B' U' F2 R2 B2
D' R2 B' U' F2 B2 R2
D' R2 B' U' B2 R2 F2
D' R2 B' U' B2 F2 R2
B2 R2 B' F' U R2 B2
B2 R2 B' F' U B2 R2
D R2 B' U' B2 R2 F'
U R2 B' U' B2 D2 F2
B2 R2 B2 F' U R2 B'
B2 R2 B2 F' U B' R2
B R2 B2 U' B' R2 F'
L' D U2 F' R B2 U2
L' D U2 F' B2 R U2
L' D U2 B2 F' R U2
L' D F L' D2 F2 B2
