B2 L B' U' B R'
B2 R' U L B' U'
B2 L R B' U' B R2
B2 L R2 B' U' B R
B2 L D B' U' B R'
B2 L D' B' U' B R'
B2 L D2 B' U' B R'
B2 L F B' U' B R'
B2 L F' B' U' B R'
B2 L F2 B' U' B R'
B2 L B' U' B R' D
B2 L B' U' B R' D'
B2 L B' U' B R' D2
B2 L B' U' B D R'
B2 L B' U' B D' R'
B2 L B' U' B D2 R'
B2 L B' F U' B R'
B2 L B' F' U' B R'
B2 L B' F2 U' B R'
R' L' D F L2 B' U
L' R' D F L2 B' U
B2 L' R' U L2 B' U'
R' L' F L U B2 R'
L' R' F L U B2 R'
R' L' F U B2 D2 R2
R' L' F U' L2 U2 B2
L' R' F U B2 D2 R2
L' R' F U' L2 U2 B2
B L' F U B R' F'
B L2 U B L R' F'
B L2 U B R' L F'
B L2 U B R' F' L
L U L2 R' F U B2
L U L2 F R' U B2
L U R' L2 F U B2
L U R' U2 B' U' B'
L U R' D L2 F U
L U D L2 R' F U
L U D L2 F R' U
L U D R' L2 F U
B2 R L B' U' B R2
B2 R U L B' U' R2
R' U B' D' B' L R'
R' U B' D' B' R' L
R' U' L U' B' U' B'
B2 R' L' U L2 B' U'
B2 R' U L D B' U'
B2 R' U L D' B' U'
B2 R' U L D2 B' U'
B2 R' U L B' U' D
B2 R' U L B' U' D'
B2 R' U L B' U' D2
B2 R' U L B' D U'
B2 R' U L B' D' U'
B2 R' U L B' D2 U'
B2 R' D F L' D F2
L U' B2 L B U' B'
B2 R' F U L B' U'
B2 R' F' U L B' U'
B2 R' F2 U L B' U'
B2 R2 L B' U' B R
B2 R2 U L B' U' R
L U2 B2 U L B U'
L' D R' F L2 B' U
L D U L2 R' F U
L D U L2 F R' U
L D U R' L2 F U
L' D F L2 R' B' U
L' D F R' L2 B' U
L' D' R' F B2 L U
L' D' R' B2 F L U
L' D' F R' B2 L U
L' F L R' U B2 R'
L' F R' L U B2 R'
L' F R' U B2 D2 R2
L' F R' U' L2 U2 B2
L' F D' R' B2 L U
B2 D R' F L' D F2
B2 D F L' R' D F2
B2 D F L' D R' F2
B2 D F L' D F2 R'
B2 D F R' L' D F2
B' D F B' L' R' F
B' D F B' L' F R'
B' D F B' R' L' F
B' D B' L' R' F L'
B' D B' L' F L' R'
B' D B' L' F R' L'
B' D B' R' L' F L'
B' D B' R' F L' F
B' D B' F L' R' F
B' D B' F L' F R'
B' D B' F R' L' F
B' D' R F' B' L R'
B' D' R F' B' R' L
B' D' R B' L F' R'
B' D' R B' F' L R'
B' D' R B' F' R' L
B' D' R2 B' L R' F'
B' D' R2 B' R' L F'
B' D' R2 B' R' F' L
B' D' B' L R F' R2
B' D' B' R L F' R2
B' D' B' R F' L R2
B' D' B' R F' R2 L
B2 D2 R' U L B U'
R' B L' F U B R'
R' B L2 U B L R'
R' B L2 U B R' L
B2 F L B' U' B R'
B2 F R' U L B' U'
B2 F' L B' U' B R'
B2 F' R' U L B' U'
R B' D' F2 B' L R'
R B' D' F2 B' R' L
R B' D' B' L R' F2
R B' D' B' L F2 R'
R B' D' B' R' L F2
R B' D' B' R' F2 L
R B' D' B' F2 L R'
R B' D' B' F2 R' L
U' B2 L B' U' B R'
U2 B2 L B' U' B R'
U B2 L B' U' B R'
F' B2 L B' U' B R'
U' B2 R' U L B' U'
B2 F2 L B' U' B R'
F2 B2 L B' U' B R'
U2 B2 R' U L B' U'
F B2 L B' U' B R'
U B2 R' U L B' U'
F' B2 R' U L B' U'
B2 F2 R' U L B' U'
F2 B2 R' U L B' U'
F B2 R' U L B' U'
