D' F L' U F2 R
D2 L D' F' R2 B' L
D2 L D' F' B' L R2
D2 L D' F' B' R2 L
D2 L D' B' L F' R2
D2 L D' B' F' L R2
D2 L D' B' F' R2 L
D2 L F' D' R2 B' L
D2 L F' D' B' L R2
D2 L F' D' B' R2 L
F L' U F2 B' R' B
F L' U B' R' F2 B
F L' U B' R' B F2
F L' U B' F2 R' B
F L2 R' B' U F2 B2
F L2 R' B' U B2 F2
F L2 D R2 B' L U
F L2 D B' L R2 U
F L2 D B' R2 L U
F L2 B' R' U F2 B
F L2 B' R' U B F2
F2 R U F' U2 L' F2
F R' L2 B' U F2 B2
F R' L2 B' U B2 F2
F2 R' U' D' F L' B
F2 R' U' D' F B L'
F2 R' U' D' B F L'
F2 R' U' B D' F L'
F R' U2 F U' F B
F R' U2 F U' B F
F' R' D B D2 L2 R'
F' R' D B D2 R' L2
F' R' D' L2 D2 B R'
F2 R' D' U' F L' B
F2 R' D' U' F B L'
F2 R' D' U' B F L'
F' R2 U' F2 B L U
F' R2 U' B L F2 U
F' R2 U' B F2 L U
F2 R2 B R U' F B
F2 R2 B R U' B F
D' U F L' U F2 R
F' U D' F' R U' L2
F U F2 R' D B R'
U' D' F L' U F2 R
D' U' F L' U F2 R
U2 D' F L' U F2 R
U D' F L' U F2 R
D' U2 F L' U F2 R
F U2 R' F U' F B
F U2 R' F U' B F
D' F L' R U F2 R
D2 F L B2 U F2 B
D2 F L B2 U B F2
D' F L' R' U F2 R
D' F L' R2 U F2 R
D' F L' U R F2 R
D' F L' U R' F2 R
D' F L' U R2 F2 R
D' F L' U F2 R D
D' F L' U F2 R D'
D' F L' U F2 R D2
D' F L' U F2 D R
D' F L' U F2 D' R
D' F L' U F2 D2 R
D' F L' U' L' U2 F2
D' F L' B U F2 R
D' F L' B' U F2 R
D' F L' B2 U F2 R
D' F R L' U F2 R
F2 U2 F' R' U F2 B
F2 U2 F' R' U B F2
F U2 F R' U' F B
F U2 F R' U' B F
D' F R' L' U F2 R
D' F R2 L' U F2 R
F D L2 R2 B' L U
F D L2 B' L R2 U
D' F B L' U F2 R
F D L2 B' R2 L U
D' F B' L' U F2 R
D2 F B2 L U F2 B'
D2 F B2 L U B' F2
D' F B2 L' U F2 R
F2 D R2 B R' U' F
D F B' L U R2 F2
D F B' L U F2 R2
F D R2 L2 B' L U
D2 F' L D' R2 B' L2
D2 F' L D' B' L2 R2
D2 F' L D' B' R2 L2
D2 F' L' D' L2 R2 B'
D2 F' L' D' L2 B' R2
D2 F' L' D' R2 L2 B'
D F' R' D' L2 R' B
D F' R' D' R' L2 B
D F' R' D' R' B L2
F' D' L2 U F' R U'
F' D' U F' R U' L2
B' D' F L' U F2 R
B2 D' F L' U F2 R
F' D' F' R U' F L2
B D' F L' U F2 R
L2 F2 R' B' U' F B2
L2 F2 R' B' U' B2 F
L2 F2 B' R' U' F B
L2 F2 B' R' U' B F
D' B F L' U F2 R
D' B' F L' U F2 R
D B' F L U R2 F2
D B' F L U F2 R2
L2 B' F2 R' U' F B
L2 B' F2 R' U' B F
D2 B2 D F L' U F2
D2 B2 F L U F2 B'
D2 B2 F L U B' F2
D' B2 F L' U F2 R
