F' R B' D L B2 R'
F2 R' D2 F' U' F2 L'
D2 R' F' U R U2 F'
F' R' F' U' D2 F L'
F' R' F' D2 U' F L'
F' R' F' B' U' F L
F2 R' F' B' U' L F2
F2 R' F' B' U' F2 L
F R' F' B' U' L F'
F R' F' B' U' F' L
F' R' B' F' U' F L
F2 R' B' F' U' L F2
F2 R' B' F' U' F2 L
F R' B' F' U' L F'
F R' B' F' U' F' L
R' D L F' B' L U'
R' D L B' L F' U'
R' D L B' F' L U'
R' D F' L B' L U'
R' D F' B' L B' U'
R' D B' L F' B' U'
R' D B' L B' F' U'
R' D B' F' L B' U'
R' D' F' U2 R F' U
B' U' D L F' B' R'
B' U' D L B' F' R'
B' U' D F' L B' R'
R' D2 L' F' U' F2 L'
B' U' F' D L B' R'
R' D2 F' U' F2 L' F
D' F R' F' B U' F'
D' F R' B F' U' F'
B' D U' L F' B' R'
B' D U' L B' F' R'
B' D U' F' L B' R'
D' F' R' F' B U' F
D' F' R' B F' U' F
R' F' U R' B R' U2
R' F' U B R' B U2
R' F' U' D2 L' F L'
R' F' U' D2 F L' F
R' F' D L B' L U'
R' F' D B' L B' U'
R' F' D2 L' U' F L'
R' F' D2 U' L' F L'
R' F' D2 U' F L' F
F D' L2 R' F' B U'
F D' L2 R' B F' U'
R' F' B U R' B U2
F' D' R' F' B U' F
F' D' R' B F' U' F
U' F' B' L D' R' B
F2 D' R' F' B U' F2
U' F' B' R' D L B'
F2 D' R' B F' U' F2
U' F' B' D L R' B'
U' F' B' D R' L B'
U' F' B' D' L R' B
U' F' B' D' R' L B
F D' R' L2 F' B U'
F D' R' L2 B F' U'
F D' R' F' L2 B U'
F D' R' F' B L2 U'
F D' R' B L2 F' U'
F D' R' B F' L2 U'
D2 F2 R' F' U' L' F2
D' F2 R' F' B U' F2
D' F2 R' B F' U' F2
R' F2 D2 F U' L' F
F2 D2 R' F' U' F2 L'
R2 B R' U' R2 F' U'
R' B F' U R' B U2
U' B' L D' F' R' B
U' B' L F' D' R' B
U' B' D L F' R' B'
U' B' D F' L R' B'
U' B' D F' R' L B'
U' B' D' L F' R' B
U' B' D' F' L R' B
U' B' D' F' R' L B
R B' D L B2 R' F'
U' B' F' L D' R' B
U' B' F' R' D L B'
U' B' F' D L R' B'
U' B' F' D R' L B'
U' B' F' D' L R' B
U' B' F' D' R' L B
