F' D' R F' U' F'
D' L R F' U' F' B'
D' L R F' U' B' F'
D' L R2 U' F2 B' R'
D' L R2 U' B' R' F2
D' L R2 U' B' F2 R'
F' L D' R F' U' F'
F' L' D' R F' U' F'
F' L2 D' R F' U' F'
B L2 F L' R2 U R
B L2 F R2 L' U R
D' R L F' U' F' B'
D' R L F' U' B' F'
F' R U2 R B U R'
F' R U2 B R U R2
F' R D F2 L' F U'
D' R F' L U' F' B'
D' R F' L U' B' F'
F' R F2 D L' F U'
D' R2 L U' F2 B' R'
D' R2 L U' B' R' F2
D' R2 L U' B' F2 R'
U2 R2 U B D R' B
U2 R2 B U D R' B
U2 R2 B D U R' B
F2 U' R B R' D' F2
F U2 L' R2 B U R'
F U2 L' B R2 U R
F2 U2 R2 U R B R'
F2 U2 R2 B L U R'
F U2 R2 L' B U R'
F U2 R2 B L' U R'
F2 U2 B L R2 U R
F2 U2 B R2 L U R
F U2 B L' R2 U R
F U2 B R2 L' U R
B2 D B' L2 R' F B
B2 D B' L2 R' B F
B2 D B' L2 F R' B
B2 D B' R' L2 F B
B2 D B' R' L2 B F
F' D' L R F' U' F'
F' D' L' R F' U' F'
F' D' L2 R F' U' F'
L' F' D' R F' U' F'
F' D' R L F' U' F'
F' D' R L' F' U' F'
F' D' R L2 F' U' F'
L2 F' D' R F' U' F'
F' D' R D' L2 F' U'
F' D' R D' F' L2 U'
F' D' R F' L U' F'
F' D' R F' L' U' F'
F' D' R F' L2 U' F'
F' D' R F' U' D F'
F' D' R F' U' D' F'
F' D' R F' U' D2 F'
F' D' R F' U' F' D
F' D' R F' U' F' D'
F' D' R F' U' F' D2
F' D' R F' D U' F'
F' D' R F' D' U' F'
F' D' R F' D2 U' F'
L F' D' R F' U' F'
R F' D' R F' L' U'
F2 D' F R F' U' F2
R F2 L' U' R B R'
F D' F2 R F' U' F
F' D2 L2 R F' U' R
F' D2 L2 D R F' U'
F' D2 L2 F' U' R B
F' D2 R L2 F' U' R
F' D2 R F' L2 U' R
R F2 D L' F R U'
F' D2 F' L2 U' R B
R2 B L2 F L' U R'
U' B D R' D2 F2 B
U' B D R' D2 B F2
U' B D' F2 D2 R' B
U B' D B2 U2 R' B
U B' D' L U2 F2 B'
U B' D' L U2 B' F2
