F R B2 L' U' R'
B2 F L' R U' R2
B2 F R L' U' R2
F B2 L' R U' R2
F B2 R L' U' R2
F L U' L2 R B2 U'
F L U' L2 B2 R U'
F L U' R L2 B2 U'
F L U' R B2 L2 U'
F L U' B2 L2 R U'
F L U' B2 R L2 U'
B2 L F L' R U' R2
B2 L F R L' U' R2
U L F U' L' B2 U'
U L F U' B2 L' U'
F' L' R D2 F2 U R2
F L' R D F2 U' L2
F L' R B2 U L2 U2
F L' R B2 U' D2 R2
F L' R B2 D F2 U'
F L' R B2 D2 U' R2
F L' D R F2 U' L2
B2 L' F L' R U' R2
B2 L' F R L' U' R2
F L' B2 R U L2 U2
F L' B2 R U' D2 R2
F L' B2 R D F2 U'
F L' B2 R D2 U' R2
F L' B2 D R F2 U'
F L' B2 D2 R U' R
B2 L2 F L' R U' R2
B2 L2 F R L' U' R2
F' R L' D2 F2 U R2
F R L' D F2 U' L2
F R L' B2 U L2 U2
F R L' B2 U' D2 R2
F R L' B2 D F2 U'
F R L' B2 D2 U' R2
B2 R F L' R U' R
B2 R F R L' U' R
F R F B2 U' R' F'
F R B L' B U' R'
F R B2 L' U' R' D
F R B2 L' U' R' D'
F R B2 L' U' R' D2
F R B2 L' U' D R'
F R B2 L' U' D' R'
F R B2 L' U' D2 R'
F R B2 L' D U' R'
F R B2 L' D' U' R'
F R B2 L' D2 U' R'
F R B2 L' F U' R'
F R B2 L' F' U' R'
F R B2 L' F2 U' R'
F R B2 D L' U' R'
F R B2 D' L' U' R'
F R B2 D2 L' U' R'
F R B2 F U' R' F'
B2 R' F L' R U' R'
B2 R' F R L' U' R'
F R' B2 L' R2 U' R
F R' B2 R2 L' U' R
B2 R2 U' D R F' B
B2 R2 U' D R B F'
B2 R2 D U' R F' B
B2 R2 D U' R B F'
D' U L R2 F B' U2
D' U L R2 B' F U2
D' U L F R2 B' U2
D' U L F B' R2 U2
D' U L B' R2 F U2
D' U L B' F R2 U2
U' D L2 F2 R F' B
U' D L2 F2 R B F'
D' U R2 L F B' U2
D' U R2 L B' F U2
F U R B2 L' U' R'
U D' L R2 F B' U2
U D' L R2 B' F U2
U D' L F R2 B' U2
U D' L F B' R2 U2
U D' L B' R2 F U2
U D' L B' F R2 U2
F U B2 L' R U' R2
F U B2 R L' U' R2
D U' L2 F2 R F' B
D U' L2 F2 R B F'
U D' R2 L F B' U2
U D' R2 L B' F U2
F U' R B2 L' U' R'
B2 U' D R F' B R2
B2 U' D R B F' R2
F U' B2 L' R U' R2
F U' B2 R L' U' R2
F U2 R B2 L' U' R'
L F L' R B2 U' R'
L F L' B2 R U' R2
R' F R B2 L' U' R'
L F R L' B2 U' R'
R2 F R B2 L' U' R'
R F R B2 L' U' R'
F U2 B2 L' R U' R2
F U2 B2 R L' U' R2
L F U' L' R B2 U'
L F U' L' B2 R U'
L F U' R L' B2 U'
L F U' R B2 L' U'
L F U' B2 L' R U'
L F U' B2 R L' U'
R' F B2 L' R U' R2
R' F B2 R L' U' R2
R2 F B2 L' R U' R2
R2 F B2 R L' U' R2
B2 D U' R F' B R2
B2 D U' R B F' R2
U F B2 L' U' R' B'
R F B2 L' R U' R2
R F B2 R L' U' R2
B2 D F R U' F' R2
B2 F L' R U' R2 D
B2 F L' R U' R2 D'
B2 F L' R U' R2 D2
B2 F L' R D' F2 U'
B2 F L' R F U' R2
B2 F L' R F' U' R2
B2 F L' R F2 U' R2
B2 F L' U' R' D B2
B2 F L' D R U' R2
B2 F L' D' R U' R2
B2 F L' D2 R U' R2
B F L' B R U' R2
B2 F R L' U' R2 D
B2 F R L' U' R2 D'
B2 F R L' U' R2 D2
B2 F R L' D' F2 U'
B2 F R L' F U' R2
B2 F R L' F' U' R2
B2 F R L' F2 U' R2
F B L' B R U' R2
B' F R B' L' U' R'
B2 F R D' L' F2 U'
B2 F D L' R U' R2
B2 F D R L' U' R2
B2 F D' L' R U' R2
B2 F D' R L' U' R2
B2 F D2 L' R U' R2
B2 F D2 R L' U' R2
F B' R B' L' U' R'
B2 F' U2 L' R U R2
B2 F' U2 R L' U R2
F B2 L' R U' R2 D
F B2 L' R U' R2 D'
F B2 L' R U' R2 D2
F B2 L' R D' F2 U'
F B2 L' R F U' R2
F B2 L' R F' U' R2
F B2 L' R F2 U' R2
F B2 L' U' R' D B2
F B2 L' D R U' R2
F B2 L' D' R U' R2
F B2 L' D2 R U' R2
F B2 R L' U' R2 D
F B2 R L' U' R2 D'
F B2 R L' U' R2 D2
F B2 R L' D' F2 U'
F B2 R L' F U' R2
F B2 R L' F' U' R2
F B2 R L' F2 U' R2
F B2 R D' L' F2 U'
B2 F2 U' D R' F' B
B2 F2 U' D R' B F'
F2 B2 U' D R' F' B
F2 B2 U' D R' B F'
F' B2 U2 L' R U R2
F' B2 U2 R L' U R2
R' B2 F L' R U' R2
R' B2 F R L' U' R2
B2 F2 D U' R' F' B
B2 F2 D U' R' B F'
F2 B2 D U' R' F' B
F2 B2 D U' R' B F'
R2 B2 F L' R U' R2
R2 B2 F R L' U' R2
F B2 D L' R U' R2
F B2 D R L' U' R2
U B2 F L' U' R' B'
F B2 D' L' R U' R2
F B2 D' R L' U' R2
R B2 F L' R U' R2
R B2 F R L' U' R2
F B2 D2 L' R U' R2
F B2 D2 R L' U' R2
