F' L' F U F'
F' L' R F U F'
F' L' R' F U F'
F' L' R2 F U F'
F' L' D F U F'
F' L' D' F U F'
F' L' D2 F U F'
F' L' F U D F'
F' L' F U D' F'
F' L' F U D2 F'
F' L' F U F' D
F' L' F U F' D'
F' L' F U F' D2
F' L' F U F' D2
F' L' F D U F'
F' L' F D' U F'
F' L' F D2 U F'
U L' F' D' B' L2
U L' F' B' D' L2
U L' B' F' D' L2
U2 L2 U' F' L' B'
F' R L' F U F'
F' R' L' F U F'
F' R2 L' F U F'
D' U L' F' B' L
D' U L' B' L F'
D' U L' B' F' L
D U F L' F2 B'
D U F L' B' F2
U D F L' F2 B'
U D F L' B' F2
D' U F' L' B' L
U D' L' F' B' L
U D' L' B' L F'
U D' L' B' F' L
U D' F' L' B' L
L' F U2 R U' F2
L' F' L' F2 U F2
U F' D' L' B' L
U F2 D F L' B'
U2 L R B' R' U' F'
D' L U L' F' B' L
D' L U L' B' L F'
D' L U L' B' F' L
D' L U F' L' B' L
D L U F L' F2 B'
D L U F L' B' F2
F L U2 R B' U' F2
F L U2 B' R U' F2
F' L F L2 F U F2
F' L F2 L2 F U F
U L B D L2 F' B'
U L B D L2 B' F'
F' L' R D F U F'
F' L' R D' F U F'
F' L' R D2 F U F'
F' L' R F U D F'
F' L' R F U D' F'
F' L' R F U D2 F'
F' L' R F U F' D
F' L' R F U F' D'
F' L' R F U F' D2
F' L' R F D U F'
F' L' R F D' U F'
F' L' R F D2 U F'
F' L' R' D F U F'
F' L' R' D' F U F'
F' L' R' D2 F U F'
F' L' R' F U D F'
F' L' R' F U D' F'
F' L' R' F U D2 F'
F' L' R' F U F' D
F' L' R' F U F' D'
F' L' R' F U F' D2
F' L' R' F D U F'
F' L' R' F D' U F'
F' L' R' F D2 U F'
F' L' R2 D F U F'
F' L' R2 D' F U F'
F' L' R2 D2 F U F'
F' L' R2 F U D F'
F' L' R2 F U D' F'
F' L' R2 F U D2 F'
F' L' R2 F U F' D
F' L' R2 F U F' D'
F' L' R2 F U F' D2
F' L' R2 F D U F'
F' L' R2 F D' U F'
F' L' R2 F D2 U F'
D' L' U L' F' B' L
D' L' U L' B' L F'
D' L' U L' B' F' L
D' L' U F' L' B' L
D L' U F L' F2 B'
D L' U F L' B' F2
R' L' F U2 R U' F'
L' R' F U2 R U' F'
U L' U' F U F2 B'
U L' U' F U B' F2
F' L' D R F U F'
F' L' D R' F U F'
F' L' D R2 F U F'
F' L' D F U D F'
F' L' D F U D' F'
F' L' D F U D2 F'
F' L' D F U F' D
F' L' D F U F' D'
F' L' D F U F' D2
F' L' D F D U F'
F' L' D F D' U F'
F' L' D F D2 U F'
U L' D F' D' B' L2
U L' D F' B' D' L2
F' L' D' R F U F'
F' L' D' R' F U F'
U L' D B' F' D' L2
F' L' D' R2 F U F'
F' L' D' F U D F'
F' L' D' F U D' F'
F' L' D' F U D2 F'
F' L' D' F U F' D
F' L' D' F U F' D'
F' L' D' F U F' D2
F' L' D' F D U F'
F' L' D' F D' U F'
F' L' D' F D2 U F'
U L' D' F' D' B' L2
U L' D' F' B' D' L2
F' L' D2 R F U F'
F' L' D2 R' F U F'
F' L' D2 R2 F U F'
U L' D' B' F' D' L2
F' L' D2 F U D F'
F' L' D2 F U D' F'
F' L' D2 F U D2 F'
F' L' D2 F U F' D
F' L' D2 F U F' D'
F' L' D2 F U F' D2
F' L' D2 F D U F'
F' L' D2 F D' U F'
F' L' D2 F D2 U F'
U L' D2 F' D' B' L2
U L' D2 F' B' D' L2
F2 L' F L' U' B' U2
F' L' F R2 U' B U2
U L' D2 B' F' D' L2
F' L' F U L' F' L
F' L' F U L2 F' L2
F' L' F U D F' D
F' L' F U D F' D'
F' L' F U D F' D2
F' L' F U D' F' D
F' L' F U D' F' D'
