F R U' L2 U' B
D R U2 F2 B L
D R U2 B L F2
D R U2 B F2 L
F R U2 D F2 B
F R U2 D B F2
F R U2 B D F2
F R D U2 F2 B
F R D U2 B F2
F R D' B2 U2 B'
R U' L2 U' B L
D' R' F' B2 U2 L'
D R' F' U2 L' F'
D' R' B2 F' U2 L'
R U2 D F2 B L
R U2 D B L F2
R U2 D B F2 L
R U2 B D L F2
R U2 B D F2 L
R' D F' U2 L' F'
R D U2 F2 B L
R D U2 B L F2
R D U2 B F2 L
R' D' F' B2 U2 L'
R' D' B2 F' U2 L'
F' U2 D L' F2 B'
F' U2 D L' B' F2
F U2 D F2 L' B'
D' F R B2 U2 B'
D F R U2 F B
D F R U2 B F
F D R U2 F2 B
F D R U2 F2 B
F D R U2 B F2
D' F B2 R U2 B
F' D U2 L' F2 B'
F' D U2 L' B' F2
F D U2 F2 L' B'
R' F' U' L2 U' L
R' F' U2 D L' F2
R' F' D U2 L' F2
R' F' D' B2 U2 L'
D F' U2 L' F' B'
D F' U2 L' B' F'
F D' R B2 U2 B'
D' F' B2 U2 L' B'
F' D' B2 U2 L' B'
F D' B2 R U2 B
D' B2 R U2 B L
D' B2 R' F' U2 L'
D' B2 F R U2 B
D' B2 F' U2 L' B'
U L F U2 L R U'
U L F U2 R L U'
D L F' L' F' R B
U L' U2 B' L' R' U'
U L' U2 B' R' L' U'
U2 L' B L B2 D F2
U' L2 R B U2 L U
U' L2 R B' R' B2 U'
U' L2 R' U2 F' L' U
U' L2 R2 B' R' B U'
U' L2 U R U2 B L
U' L2 U R' F' U2 L'
U' L2 U F R U2 B
U' L2 U F' U2 L' B'
U' L2 U' L' B L B2
U' L2 U' L2 B L B'
U' L2 U' B L' B' L2
U' L2 U' B2 L' B' L
U' L2 B U2 L F U
U' L2 B' R B R2 U'
U' L2 B' R' U2 F' U
U' L2 B2 R B R' U'
R' U D2 R2 U B L
U' R L2 B U2 L U
U' R L2 B' R' B2 U'
F' R U' L2 U' L B
B' R U' L2 U' B L
B2 R U' L2 U' B L
B R U' L2 U' B L
F R U' L2 U' D B
F R U' L2 U' D' B
F R U' L2 U' D2 B
F R U' L2 U' B D
F R U' L2 U' B D'
F R U' L2 U' B D2
F R U' L2 D U' B
F R U' L2 D' U' B
F R U' L2 D2 U' B
F' R U2 D L' F2 B
F' R U2 D L' B F2
D R U2 L F2 B L
D R U2 L B L F2
D R U2 L B F2 L
F' R U2 D B L' F2
B' R U2 D F2 B L
B' R U2 D B L F2
B' R U2 D B F2 L
D R U2 L' F2 B L
D R U2 L' B L F2
D R U2 L' B F2 L
D' R U2 D2 F2 B L
D' R U2 D2 B L F2
D' R U2 D2 B F2 L
D R U2 L2 F2 B L
D R U2 L2 B L F2
D R U2 L2 B F2 L
B2 R U2 D F2 B L
B2 R U2 D B L F2
B2 R U2 D B F2 L
F' R U2 B D L' F2
B' R U2 B D L F2
B' R U2 B D F2 L
B R U2 D F2 B L
B R U2 D B L F2
B R U2 D B F2 L
B2 R U2 B D L F2
B2 R U2 B D F2 L
D R U2 F' B L F'
D R U2 F2 L B L
F R U2 D F2 D B
F R U2 D F2 D' B
F R U2 D F2 D2 B
F R U2 D F2 B D
F R U2 D F2 B D'
F R U2 D F2 B D2
D R U2 F2 L' B L
F R U2 D B F2 D
F R U2 D B F2 D'
F R U2 D B F2 D2
D R U2 F2 L2 B L
D R U2 F2 D B L
D R U2 F2 D' B L
D R U2 F2 D2 B L
D R U2 F2 B L D
D R U2 F2 B L D'
D R U2 F2 B L D2
D R U2 F2 B D L
D R U2 F2 B D' L
D R U2 F2 B D2 L
D R U2 B L F2 D
D R U2 B L F2 D'
D R U2 B L F2 D2
D R U2 B L' F2 L2
F R U2 D2 B D' F2
D R U2 B F' L F'
D R U2 B F2 L D
D R U2 B F2 L D'
D R U2 B F2 L D2
D R U2 B F2 D L
D R U2 B F2 D' L
D R U2 B F2 D2 L
F R U2 F D F2 B
F R U2 F D B F2
F R U2 F B D F2
B R U2 B D L F2
B R U2 B D F2 L
F R U2 F' D F2 B
F R U2 F' D B F2
F R U2 F' B D F2
F R U2 F2 D F2 B
F R U2 F2 D B F2
F R U2 F2 B D F2
F R U2 B U L2 U'
F R U2 B D F2 D
F R U2 B D F2 D'
F R U2 B D F2 D2
F R U2 B F D F2
F R U2 B F' D F2
F R U2 B F2 D F2
F' R D U2 L' F2 B
F' R D U2 L' B F2
B' R D U2 F2 B L
B' R D U2 B L F2
B' R D U2 B F2 L
F' R D U2 B L' F2
F R U2 B2 D F2 B'
F R U2 B2 D B' F2
B2 R D U2 F2 B L
B2 R D U2 B L F2
B2 R D U2 B F2 L
B R D U2 F2 B L
B R D U2 B L F2
B R D U2 B F2 L
F R D U2 F2 D B
F R D U2 F2 D' B
F R D U2 F2 D2 B
F R D U2 F2 B D
F R D U2 F2 B D'
F R D U2 F2 B D2
F R D U2 B F2 D
F R D U2 B F2 D'
F R D U2 B F2 D2
F R D F U2 F B
F R D F U2 B F
F R D F' U2 F' B
F R D F' U2 B F'
F R D B' U2 F2 B2
F R D B' U2 B2 F2
F R D B2 U2 F2 B'
F R D B2 U2 B' F2
F' R D' B2 U2 B' L'
F R D' F B2 U2 B'
F R D' F' B2 U2 B'
F R D' F2 B2 U2 B'
D' R D2 U2 F2 B L
D' R D2 U2 B L F2
D' R D2 U2 B F2 L
F R D' B2 U2 D B'
F R D' B2 U2 D' B'
F R D' B2 U2 D2 B'
F R D' B2 U2 B' D
F R D' B2 U2 B' D'
F R D' B2 U2 B' D2
F R D' B2 D U2 B'
F R D' B2 D' U2 B'
F R D' B2 D2 U2 B'
F R D' B2 F U2 B'
F R D' B2 F' U2 B'
F R D' B2 F2 U2 B'
F R D2 U2 B D' F2
R' U' L2 U F' U2 L'
D' R F B2 R U2 B'
F R F U' L2 U' B
F R F U2 D F2 B
F R F U2 D B F2
F R F U2 B D F2
F R F D U2 F2 B
F R F D U2 B F2
F R F D' B2 U2 B'
R U' L2 U' L B L
R U' L2 U' L' B L
R U' L2 U' L2 B L
R U' L2 U' D B L
R U' L2 U' D' B L
R U' L2 U' D2 B L
R U' L2 U' B L D
R U' L2 U' B L D'
R U' L2 U' B L D2
R U' L2 U' B D L
R U' L2 U' B D' L
R U' L2 U' B D2 L
R U' L2 D U' B L
R U' L2 D' U' B L
R U' L2 D2 U' B L
D' R F' B2 U2 B' L'
D R F' U2 L' F' B
D R F' U2 L' B F'
D R F' U2 B L' F'
F R F' U' L2 U' B
F R F' U2 D F2 B
F R F' U2 D B F2
F R F' U2 B D F2
F R F' D U2 F2 B
F R F' D U2 B F2
F R F' D' B2 U2 B'
U' R B L2 U2 L' U
F R F2 U' L2 U' B
F R F2 U2 D F2 B
F R F2 U2 D B F2
F R F2 U2 B D F2
F R F2 D U2 F2 B
F R F2 D U2 B F2
F R F2 D' B2 U2 B'
U' R B' L2 R' B2 U'
U' R B' R' L2 B2 U'
U' R B' R' B2 L2 U'
F R B D' B2 U2 B2
F R B' U' L2 U' B2
F R B' U2 B2 D F2
D' R B2 U2 B L B2
D' R B2 F R U2 B'
D' R B2 F' U2 B' L'
F R B2 U2 D F2 B'
F R B2 U2 D B' F2
F R B2 U2 B' D F2
F R B2 D U2 F2 B'
F R B2 D U2 B' F2
F R B2 D' B2 U2 B
U' R' L2 U2 F' L' U
B' R' D F' U2 L' F'
B2 R' D F' U2 L' F'
B R' D F' U2 L' F'
B' R' D' F' B2 U2 L'
B2 R' D' F' B2 U2 L'
B' R' D' B2 F' U2 L'
B2 R' D' B2 F' U2 L'
B R' D' F' B2 U2 L'
D' R' D2 F' U2 L' F'
B R' D' B2 F' U2 L'
D' R' F R F2 B2 U2
D' R' F R B2 F2 U2
D R' D2 F' B2 U2 L'
D R' D2 B2 F' U2 L'
D R' F R F2 U2 F'
D' R' F B2 R F2 U2
D' R' F' R B2 U2 L'
D' R' F' R' B2 U2 L'
R U2 L' B L D F2
D' R' F' R2 B2 U2 L'
D2 R' F' U R' U L'
D' R' F' U2 L' D2 F2
D' R' F' U2 D2 L' F2
B' R' F' U' L2 U' L
F2 R' F' R U' L2 U'
F2 R' F' R U2 D F2
F2 R' F' R D U2 F2
F2 R' F' R D' B2 U2
B' R' F' U2 D L' F2
B' R' F' D U2 L' F2
D' R' F' D2 U2 L' F2
B2 R' F' U' L2 U' L
B' R' F' D' B2 U2 L'
B2 R' F' U2 D L' F2
