R2 U' R' U' F'
U' R U B R U2
R2 U' L R' U' F'
R2 U' L' R' U' F'
R2 U' L2 R' U' F'
R2 U' R' L U' F'
R2 U' R' L' U' F'
R2 U' R' L2 U' F'
R2 U' R' U' D F'
R2 U' R' U' D' F'
R2 U' R' U' D2 F'
R2 U' R' U' F' D
R2 U' R' U' F' D'
R2 U' R' U' F' D2
R2 U' R' D U' F'
R2 U' R' D' U' F'
R2 U' R' D2 U' F'
R2 U' D R' U' F'
R2 U' D' R' U' F'
R2 U' D2 R' U' F'
B' R2 U' R' U' F'
B2 R2 U' R' U' F'
B R2 U' R' U' F'
R2 D U' R' U' F'
R2 D' U' R' U' F'
R2 D2 U' R' U' F'
R2 F' U' L' R' U'
R2 F' U' R' L' U'
R2 B2 U L U F
L' R U L R U2 F
L' R U R L U2 F
U' L R U B R U2
L R U L' R B' U2
L R U L' B' R U2
L R U R L' B' U2
R L U L' R B' U2
R L U L' B' R U2
R L U R L' B' U2
U L D' F2 L' U F'
R L' U L R U2 F
R L' U R L U2 F
U' L' R U B R U2
D L' R B2 U' R' F'
F' L' U L R2 F U2
F' L' U L F R2 U2
F' L' U R2 L F U2
U' L2 R U B R U2
R2 U L U2 R' U' F
U' R L U B R U2
U' R L' U B R U2
U' R L2 U B R U2
D R L' B2 U' R' F'
U2 R U R U2 R2 F'
U' R U D B R U2
U2 R U R B U2 R2
U' R U D' B R U2
U' R U D2 B R U2
U' R U B R U2 D
U' R U B R U2 D'
U' R U B R U2 D2
U' R U B R D U2
U' R U B R D' U2
U' R U B R D2 U2
U' R U B D R U2
U' R U B D' R U2
U' R U B D2 R U2
U' R U B' R B2 U2
U' R U B2 R B' U2
U' R D U B R U2
R2 U B2 L B2 U F
U' R D' U B R U2
R2 U' L R' U' D F'
R2 U' L R' U' D' F'
R2 U' L R' U' D2 F'
R2 U' L R' U' F' D
R2 U' L R' U' F' D'
R2 U' L R' U' F' D2
R2 U' L R' D U' F'
R2 U' L R' D' U' F'
R2 U' L R' D2 U' F'
R2 U' L D R' U' F'
U' R D2 U B R U2
R2 U' L D' R' U' F'
R2 U' L D2 R' U' F'
R2 U' L' R' U' D F'
R2 U' L' R' U' D' F'
R2 U' L' R' U' D2 F'
R2 U' L' R' U' F' D
R2 U' L' R' U' F' D'
R2 U' L' R' U' F' D2
R2 U' L' R' D U' F'
R2 U' L' R' D' U' F'
R2 U' L' R' D2 U' F'
R2 U' L' D R' U' F'
R2 U' L' D' R' U' F'
R2 U' L' D2 R' U' F'
R2 U' L2 R' U' D F'
R2 U' L2 R' U' D' F'
R2 U' L2 R' U' D2 F'
R2 U' L2 R' U' F' D
R2 U' L2 R' U' F' D'
R2 U' L2 R' U' F' D2
R2 U' L2 R' D U' F'
R2 U' L2 R' D' U' F'
R2 U' L2 R' D2 U' F'
R2 U' L2 D R' U' F'
R2 U' L2 D' R' U' F'
D R F' L' B2 U' R'
R2 U' L2 D2 R' U' F'
R2 U' R' L U' D F'
R2 U' R' L U' D' F'
R2 U' R' L U' D2 F'
R2 U' R' L U' F' D
R2 U' R' L U' F' D'
R2 U' R' L U' F' D2
R2 U' R' L D U' F'
R2 U' R' L D' U' F'
R2 U' R' L D2 U' F'
R2 U' R' L' U' D F'
R2 U' R' L' U' D' F'
R2 U' R' L' U' D2 F'
R2 U' R' L' U' F' D
R2 U' R' L' U' F' D'
R2 U' R' L' U' F' D2
R2 U' R' L' D U' F'
R2 U' R' L' D' U' F'
R2 U' R' L' D2 U' F'
R2 U' R' L2 U' D F'
R2 U' R' L2 U' D' F'
R2 U' R' L2 U' D2 F'
R2 U' R' L2 U' F' D
R2 U' R' L2 U' F' D'
R2 U' R' L2 U' F' D2
R2 U' R' L2 D U' F'
R2 U' R' L2 D' U' F'
R2 U' R' L2 D2 U' F'
R2 U' R' U B U2 F'
R2 U' R' U B' U2 F'
R2 U' R' U B2 U2 F'
R2 U' R' U' L' F' L
R2 U' R' U' L2 F' L2
R2 U' R' U' D F' D
R2 U' R' U' D F' D'
R2 U' R' U' D F' D2
R2 U' R' U' D' F' D
R2 U' R' U' D' F' D'
R2 U' R' U' D' F' D2
R2 U' R' U' D2 F' D
R2 U' R' U' D2 F' D'
R2 U' R' U' D2 F' D2
R2 U' R' U' F2 D F
R2 U' R' U' F2 D' F
R2 U' R' U' F2 D2 F
R2 U' R' D L U' F'
R2 U' R' D L' U' F'
R2 U' R' D L2 U' F'
R2 U' R' D U' F' D
R2 U' R' D U' F' D'
R2 U' R' D U' F' D2
R2 U' R' D' L U' F'
R2 U' R' D' L' U' F'
R2 U' R' D' L2 U' F'
R2 U' R' D' U' F' D
R2 U' R' D' U' F' D'
R2 U' R' D' U' F' D2
R' U' R2 U R U2 F'
R2 U' R' D2 L U' F'
R2 U' R' D2 L' U' F'
R2 U' R' D2 L2 U' F'
R2 U' R' D2 U' F' D
R2 U' R' D2 U' F' D'
R2 U' R' D2 U' F' D2
U' R B' U R B2 U2
U' R B' U B2 R U2
U' R B' U' D2 F2 L'
U' R B' D2 U' F2 L'
R2 U' D L R' U' F'
R2 U' D L' R' U' F'
R2 U' D L2 R' U' F'
