B L B R2 U F' L'
B' L2 U' R' F B U'
B' L2 U' R' B F U'
D' L2 U' R2 F L' B'
D' L2 U' F L' R2 B'
D' L2 U' F L' B' R2
D' L2 U' F R2 L' B'
B' L2 U' F R' B U'
D2 L2 F2 U' F' L' B'
L2 U' D' R2 F L' B'
L2 U' D' F L' R2 B'
L2 U' D' F L' B' R2
L2 U' D' F R2 L' B'
D U B' L2 U2 L' B'
U D B' L2 U2 L' B'
L2 D' U' R2 F L' B'
L2 D' U' F L' R2 B'
L2 D' U' F L' B' R2
L2 D' U' F R2 L' B'
B' U' R' B U' D' R2
B' U' R' B U2 B2 U
B' U' R' B D' U' R2
B' U' R' B D2 F2 U'
B2 U' B U' R' B U'
B2 U2 R' B R' U' F'
D B' L2 U' R' U' L'
U2 B2 R2 U F' L' B'
