U' L' D F L' B'
F L B' U' F' U' L'
B' L' U' F U R U'
B' L' U2 R U F B
B' L' U2 R U B F
F2 L' D R2 F L' B
F2 L' D R2 F B L'
F2 L' D R2 B F L'
U' L' D F L' D B'
U' L' D F L' D' B'
U' L' D F L' D2 B'
U' L' D F L' B' D
U' L' D F L' B' D'
U' L' D F L' B' D2
U' L' D F D L' B'
U' L' D F D' L' B'
U' L' D F D2 L' B'
U' L' D F B L' B'
U' L' D F B' L' B'
U' L' D F B2 L' B'
U' L' D B F L' B'
U' L' D B' F L' B'
U' L' D B2 F L' B'
U' L' D' L' B' L F
U' L' D' F L' B' L
U' L' F D' L' B' L
U' L' B D F L' B'
U' L' B' D F L' B'
U' L' B2 D F L' B'
U' L2 U' F R U B'
B' L2 U2 R' U F' B'
B' L2 U2 R' U B' F'
B2 L2 B L U' F B2
B2 L2 B L U' B2 F
U' L2 B' L D F L'
U' L2 B' U' F R U
B L2 B2 L U' F B
B L2 B2 L U' B F
L U D2 B' R' U2 B
L U B' U2 B2 L B'
L U B' D2 R' U2 B
R' U' L' D F L' B'
R2 U' L' D F L' B'
R U' L' D F L' B'
L U' L2 F' L' F2 B'
L U' L2 F' L' B' F2
D2 R B' L2 U' F' B'
D2 R B' L2 U' B' F'
D2 R B' U F U2 F2
D2 R B' U' F' D2 B2
L2 U' F R U R' B'
L U' F2 L2 F L' B'
L2 U2 R' F U F2 B'
L2 U2 R' F U B' F2
D2 R' B' U F B2 U2
D2 R' B' U B2 F U2
D2 R' B' D L2 U' B'
L2 U2 F R' U F' B'
L2 U2 F R' U B' F'
B' U L B' L' F U2
D' U F U' B' L U'
B' U D F U' L' U'
D U F U' B' L' U'
U D F U' B' L' U'
B' U F L B' L' U2
B' U F U' L' U' F
B' U F U2 L' F L
B' U' L' F L' B' L2
B' U' L2 B' L F L
U D' F U' B' L U'
F U' D' F' B' L U'
F U' D' B' L F' U'
F U' D' B' F' L U'
F U' F' D' B' L U'
F U' F' B' L' U' F
F U' B' L' F' U' F2
F U' B' F' L' U' F
L D2 U B' R' U2 B
D' F U' F' B' L U'
D' F U' B' L F' U'
D' F U' B' F' L U'
D F U' B' L' F' U'
U F U' D' B' L U'
U F U' B' L' U' F
U F U2 L' D F L'
U F D' U' B' L U'
F' D R2 F B' L' U'
F' D R2 B' F L' U'
B' D U F U' L' U'
F' D F R2 B' L' U'
F' D F B' L' R2 U'
F' D F B' R2 L' U'
F' D B' R2 F L' U'
F' D B' F L' R2 U'
F' D B' F R2 L' U'
F D' U' F' B' L U'
F D' U' B' L F' U'
F D' U' B' F' L U'
B' D2 L2 R U' F' B'
B' D2 L2 R U' B' F'
B' D2 R L2 U' F' B'
B' D2 R L2 U' B' F'
B' D2 R U F U2 F2
B' D2 R U' F' D2 B2
B' D2 R' U F B U2
B' D2 R' U B F U2
D' B L B2 L U' B'
D' B L2 B2 L U' B
D' B' L U' L B' L'
D' B' L U2 L U B'
D' B' L D2 R' U' B
D2 B' L2 R U' F' B'
D2 B' L2 R U' B' F'
D2 B' R L2 U' F' B'
D2 B' R L2 U' B' F'
D2 B' R U F U2 F2
D2 B' R U' F' D2 B2
D2 B' R' U F B U2
D2 B' R' U B F U2
D' B' U F U' L U'
D B' U F U' L' U'
L2 B' U' F R U R'
B' F' D R2 F L' U'
B' F' D F L' R2 U'
B' F' D F R2 L' U'
F' B' D R2 F L' U'
F' B' D F L' R2 U'
F' B' D F R2 L' U'
D' B2 L B L U' B'
D' B2 L2 B L U' B2
L B2 U B U2 L B'
