R D L B' U L
D L R D B' U L
D2 L R2 F' R' U R2
D L R2 F' R' B' U
R2 L D' F' R' B U
F2 L U2 L2 B U' R'
F' L U2 B L U' R'
F2 L U2 B L2 U' R'
R2 L D2 F' R' U R2
R2 L F' R' B U R'
R2 L F' D' R' B U
R2 L F' B U R' F'
F2 L D2 R2 F' U R
R2 L B F' U R' F'
D L B' R U D L2
D L B' R U2 B2 U'
D L B' R D U L2
D L B' R D2 F2 U
D L B' D R U L2
D L B' D2 R F2 U
F2 L' B U' R' D' B2
F2 L' B U' D' R' B2
F2 L' B U2 L2 U R'
F2 L' B D' U' R' B2
F2 L' B D2 R2 U' R
L R2 D' F' R' B U
L R2 D2 F' R' U R2
L R2 F' R' B U R'
L R2 F' D' R' B U
L R2 F' B U R' F'
L R2 B F' U R' F'
D R L D B' U L
U' R D L B' U L
U2 R D L B' U L
U R D L B' U L
B2 R' D' B' U' R' F2
B2 R' D' B' U' F2 R'
B2 R' D2 B' L2 U' R'
B2 R' B' U' D' R' F2
B2 R' B' U' D' F2 R'
B2 R' B' U2 R2 U R
B2 R' B' D' U' R' F2
B2 R' B' D' U' F2 R'
B2 R' B' D2 L2 U' R'
D2 R2 L F' R' U R2
D R2 L F' R' B' U
L U2 F' B U' R' F'
L U2 F2 L' B U' R'
L U2 F2 B L' U' R'
L U2 B U' R' D' F2
L U2 B U2 R U R2
L U2 B F' U' R' F'
L U2 B F2 L' U' R'
R2 D L F' R' B' U
R D L F B' U L
R D L F' B' U L
R D L F2 B' U L
R D L B' U L D
R D L B' U L D'
R D L B' U L D2
R D L B' U D L
R D L B' U D' L
R D L B' U D2 L
R D L B' D U L
R D L B' D' U L
R D L B' D2 U L
R D L B' F U L
R D L B' F' U L
R D L B' F2 U L
D2 R2 F' L R' U R2
D2 R2 F' R' L U R2
D R2 F' L R' B' U
D R2 F' R' L B' U
R D F L B' U L
R2 D F' L R' B' U
R2 D F' R' L B' U
R D F' L B' U L
R D F2 L B' U L
R2 D' L F' R' B U
R2 D' F' L R' B U
R2 D' F' R' L B U
B U' D' R' D' F2 B
B U' D' R' D' B F2
B U' D' R' B D' F2
R2 D2 L F' R' U R2
L D2 R2 F' R' U R2
R2 D2 F' L R' U R2
R2 D2 F' R' L U R2
B U2 R B' L U R2
B U2 D' R U R2 B
R F D L B' U L
R2 F' L R' B U R'
R2 F' L D' R' B U
R2 F' L B U R' F'
R2 F' R' L B U R'
R2 F' R' D L B' U
R2 F' D L R' B' U
R2 F' D R' L B' U
L F' U2 B L U' R'
R2 F' D' L R' B U
R F' D L B' U L
R2 F' D' R' L B U
B D' U' R' D' F2 B
B D' U' R' D' B F2
B D' U' R' B D' F2
B D' U2 R U R2 B
L2 F2 L' B R U' R2
B D' F' U' R' F' B
B D' F' U' R' B F'
B D' F2 L' U' R' B
L F2 U2 L' B U' R'
L F2 U2 B L' U' R'
R F2 D L B' U L
L2 F2 B L' R U' R2
L2 F2 B R L' U' R2
L B R U R2 D2 L2
L' B U' R' D' F2 B2
L' B U' R' D' B2 F2
L' B U2 L2 R U R2
L' B U2 R L2 U R2
L B U R' D' F2 L'
L2 B U2 L' R U R2
L2 B U2 R L' U R2
F2 B L' U' D' R' B
F2 B L' D' U' R' B
L2 B F2 L' R U' R2
L2 B F2 R L' U' R2
F' B U' D' R' F' B
F' B U' D' R' B F'
F2 B D' L' U' R' B
F' B D' U' R' F' B
F' B D' U' R' B F'
L B' R U2 B2 U' R'
B2 F' R' B' U' R' F'
B F' U' D' R' F' B
B F' U' D' R' B F'
B F' D' U' R' F' B
B F' D' U' R' B F'
B F2 L' U' D' R' B
B F2 L' D' U' R' B
F' B2 R' B' U' R' F'
B2 F2 R' B' L' U' R'
F2 B2 R' B' L' U' R'
B F2 D' L' U' R' B
