D L F U2 L' F
B2 R' D F L' B'
B2 R' D F L' B'
D F L' D2 R2 B'
D F L' D2 B' R2
D F L' B' D2 R2
B2 D R' F L' B'
D F B' L' B' R'
D F B2 L' R' B'
D F B2 R' L' B'
B2 D F L' R' B'
B' D F L' B' R'
B2 D F R' L' B'
D B' F L' B' R'
D B2 R' F L' B'
D B2 F L' R' B'
D B2 F R' L' B'
D L R F U2 L' F
D L R' F U2 L' F
D L R2 F U2 L' F
D' L U2 L2 B' L F
D L U2 L' F L' B'
D L F R U2 L' F
D L F R' U2 L' F
D L F R2 U2 L' F
F' L F U' B' U' F
F2 L F U' B' U' F2
D L F U2 L' D F
D L F U2 L' D' F
D L F U2 L' D2 F
D L F U2 L' F D
D L F U2 L' F D'
D L F U2 L' F D2
F L F U' B' U' F'
D L F B U2 L' F
D L F B' U2 L' F
D L F B2 U2 L' F
D L B F U2 L' F
D L B' F U2 L' F
D L B2 F U2 L' F
D L' D2 R2 B' L F
D L' D2 B' L R2 F
D L' D2 B' L F R2
D L' D2 B' R2 L F
D' L' B' D2 L R2 F
D' L' B' D2 L F R2
D' L' B' D2 R2 L F
D' L2 B' L' U2 L2 B'
D' L2 B' L' F U2 L2
D L2 B' L' F U2 L'
D R L F U2 L' F
L2 U B' L' R' F U2
L2 U B' L' F R' U2
L2 U B' R' L' F U2
B' R D F L' B' R'
D R F L' D2 R2 B'
D R F L' D2 B' R2
D R F L' B' D2 R2
D R F B' L' B' R'
D R F B2 L' R' B'
D R F B2 R' L' B'
D R B' F L' B' R'
D R B2 R' F L' B'
D R B2 F L' R' B'
D R B2 F R' L' B'
D R' L F U2 L' F
L2 U' B' L' F R U2
B' R' D F L' B' R'
B2 R' D F L' D B'
B2 R' D F L' D' B'
B2 R' D F L' D2 B'
B2 R' D F L' B' D
B2 R' D F L' B' D'
B2 R' D F L' B' D2
B2 R' D F D L' B'
B2 R' D F D' L' B'
B2 R' D F D2 L' B'
B2 R' D F B L' B'
B2 R' D F B' L' B'
B2 R' D F B2 L' B'
B2 R' D B F L' B'
B2 R' D B' F L' B'
B2 R' D B2 F L' B'
B2 R' D' L' B' L F
B2 R' D' F L' B' L
D R' F L' D2 R2 B'
D R' F L' D2 B' R2
D R' F L' B' D2 R2
L U2 L' D F L' B'
B2 R' F D' L' B' L
D R' F B' L' B' R'
D R' F B2 L' R' B'
D R' F B2 R' L' B'
B2 R' B D F L' B'
B2 R' B' D F L' B'
D R' B' F L' B' R'
B2 R' B2 D F L' B'
D R' B2 R' F L' B'
D R' B2 F L' R' B'
D R' B2 F R' L' B'
D R2 L F U2 L' F
B2 R2 D R F L' B'
B' R2 D F L' B' R'
R' D L F U2 L' F
R2 D L F U2 L' F
R D L F U2 L' F
D R2 F L' D2 R2 B'
D R2 F L' D2 B' R2
D R2 F L' B' D2 R2
D R2 F B' L' B' R'
D R2 F B2 L' R' B'
D R2 F B2 R' L' B'
D R2 B' F L' B' R'
D R2 B2 R' F L' B'
D R2 B2 F L' R' B'
D R2 B2 F R' L' B'
R' D F L' D2 R2 B'
R' D F L' D2 B' R2
R' D F L' B' D2 R2
R' D F B' L' B' R'
R' D F B2 L' R' B'
R' D F B2 R' L' B'
R2 D F L' D2 R2 B'
R2 D F L' D2 B' R2
R2 D F L' B' D2 R2
R D F L' D2 R2 B'
R D F L' D2 B' R2
R D F L' B' D2 R2
R2 D F B' L' B' R'
R2 D F B2 L' R' B'
R2 D F B2 R' L' B'
L D F U' B' L' U'
R D F B' L' B' R'
R D F B2 L' R' B'
R D F B2 R' L' B'
R' D B' F L' B' R'
R' D B2 R' F L' B'
R2 D B' F L' B' R'
R' D B2 F L' R' B'
R' D B2 F R' L' B'
R2 D B2 R' F L' B'
R D B' F L' B' R'
R2 D B2 F L' R' B'
R2 D B2 F R' L' B'
R D B2 R' F L' B'
R D B2 F L' R' B'
R D B2 F R' L' B'
L D' F U' B' L U'
F U2 L U' B' R' U'
B' U2 D F L' R B
B' U2 D F R L' B
B' U2 D F R B L'
D' F L' B' D2 L R2
D' F L' B' D2 R2 L
D F L F U2 L2 F'
D F L F U2 F' L2
D F L' R D2 R2 B'
D F L' R D2 B' R2
D F L' R B' D2 R2
D F L' R' D2 R2 B'
D F L' R' D2 B' R2
D F L' R' B' D2 R2
D F L' R2 D2 R2 B'
D F L' R2 D2 B' R2
D F L' R2 B' D2 R2
D F L' U2 L2 F U2
D F L' D B' D R2
D F L' D2 R B' R
D F L' D2 R2 D B'
D F L' D2 R2 D' B'
D F L' D2 R2 D2 B'
D F L' D2 R2 B' D
D F L' D2 R2 B' D'
D F L' D2 R2 B' D2
D F L' D2 B R2 B2
D F L' D2 B' R2 D
D F L' D2 B' R2 D'
D F L' D2 B' R2 D2
D F L' B' R D2 R2
D F L' B' R' D2 R2
D F L' B' R2 D2 R2
D F L' B' U2 L2 U2
D F L' B' D2 R2 D
D F L' B' D2 R2 D'
D F L' B' D2 R2 D2
D F L' B2 D2 B R2
D F R L' D2 R2 B'
D F R L' D2 B' R2
D F R L' B' D2 R2
D F R B' L' B' R'
D F R B2 L' R' B'
D F R B2 R' L' B'
D F R' L' D2 R2 B'
D F R' L' D2 B' R2
D F R' L' B' D2 R2
D F R' B' L' B' R'
D F R' B2 L' R' B'
D F R' B2 R' L' B'
D F R2 L' D2 R2 B'
D F R2 L' D2 B' R2
D F R2 L' B' D2 R2
D F R2 B' L' B' R'
D F R2 B2 L' R' B'
D F R2 B2 R' L' B'
F2 D L F U2 L' F2
L F U' D' B' L U'
L F U' B' L' U' F
F D L F U2 L' F'
L F U2 L' D F L'
D F D L' D2 R2 B'
D F D L' D2 B' R2
D F D L' B' D2 R2
F D L' D2 R2 B' L
F D L' D2 B' L R2
F D L' D2 B' R2 L
B' D R F L' B' R'
D F D B' L' B' R'
D F D B2 L' R' B'
D F D B2 R' L' B'
D F D' L' D2 R2 B'
D F D' L' D2 B' R2
B2 D R F L' R2 B'
B2 D R F L' B' R2
D F D' L' B' D2 R2
B2 D R F R2 L' B'
B' D R' F L' B' R'
D F D' B' L' B' R'
D F D' B2 L' R' B'
D F D' B2 R' L' B'
L F D' U' B' L U'
D F D2 L' D2 R2 B'
D F D2 L' D2 B' R2
B2 D R' F L' D B'
B2 D R' F L' D' B'
B2 D R' F L' D2 B'
B2 D R' F L' B' D
B2 D R' F L' B' D'
B2 D R' F L' B' D2
D F D2 L' B' D2 R2
B2 D R' F D L' B'
B2 D R' F D' L' B'
B2 D R' F D2 L' B'
B2 D R' F B L' B'
B2 D R' F B' L' B'
B2 D R' F B2 L' B'
B2 D R' B F L' B'
B2 D R' B' F L' B'
B2 D R' B2 F L' B'
D' F B' L' B' L2 R'
D' F B' L' B' R' L2
B' D R2 F L' B' R'
D F D2 B' L' B' R'
D F D2 B2 L' R' B'
D F D2 B2 R' L' B'
D F B L' B R' B2
D F B' L' R B' R'
D F B' L' R' B' R'
D F B' L' R2 B' R'
D F B' L' D B' R'
D F B' L' D' B' R'
D F B' L' D2 B' R'
D F B' L' B' R' D
D F B' L' B' R' D'
D F B' L' B' R' D2
D F B' L' B' D R'
D F B' L' B' D' R'
D F B' L' B' D2 R'
D F B' R L' B' R'
D F B' R' L' B' R'
D F B' R2 L' B' R'
D F B' D L' B' R'
D F B' D' L' B' R'
D F B' D2 L' B' R'
D F B2 L' R B' R2
D F B2 L' R' D B'
D F B2 L' R' D' B'
D F B2 L' R' D2 B'
D F B2 L' R' B' D
D F B2 L' R' B' D'
D F B2 L' R' B' D2
D F B2 L' R2 B' R
D F B2 L' D R' B'
D F B2 L' D' R' B'
D F B2 L' D2 R' B'
D F B2 R L' B' R2
D F B2 R' L' D B'
D F B2 R' L' D' B'
D F B2 R' L' D2 B'
D F B2 R' L' B' D
D F B2 R' L' B' D'
D F B2 R' L' B' D2
D F B2 R' D L' B'
D F B2 R' D' L' B'
D F B2 R' D2 L' B'
D F B2 R' B L' B'
D F B2 R' B' L' B'
D F B2 R' B2 L' B'
D F B2 R2 L' B' R
B' D U2 F L' R B
B' D U2 F R L' B
B' D U2 F R B L'
D F B2 D L' R' B'
D F B2 D R' L' B'
D F B2 D' L' R' B'
D F B2 D' R' L' B'
D F B2 D2 L' R' B'
D F B2 D2 R' L' B'
D F' L R F U2 F
B' D F L' R B' R'
B' D F L' R' B' R'
B' D F L' R2 B' R'
B' D F L' D B' R'
