U2 R D B R2 F'
D' L F L U R' U
D2 L F U R' B2 U
D L F U R' U R'
B2 L F U' F U' F'
R' L' U2 F2 U' B' L'
L' R' U2 F2 U' B' L'
D2 L' U R' B2 U B
D L' U R' U R' B'
B2 L' U2 D R2 F2 B'
B2 L' U2 D R2 B' F2
B2 L' U2 D F2 R2 B'
B2 L' U2 D F2 B' R2
B2 L' U2 D B' R2 F2
B2 L' U2 D B' F2 R2
B2 L' U2 B' D R2 F2
B2 L' U2 B' D F2 R2
B2 L' D U2 R2 F2 B'
B2 L' D U2 R2 B' F2
B2 L' D U2 F2 R2 B'
B2 L' D U2 F2 B' R2
B2 L' D U2 B' R2 F2
B2 L' D U2 B' F2 R2
B2 L' D' L2 F B2 U2
B2 L' D' L2 B2 F U2
B2 L' D' B2 L2 U2 B
D' L2 U L R' U B'
D' L2 U R' L U B'
D' L2 U D2 R' U B
D' L2 D2 U R' U B
L' U R' U D R2 B'
L' U R' U D B' R2
L' U R' U B' D R2
L' U R' U2 F2 U' B'
L' U R' D U R2 B'
L' U R' D U B' R2
L' U R' D2 B2 U B
L' U D R' U R' B'
D' L2 B2 U' L U' B'
L' U D2 R' B2 U B
L2 U D2 R' B2 U B'
R' U F2 U' L' F2 B'
R' U F2 U' L' B' F2
U2 R D F B R2 F'
U2 R D F' B R2 F'
U2 R D F2 B R2 F'
U2 R D B R2 D F'
U2 R D B R2 D' F'
U2 R D B R2 D2 F'
U2 R D B R2 F' D
U2 R D B R2 F' D'
U2 R D B R2 F' D2
U2 R D B F R2 F'
U2 R D B F' R2 F'
U2 R D B F2 R2 F'
D2 R D' R2 F2 L' B'
U2 R D' F2 D2 B R2
U2 R D' F2 B D2 R2
U2 R D' B F2 D2 R2
U2 R B D R2 D2 F2
U2 R B D' F2 D2 R2
L' U' F2 U2 R' U B'
U R' U R D B R2
U R' U R B D R2
U R' U R' D R2 B
U R' U D R B R
U R' U2 F R F U'
U2 R' D R2 D' F2 B
U2 R' D R2 D' B F2
U2 R' D R2 B D' F2
U R' D U R B R
U R' D B L U R2
U R' D2 B L B U
B2 R' F2 L U' L2 B'
U R' B L U D R2
U R' B L U2 F2 U'
U R' B L D U R2
U R' B L D2 B2 U
U R' B D L U R2
U R' B D2 L B2 U
U R' B' U2 R' F2 U'
U R' B' U2 F2 R' U'
U R' B' D2 B2 L U
R' U2 F2 R U' L' B
R' U2 F2 R U' B L'
U R2 D R U R B
U' R2 F R F L' U'
R D R' B2 L F U2
L' D U R' U R' B'
R D R2 D2 F2 L' B'
L D F U R' U R'
U2 D R D' B R F2
U2 D R B D' R F2
D2 U R' B L B U
D U R' U R B R2
U D R' U R B R2
F U R' U2 F R U'
F' U R2 B L R U
F' U R2 B R L U
L' D' L2 F U R' U
L D' L2 U R' U B'
B2 U' L F R F U'
L D' F L2 U R' U
B2 U' F R F L U'
F' U' F' U2 L' R' U
F' U' F' U2 R' L' U
F U' F R U' D' F2
F U' F R U2 R2 U
F U' F R D' U' F2
F U' F R D2 L2 U'
B2 U' F2 D' L U' B'
D2 U2 R D' F2 B R2
D2 U2 R D' B R2 F2
D2 U2 R D' B F2 R2
L' D2 U R' B2 U B
U2 D2 R D' F2 B R2
U2 D2 R D' B R2 F2
U2 D2 R D' B F2 R2
L2 D2 U R' B2 U B'
D U2 R D' B R F2
D U2 R B D' R F2
U D2 R' B L B U
L D2 F U R' B2 U
U' F R D' F U' F
U' F R D2 F L2 U'
U' F R F U' D' F2
U' F R F U2 R2 U
U' F R F D' U' F2
U' F R F D2 L2 U'
L F L2 U R' B' U
B' D L F B' U2 R2
L F U R' U2 F U'
B' D L B' F U2 R2
B' D L' U2 R2 F B'
B' D L' U2 R2 B' F
B' D L' U2 F R2 B'
B' D L' U2 F B' R2
B' D L' U2 B' R2 F
B' D L' U2 B' F R2
L F U' F U2 R' U
L F B2 U' F L U'
R2 F2 L' U R2 U2 B'
R2 F2 L' U' D2 B' L2
R2 F2 L' U' B' D2 L2
R2 F2 L' D B2 U' B
R2 F2 L' D2 U' B' L2
U2 F2 U' R' U R B
U' F2 U2 D R' U B
U' F2 D U2 R' U B
R2 F2 D L' B2 U' B
R2 F2 D B2 L' U' B'
R2 F2 D2 L' U' B' L'
B2 F U' F L R U'
B2 F U' F R L U'
L' B2 U' L F2 U' B
L2 B2 U' L F2 U' B'
L' B2 U' F2 L U' B
L2 B2 U' F2 L U' B'
F B2 U' F L R U'
F B2 U' F R L U'
L B2 F U' F L U'
