U2 L F B R' D B2
U2 L B F R' D B2
R' U L R B R' F'
R2 U L R F' B R'
R' U L D2 F' R B
R2 U L R B F' R'
R' U L F' R B R'
R' U R L B R' F'
R2 U R L F' B R'
R2 U R L B F' R'
L U R U' B R' F'
R2 U R F' L B R'
R' U D2 L F' R B
R' U D2 F' L R B
R' U D2 F' R L B
R' U F' L R B R'
R' U F' R L B R'
U R U L F B R'
U R U L B R' F
U R U L B F R'
U R U' L B R' F'
D2 R' U L F' R B
D2 R' U F' L R B
D2 R' U F' R L B
R' D2 U L F' R B
R' D2 U F' L R B
R' D2 U F' R L B
U F R U L B R'
L2 B L' R' D' F' B2
L2 B L' R' D' B2 F'
L2 B L' R' F' D' B2
L2 B L' D' R' F' B2
L2 B L' D' R' B2 F'
L2 B R' L' D' F' B2
L2 B R' L' D' B2 F'
L2 B R' L' F' D' B2
L B R' U' L U F'
L B R' F' U' L U
L B U' L U R' F'
L B2 D' B' R' F' B
L B2 D' B' R' B F'
