F L' U2 B L U
U2 L' D2 B R' U
F2 R2 F' L' R' U'
F2 R2 F' R' L' U'
U2 D' L' B U F
U2 D' B L' U F
D2 U2 L' B R' U
U2 D2 L' B R' U
D' U2 L' B U F
D' U2 B L' U F
U2 D2 B L' R' U
D2 U2 B L' R' U
U2 D2 B R' L' U
D2 U2 B R' L' U
R F2 R F' L' U'
U2 B D' L' U F
F2 L R2 F' L' R' U'
F2 L R2 F' R' L' U'
D2 L U2 L2 B R' U
D' L U2 L2 B U F
D2 L U2 B L2 R' U
D2 L U2 B R' L2 U
R2 L F L' F2 R U'
R2 L F' U2 L2 R U
R2 L F' U2 R L2 U
D2 L B L2 R' F U
D2 L B L2 F R' U
D2 L B R' L2 F U
F L' R F R F' U'
B' L' R2 F' R B2 U
F2 L' R2 F' L' R' U'
F2 L' R2 F' R' L' U'
B' L' R2 F' B2 R U
F L' R2 F R F2 U'
F L' R2 F' U2 L' U
B' L' R2 B2 F' R U
F L' U' R D B R'
F L' U2 L B L U
F L' U2 L' B L U
F L' U2 L2 B L U
F L' U2 D B L U
F L' U2 D' B L U
F L' U2 D2 B L U
F L' U2 B L U D
F L' U2 B L U D'
F L' U2 B L U D2
F L' U2 B L D U
F L' U2 B L D' U
F L' U2 B L D2 U
F L' U2 B D L U
F L' U2 B D' L U
F L' U2 B D2 L U
F L' D U2 B L U
U2 L' D B R U F'
F L' D' U2 B L U
F L' D2 U2 B L U
U2 L' D2 B R' U D
U2 L' D2 B R' U D'
U2 L' D2 B R' U D2
U2 L' D2 B R' D U
U2 L' D2 B R' D' U
U2 L' D2 B R' D2 U
U2 L' D2 B D R' U
U2 L' D2 B D' R' U
U2 L' D2 B D2 R' U
F L' F R2 F' R' U'
F L' F' U2 L' B U
F L' F' U2 B L' U
U2 L' F' B R F U
B L' F' D2 R F' U
F L' F2 R2 F' R U'
D2 L' B R' U2 B' U'
D' L' B U2 B' U' F
U2 L' B D R U F'
U2 L' B F' R F U
L R2 F L' F2 R U'
F2 L2 R2 F' L' R' U'
F2 L2 R2 F' R' L' U'
L2 R2 F' U2 L R U
L2 R2 F' U2 R L U
R2 L2 F' U2 L R U
R2 L2 F' U2 R L U
L R2 F' U2 L2 R U
L R2 F' U2 R L2 U
D2 L2 U2 L B R' U
U2 L2 D2 L B R' U
B L2 F L U D F2
B L2 F L U2 L2 U'
B L2 F L D U F2
B L2 F L D2 R2 U
B2 L2 F B2 L' R' U'
B2 L2 F B2 R' L' U'
B L2 F' L R F2 U
B L2 F' R L F2 U
B L2 F' R F2 L U
B2 L2 B2 R' F L' U'
B2 L2 B2 F L' R' U'
B2 L2 B2 F R' L' U'
F R L' F R F' U'
F2 R U' D' R' F' R
F2 R U2 B' R' B U
F2 R D' U' R' F' R
F2 R D' F' L' U' R
F R D2 L' F R U'
F2 R D2 F' L' F U'
F R F R F' L' U'
F2 R F' D2 L' F U'
D R F2 R F' U' F2
D' R' U2 L' B' U F
U2 R' D' L' U F R
L2 U2 L D2 B R' U
L U2 L2 D2 B R' U
R' U2 D' L' B' U F
L2 U2 D2 L B R' U
F2 R2 L F' L' R' U'
F2 R2 L F' R' L' U'
B' R2 L' F' R B2 U
B' R2 L' F' B2 R U
F2 R2 L' F' L' R' U'
F2 R2 L' F' R' L' U'
B' R2 L' B2 F' R U
F R2 L' F R F2 U'
F R2 L' F' U2 L' U
F2 R2 L2 F' L' R' U'
F2 R2 L2 F' R' L' U'
F2 R2 D F' L' R' U'
F2 R2 D F' R' L' U'
F2 R2 D' F' L' R' U'
