B2 R' B' U L U'
B2 R2 D' R F' B'
B2 R2 D' R B' F'
B2 R2 D' B' R F'
B2 D' R F' R2 B'
B2 D' R F' B' R2
B2 D' R B' F' R2
B2 D' R' B' D2 F2
B2 L R' D L' F B'
B2 L R' D L' B' F
U2 L U L U F B
U2 L U L U B F
U2 L U2 B U L U'
B2 L D L' R' F B'
B2 L D L' R' B' F
B2 L D L' F R' B'
B2 L D R' L' F B'
B2 L D R' L' B' F
U2 L F' U' L' U' B
B L B U' R' B' L'
U' L' U B D2 R2 F2
U' L' U B D2 F2 R2
U' L' U' L2 U2 F B
U' L' U' L2 U2 B F
U' L' U' B' L2 U2 B2
U' L2 U' L' U2 F B
U' L2 U' L' U2 B F
L' U L B2 R' F' B'
L' U L B2 R' B' F'
L2 U L2 B2 R' F' B'
L2 U L2 B2 R' B' F'
L2 U B' L2 B2 R' F'
L' U' L F B2 R' B'
L' U' L B2 R' F B'
L' U' L B2 R' B' F
L U' L U' F L2 B
L U' L U' F B L2
L U' L U' B F L2
L' U' L B2 F R' B'
L2 U' L' B' U2 L' B2
L2 U' L' B' U2 B2 L'
L' U' L2 U2 L' F B
L' U' L2 U2 L' B F
L' U' L2 U2 B L' F
B2 R B' R2 U L U'
B2 R B' U L U' R2
B' R B' D' R' F2 B'
B' R B' D' R' B' F2
B' R B' D' F2 R' B'
L' U' D2 L F B R2
L' U' D2 L B R2 F
L' U' D2 L B F R2
B2 R' L D L' F B'
B2 R' L D L' B' F
B2 R' D L' F L B'
B2 R' D B' L' F L
B2 R' D' R F' R' B'
R' U2 L F U R U
B2 R' D' B' R F' R'
R2 U2 L F' U' L' U'
B2 R' F B' U L U'
B2 R' F' B' U L U'
B2 R' F2 B' U L U'
B2 R' B U' R' U B2
B2 R' B' L' D L F2
B2 R' B' L' D F2 L
B2 R' B' U L U' D
B2 R' B' U L U' D'
B2 R' B' U L U' D2
B2 R' B' U L D U'
B2 R' B' U L D' U'
B2 R' B' U L D2 U'
B2 R' B' U D L U'
B2 R' B' U D' L U'
B2 R' B' U D2 L U'
B2 R' B' D U L U'
B2 R' B' D' U L U'
B2 R' B' D2 U L U'
B2 R' B' F U L U'
B2 R' B' F' U L U'
B2 R' B' F2 U L U'
R2 U2 F' L U' L2 U'
R2 U2 F' L U2 D F2
R2 U2 F' L D U2 F2
R2 U2 F' L D' B2 U2
B2 R2 D B' D2 R F'
B2 R2 D' R D F' B'
B2 R2 D' R D B' F'
B2 R2 D' R D' F' B'
B2 R2 D' R D' B' F'
B2 R2 D' R D2 F' B'
B2 R2 D' R D2 B' F'
B2 R2 D' R F' D B'
B2 R2 D' R F' D' B'
B2 R2 D' R F' D2 B'
B2 R2 D' R F' B' D
B2 R2 D' R F' B' D'
B2 R2 D' R F' B' D2
B2 R2 D' R B' D F'
B2 R2 D' R B' D' F'
B2 R2 D' R B' D2 F'
B2 R2 D' R B' F' D
B2 R2 D' R B' F' D'
B2 R2 D' R B' F' D2
B2 R2 D' B R F' B2
B2 R2 D' B R B2 F'
B2 R2 D' B' R D F'
B2 R2 D' B' R D' F'
B2 R2 D' B' R D2 F'
B2 R2 D' B' R F' D
B2 R2 D' B' R F' D'
B2 R2 D' B' R F' D2
B2 R2 D2 B' D R F'
B2 R2 B R B2 D' F2
B' R2 B' R' D' F2 B'
B' R2 B' R' D' B' F2
B' R2 B' R' B' D' F2
B2 R2 B' R U L U'
B2 R2 B' U L U' R
B U L U' B R' B'
B U L U2 B U R'
B U L D2 F' U' R
B U L2 D L' F U'
L' D F2 U' L F B
L' D F2 U' L B F
B U D L U2 B' U
B U D L' F L2 U'
B U D2 L F' U' R
B U D2 F' L U' R
B' U' L' R' B' U B'
B' U' R' L' B' U B'
B' U' R' U B' R' B'
B' U' R' B' U B' R'
B U' D' B2 R' B U
L' D2 U' L F B R2
L' D2 U' L B R2 F
L' D2 U' L B F R2
B U' B' U' L U2 F
B U' B2 R' B' U R'
B2 D L' R' F L B'
B2 D L' F L R' B'
B2 D L' F R' L B'
B2 D R' L' F L B'
B2 D R' B' L' F L
B2 D R2 D2 R F' B'
B2 D R2 D2 R B' F'
B2 D R2 D2 B' R F'
B2 D R2 B' D2 R F'
B D U L U2 B' U
B D U L' F L2 U'
U2 F' L U' L2 U' B
U2 F' L U2 D F2 B
U2 F' L U2 D B F2
U2 F' L U2 B D F2
U2 F' L D U2 F2 B
U2 F' L D U2 B F2
U2 F' L D' B2 U2 B'
B2 D B' D2 R F' R
B2 D B' D2 F' R F'
B2 D' R F R2 F2 B'
B2 D' R F R2 B' F2
B2 D' R F B' R2 F2
B2 D' R F' R B' R
B2 D' R F' R2 D B'
B2 D' R F' R2 D' B'
B2 D' R F' R2 D2 B'
B2 D' R F' R2 B' D
B2 D' R F' R2 B' D'
B2 D' R F' R2 B' D2
B2 D' R F' B R2 B2
B2 D' R F' B' R2 D
B2 D' R F' B' R2 D'
B2 D' R F' B' R2 D2
B2 D' R F2 R2 F B'
B2 D' R F2 R2 B' F
B2 D' R F2 B' R2 F
B2 D' R B F' R2 B2
B2 D' R B' F R2 F2
B2 D' R B' F' R2 D
B2 D' R B' F' R2 D'
B2 D' R B' F' R2 D2
B2 D' R B' F2 R2 F
B D' R U L F' U'
B D' R U F' L U'
B2 D' R' U2 B U2 B2
B2 D' R' D B' D2 F2
B2 D' R' D' B' D2 F2
B2 D' R' D2 B' D2 F2
B2 D' R' F B' D2 F2
B2 D' R' F' B' D2 F2
B2 D' R' F2 B' D2 F2
B2 D' R' B' U2 B2 U2
B2 D' R' B' D2 F2 D
B2 D' R' B' D2 F2 D'
B2 D' R' B' D2 F2 D2
B2 D' R' B' F D2 F2
B2 D' R' B' F' D2 F2
B2 D' R' B' F2 D2 F2
B2 D' R2 B' R' F' R2
B D' U' B2 R' B U
B2 D' F R F' R2 B'
B2 D' F R F' B' R2
B2 D' F R B' F' R2
B2 D' F R' B' D2 F2
B2 D' F' R F' R2 B'
B2 D' F' R F' B' R2
B2 D' F' R B' F' R2
B2 D' F' R' B' D2 F2
B2 D' F2 R F' R2 B'
B2 D' F2 R F' B' R2
B2 D' F2 R B' F' R2
B2 D' F2 R' B' D2 F2
B2 D' B' R D2 F' R
U2 F2 D' L B' U2 B2
B2 D2 R2 D R F' B'
B2 D2 R2 D R B' F'
B2 D2 R2 D B' R F'
B2 D2 R2 B' D R F'
B D2 U L F' U' R
B D2 U F' L U' R
B2 D2 F' R' D' F2 B'
B2 D2 F' R' D' B' F2
B2 D2 F' R' B' D' F2
B D2 F' R U L U'
B D2 F' U L U' R
B D2 F2 U L F U'
B2 F R' B' U L U'
B2 F R2 D' R F' B'
B2 F R2 D' R B' F'
B2 F R2 D' B' R F'
B2 F D' R F' R2 B'
B2 F D' R F' B' R2
B2 F D' R B' F' R2
B2 F D' R' B' D2 F2
L2 B' R' U L2 B2 R'
L B' U R' U L' B2
L B' U R' U B2 L'
B2 F' R' B' U L U'
B2 F' R2 D' R F' B'
B2 F' R2 D' R B' F'
B2 F' R2 D' B' R F'
L B' U2 B2 L' D F2
B2 F' D' R F' R2 B'
B2 F' D' R F' B' R2
B2 F' D' R B' F' R2
B2 F' D' R' B' D2 F2
D2 B2 R' B' U L U'
D' B2 R' B' U L U'
D2 B2 R2 D' R F' B'
D2 B2 R2 D' R B' F'
D2 B2 R2 D' B' R F'
D' B2 R2 D' R F' B'
D' B2 R2 D' R B' F'
D' B2 R2 D' B' R F'
D B2 R' B' U L U'
U B2 R' D F' B' L2
U B2 R' D B' L2 F'
U B2 R' D B' F' L2
R2 B2 R2 D' B R F'
U B2 R' F' D B' L2
D B2 R2 D' R F' B'
D B2 R2 D' R B' F'
D B2 R2 D' B' R F'
R2 B2 R2 B R D' F2
R B2 R' B U' R' U
F' B2 R' B' U L U'
B2 F2 R' B' U L U'
F2 B2 R' B' U L U'
F' B2 R2 D' R F' B'
F' B2 R2 D' R B' F'
F' B2 R2 D' B' R F'
R B2 R2 D' R F' B
R B2 R2 D' R B F'
B2 F2 R2 D' R F' B'
B2 F2 R2 D' R B' F'
B2 F2 R2 D' B' R F'
F2 B2 R2 D' R F' B'
F2 B2 R2 D' R B' F'
F2 B2 R2 D' B' R F'
F B2 R' B' U L U'
F B2 R2 D' R F' B'
F B2 R2 D' R B' F'
R' B2 D' R F' B R2
F B2 R2 D' B' R F'
R' B2 D' R B F' R2
D2 B2 D' R F' R2 B'
D2 B2 D' R F' B' R2
D2 B2 D' R B' F' R2
D2 B2 D' R' B' D2 F2
D' B2 D' R F' R2 B'
D' B2 D' R F' B' R2
D' B2 D' R B' F' R2
D' B2 D' R' B' D2 F2
L B2 U2 D B' L' F
L B2 U2 B' L' D F2
U B2 D R' F' B' L2
U B2 D R' B' L2 F'
U B2 D R' B' F' L2
L B2 D U2 B' L' F
D B2 D' R F' R2 B'
D B2 D' R F' B' R2
D B2 D' R B' F' R2
D B2 D' R' B' D2 F2
F' B2 D' R F' R2 B'
F' B2 D' R F' B' R2
F' B2 D' R B' F' R2
F' B2 D' R' B' D2 F2
B2 F2 D' R F' R2 B'
B2 F2 D' R F' B' R2
B2 F2 D' R B' F' R2
B2 F2 D' R' B' D2 F2
F2 B2 D' R F' R2 B'
F2 B2 D' R F' B' R2
F2 B2 D' R B' F' R2
F2 B2 D' R' B' D2 F2
F B2 D' R F' R2 B'
F B2 D' R F' B' R2
F B2 D' R B' F' R2
F B2 D' R' B' D2 F2
