U2 L' F U B' R'
D R F U' L' B
D R F U' B L'
R D F U' L' B
R D F U' B L'
F U2 L' F U B'
D F R U' L' B
D F R U' B L'
F L R B' L' U' B2
L R B' L' F U' B2
R L B' L' F U' B2
F L B' L' R U' B
F L B' R L' U' B
U2 L' D F U B' R'
U2 L' D' F U B' R'
U2 L' D2 F U B' R'
U2 L' F U R B' R'
U2 L' F U R' B' R'
U2 L' F U R2 B' R'
U2 L' F U D B' R'
U2 L' F U D' B' R'
U2 L' F U D2 B' R'
U2 L' F U B' R' D
U2 L' F U B' R' D'
U2 L' F U B' R' D2
U2 L' F U B' D R'
U2 L' F U B' D' R'
U2 L' F U B' D2 R'
U2 L' F D U B' R'
U2 L' F D' U B' R'
U2 L' F D2 U B' R'
U2 L2 D' B' L F U
U2 L2 B' L F U B'
U2 L2 B' U B L B'
F R L B' L' U' B2
F R U' L B D L2
F R U' D' B' L B2
F R U' B2 D' B' L
F R U2 L' F U B
F R U2 L2 U B L
L U B' L' F R U'
B' R D F U' L' B
B' R D F U' B L'
B2 R D F U' L' B
B2 R D F U' B L'
B R D F U' L' B
B R D F U' B L'
F R D' U' B' L B2
D' R D2 F U' L' B
D' R D2 F U' B L'
F R D' B' U' L B2
D2 R F U' D' L2 B
D2 R F U' D' B L2
D2 R F U' B D' L2
D' R F U' B' L B2
D2 R F U2 F2 U B
D2 R F D' U' L2 B
D2 R F D' U' B L2
D2 R F D2 B2 U' B'
D' R F B' U' L B2
D R F U' L B L2
D R F U' L' D B
D R F U' L' D' B
D R F U' L' D2 B
D R F U' L' B D
D R F U' L' B D'
D R F U' L' B D2
D R F U' D L' B
D R F U' D B L'
D R F U' D' L' B
D R F U' D' B L'
D R F U' D2 L' B
D R F U' D2 B L'
D R F U' B L' D
D R F U' B L' D'
D R F U' B L' D2
D R F U' B D L'
D R F U' B D' L'
D R F U' B D2 L'
D R F U' B' L' B2
D R F D U' L' B
D R F D U' B L'
D R F D' U' L' B
D R F D' U' B L'
D R F D2 U' L' B
D R F D2 U' B L'
D R F B' U' L' B2
D R F B' U' B2 L'
D R F B2 U' B' L'
D' R B' F U' L B2
D R B' F U' L' B2
D R B' F U' B2 L'
F R B2 U' D' B' L
D R B2 F U' B' L'
F R B2 D' U' B' L
F R' U D F' R U2
L U' B' L' R' F U'
L U' B' L' F R' U'
L U' B' R' L' F U'
F R' D U F' R U2
F R' D2 R2 U' B L
D2 R' F D B R2 U'
D2 R' F D2 B U' B
D2 R' F B U F2 U2
D2 R' F B U' D2 B2
D2 R' F B D R2 U'
D2 R' F B D2 U' B2
D R' F U F2 R U2
D R' F U' L' D2 B2
D R' F U' D2 L' B2
D R' F U' D2 B2 L'
D R' F D R2 U' L'
D R' F D2 U' L' B2
D R' F D2 U' B2 L'
D2 R' B R2 F U' B
D2 R' B F U F2 U2
D2 R' B F U' D2 B2
D2 R' B F D R2 U'
D2 R' B F D2 U' B2
L U2 B' L' F U' B'
D R2 F R' U' L' B
D R2 F R' U' B L'
R' D R2 F U' L' B
R' D R2 F U' B L'
R' D F U F2 R U2
R' D F U' L' D2 B2
R' D F U' D2 L' B2
R' D F U' D2 B2 L'
R' D F D R2 U' L'
R' D F D2 U' L' B2
R' D F D2 U' B2 L'
R2 D F B R' U' L'
R2 D F B2 U' L' B'
R D F U' L B L2
R D F U' L' D B
R D F U' L' D' B
R D F U' L' D2 B
R D F U' L' B D
R D F U' L' B D'
R D F U' L' B D2
R D F U' D L' B
R D F U' D B L'
R D F U' D' L' B
R D F U' D' B L'
R D F U' D2 L' B
R D F U' D2 B L'
R D F U' B L' D
R D F U' B L' D'
R D F U' B L' D2
R D F U' B D L'
R D F U' B D' L'
R D F U' B D2 L'
R D F U' B' L' B2
R D F D U' L' B
R D F D U' B L'
R D F D' U' L' B
R D F D' U' B L'
R D F D2 U' L' B
R D F D2 U' B L'
R D F B' U' L' B2
R D F B' U' B2 L'
R D F B2 U' B' L'
R2 D B R' F U' L'
R2 D B F R' U' L'
U' D F U' L' F' B'
U' D F U' L' B' F'
R D B' F U' L' B2
R D B' F U' B2 L'
R2 D B2 F U' L' B'
R D B2 F U' B' L'
F U F' U L' F U
U2 D' L' U B' L R'
U2 D' L' U B' R' L
U2 D' L2 B' U L B'
R D' F U' B' L B2
R D' F B' U' L B2
D U' F U' L' F' B'
D U' F U' L' B' F'
R D' B' F U' L B2
D' U2 L' U B' L R'
D' U2 L' U B' R' L
D' U2 L2 B' U L B'
R' D2 R2 F U' B L
B' U2 L' F U B' R'
B2 U2 L' F U B' R'
B U2 L' F U B' R'
F U2 L' D F U B'
F U2 L' D' F U B'
F U2 L' D2 F U B'
F U2 L' F U D B'
F U2 L' F U D' B'
F U2 L' F U D2 B'
F U2 L' F U B' D
F U2 L' F U B' D'
F U2 L' F U B' D2
F U2 L' F D U B'
F U2 L' F D' U B'
F U2 L' F D2 U B'
F U2 L2 U B L B'
F U2 D' L' U B' L
U' F L2 U' F' L' B'
R F L B' L' U' B2
F U2 F L' F U B'
D' F R U' B' L B2
D2 F R U2 F' U B
D' F R B' U' L B2
F U2 F' L' F U B'
D F R U' L B L2
D F R U' L' D B
D F R U' L' D' B
