B' L R' B R2 U' R
D' R U' F L' R2 F2
D' R U' F L' F2 R2
D' R U' F R2 L' F2
R' U B R2 U2 R U
R' U B' L R2 B2 U'
R' U B' L B2 R2 U'
R' U B' R2 L B2 U'
D' R F U' L' R2 F2
D' R F U' L' F2 R2
D' R F U' R2 L' F2
D' R F' R2 D B2 L
B' R' L B R2 U' R
R U2 F' B R' U R'
R U2 B F' R' U R'
R' D B2 L' D F L'
D2 F2 L' F R U R2
R F2 L2 B' L U' R2
R' B R2 U2 R U R
R' B R2 D' F2 L' U'
R' B R2 F2 L' U' R2
R B U2 F' R' U R'
R' B' L R2 B2 U' R2
R' B' L B2 R2 U' R2
R' B' L' D L2 F2 B2
R' B' L' D L2 B2 F2
R' B' L' D F2 L2 B2
R' B' L' D F2 B2 L2
R' B' L' D B2 L2 F2
R' B' L' D B2 F2 L2
R B' L U2 F' U R2
R' B' R2 L B2 U' R2
R' B' U L R2 B2 U'
R' B' U L B2 R2 U'
R' B' U R2 L B2 U'
