B' L' D2 F2
B' D2 L' F2
B' L' U2 B2 U2
B' L' D2 F2 D
B' L' D2 F2 D'
B' L' D2 F2 D2
B' L' F D2 F2
B' L' F' D2 F2
B' L' F2 D2 F2
B L' B2 D2 F2
B' L2 D2 L F2
B' L2 D2 F2 L
B2 L2 F L B
B U2 L' B2 R'
B' U2 B2 U2 L'
B' D' L' D' F2
B' D2 L F2 L2
B' D2 L' F2 D
B' D2 L' F2 D'
B' D2 L' F2 D2
B' D2 L2 F2 L
U2 B U2 L' B2
U2 B U2 B2 L'
D' B' L' D2 F2
D B' L' D2 F2
R2 B' L' F' R2
D2 B' L' D2 F2
D' B' D2 L' F2
D B' D2 L' F2
D2 B' D2 L' F2
F2 B' D2 F2 L'
B' F2 D2 F2 L'
B' L U2 B2 U2 L2
B' L D2 F2 D2 L2
B' L F L2 D2 F2
B' L F' L2 D2 F2
B' L F2 L2 D2 F2
B2 L B L F L
B L B L2 F B
B L B L2 B F
B' L B' L2 F B
B' L B' L2 B F
B L B2 L2 D2 F2
B' L' R D2 R' F2
B' L' R D2 F2 R'
B' L' R' D2 R F2
B' L' U D L2 U'
B' L' U' D' R2 U
B' L' U2 B2 U2 D
B' L' U2 B2 U2 D'
B' L' U2 B2 U2 D2
B' L' U2 B2 D U2
B' L' U2 B2 D' U2
B' L' U2 B2 D2 U2
B' L' D U L2 U'
B' L' D F D F2
B' L' D F' D F2
B' L' D F2 D F2
B' L' D' U' R2 U
B' L' D' F D' F2
B' L' D' F' D' F2
B' L' D' F2 D' F2
B' L' D2 L' F2 L
B' L' D2 L2 F2 L2
B' L' D2 R F2 R'
B' L' D2 R2 F2 R2
B' L' D2 F D F
B' L' D2 F D F
B' L' D2 F D' F
B' L' D2 F D2 F
B' L' D2 F' D F'
B' L' D2 F' D' F'
B' L' D2 F' D2 F'
B' L' F U2 B2 U2
B' L' F D2 F2 D
B' L' F D2 F2 D'
B' L' F D2 F2 D2
B L' F B2 D2 F2
B' L' F' U2 B2 U2
B' L' F' D2 F2 D
B' L' F' D2 F2 D'
B' L' F' D2 F2 D2
B L' F' B2 D2 F2
B' L' F2 U2 B2 U2
B' L' F2 D2 F2 D
B' L' F2 D2 F2 D'
B' L' F2 D2 F2 D2
B2 L' B L' F L
B L' F2 B2 D2 F2
B L' B2 U2 B2 U2
B L' B2 D2 F2 D
B L' B2 D2 F2 D'
B L' B2 D2 F2 D2
B L' B2 F D2 F2
B L' B2 F' D2 F2
B L' B2 F2 D2 F2
B' L2 U2 B2 R' U2
B2 L2 D F L B
B' L2 D' L D' F2
B2 L2 D' F L B
B' L2 D2 L F2 D
B' L2 D2 L F2 D'
B' L2 D2 L F2 D2
B' L2 D2 L' F2 L2
B' L2 D2 F' L F'
B' L2 D2 F2 L D
B' L2 D2 F2 L D'
B' L2 D2 F2 L D2
B' L2 D2 F2 D L
B' L2 D2 F2 D' L
B' L2 D2 F2 D2 L
B2 L2 D2 F L B
B' L2 F L D2 F2
B2 L2 F L D B
B2 L2 F L D' B
B2 L2 F L D2 B
B2 L2 F L B D
B2 L2 F L B D'
B2 L2 F L B D2
B2 L2 F L' B L2
B2 L2 F L2 B L'
B' L2 F D2 L F2
B' L2 F D2 F2 L
B2 L2 F D L B
B2 L2 F D' L B
B' L2 F' L D2 F2
B2 L2 F D2 L B
B2 L2 F D2 L B
B2 L2 F' L F2 B
B2 L2 F' L B F2
B' L2 F' D2 L F2
B' L2 F' D2 F2 L
B' L2 F2 L D2 F2
B2 L2 F2 L F' B
B2 L2 F2 L B F'
B' L2 F2 D2 L F2
B' L2 F2 D2 F2 L
B2 L2 B D2 F L'
B' R L' D2 R' F2
B' R L' D2 F2 R'
B R U2 L' R' B2
B R U2 R' L' B2
R2 U B' L' F' R2
B R U2 R' B2 L'
B' R D2 L' R' F2
B' R D2 L' F2 R'
B' R D2 R' L' F2
B' R' L' D2 R F2
R2 U' B' L' F' R2
B R' U2 L' R B2
B R' U2 L' B2 R
B R' U2 R L' B2
B R' U2 R B2 L'
B R' U2 B2 L' R
B R' U2 B2 R L'
B' R' D2 L' R F2
B' R' D2 R L' F2
U' R2 U B' L' F'
U R2 U' B' L' F'
R2 U2 B' L' F' R2
U2 R2 U2 B' L' F'
B R2 U2 L' R2 B2
B R2 U2 L' B2 R2
B R2 U2 R2 L' B2
B R2 U2 R2 B2 L'
B R2 U2 B2 L' R2
B R2 U2 B2 R2 L'
B' R2 D2 L' F2 R
F R2 F' R2 B' L'
F R2 F' B' L' R2
F R2 F' B' R2 L'
D2 R2 B' L' F' R2
D' R2 B' L' F' R2
D R2 B' L' F' R2
F R2 B' F' L' R2
F R2 B' F' R2 L'
B' U D L2 U' L
U2 D B U2 L' B2
U2 D B U2 B2 L'
U2 D' B U2 L' B2
U2 D' B U2 B2 L'
B' U' D' R2 U L'
R D2 R' B' L' F
B U2 L' R B2 R'
B U2 L' R' B2 R'
B U2 L' R2 B2 R'
B U2 L' B2 R' D
B U2 L' B2 R' D'
B U2 L' B2 R' D2
B U2 L' B2 D R'
B U2 L' B2 D' R'
