F L' R2 B' D' R2
F L' U F' U' B'
F L' B' U F' U'
L U F U2 L' F
U2 R U F L' B
U2 R U F B L'
U2 R U B F L'
L U' L' F L' B'
L2 U' L2 F L' B'
F R2 L' B' D' R2
U' F L' U R U'
U' F U R U' L'
F2 D F' L' R2 B'
F2 D F' L' B' R2
F2 D F' R2 L' B'
R' L U F U2 L' F
R2 L U F U2 L' F
L R U F U2 L' F
R L U F U2 L' F
R' L U' L' F L' B'
R2 L U' L' F L' B'
L R U' L' F L' B'
L2 R U' L2 F L' B'
R L U' L' F L' B'
B' L U F U2 L' F
B2 L U F U2 L' F
B L U F U2 L' F
B' L U' L' F L' B'
B2 L U' L' F L' B'
D2 L U' L2 B' L F
B L U' L' F L' B'
F L F' U' F L2 B'
L R' U F U2 L' F
L R' U' L' F L' B'
L2 R' U' L2 F L' B'
F L' R' D B R' B2
F L' R' B2 D B R'
F L' R2 U' B U B2
F L' R2 D B' D' R2
F L' R2 D' B' D' R2
F L' R2 D2 B' D' R2
F L' R2 B' R D' R2
F L' R2 B' R' D' R2
F L' R2 B' R2 D' R2
F L' R2 B' U' B2 U
F L' R2 B' D' R2 D
F L' R2 B' D' R2 D'
F L' R2 B' D' R2 D2
F L' U R U' B' R'
F L' U D F' U' B'
F L' U D' F' U' B'
F' L' U F2 B' L' R'
F' L' U F2 B' R' L'
F L' U D2 F' U' B'
F' L' U B' F2 L' R'
F' L' U B' F2 R' L'
F L' U F' R U' B'
F L' U F' R' U' B'
F L' U F' R2 U' B'
F L' U F' U' D B'
F L' U F' U' D' B'
F L' U F' U' D2 B'
F L' U F' U' B' D
F L' U F' U' B' D'
F L' U F' U' B' D2
F L' U F' D U' B'
F L' U F' D' U' B'
F L' U F' D2 U' B'
F L' D R2 B' D' R2
F L' D U F' U' B'
F2 L' D F' R2 B' L'
F2 L' D F' B' L' R2
F2 L' D F' B' R2 L'
F2 L' D B' F' L' R2
F2 L' D B' F' R2 L'
F L' D B' U F' U'
F L' D' R2 B' D' R2
F L' D' U F' U' B'
F L' D' B' U F' U'
F L' D2 R2 B' D' R2
F L' D2 U F' U' B'
F L' D2 B' U F' U'
F L' F D F' R2 B'
F L' F D F' B' R2
F L' F D B' F' R2
F L' F B' D F' R2
L R2 U F U2 L' F
R' L2 U' L2 F L' B'
L R2 U' L' F L' B'
L2 R2 U' L2 F L' B'
R2 L2 U' L2 F L' B'
R L2 U' L2 F L' B'
F2 L' F2 U' F B' L'
F2 L' F2 U' B' F L'
F L' B U F' U' B2
F L' B' R2 U' B U
F2 L' B' D F' L' R2
F2 L' B' D F' R2 L'
F L' B' U D F' U'
F L' B' U D' F' U'
F L' B' U D2 F' U'
F L' B' U F' U' D
F L' B' U F' U' D'
F L' B' U F' U' D2
F L' B' U F' D U'
F L' B' U F' D' U'
F L' B' U F' D2 U'
F L' B' D U F' U'
F L' B' D' U F' U'
F L' B' D2 U F' U'
F L' B' F D F' R2
F L' B2 U F' U' B
D2 L2 U B' U2 L B'
D2 L2 U' L B' L F
F L2 U F' U' L B'
B' L2 U' L2 F L' B'
B2 L2 U' L2 F L' B'
B L2 U' L2 F L' B'
F L2 F' U' F L B'
L U R F U2 L' F
L U R' F U2 L' F
L U R2 F U2 L' F
L U F R U2 L' F
L U F R' U2 L' F
L U F R2 U2 L' F
L U F U2 L' D F
L U F U2 L' D' F
L U F U2 L' D2 F
L U F U2 L' F D
L U F U2 L' F D'
L U F U2 L' F D2
L U F B U2 L' F
L U F B' U2 L' F
L U F B2 U2 L' F
U' R U R' F L' B'
U' R U F L' R' B'
U' R U F R' L' B'
U2 R U F L B L2
U2 R U F L' D B
U2 R U F L' D' B
U2 R U F L' D2 B
U2 R U F L' B D
U2 R U F L' B D'
U2 R U F L' B D2
U2 R U F D L' B
U2 R U F D B L'
U2 R U F D' L' B
U2 R U F D' B L'
U2 R U F D2 L' B
U2 R U F D2 B L'
U2 R U F B L' D
U2 R U F B L' D'
U2 R U F B L' D2
U2 R U F B D L'
U2 R U F B D' L'
U2 R U F B D2 L'
U2 R U F B' L' B2
U2 R U B F L' D
U2 R U B F L' D'
U2 R U B F L' D2
U2 R U B F D L'
U2 R U B F D' L'
U2 R U B F D2 L'
U2 R U B' F L' B2
F' R U' F R U' F
L U B F U2 L' F
L U B' F U2 L' F
L U B2 F U2 L' F
L2 U' L D2 B' L F
L2 U' L B' L F L'
U' R F L' R' D B2
U' R F R' L' D B2
U' R F R' D L' B2
U' R F R' D B2 L'
L U' L' F L' D B'
L U' L' F L' D' B'
L U' L' F L' D2 B'
L U' L' F L' B' D
L U' L' F L' B' D'
L U' L' F L' B' D2
L U' L' F D L' B'
L U' L' F D' L' B'
L U' L' F D2 L' B'
L U' L' F B L' B'
L U' L' F B' L' B'
L U' L' F B2 L' B'
L U' L' B F L' B'
L U' L' B' F L' B'
L U' L' B2 F L' B'
L2 U' L2 F L' D B'
L2 U' L2 F L' D' B'
L2 U' L2 F L' D2 B'
L2 U' L2 F L' B' D
L2 U' L2 F L' B' D'
L2 U' L2 F L' B' D2
L2 U' L2 F D L' B'
L2 U' L2 F D' L' B'
L2 U' L2 F D2 L' B'
L2 U' L2 F B L' B'
L2 U' L2 F B' L' B'
L2 U' L2 F B2 L' B'
L2 U' L2 B F L' B'
L2 U' L2 B' F L' B'
L U' L2 D2 B' L F
U2 R F' U F2 L' B
U2 R F' U F2 B L'
U2 R F' U B F2 L'
L2 U' L2 B2 F L' B'
L U' L2 B' L F L'
R' U' F L' U R U'
R' U' F U R U' L'
R2 U' F L' U R U'
R2 U' F U R U' L'
F R' L' D B R' B2
R U' F L' U R U'
R U' F U R U' L'
F R' L' B2 D B R'
U' R' U R F L' B'
U2 R' U F L' D2 B2
U2 R' U F D2 L' B2
U2 R' U F D2 B2 L'
U' R' U' R F L' B
U' R' U' R F B L'
U' R' U' R B F L'
U2 R' U' F' R U2 F2
U2 R' U' F' U2 F2 L'
L U' B L' F L' B'
L U' B' L' F L' B'
F R' D L' B R' B2
L U' B2 L' F L' B'
F R' D B L' R' B'
F R' D B R' L' B'
F R' D B2 L' B' R'
R' U2 R U F L' B
R' U2 R U F B L'
R' U2 R U B F L'
R2 U2 R U F L' B
R2 U2 R U F B L'
R2 U2 R U B F L'
R U2 R U F L' B
R U2 R U F B L'
R U2 R U B F L'
F R2 L' U' B U B2
F R2 L' D B' D' R2
F R2 L' D' B' D' R2
F R2 L' D2 B' D' R2
F R2 L' B' R D' R2
F R2 L' B' R' D' R2
F R2 L' B' R2 D' R2
F R2 L' B' U' B2 U
F R2 L' B' D' R2 D
F R2 L' B' D' R2 D'
