U L' U F' R'
U2 F' D R' B
B2 L U L2 U F'
B2 L U2 D' F' B2
B2 L U2 D' B2 F'
B2 L U2 F' D' B2
B2 L D F2 U2 F
B2 L D' U2 F' B2
B2 L D' U2 B2 F'
U2 L' U L F' R'
U L' U D F' R'
U L' U D' F' R'
U L' U D2 F' R'
U L' U F R' F2
U2 L' U F' L R'
U2 L' U F' R' L
U L' U F' R' D
U L' U F' R' D'
U L' U F' R' D2
U L' U F' D R'
U L' U F' D' R'
U L' U F' D2 R'
U L' U F2 R' F
U L' D U F' R'
U L' D' U F' R'
U L' D2 U F' R'
L2 U L U F' R'
L U L2 U F' R'
L U2 D' F' R' B2
L U2 F' R' D' B2
L U2 F' D' R' B2
D2 U L' U F' R'
D' U L' U F' R'
U D L' U F' R'
D U L' U F' R'
L D F2 U2 R' F
L D F2 U2 F R'
U2 D F' D R' B
U D' L' U F' R'
L D' U2 F' R' B2
F2 U' R U' R2 F
F2 U' R U' F R2
U2 D' F' D R' B
U D2 L' U F' R'
D' U2 F' D R' B
U2 D2 F' D R' B
D2 U2 F' D R' B
D U2 F' D R' B
F2 U2 R' D F B2
F2 U2 R' D B2 F
F2 U2 R' F D B2
F2 U2 F D R' B
U2 F' D R' D B
U2 F' D R' D' B
U2 F' D R' D2 B
U2 F' D R' B D
U2 F' D R' B D'
U2 F' D R' B D2
U' F2 R U' R2 F
U' F2 R U' F R2
U2 F2 R' D F B2
U2 F2 R' D B2 F
U2 F2 R' F D B2
D' L U L2 U F' R'
D2 L U L2 U F' R'
B2 L U L2 U D F'
B2 L U L2 U D' F'
B2 L U L2 U D2 F'
B2 L U L2 U F' D
B2 L U L2 U F' D'
B2 L U L2 U F' D2
B2 L U L2 D U F'
B2 L U L2 D' U F'
B2 L U L2 D2 U F'
D L U L2 U F' R'
U L U D' F' R' B2
U L U F' R' D' B2
U L U F' D' R' B2
U' L U' D' F' R' B2
U' L U' F' R' D' B2
U' L U' F' D' R' B2
U' L U2 L2 U F' R'
D2 L U2 D' F' R' B2
D' L U2 D' F' R' B2
B2 L U2 D' F' B2 D
B2 L U2 D' F' B2 D'
B2 L U2 D' F' B2 D2
B2 L U2 D' B2 D F'
B2 L U2 D' B2 D' F'
B2 L U2 D' B2 D2 F'
B2 L U2 D' B2 F' D
B2 L U2 D' B2 F' D'
B2 L U2 D' B2 F' D2
B2 L U2 D2 F' D B2
D L U2 D' F' R' B2
D2 L U2 F' R' D' B2
D' L U2 F' R' D' B2
D2 L U2 F' D' R' B2
D' L U2 F' D' R' B2
B2 L U2 F' U' L2 U
B2 L U2 F' D' B2 D
B2 L U2 F' D' B2 D'
B2 L U2 F' D' B2 D2
B2 L U2 F' B D' B2
B2 L U2 F' B' D' B2
B2 L U2 F' B2 D' B2
D L U2 F' R' D' B2
B2 L U2 F2 D' F B2
B2 L U2 F2 D' B2 F
D L U2 F' D' R' B2
B2 L U2 B D' F' B2
B2 L U2 B D' B2 F'
B2 L U2 B F' D' B2
B2 L U2 B' D' F' B2
B2 L U2 B' D' B2 F'
B2 L U2 B' F' D' B2
B2 L U2 B2 D' F' B2
B2 L U2 B2 D' B2 F'
