F' R B U L'
F' R D B U L'
F' R D' B U L'
F' R D2 B U L'
F' R B U L' D
F' R B U L' D'
F' R B U L' D2
F' R B U D L'
F' R B U D' L'
F' R B U D2 L'
F' R B D U L'
F' R B D' U L'
F' R B D2 U L'
F2 U L F L' R
F2 U L F R L'
F' D R B U L'
D' F' U L' F R
F' D' R B U L'
R F' B R U L'
F' D2 R B U L'
F' B R B U L'
R B F' R U L'
F' B' R B U L'
B' F' R B U L'
B2 F' R B U L'
B F' R B U L'
F' B2 R B U L'
F' L R B L' U L'
U2 L F L' B U' L
U2 L F B L' U' L2
U2 L B F L' U' L2
U L2 D F L' R F'
U L2 D F R L' F'
F' R L B L' U L'
F' R U L' U' B U
F' R D B U L' D
F' R D B U L' D'
F' R D B U L' D2
F' R D B U D L'
F' R D B U D' L'
F' R D B U D2 L'
F' R D B D U L'
F' R D B D' U L'
F' R D B D2 U L'
F' R D' B U L' D
F' R D' B U L' D'
F' R D' B U L' D2
F' R D' B U D L'
F' R D' B U D' L'
F' R D' B U D2 L'
F' R D' B D U L'
F' R D' B D' U L'
F' R D' B D2 U L'
F' R D2 B U L' D
F' R D2 B U L' D'
F' R D2 B U L' D2
F' R D2 B U D L'
F' R D2 B U D' L'
F' R D2 B U D2 L'
F' R D2 B D U L'
F' R D2 B D' U L'
F' R D2 B D2 U L'
F2 R F B R U L'
D R F B U F2 L'
D2 R F' B R' U L'
D' R F' B U L' F
B' R F' B R U L'
B2 R F' B R U L'
B R F' B R U L'
F' R F2 B U' R U2
D2 R B R' F' U L'
D R F2 B U F L'
F' R B U L2 D L
F' R B U L2 D' L
F' R B U L2 D2 L
F' R B U D L' D
F' R B U D L' D'
F' R B U D L' D2
F' R B U D' L' D
F' R B U D' L' D'
F' R B U D' L' D2
F' R B U D2 L' D
F' R B U D2 L' D'
F' R B U D2 L' D2
F' R B U B' L' B
F' R B U B2 L' B2
F' R B U' R U2 L'
F' R B U' R' U2 L'
F' R B U' R2 U2 L'
F' R B U2 B U' L'
F' R B U2 B' U' L'
F' R B U2 B2 U' L'
F2 R B U L F L'
F' R B D U L' D
F' R B D U L' D'
F' R B D U L' D2
F' R B D' U L' D
F' R B D' U L' D'
F' R B D' U L' D2
D2 R B F' R' U L'
F' R B D2 U L' D
F' R B D2 U L' D'
F' R B D2 U L' D2
D' R B F' U L' F
B' R B F' R U L'
F' R B F2 U' R U2
B2 R B F' R U L'
F2 R B F R U L'
D R B F U F2 L'
F R B U2 L' U' L
D R B F2 U F L'
B R B F' R U L'
F' R B' U L' D' R2
F' R B' U D' L' R2
F' R B' U D' R2 L'
F' R B' D' U L' R2
F' R B' D' U R2 L'
F' R B2 D B' U L'
F' R B2 D' B' U L'
F' R B2 D2 B' U L'
U' R' U F' R B U
F' R' B R2 B U L'
F' R' B' R2 B U L'
F' R' B2 R2 B U L'
F2 U L R F L' R
F2 U L R F R L'
F2 U L R' F L' R
F2 U L R' F R L'
F2 U L R2 F L' R
F2 U L R2 F R L'
F2 U L F L' R D
F2 U L F L' R D'
F2 U L F L' R D2
F2 U L F L' D R
F2 U L F L' D' R
F2 U L F L' D2 R
F2 U L F R L' D
F2 U L F R L' D'
F2 U L F R L' D2
F2 U L F R D L'
F2 U L F R D' L'
F2 U L F R D2 L'
F2 U L F D L' R
F2 U L F D R L'
F2 U L F D' L' R
F2 U L F D' R L'
F2 U L F D2 L' R
F2 U L F D2 R L'
F' U L' U' R B U
F' U L' F D R F'
F2 U L2 F L' R F
F2 U L2 F R L' F
F2 U R L F L' R
F2 U R L F R L'
F2 U R' L F L' R
F2 U R' L F R L'
F2 U R2 L F L' R
F2 U R2 L F R L'
F2 U F L R F L2
F2 U F R L F L2
F' U F D R F' L'
R2 D' F' U L' R F
R2 D' F' U R L' F
R D' F' B U L' F
R D' B F' U L' F
R D2 F' B R' U L'
R D2 B R' F' U L'
R D2 B F' R' U L'
U F L' B' U' B R
F2 U2 B L F U' L'
R' F U2 L' F2 U' L'
F' D R D B U L'
F' D R D' B U L'
F' D R D2 B U L'
F' D R B U L' D
F' D R B U L' D'
F' D R B U L' D2
F' D R B U D L'
F' D R B U D' L'
F' D R B U D2 L'
F' D R B D U L'
F' D R B D' U L'
F' D R B D2 U L'
L' F' L R B U L2
F2 D F R F' B U
F2 D F R B F' U
L' F' R L B U L2
D2 F' R B R' U L'
D' F' R B U L' F
L2 F' R B L2 U L
F' D B R B U L'
D F' R B U L' F'
F D F2 R B U L'
R2 F' R' B R2 U L'
F' D B' R B U L'
D' F' U L' R F R
D' F' U L' R' F R
D' F' U L' R2 F R
D' F' U L' D F R
D' F' U L' D' F R
D' F' U L' D2 F R
D' F' U L' F R D
D' F' U L' F R D'
D' F' U L' F R D2
D' F' U L' F D R
D' F' U L' F D' R
D' F' U L' F D2 R
D' F' U R L' F R
D' F' U R' L' F R
D' F' U R2 L' F R
D2 F' U D L' F R
F' D B2 R B U L'
D F' U L' F R F'
D F' U D2 L' F R
D F' U F R F' L'
D2 F' D U L' F R
F' D' R D B U L'
F' D' R D' B U L'
F' D' R D2 B U L'
F' D' R B U L' D
F' D' R B U L' D'
F' D' R B U L' D2
F' D' R B U D L'
F' D' R B U D' L'
F' D' R B U D2 L'
F' D' R B D U L'
F' D' R B D' U L'
F' D' R B D2 U L'
R F' D B R U L'
D' F' B U L' F R
D F' D2 U L' F R
R F' D' B R U L'
D' F' B' U L' F R
R F' D2 B R U L'
D' F' B2 U L' F R
R F' B R U L' D
R F' B R U L' D'
R F' B R U L' D2
R F' B R U D L'
R F' B R U D' L'
R F' B R U D2 L'
R F' B R D U L'
R F' B R D' U L'
R F' B R D2 U L'
R F' B D R U L'
R F' B D' R U L'
R F' B D2 R U L'
R F' B' R B2 U L'
R F' B2 R B' U L'
B' D' F' U L' F R
B2 D' F' U L' F R
B D' F' U L' F R
F' D' B R B U L'
F D' F2 R B U L'
F' D' B' R B U L'
D' F2 U L' F L' R
D' F2 U L' F R L'
D' F2 U F L' R F
D' F2 U F R L' F
F' D' B2 R B U L'
D F2 U F L' R F'
D F2 U F R L' F'
F' D2 R D B U L'
F' D2 R D' B U L'
F' D2 R D2 B U L'
F' D2 R B U L' D
F' D2 R B U L' D'
F' D2 R B U L' D2
F' D2 R B U D L'
F' D2 R B U D' L'
F' D2 R B U D2 L'
F' D2 R B D U L'
F' D2 R B D' U L'
F' D2 R B D2 U L'
R F2 B U L F L'
U2 B L F L' U' L
F' D2 B R B U L'
F D2 F2 R B U L'
F' D2 B' R B U L'
R B R F' R U L'
F2 D2 B' U L F R
F' D2 B2 R B U L'
R B R' F' R U L'
R B R2 F' R U L'
F' B R D B U L'
F' B R D' B U L'
F' B R D2 B U L'
F' B R B U L' D
F' B R B U L' D'
F' B R B U L' D2
F' B R B U D L'
F' B R B U D' L'
F' B R B U D2 L'
F' B R B D U L'
F' B R B D' U L'
F' B R B D2 U L'
D' B F' U L' F R
R B D' F' U L' F
F2 B U L F L' R
F2 B U L F R L'
R B F' R U L' D
R B F' R U L' D'
R B F' R U L' D2
R B F' R U D L'
R B F' R U D' L'
R B F' R U D2 L'
R B F' R D U L'
R B F' R D' U L'
R B F' R D2 U L'
R B F' D R U L'
R B F' D' R U L'
R B F' D2 R U L'
R B F2 U L F L'
F' B D R B U L'
F' B D' R B U L'
F' B D2 R B U L'
B' F' R D B U L'
B' F' R D' B U L'
B' F' R D2 B U L'
B' F' R B U L' D
B' F' R B U L' D'
B' F' R B U L' D2
B' F' R B U D L'
B' F' R B U D' L'
B' F' R B U D2 L'
B' F' R B D U L'
B' F' R B D' U L'
B' F' R B D2 U L'
F' B' R D B U L'
F' B' R D' B U L'
F' B' R D2 B U L'
B2 F' R D B U L'
B2 F' R D' B U L'
B2 F' R D2 B U L'
F' B' R B U L' D
F' B' R B U L' D'
F' B' R B U L' D2
F' B' R B U D L'
F' B' R B U D' L'
F' B' R B U D2 L'
F' B' R B D U L'
F' B' R B D' U L'
F' B' R B D2 U L'
B2 F' R B U L' D
B2 F' R B U L' D'
B2 F' R B U L' D2
B2 F' R B U D L'
B2 F' R B U D' L'
B2 F' R B U D2 L'
B2 F' R B D U L'
B2 F' R B D' U L'
B2 F' R B D2 U L'
B F' R D B U L'
B F' R D' B U L'
B F' R D2 B U L'
B F' R B U L' D
B F' R B U L' D'
B F' R B U L' D2
B F' R B U D L'
B F' R B U D' L'
B F' R B U D2 L'
B F' R B D U L'
B F' R B D' U L'
B F' R B D2 U L'
F2 B' U L F L' R
F2 B' U L F R L'
D' B' F' U L' F R
B' F' D R B U L'
F' B' D R B U L'
B2 F' D R B U L'
B' F' D' R B U L'
F' B' D' R B U L'
B F' D R B U L'
B2 F' D' R B U L'
R B' F' R B2 U L'
B' F' D2 R B U L'
F' B' D2 R B U L'
B2 F' D2 R B U L'
B F' D' R B U L'
B F' D2 R B U L'
F' B2 R D B U L'
F' B2 R D' B U L'
F' B2 R D2 B U L'
F' B2 R B U L' D
F' B2 R B U L' D'
F' B2 R B U L' D2
F' B2 R B U D L'
F' B2 R B U D' L'
F' B2 R B U D2 L'
F' B2 R B D U L'
F' B2 R B D' U L'
F' B2 R B D2 U L'
B' F2 U L F L' R
B' F2 U L F R L'
B2 F2 U L F L' R
B2 F2 U L F R L'
F2 B2 U L F L' R
F2 B2 U L F R L'
B F2 U L F L' R
B F2 U L F R L'
F' B2 D R B U L'
F' B2 D' R B U L'
D' B2 F' U L' F R
F' B2 D2 R B U L'
R B2 F' R B' U L'
