L R B R2 U' R
R L B R2 U' R
D' L R F' B R2 U'
F' L R B R2 U' R
D' L R B F' R2 U'
F2 L R B R2 U' R
F L R B R2 U' R
D2 L R' U2 F' U R
D' L R' U2 F' B U
D' L R' U2 B F' U
D L R' U2 F' B' U
D L R' U2 B' F' U
B2 L R' F' B' U R'
U' L R' B U' L R'
U' L R' B U' R' L
B2 L R' B' F' U R'
R' L U2 D2 F' U R
R' L U2 F' B U R'
R' L U2 B F' U R'
R' L D2 U2 F' U R
L R F B R2 U' R
R L F B R2 U' R
L R F' B R2 U' R
R L F' B R2 U' R
L R F2 B R2 U' R
R L F2 B R2 U' R
L' R B L2 R2 U' R
L2 R B L' R2 U' R
L' R B R2 L2 U' R
L R B R2 U' R D
L R B R2 U' R D'
L R B R2 U' R D2
L R B R2 U' D R
L R B R2 U' D' R
L R B R2 U' D2 R
L2 R B R2 L' U' R
L R B R2 D U' R
L R B R2 D' U' R
L R B R2 D2 U' R
R' L B U2 F' U R'
R L B R2 U' R D
R L B R2 U' R D'
R L B R2 U' R D2
R L B R2 U' D R
R L B R2 U' D' R
R L B R2 U' D2 R
R L B R2 D U' R
R L B R2 D' U' R
R L B R2 D2 U' R
L R B U' D R' B2
R L B U' D R' B2
L R B D U' R' B2
R L B D U' R' B2
L R B F R2 U' R
L R B F' R2 U' R
R L B F R2 U' R
L R B F2 R2 U' R
R L B F' R2 U' R
R L B F2 R2 U' R
L R B' R2 B2 U' R'
R L B' R2 B2 U' R'
L R B2 R2 B' U' R'
R L B2 R2 B' U' R'
L R' U2 D2 F' U R
L R' U2 F' B U R'
L R' U2 B F' U R'
L R' D2 U2 F' U R
R L' B L2 R2 U' R
R L' B R2 L2 U' R
L R' B U2 F' U R'
R L2 B L' R2 U' R
R L2 B R2 L' U' R
R U L B R2 U' R
D' R L F' B R2 U'
F' R L B R2 U' R
D' R L B F' R2 U'
F2 R L B R2 U' R
F R L B R2 U' R
R U' L B R2 U' R
D' R F' L B R2 U'
D2 R' L U2 F' U R
D' R' L U2 F' B U
D' R' L U2 B F' U
D R' L U2 F' B' U
D R' L U2 B' F' U
U' R' L B U' L R'
U' R' L B U' R' L
B2 R' L F' B' U R'
B2 R' L B' F' U R'
R U2 L B R2 U' R
B2 R' F' L B' U R'
R' D L U2 F' B' U
R' D L U2 B' F' U
L D' R F' B R2 U'
L D' R B F' R2 U'
L D' R' U2 F' B U
L D' R' U2 B F' U
R' D2 L U2 F' U R
L D2 R' U2 F' U R
B2 U2 L R' F U R
B2 U2 L F R' U R2
B2 U2 R' L F U R
R F L B R2 U' R
L F R B R2 U' R
R F' L B R2 U' R
L F' R B R2 U' R
R F2 L B R2 U' R
L F2 R B R2 U' R
R B R2 U' D' R F'
R B R2 D' U' R F'
D2 B2 L R' F' U R
D' B2 L R' F' B U
D' B2 L R' B F' U
D B2 L R' F' B' U
D B2 L R' B' F' U
D2 B2 R' L F' U R
D' B2 R' L F' B U
D' B2 R' L B F' U
D2 B2 R' F' L U R
D' B2 R' F' L B U
D B2 R' L F' B' U
D B2 R' L B' F' U
D B2 R' F' L B' U
L B2 U2 L F U R
