L2 U' B' U2 R' B L
U R' D F L' B R
U R' D F B L' R
U R' D F B R L'
U R' D B F L' R
U R' D B F R L'
U R' B D F L' R
U R' B D F R L'
U R2 D F L' R B
U R2 D F R L' B
U R2 D F R B L'
R2 D R F L' B R'
R2 D R F B L' R'
R2 D R F B R' L'
R2 D R B R' F L'
R2 D R B F L' R'
R2 D R B F R' L'
R' D F L' D B R2
R' D F L' B D R2
R' D F D L' B R2
R' D F D B L' R2
R' D F D B R2 L'
R' D F B L' D R2
R' D F B D L' R2
R' D F B D R2 L'
R2 D F L' R B R'
R2 D F R L' B R'
R2 D F R B L' R'
R2 D F R B R' L'
R' D F' U' F2 L' B
R' D F' U' F2 B L'
R' D F' U' B F2 L'
R' D B F L' D R2
R' D B F D L' R2
R' D B F D R2 L'
R' F L B D L2 R2
R' F L B D R2 L2
R' F D' B' L B2 R'
R' F' L B' U' F2 B2
R' F' L B' U' B2 F2
D B R' F' U' F2 L'
R' B D F L' D R2
R' B D F D L' R2
R' B D F D R2 L'
U' B' R' D F L' B
U' B' R' D F B L'
U' B' R' D B F L'
U' B' R' B D F L'
D B2 U F L' R B
D B2 U F R L' B
D B2 U F R B L'
D B2 U' F L' B' R'
