R2 L' U L D R2
R2 L' U D L R2
R2 L' U D R2 L
R2 L' U2 F2 U' L
R2 L' D U L R2
R2 L' D U R2 L
U' L' R2 U D R2
U' L' R2 U2 F2 U'
U' L' R2 D U R2
U' L' R2 D2 B2 U
D' L' U F2 L R
D' L' U F2 R L
L' R2 U L D R2
L' R2 U D L R2
L' R2 U D R2 L
L' R2 U2 F2 U' L
L' R2 D U L R2
L' R2 D U R2 L
R2 U F2 R U' F2
R U F2 L' R U'
R U F2 R L' U'
U R F2 L' R U'
U R F2 R L' U'
U' R2 L' U D R2
U' R2 L' U2 F2 U'
U' R2 L' D U R2
U' R2 L' D2 B2 U
U' R2 U2 F2 R U'
U' R2 D L' U R2
U' R2 D2 L' B2 U
U' R2 D2 B2 L' U
R2 D L' U L R2
R2 D L' U R2 L
L D' L' F2 R B2
L D' L' F2 B2 R
L D' L' B2 F2 R
U' D' L' U F2 R
D' U' L' U F2 R
L D' B2 L' F2 R
R2 D2 B2 L' U L
R F2 L' R U' L
U F2 R U2 R U
R F2 R L' U' L
F2 D2 L2 R U' L2
F2 D2 R L2 U' L2
U F2 D' R U' F2
U F2 D2 L2 R U'
U F2 D2 R L2 U'
F2 L R U2 R U L'
L' R U2 F2 L' U' L2
L' R D R U L R
L' R D R U R L
U2 L D F2 B2 U2 R2
U2 L D B2 F2 U2 R2
B' L D' L' F2 R B2
B' L D' L' F2 B2 R
B' L D' L' B2 F2 R
B2 L D' L' F2 R B2
B2 L D' L' F2 B2 R
U2 L D' L2 U2 F2 B2
U2 L D' L2 U2 B2 F2
B2 L D' L' B2 F2 R
B L D' L' F2 R B2
B L D' L' F2 B2 R
F2 L D' R U' L' F2
B L D' L' B2 F2 R
B' L D' B2 L' F2 R
B2 L D' B2 L' F2 R
B L D' B2 L' F2 R
F2 L D2 L2 R U' L
F2 L D2 R L2 U' L
U L F2 U' D' F2 B2
U L F2 U' D' B2 F2
U L F2 U2 L2 R2 U
U L F2 U2 R2 L2 U
U L F2 D' U' F2 B2
U L F2 D' U' B2 F2
U L F2 D2 L2 R2 U'
U L F2 D2 R2 L2 U'
R2 L' U L R D R2
R2 L' U L R' D R2
R2 L' U L R2 D R2
R2 L' U L U F2 U'
R2 L' U L D R2 D
R2 L' U L D R2 D'
R2 L' U L D R2 D2
R2 L' U L2 D L' R2
R2 L' U L2 D R2 L'
R2 L' U R L D R2
R2 L' U R D L R2
R2 L' U R D R2 L
R2 L' U R' L D R2
R2 L' U R' D L R2
R2 L' U R' D R2 L
R2 L' U R2 L D R2
R2 L' U R2 D L R2
R2 L' U R2 D R2 L
R2 L' U D L R2 D
R2 L' U D L R2 D'
R2 L' U D L R2 D2
R2 L' U D R2 L D
R2 L' U D R2 L D'
R2 L' U D R2 L D2
R2 L' U D R2 D L
R2 L' U D R2 D' L
R2 L' U D R2 D2 L
R2 L' U D2 L D' R2
R2 L' U' D' L2 U2 L'
D2 L B2 L2 R' U L
D2 L B2 R' L2 U L
D' L' R U F2 L R
D' L' R U F2 R L
F2 L' R U2 R U L
U' L' R U2 F2 L' U'
U' L' R D R U R
R2 L' U2 F2 U' L D
R2 L' U2 F2 U' L D'
R2 L' U2 F2 U' L D2
R2 L' U2 F2 U' D L
R2 L' U2 F2 U' D' L
R2 L' U2 F2 U' D2 L
R2 L' U2 F2 D U' L
R2 L' U2 F2 D' U' L
R2 L' U2 F2 D2 U' L
R L' U2 F2 L' U' L2
U' L' R D2 R B2 U
U' L' R D2 B2 R U
R' L' D R' U L R'
R' L' D R' U R' L
L' R' D R' U L R'
L' R' D R' U R' L
D' L' R' U F2 L R
D' L' R' U F2 R L
R L' D R U L R
R L' D R U R L
R2 L' D U L R2 D
R2 L' D U L R2 D'
R2 L' D U L R2 D2
R2 L' D U R2 L D
R2 L' D U R2 L D'
R2 L' D U R2 L D2
R2 L' D U R2 D L
R2 L' D U R2 D' L
R2 L' D U R2 D2 L
U' L' R' D R' U R'
R2 L' D F U L R2
R2 L' D F U R2 L
R2 L' D F' U L R2
R2 L' D F' U R2 L
U' L' R' D2 R' B2 U
R2 L' D F2 U L R2
R2 L' D F2 U R2 L
D' L' R2 U F2 L R
D' L' R2 U F2 R L
B' L' R2 U L D R2
B' L' R2 U D L R2
B' L' R2 U D R2 L
U' L' R2 U R D R2
U' L' R2 U R' D R2
U' L' R2 U R2 D R2
U' L' R2 U D R2 D
U' L' R2 U D R2 D'
U' L' R2 U D R2 D2
B2 L' R2 U L D R2
U' L' R2 U' D' L2 U2
B2 L' R2 U D L R2
B2 L' R2 U D R2 L
B' L' R2 U2 F2 U' L
U' L' R2 U2 F2 U' D
U' L' R2 U2 F2 U' D'
U' L' R2 U2 F2 U' D2
U' L' R2 U2 F2 D U'
U' L' R2 U2 F2 D' U'
U' L' R2 U2 F2 D2 U'
B L' R2 U L D R2
B' L' R2 D U L R2
B' L' R2 D U R2 L
B L' R2 U D L R2
B L' R2 U D R2 L
U' L' R2 D U R2 D
U' L' R2 D U R2 D'
U' L' R2 D U R2 D2
U' L' R2 D B U R2
U' L' R2 D B' U R2
U' L' R2 D B2 U R2
B2 L' R2 U2 F2 U' L
U' L' R2 D' U' L2 U2
B2 L' R2 D U L R2
B2 L' R2 D U R2 L
R2 L' D' U' L2 U2 L'
B L' R2 U2 F2 U' L
U' L' R2 D2 B2 U D
U' L' R2 D2 B2 U D'
U' L' R2 D2 B2 U D2
U' L' R2 D2 B2 D U
U' L' R2 D2 B2 D' U
U' L' R2 D2 B2 D2 U
B L' R2 D U L R2
B L' R2 D U R2 L
U2 L' R2 D2 B2 U L2
U' L' R2 B U D R2
U' L' R2 B U2 F2 U'
U' L' R2 B D U R2
U' L' R2 B D2 B2 U
U' L' R2 B' U D R2
U' L' R2 B' U2 F2 U'
U' L' R2 B' D U R2
U' L' R2 B' D2 B2 U
D' L' U L F2 D2 R2
U' L' R2 B2 U D R2
U' L' R2 B2 U2 F2 U'
U' L' R2 B2 D U R2
U' L' R2 B2 D2 B2 U
D L' U L R2 D2 F2
D' L' U R F2 L R
D' L' U R F2 R L
D' L' U R' F2 L R
D' L' U R' F2 R L
D' L' U R2 F2 L R
D' L' U R2 F2 R L
R2 L' D2 U L D' R2
U' L' U D R2 D2 F2
D L' U R2 L D2 F2
D L' U R2 D2 L F2
D L' U R2 D2 F2 L
U' L' U D' F2 D2 R2
D' L' U F' L F' R
D' L' U F2 L R D
D' L' U F2 L R D'
D' L' U F2 L R D2
D' L' U F2 L D R
D' L' U F2 L D' R
D' L' U F2 L D2 R
D' L' U F2 R L D
D' L' U F2 R L D'
